INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
9	1276	1276	0.5892	0.7781	429	42	429	42	429	42	429	42	429	42	429	42	429	429	794	385	427	43	40	72	434	393	400	363	73	196	22320	2500	800	320	1480	90	90	1300	60	124	187	254	316	180	180	410	0	0	0	0	107	16000
10	1372	1372	0.608	0.7968	500	50	500	50	500	50	500	50	500	50	500	50	500	500	835	404	448	45	42	76	457	413	420	381	77	206	22320	2800	900	350	1800	95	95	1400	66	136	205	279	347	190	190	470	0	0	0	0	108	18000
11	1467	1467	0.6268	0.8153	580	58	580	58	580	58	580	58	580	58	580	58	580	580	876	424	469	47	46	82	480	433	441	400	81	217	23040	3200	1000	380	2150	105	105	1500	72	149	225	306	381	200	200	540	0	0	0	0	109	21000
12	1610	1610	0.6457	0.8337	671	67	671	67	671	67	671	67	671	67	671	67	671	671	919	444	491	49	48	86	504	455	463	419	84	227	23760	3700	1100	410	2530	115	115	1600	79	163	247	336	419	210	210	620	0	0	0	0	110	23000
13	1753	1753	0.6646	0.852	774	77	774	77	774	77	774	77	774	77	774	77	774	774	963	465	514	51	52	90	528	476	485	438	88	238	24480	4100	1200	440	2940	125	125	1700	86	179	271	369	460	220	220	700	0	0	0	0	111	24000
14	1895	1895	0.6834	0.87	889	88	889	88	889	88	889	88	889	88	889	88	889	889	1007	486	537	54	54	96	553	499	508	458	92	249	25200	4600	1300	470	3380	135	135	1800	94	196	298	405	506	230	230	800	0	0	0	0	112	26000
15	2037	2037	0.7023	0.888	1018	101	1018	101	1018	101	1018	101	1018	101	1018	101	1018	1018	1054	508	560	56	58	100	579	522	531	479	96	261	25920	5100	1400	500	3850	145	145	1900	103	215	327	445	556	240	240	910	0	0	0	0	113	28000
16	2178	2178	0.7212	0.9058	1018	101	1018	101	1018	101	1018	101	1018	101	1018	101	1018	1018	1101	530	585	58	62	106	606	545	555	500	101	273	26640	5700	1500	530	4350	155	155	2000	113	236	359	489	611	250	250	1000	0	0	0	0	114	30000
17	2318	2318	0.7401	0.9235	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1150	553	609	61	66	112	633	569	580	521	105	285	27360	6300	1600	560	4880	165	165	2100	124	259	394	537	672	260	260	1200	0	0	0	0	115	32000
18	2458	2458	0.759	0.9411	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1200	577	635	63	70	118	661	594	605	543	109	297	27360	6900	1700	590	5440	175	175	2200	136	284	433	590	739	270	270	1300	0	0	0	0	116	34000
19	2597	2597	0.7779	0.9586	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1251	601	661	66	74	124	690	619	631	566	114	310	28800	7500	1800	620	6030	185	185	2300	149	312	476	649	812	280	280	1400	0	0	0	0	117	35000
20	2736	2736	0.7968	0.976	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1303	626	687	69	78	130	719	646	657	589	119	323	29520	8200	1900	650	6650	195	195	2400	163	343	523	713	893	290	290	1600	0	0	0	0	118	37000
21	2921	2921	0.8157	0.9933	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1357	651	715	71	82	136	750	672	685	613	123	336	30240	8900	2000	680	7300	205	205	2500	179	377	575	784	982	300	300	1800	0	0	0	0	119	43000
22	3107	3107	0.8346	1.0105	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1412	677	743	74	86	142	781	700	713	637	128	350	30960	9600	2100	710	7980	215	215	2600	196	414	632	862	1080	310	310	2000	0	0	0	0	120	45000
23	3291	3291	0.8536	1.0276	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1469	704	771	77	90	148	813	728	741	662	133	364	31680	10300	2200	740	8690	225	225	2700	215	455	695	948	1188	320	320	2200	0	0	0	0	121	47000
24	3474	3474	0.8725	1.0446	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1527	731	800	80	96	156	846	757	771	688	138	378	33120	11100	2300	770	9430	235	235	2800	236	500	764	1042	1306	330	330	2400	0	0	0	0	122	50000
25	3657	3657	0.8914	1.0615	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1587	759	830	83	100	162	880	787	801	714	144	393	33840	11900	2400	800	10200	245	245	2900	259	550	840	1146	1436	340	340	2700	0	0	0	0	123	52000
26	3839	3839	0.9104	1.0784	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1648	787	861	86	106	170	914	817	832	740	149	409	34560	12800	2500	830	11000	255	255	3000	284	605	924	1260	1579	350	350	2900	0	0	0	0	124	54000
27	4020	4020	0.9293	1.0952	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1710	817	892	89	110	178	950	848	864	768	155	424	35280	13600	2600	860	11830	265	265	3100	312	665	1016	1386	1736	360	360	3200	0	0	0	0	125	57000
28	4200	4200	0.9483	1.1119	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1774	846	924	92	116	186	987	880	896	796	160	440	36000	14500	2700	890	12690	275	275	3200	343	731	1117	1524	1909	370	370	3500	0	0	0	0	126	60000
29	4380	4380	0.9672	1.1286	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1840	877	957	96	122	194	1024	913	929	824	166	456	37440	15400	2800	920	13580	290	290	3300	377	804	1228	1676	2099	380	380	3800	0	0	0	0	127	62000
30	4559	4559	0.9862	1.1451	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1907	908	990	99	128	202	1062	946	963	854	172	473	38160	16400	2900	950	14500	305	305	3400	414	884	1350	1843	2308	390	390	4100	0	0	0	0	128	65000
31	4783	4783	1.0051	1.1617	500	100	500	100	500	100	500	100	500	50	500	50	500	200	1976	940	1024	102	134	210	1102	981	998	884	178	490	38880	17400	3000	980	15450	320	320	3500	455	972	1485	2027	2538	400	400	4500	0	0	0	0	129	75000
32	5007	5007	1.0241	1.1781	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2047	973	1059	106	140	218	1142	1016	1034	914	184	508	39600	18400	3100	1010	16430	335	335	3600	500	1069	1633	2229	2791	410	410	4800	0	0	0	0	130	78000
33	5230	5230	1.0431	1.1945	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2119	1007	1095	110	148	228	1183	1052	1071	946	190	526	41040	19400	3200	1040	17440	350	350	3700	550	1175	1796	2451	3070	420	420	5200	0	0	0	0	131	82000
34	5452	5452	1.0621	1.2109	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2193	1041	1132	113	154	238	1226	1089	1108	978	197	544	41760	20500	3300	1070	18480	365	365	3800	605	1292	1975	2696	3377	430	430	5600	0	0	0	0	132	85000
35	5673	5673	1.081	1.2272	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2269	1076	1169	117	160	246	1269	1126	1147	1011	203	563	43200	21600	3400	1100	19550	380	380	3900	665	1421	2172	2965	3714	440	440	6100	0	0	0	0	133	89000
36	5892	5892	1.1	1.2435	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2346	1112	1207	121	168	256	1314	1165	1186	1044	210	583	43920	22700	3500	1130	20650	395	395	4000	731	1563	2389	3261	4085	450	450	6500	0	0	0	0	134	92000
37	6111	6111	1.119	1.2597	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2425	1148	1246	125	176	266	1359	1205	1226	1078	217	602	44640	23900	3600	1160	21780	410	410	4100	804	1719	2627	3587	4493	460	460	7000	0	0	0	0	135	96000
38	6329	6329	1.138	1.2758	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2506	1186	1286	129	184	278	1406	1245	1268	1113	224	623	46080	25100	3700	1190	22940	425	425	4200	884	1890	2889	3945	4942	470	470	7500	0	0	0	0	136	100000
39	6592	6592	1.157	1.2919	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2589	1224	1327	133	190	288	1454	1287	1310	1149	231	643	46800	26300	3800	1220	24130	440	440	4300	972	2079	3177	4339	5436	480	480	8000	0	0	0	0	137	104000
40	6854	6854	1.176	1.308	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2674	1263	1368	137	200	300	1503	1329	1353	1186	239	664	48240	27500	3900	1250	25350	455	455	4400	-1	-1	-1	-1	-1	500	500	8600	0	0	0	0	138	108000
41	7114	7114	1.195	1.324	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2761	1303	1410	141	208	310	1553	1372	1397	1223	246	686	49680	28800	4000	1280	26600	470	470	4500	-1	-1	-1	-1	-1	-1	-1	9100	0	0	0	0	139	123000
42	7373	7373	1.214	1.34	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2849	1343	1454	145	216	322	1604	1417	1442	1261	254	708	50400	30100	4100	1310	27880	485	485	4600	-1	-1	-1	-1	-1	-1	-1	9800	0	0	0	0	140	128000
43	7631	7631	1.233	1.356	500	100	500	100	500	100	500	100	500	50	500	50	500	200	2940	1385	1498	150	226	334	1656	1462	1488	1300	262	731	51840	31400	4200	1340	29190	505	505	4700	-1	-1	-1	-1	-1	-1	-1	10000	0	0	0	0	141	132000
44	7888	7888	1.252	1.3719	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3033	1427	1543	154	234	346	1710	1508	1535	1340	270	754	53280	32800	4300	1370	30530	525	525	4800	-1	-1	-1	-1	-1	-1	-1	11000	0	0	0	0	142	137000
45	8144	8144	1.271	1.3878	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3127	1471	1589	159	244	358	1765	1556	1583	1380	278	778	54720	34200	4400	1400	31900	545	545	4900	-1	-1	-1	-1	-1	-1	-1	12000	0	0	0	0	143	141000
46	8399	8399	1.2901	1.4036	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3224	1515	1636	164	254	372	1821	1604	1633	1422	286	802	55440	35600	4500	1430	33300	565	565	5000	-1	-1	-1	-1	-1	-1	-1	12000	0	0	0	0	144	146000
47	8652	8652	1.3091	1.4194	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3323	1560	1684	168	264	386	1879	1653	1683	1464	295	827	56880	37000	4600	1460	34730	585	585	5100	-1	-1	-1	-1	-1	-1	-1	13000	0	0	0	0	145	151000
48	8949	8949	1.3281	1.4352	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3424	1606	1732	173	274	398	1938	1704	1734	1507	303	852	57600	38500	4700	1490	36190	605	605	5200	-1	-1	-1	-1	-1	-1	-1	14000	0	0	0	0	146	156000
49	9245	9245	1.3471	1.4509	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3527	1653	1782	178	284	412	1998	1756	1787	1551	312	878	59040	40000	4800	1520	37680	625	625	5300	-1	-1	-1	-1	-1	-1	-1	15000	0	0	0	0	147	161000
50	9540	9540	1.3662	1.4667	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3632	1701	1833	183	296	428	2059	1808	1841	1596	321	904	60480	0	5000	1550	39200	645	645	5400	-1	-1	-1	-1	-1	-1	-1	16000	10	10	10	10	148	166000
51	9833	9833	1.3852	1.4824	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3740	1750	1885	188	306	442	2122	1862	1895	1642	330	931	61920	0	5000	1580	40750	665	665	5500	-1	-1	-1	-1	-1	-1	-1	16000	11	11	11	11	149	166000
52	10124	10124	1.4042	1.498	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3850	1800	1938	194	318	458	2186	1917	1951	1689	340	959	63360	0	5000	1610	42330	685	685	5600	-1	-1	-1	-1	-1	-1	-1	17000	12	12	12	12	150	166000
53	10415	10415	1.4233	1.5137	500	100	500	100	500	100	500	100	500	50	500	50	500	200	3962	1850	1991	199	330	472	2252	1973	2009	1736	349	987	64080	0	5000	1640	43940	705	705	5700	-1	-1	-1	-1	-1	-1	-1	18000	13	13	13	13	153	166000
54	10704	10704	1.4423	1.5293	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4076	1902	2046	205	342	488	2319	2031	2067	1785	359	1015	65520	0	5000	1670	45580	725	725	5800	-1	-1	-1	-1	-1	-1	-1	19000	14	14	14	14	156	166000
55	10991	10991	1.4613	1.5448	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4193	1955	2102	210	354	504	2387	2089	2127	1835	369	1045	67680	0	5000	1700	47250	745	745	5900	-1	-1	-1	-1	-1	-1	-1	20000	15	15	15	15	159	166000
56	11277	11277	1.4804	1.5604	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4312	2009	2159	216	368	522	2457	2149	2187	1885	379	1075	68400	0	5000	1730	48950	765	765	6000	-1	-1	-1	-1	-1	-1	-1	21000	16	16	16	16	162	166000
57	11606	11606	1.4994	1.5759	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4434	2064	2217	222	380	538	2529	2210	2249	1937	390	1105	69840	0	5000	1760	50680	785	785	6100	-1	-1	-1	-1	-1	-1	-1	22000	17	17	17	17	165	166000
58	11934	11934	1.5185	1.5914	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4558	2120	2276	228	394	556	2602	2272	2313	1989	400	1136	71280	0	5000	1790	52440	810	810	6200	-1	-1	-1	-1	-1	-1	-1	23000	18	18	18	18	168	166000
59	12259	12259	1.5375	1.6069	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4684	2177	2337	234	408	574	2676	2336	2377	2043	411	1168	72720	0	5000	1820	54230	835	835	6300	-1	-1	-1	-1	-1	-1	-1	25000	19	19	19	19	171	166000
60	13593	13593	1.5566	1.6224	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4814	2235	2398	240	422	592	2752	2401	2443	2097	422	1200	74160	0	5000	1850	56050	860	860	6400	-1	-1	-1	-1	-1	-1	-1	26000	20	20	20	20	174	166000
61	13973	13973	1.5756	1.6378	500	100	500	100	500	100	500	100	500	50	500	50	500	200	4945	2294	2460	246	438	612	2830	2467	2510	2157	434	1233	75600	0	5000	1880	57900	885	885	6500	-1	-1	-1	-1	-1	-1	-1	27000	21	21	21	21	177	166000
62	14354	14354	1.5947	1.6533	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5078	2354	2524	252	454	632	2909	2534	2578	2218	446	1267	77040	0	5000	1910	59780	910	910	6600	-1	-1	-1	-1	-1	-1	-1	28000	22	22	22	22	180	166000
63	14734	14734	1.6137	1.6687	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5214	2415	2589	259	470	654	2989	2602	2648	2280	459	1301	78480	0	5000	1940	61690	935	935	6700	-1	-1	-1	-1	-1	-1	-1	30000	23	23	23	23	184	166000
64	15162	15162	1.6328	1.6841	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5353	2477	2655	265	486	676	3072	2672	2719	2343	472	1336	80640	0	5000	1970	63630	960	960	6800	-1	-1	-1	-1	-1	-1	-1	31000	24	24	24	24	188	166000
65	15590	15590	1.6519	1.6994	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5495	2540	2722	272	504	698	3156	2743	2791	2408	485	1371	82080	0	5000	2000	65600	985	985	6900	-1	-1	-1	-1	-1	-1	-1	32000	25	25	25	25	192	166000
66	16018	16018	1.6709	1.7148	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5639	2604	2790	279	522	720	3241	2816	2865	2474	498	1408	83520	0	5000	2030	67600	1010	1010	7000	-1	-1	-1	-1	-1	-1	-1	34000	26	26	26	26	196	166000
67	16446	16446	1.69	1.7301	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5786	2670	2860	286	540	744	3328	2889	2940	2542	511	1445	84960	0	5000	2060	69630	1035	1035	7100	-1	-1	-1	-1	-1	-1	-1	35000	27	27	27	27	200	166000
68	16874	16874	1.7091	1.7454	500	100	500	100	500	100	500	100	500	50	500	50	500	200	5935	2737	2931	293	558	768	3417	2965	3017	2610	525	1482	86400	0	5000	2090	71690	1060	1060	7200	-1	-1	-1	-1	-1	-1	-1	37000	28	28	28	28	204	166000
69	17302	17302	1.7281	1.7607	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6088	2804	3003	300	578	792	3508	3041	3095	2681	539	1521	87840	0	5000	2120	73780	1085	1085	7300	-1	-1	-1	-1	-1	-1	-1	38000	29	29	29	29	208	166000
70	17730	17730	1.7472	1.776	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6243	2874	3076	308	598	816	3601	3120	3174	2752	554	1560	90000	0	5000	2150	75900	1110	1110	7400	-1	-1	-1	-1	-1	-1	-1	40000	30	30	30	30	212	166000
71	18158	18158	1.7663	1.7913	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6401	2944	3150	315	618	842	3695	3199	3255	2825	568	1600	91440	0	5000	2180	78050	1140	1140	7500	-1	-1	-1	-1	-1	-1	-1	41000	31	31	31	31	216	166000
72	18634	18634	1.7853	1.8065	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6562	3015	3226	323	638	868	3791	3280	3338	2900	583	1640	93600	0	5000	2210	80230	1170	1170	7600	-1	-1	-1	-1	-1	-1	-1	43000	32	32	32	32	220	166000
73	19109	19109	1.8044	1.8217	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6726	3088	3303	330	660	896	3889	3363	3422	2976	599	1682	95040	0	5000	2240	82440	1200	1200	7700	-1	-1	-1	-1	-1	-1	-1	45000	33	33	33	33	224	166000
74	19585	19585	1.8235	1.837	500	100	500	100	500	100	500	100	500	50	500	50	500	200	6893	3162	3382	338	682	922	3989	3447	3508	3053	614	1724	96480	0	5000	2270	84680	1230	1230	7800	-1	-1	-1	-1	-1	-1	-1	46000	34	34	34	34	228	166000
75	20060	20060	1.8426	1.8522	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7063	3237	3461	346	704	950	4091	3533	3595	3132	630	1766	98640	0	5000	2300	86950	1260	1260	7900	-1	-1	-1	-1	-1	-1	-1	48000	35	35	35	35	232	166000
76	20536	20536	1.8617	1.8674	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7236	3313	3543	354	728	980	4195	3620	3684	3212	646	1810	100080	0	5000	2330	89250	1290	1290	8000	-1	-1	-1	-1	-1	-1	-1	50000	36	36	36	36	236	166000
77	21012	21012	1.8807	1.8825	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7412	3391	3625	363	750	1010	4301	3709	3774	3294	663	1855	102240	0	5000	2360	91580	1320	1320	8100	-1	-1	-1	-1	-1	-1	-1	52000	37	37	37	37	240	166000
78	21487	21487	1.8998	1.8977	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7592	3470	3709	371	774	1040	4408	3800	3866	3378	680	1900	103680	0	5000	2390	93940	1350	1350	8200	-1	-1	-1	-1	-1	-1	-1	54000	38	38	38	38	244	166000
79	22010	22010	1.9189	1.9129	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7774	3550	3794	379	800	1070	4518	3892	3959	3463	697	1946	105120	0	5000	2420	96330	1380	1380	8300	-1	-1	-1	-1	-1	-1	-1	56000	39	39	39	39	248	166000
80	22533	22533	1.938	1.928	500	100	500	100	500	100	500	100	500	50	500	50	500	200	7959	3632	3881	388	824	1102	4630	3985	4055	3550	714	1993	107280	0	5000	2450	98750	1410	1410	8400	-1	-1	-1	-1	-1	-1	-1	58000	40	40	40	40	252	166000
81	23057	23057	1.9571	1.9431	500	100	500	100	500	100	500	100	500	50	500	50	500	200	8148	3714	3969	397	850	1134	4744	4081	4152	3638	732	2040	108720	0	5000	2480	101200	1440	1440	8500	-1	-1	-1	-1	-1	-1	-1	60000	41	41	41	41	256	166000
82	23580	23580	1.9762	1.9582	500	100	500	100	500	100	500	100	500	50	500	50	500	200	8340	3799	4058	406	878	1168	4860	4178	4250	3729	750	2089	110880	0	5000	2510	103680	1470	1470	8600	-1	-1	-1	-1	-1	-1	-1	62000	42	42	42	42	260	166000
83	24103	24103	1.9953	1.9733	500	100	500	100	500	100	500	100	500	50	500	50	500	200	8535	3884	4149	415	904	1202	4978	4276	4350	3820	769	2138	113040	0	5000	2540	106190	1500	1500	8700	-1	-1	-1	-1	-1	-1	-1	64000	43	43	43	43	264	166000
84	24626	24626	2.0144	1.9884	500	100	500	100	500	100	500	100	500	50	500	50	500	200	8734	3971	4241	424	932	1236	5098	4377	4453	3914	788	2188	114480	0	5000	2570	108730	1535	1535	8800	-1	-1	-1	-1	-1	-1	-1	67000	44	44	44	44	268	166000
85	25149	25149	2.0335	2.0035	500	100	500	100	500	100	500	100	500	50	500	50	500	200	8936	4059	4335	433	960	1272	5220	4479	4556	4009	807	2239	116640	0	5000	2600	111300	1570	1570	8900	-1	-1	-1	-1	-1	-1	-1	69000	45	45	45	45	272	166000
86	25720	25720	2.0525	2.0186	500	100	500	100	500	100	500	100	500	50	500	50	500	200	9141	4149	4430	443	990	1308	5344	4583	4662	4106	826	2291	118080	0	5000	2630	113900	1605	1605	9000	-1	-1	-1	-1	-1	-1	-1	71000	46	46	46	46	276	166000
87	26291	26291	2.0716	2.0337	500	100	500	100	500	100	500	100	500	50	500	50	500	200	9350	4240	4527	453	1020	1344	5471	4688	4769	4204	846	2344	120240	0	5000	2660	116530	1640	1640	9100	-1	-1	-1	-1	-1	-1	-1	74000	47	47	47	47	280	166000
88	26862	26862	2.0907	2.0487	500	100	500	100	500	100	500	100	500	50	500	50	500	200	9562	4332	4625	462	1050	1382	5600	4796	4879	4305	866	2398	122400	0	5000	2690	119190	1675	1675	9200	-1	-1	-1	-1	-1	-1	-1	76000	48	48	48	48	284	166000
89	27433	27433	2.1098	2.0637	500	100	500	100	500	100	500	100	500	50	500	50	500	200	9778	4426	4725	472	1082	1420	5731	4905	4990	4407	887	2452	123840	0	5000	2720	121880	1710	1710	9300	-1	-1	-1	-1	-1	-1	-1	79000	49	49	49	49	288	166000
90	28004	28004	2.1289	2.0788	500	100	500	100	500	100	500	100	500	50	500	50	500	200	9997	4521	4826	483	1114	1460	5865	5016	5102	4511	908	2508	126000	0	5000	2750	124600	1745	1745	9400	-1	-1	-1	-1	-1	-1	-1	81000	50	50	50	50	292	166000
91	28574	28574	2.148	2.0938	500	100	500	100	500	100	500	100	500	50	500	50	500	200	10220	4618	4929	493	1146	1500	6000	5129	5217	4617	929	2564	128160	0	5000	2780	127350	1780	1780	9500	-1	-1	-1	-1	-1	-1	-1	84000	51	51	51	51	296	166000
92	29145	29145	2.1671	2.1088	500	100	500	100	500	100	500	100	500	50	500	50	500	200	10446	4716	5033	503	1180	1542	6138	5243	5334	4725	951	2622	130320	0	5000	2810	130130	1815	1815	9600	-1	-1	-1	-1	-1	-1	-1	87000	52	52	52	52	300	166000
93	29764	29764	2.1862	2.1238	500	100	500	100	500	100	500	100	500	50	500	50	500	200	10676	4816	5139	514	1214	1584	6279	5360	5452	4835	973	2680	132480	0	5000	2840	132940	1850	1850	9700	-1	-1	-1	-1	-1	-1	-1	89000	53	53	53	53	305	166000
94	30382	30382	2.2054	2.1388	500	100	500	100	500	100	500	100	500	50	500	50	500	200	10910	4917	5247	525	1250	1626	6422	5479	5573	4946	995	2739	134640	0	5000	2870	135780	1890	1890	9800	-1	-1	-1	-1	-1	-1	-1	92000	54	54	54	54	310	166000
95	31000	31000	2.2245	2.1538	500	100	500	100	500	100	500	100	500	50	500	50	500	200	11147	5019	5356	536	1286	1670	6567	5599	5695	5060	1018	2800	136800	0	5000	2900	138650	1930	1930	9900	-1	-1	-1	-1	-1	-1	-1	95000	55	55	55	55	315	166000
96	31619	31619	2.2436	2.1688	500	100	500	100	500	100	500	100	500	50	500	50	500	200	11389	5123	5467	547	1322	1714	6715	5721	5820	5175	1041	2861	138240	0	5000	2930	141550	1970	1970	10000	-1	-1	-1	-1	-1	-1	-1	98000	56	56	56	56	319	166000
97	32237	32237	2.2627	2.1837	500	100	500	100	500	100	500	100	500	50	500	50	500	200	11634	5229	5579	558	1360	1760	6865	5846	5946	5293	1065	2923	140400	0	5000	2960	144480	2010	2010	10100	-1	-1	-1	-1	-1	-1	-1	100000	57	57	57	57	324	166000
98	32903	32903	2.2818	2.1987	500	100	500	100	500	100	500	100	500	50	500	50	500	200	11882	5336	5693	569	1398	1806	7018	5972	6075	5412	1089	2986	142560	0	5000	2990	147440	2050	2050	10200	-1	-1	-1	-1	-1	-1	-1	100000	58	58	58	58	329	166000
99	33569	33569	2.3009	2.2136	500	100	500	100	500	100	500	100	500	50	500	50	500	200	12135	5445	5809	581	1436	1854	7173	6101	6205	5534	1114	3050	144720	0	5000	3020	150430	2090	2090	10300	-1	-1	-1	-1	-1	-1	-1	110000	59	59	59	59	334	166000
