INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT
50004	4	达人强化	1	47	100	-1	20	17	160	22000	3	-1	-1	810	811
50005	4	进阶强化	1	47	130	-1	20	17	60	22000	3	-1	-1	812	813
50006	4	特级强化	9999	-1	-1	-1	20	17	60	22000	4	-1	-1	814	815
50007	4	神级强化	9999	-1	-1	-1	20	17	60	22000	4	-1	-1	816	817
50008	4	新人精炼	1	57	10	-1	20	17	20	22003	1	-1	-1	818	819
50009	4	初级精炼	1	57	100	-1	20	17	20	22003	2	-1	-1	820	821
50010	4	中级精炼	1	57	200	-1	20	17	40	22003	3	-1	-1	822	823
50011	4	高级精炼	1	57	500	-1	20	17	100	22003	4	-1	-1	824	825
50012	4	达人精炼	1	57	1000	-1	20	17	160	22003	5	-1	-1	826	827
50013	4	进阶精炼	1	57	3000	-1	20	17	60	22003	6	-1	-1	828	829
50014	4	特级精炼	9999	-1	-1	-1	20	17	60	22003	7	-1	-1	830	831
50015	4	神级精炼	9999	-1	-1	-1	20	17	60	22003	8	-1	-1	832	833
50016	4	新人洗练	1	303	10	-1	20	17	60	22000	1	-1	-1	842	843
50017	4	初级洗练	1	303	30	-1	20	17	60	22000	1	-1	-1	844	845
50018	4	中级洗练	1	303	100	-1	20	17	60	22000	2	-1	-1	846	847
50019	4	高级洗练	1	303	200	-1	20	17	80	22000	2	-1	-1	848	849
50020	4	达人洗练	1	303	300	-1	20	17	120	22000	3	-1	-1	850	851
50021	4	进阶洗练	1	303	500	-1	20	17	160	22000	3	-1	-1	852	853
50022	4	特级洗练	1	303	1000	-1	20	17	220	22000	4	-1	-1	854	855
50023	4	神级洗练	1	303	3000	-1	20	17	320	22000	4	-1	-1	856	857
50032	4	学会培养	40	326	10	-1	20	17	20	22017	1	-1	-1	904	905
50033	4	新人培养	40	326	50	-1	20	17	20	22017	1	-1	-1	906	907
50034	4	初级培养	40	326	100	-1	20	17	60	22017	2	-1	-1	908	909
50035	4	中级培养	40	326	500	-1	20	17	60	22017	2	-1	-1	910	911
50036	4	高级培养	40	326	1000	-1	20	17	80	22017	3	-1	-1	912	913
50037	4	达人培养	9999	-1	-1	-1	20	17	120	22017	3	-1	-1	914	915
50038	4	进阶培养	9999	-1	-1	-1	20	17	160	22017	4	-1	-1	916	917
50039	4	特级培养	9999	-1	-1	-1	20	17	220	22017	4	-1	-1	918	919
50040	4	神级培养	9999	-1	-1	-1	20	17	320	22017	5	-1	-1	920	921
50041	4	入门阵法	60	82	2	-1	20	17	40	7	100	-1	-1	934	935
50042	4	初级阵法	60	82	3	-1	20	17	60	7	150	-1	-1	936	937
50043	4	中级阵法	60	82	5	-1	20	17	60	7	200	-1	-1	938	939
50044	4	高级阵法	60	82	10	-1	20	17	80	7	250	-1	-1	940	941
50045	4	进阶阵法	60	82	20	-1	20	17	120	7	300	-1	-1	942	943
50046	4	特级阵法	60	82	30	-1	20	17	160	7	350	-1	-1	944	945
50047	4	神级阵法	60	82	40	-1	20	17	260	7	400	-1	-1	946	947
50048	4	初级灵兽	60	328	50	-1	20	17	20	7	100	-1	-1	948	949
50049	4	中级灵兽	60	328	100	-1	20	17	60	7	150	-1	-1	950	951
50050	4	高级灵兽	60	328	150	-1	20	17	120	7	200	-1	-1	952	953
50051	4	特级灵兽	60	328	200	-1	20	17	160	7	250	-1	-1	954	955
50052	4	神级灵兽	60	328	250	-1	20	17	320	7	300	-1	-1	956	957
50053	4	绝世灵兽	60	328	300	-1	20	17	480	7	350	-1	-1	1021	1022
50086	4	新人级合成	100	342	5	-1	20	17	120	22002	1	-1	-1	1405	1406
50087	4	初级合成	100	342	10	-1	20	17	160	22002	1	-1	-1	1407	1408
50088	4	中级合成	100	342	50	-1	20	17	160	22002	2	-1	-1	1409	1410
50089	4	高级合成	100	342	100	-1	20	17	220	22002	2	-1	-1	1411	1412
50090	4	达人级合成	100	342	200	-1	20	17	220	22002	3	-1	-1	1413	1414
50091	4	精英级合成	100	342	500	-1	20	17	220	22002	3	-1	-1	1415	1416
50092	4	专家级合成	100	342	1000	-1	20	17	260	22002	4	-1	-1	1417	1418
50093	4	大师级合成	9999	-1	-1	-1	20	17	260	22002	4	-1	-1	1419	1420
50094	4	宗师级合成	9999	-1	-1	-1	20	17	260	22002	5	-1	-1	1421	1422
50095	4	新人许愿	100	479	5	-1	20	17	40	2	20000	-1	-1	1443	1444
50096	4	初级许愿	100	479	10	-1	20	17	60	2	30000	-1	-1	1445	1446
50097	4	中级许愿	100	479	20	-1	20	17	60	2	30000	-1	-1	1447	1448
50098	4	高级许愿	100	479	50	-1	20	17	100	2	50000	-1	-1	1449	1450
50099	4	达人许愿	100	479	100	-1	20	17	120	2	60000	-1	-1	1451	1452
50100	4	精英许愿	100	479	200	-1	20	17	160	2	80000	-1	-1	1453	1454
50101	4	专家许愿	100	479	300	-1	20	17	220	2	110000	-1	-1	1455	1456
50102	4	大师许愿	100	479	500	-1	20	17	220	2	110000	-1	-1	1457	1458
50103	4	宗师许愿	100	479	1000	-1	20	17	320	2	160000	-1	-1	1459	1460
50104	4	新人幸运签	9999	-1	-1	-1	20	17	40	2	20000	-1	-1	1461	1462
50105	4	初级幸运签	9999	-1	-1	-1	20	17	60	2	30000	-1	-1	1463	1464
50106	4	中级幸运签	9999	-1	-1	-1	20	17	60	2	30000	-1	-1	1465	1466
50107	4	高级幸运签	9999	-1	-1	-1	20	17	100	2	50000	-1	-1	1467	1468
50108	4	达人幸运签	9999	-1	-1	-1	20	17	120	2	60000	-1	-1	1469	1470
50109	4	精英幸运签	9999	-1	-1	-1	20	17	160	2	80000	-1	-1	1471	1472
50110	4	专家幸运签	9999	-1	-1	-1	20	17	220	2	110000	-1	-1	1473	1474
50111	4	大师幸运签	9999	-1	-1	-1	20	17	220	2	110000	-1	-1	1475	1476
50112	4	宗师幸运签	9999	-1	-1	-1	20	17	320	2	160000	-1	-1	1477	1478
50113	6	新手加速	9999	-1	-1	-1	10	17	120	2	10000	-1	-1	1519	1520
50114	6	入门加速	9999	-1	-1	-1	10	17	120	2	10000	-1	-1	1521	1522
50115	6	初级加速	9999	-1	-1	-1	10	17	120	2	10000	-1	-1	1523	1524
50116	6	中级加速	9999	-1	-1	-1	10	17	160	2	15000	-1	-1	1525	1526
50117	6	高级加速	9999	-1	-1	-1	10	17	160	2	15000	-1	-1	1527	1528
50118	6	进阶加速	9999	-1	-1	-1	10	17	160	2	15000	-1	-1	1529	1530
50119	6	达人加速	9999	-1	-1	-1	10	17	220	2	20000	-1	-1	1531	1532
50120	6	特级加速	9999	-1	-1	-1	10	17	220	2	20000	-1	-1	1533	1534
50121	6	精英加速	9999	-1	-1	-1	10	17	260	2	25000	-1	-1	1535	1536
50122	6	超级加速	9999	-1	-1	-1	10	17	320	2	30000	-1	-1	1537	1538
60006	5	回收新手	60	327	10	-1	10	17	40	7	50	-1	-1	922	923
60007	5	回收达人	60	327	50	-1	10	17	60	7	50	-1	-1	924	925
60008	5	回收精英	60	327	100	-1	10	17	100	7	50	-1	-1	926	927
60009	5	回收专家	60	327	200	-1	10	17	120	7	50	-1	-1	928	929
60010	5	回收大师	60	327	500	-1	10	17	160	7	50	-1	-1	930	931
60011	5	回收宗师	9999	-1	-1	-1	10	17	220	7	50	-1	-1	932	933
60012	5	新手玩家	1	94	3	-1	10	17	40	2	20000	-1	-1	1549	1550
60013	5	达人玩家	1	94	7	-1	10	17	60	2	30000	-1	-1	1551	1552
60014	5	精英玩家	1	94	14	-1	10	17	100	2	50000	-1	-1	1553	1554
60015	5	专家玩家	1	94	30	-1	10	17	120	2	60000	-1	-1	1555	1556
60016	5	大师玩家	1	94	60	-1	10	17	160	2	80000	-1	-1	1557	1558
60017	5	宗师玩家	1	94	365	-1	10	17	320	2	160000	-1	-1	1559	1560
60018	5	天天向上新手	1	17	3	-1	20	17	40	2	20000	-1	-1	1561	1562
60019	5	天天向上达人	1	17	5	-1	20	17	60	2	30000	-1	-1	1563	1564
60020	5	天天向上精英	1	17	7	-1	20	17	100	2	50000	-1	-1	1565	1566
60021	5	天天向上专家	1	17	10	-1	20	17	120	2	60000	-1	-1	1567	1568
60022	5	天天向上大师	1	17	14	-1	20	17	160	2	80000	-1	-1	1569	1570
60023	5	天天向上宗师	1	17	30	-1	20	17	320	2	160000	-1	-1	1571	1572
60024	5	灵兽新手	1	87	3	-1	10	17	40	7	50	-1	-1	1573	1574
60025	5	灵兽达人	1	87	10	-1	10	17	60	7	50	-1	-1	1575	1576
60026	5	灵兽精英	1	87	20	-1	10	17	100	7	50	-1	-1	1577	1578
60027	5	灵兽专家	9999	-1	-1	-1	10	17	120	7	50	-1	-1	1579	1580
60028	5	灵兽大师	9999	-1	-1	-1	10	17	160	7	50	-1	-1	1581	1582
60029	5	灵兽宗师	9999	-1	-1	-1	10	17	220	7	50	-1	-1	1583	1584
60036	5	魔物志新手	1	88	5	-1	10	17	40	2	20000	-1	-1	1597	1598
60037	5	魔物志达人	1	88	10	-1	10	17	60	2	30000	-1	-1	1599	1600
60038	5	魔物志精英	1	88	20	-1	10	17	100	2	50000	-1	-1	1601	1602
60039	5	魔物志专家	1	88	50	-1	10	17	120	2	60000	-1	-1	1603	1604
60040	5	魔物志大师	9999	-1	-1	-1	10	17	160	2	80000	-1	-1	1605	1606
60041	5	魔物志宗师	9999	-1	-1	-1	10	17	220	2	110000	-1	-1	1607	1608
60042	5	组合新手	9999	-1	-1	-1	10	17	60	2	30000	-1	-1	1609	1610
60043	5	组合达人	9999	-1	-1	-1	10	17	80	2	40000	-1	-1	1611	1612
60044	5	组合精英	9999	-1	-1	-1	10	17	120	2	60000	-1	-1	1613	1614
60045	5	组合专家	9999	-1	-1	-1	10	17	160	2	80000	-1	-1	1615	1616
60046	5	组合大师	9999	-1	-1	-1	10	17	160	2	80000	-1	-1	1617	1618
60047	5	成就新人	1	686	300	-1	10	17	20	2	10000	-1	-1	1619	1620
60048	5	成就能手	1	686	500	-1	10	17	60	2	30000	-1	-1	1621	1622
60049	5	成就达人	1	686	1000	-1	10	17	60	2	30000	-1	-1	1623	1624
60050	5	成就精英	1	686	1500	-1	10	17	80	2	40000	-1	-1	1625	1626
60051	5	成就专家	1	686	2000	-1	10	17	120	2	60000	-1	-1	1627	1628
60052	5	成就大师	1	686	2500	-1	10	17	160	2	80000	-1	-1	1629	1630
60053	5	成就宗师	1	686	3000	-1	10	17	220	2	110000	-1	-1	1631	1632
60054	5	成就神话	1	686	3500	-1	10	17	320	2	160000	-1	-1	1633	1634
60055	5	三五好友	1	44	5	-1	10	17	20	2	10000	-1	-1	1635	1636
60056	5	好友小队	1	44	10	-1	10	17	60	2	30000	-1	-1	1637	1638
60057	5	好友众多	1	44	20	-1	10	17	80	2	40000	-1	-1	1639	1640
60058	5	好友组团	1	44	30	-1	10	17	120	2	60000	-1	-1	1641	1642
60059	5	遍地好友	1	44	50	-1	10	17	260	2	130000	-1	-1	1643	1644
60060	5	组合宗师	1	347	15	-1	10	17	220	2	110000	-1	-1	1780	1779
80000	7	2级战盟	50	379	2	-1	10	17	40	2	20000	-1	-1	958	959
80001	7	3级战盟	50	379	3	-1	10	17	60	2	30000	-1	-1	960	961
80002	7	4级战盟	50	379	4	-1	10	17	80	2	40000	-1	-1	962	963
80003	7	5级战盟	50	379	5	-1	10	17	120	2	60000	-1	-1	964	965
80004	7	6级战盟	50	379	6	-1	10	17	160	2	80000	-1	-1	966	967
80005	7	7级战盟	50	379	7	-1	10	17	320	2	160000	-1	-1	968	969
80006	7	8级战盟	50	379	8	-1	10	17	320	2	160000	-1	-1	970	971
80007	7	黑铁成员	100	329	5	-1	10	17	40	2	20000	-1	-1	974	975
