INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
68	81	7	79	26	-4.43	1	-1	-1	-1
69	82	7	54.7	88.76	-1	1	-1	-1	-1
70	83	7	60	45	-1.22	1	-1	-1	-1
71	84	7	30	93.75	-0.45	1	-1	-1	-1
72	85	7	57.47	108.78	-1.89	1	-1	-1	-1
73	79000	4000	12.42	5.53	-1	0	-1	-1	-1
74	79000	4001	12.42	5.53	-1	0	-1	-1	-1
75	79001	4002	12.42	5.53	-1	0	-1	-1	-1
76	79002	4003	12.42	5.53	-1	0	-1	-1	-1
77	79003	4004	12.42	5.53	-1	0	-1	-1	-1
78	79004	4005	12.42	5.53	-1	0	-1	-1	-1
79	79005	4006	12.42	5.53	-1	0	-1	-1	-1
80	79006	4007	12.42	5.53	-1	0	-1	-1	-1
81	79000	5000	30	30	-1	0	-1	-1	-1
82	79000	5001	30	30	-1	0	-1	-1	-1
83	79001	5002	30	30	-1	0	-1	-1	-1
84	79002	5003	30	30	-1	0	-1	-1	-1
85	79003	5004	30	30	-1	0	-1	-1	-1
86	79004	5005	30	30	-1	0	-1	-1	-1
87	79005	5006	30	30	-1	0	-1	-1	-1
88	79006	5007	30	30	-1	0	-1	-1	-1
89	79007	6100	23	17	-1	0	-1	-1	-1
90	79008	1050	72	49	-1	0	-1	-1	-1
91	91	3	124	123	-1.5	1	-1	-1	-1
92	92	213	26	33	1	1	-1	-1	-1
93	91	200	124	123	-1.5	1	-1	-1	-1
94	22	211	81.9	90.7	0.43	1	-1	-1	-1
95	93	3	90	116	-1	1	-1	-1	-1
96	94	3	61	157	-1	1	-1	-1	-1
97	95	3	96	149	-1	1	-1	-1	-1
98	96	3	54	25	-1	1	-1	-1	-1
99	97	3	41	48.5	4.41	1	-1	-1	-1
100	1060	0	0	0	-1	1	-1	-1	-1
108	108	3	58	112	4.71	0	-1	-1	-1
109	109	3	54	112	4.71	0	-1	-1	-1
110	110	3	50	112	4.71	0	-1	-1	-1
200	40	200	126	125	-0.51	1	-1	-1	-1
201	19	201	103	40.5	-1.05	1	-1	-1	-1
202	39	202	22.82	36.94	-0.66	1	-1	-1	-1
203	13	203	74.5	60.2	-1.53	1	-1	-1	-1
204	24	208	112	165	-1.21	1	-1	-1	-1
205	90	9	50	50	0	1	-1	-1	-1
206	98	8	10.27	56.75	-0.25	1	-1	-1	-1
207	99	8	57.85	60.66	-1.17	1	-1	-1	-1
208	100	8	64.35	33.11	-0.83	1	-1	-1	-1
209	101	8	76.29	115.6	-1.85	1	-1	-1	-1
210	102	8	19.61	102.4	-0.94	1	-1	-1	-1
211	103	8	47.41	25.01	-1.72	1	-1	-1	-1
212	104	8	20.41	57.05	-1.34	1	-1	-1	-1
213	105	8	50.23	117.81	-1	1	-1	-1	-1
214	106	8	25.05	66.14	-1.21	1	-1	-1	-1
215	107	8	90.9	113.3	-1.97	1	-1	-1	-1
300	200	3	21.2	89.8	1.57	1	-1	-1	-1
301	201	3	53.6	94.2	-1.53	1	-1	-1	-1
302	202	3	37.89	69.55	1.55	1	-1	-1	-1
303	202	3	32.74	69.44	1.55	1	-1	-1	-1
304	202	3	32.99	119.67	-1.55	1	-1	-1	-1
305	202	3	37.69	119.65	-1.55	1	-1	-1	-1
306	202	3	60.16	96.44	-3.18	1	-1	-1	-1
307	202	3	60.18	92.17	-3.18	1	-1	-1	-1
308	202	3	40.72	92.13	0.5	1	-1	-1	-1
309	202	3	40.72	96.27	-0.5	1	-1	-1	-1
1001	3000	200	131.7	121.8	-2.5	1	-1	-1	-1
1002	3000	200	131.52	126.61	-4.07	1	-1	-1	-1
1004	3000	200	133.47	121.2	-2.5	1	-1	-1	-1
1005	3000	200	133	123	-2.5	1	-1	-1	-1
1009	3000	200	133.24	125.7	-2.13	1	-1	-1	-1
1010	3000	200	133.47	121.2	-3.7	1	-1	-1	-1
1100	3001	201	94.6	37.6	-0.87	1	-1	-1	-1
1101	3001	201	95.45	34	1	1	-1	-1	-1
1102	3001	201	96.9	28.7	1.1	1	-1	-1	-1
1103	3001	201	94.6	37.6	1.3	0	-1	-1	-1
1104	3001	201	95.45	34	-0.87	0	-1	-1	-1
1105	3001	201	96.9	28.7	1	0	-1	-1	-1
1106	3001	201	99.8	29.3	1.1	0	-1	-1	-1
1107	3001	201	94.6	37.6	1.3	0	-1	-1	-1
1108	3001	201	95.45	34	-0.87	0	-1	-1	-1
1109	3001	201	96.9	28.7	1	0	-1	-1	-1
1110	3001	201	99.8	29.3	1.1	0	-1	-1	-1
1111	3001	201	92.2	32.5	1.3	0	-1	-1	-1
1112	3012	201	93	34	1	1	-1	-1	-1
1150	3014	211	95.18	96.2	-1	1	-1	-1	-1
1151	3014	211	96.7	99.04	-1	1	-1	-1	-1
1152	3014	211	97.5	95.47	-1	1	-1	-1	-1
1153	3014	211	98.54	97.59	-1	1	-1	-1	-1
1154	3014	211	85.51	93.72	-1	0	-1	-1	-1
1155	3015	211	92.87	93.94	-1	0	-1	-1	-1
1156	3015	211	89.55	99.46	-1	0	-1	-1	-1
1157	3014	211	85.29	98.89	-1	0	-1	-1	-1
1158	3014	211	91.41	90.98	-1	0	-1	-1	-1
1159	3015	211	89.83	102.7	-1	0	-1	-1	-1
1160	3014	211	91.5	96.83	-1	0	-1	-1	-1
1161	3014	211	92.68	101.5	-1	0	-1	-1	-1
1162	3015	211	95.94	96.55	-1	0	-1	-1	-1
1163	3015	211	87.88	101.23	-1	0	-1	-1	-1
1164	3017	212	26	15	-1	1	-1	-1	-1
1165	3018	212	24	17	-1	1	-1	-1	-1
1166	3018	212	24	14	-1	1	-1	-1	-1
1167	3018	212	28	15	-1	1	-1	-1	-1
1200	3002	202	22.03	33.07	-1.67	1	-1	-1	-1
1201	3002	202	26.42	32.6	-1.23	1	-1	-1	-1
1202	3002	202	30.08	33.66	1	1	-1	-1	-1
1203	3002	202	-1	-1	-2.61	1	-1	-1	-1
1204	3002	202	-1	-1	-3	1	-1	-1	-1
1205	3002	202	-1	-1	-0.2	1	-1	-1	-1
1206	3007	202	22.03	33.07	0.74	0	-1	-1	-1
1207	3007	202	26.42	32.6	1	0	-1	-1	-1
1208	3007	202	30.08	33.66	-1	0	-1	-1	-1
1209	3007	202	-1	-1	-2.07	0	-1	-1	-1
1210	3007	202	-1	-1	-3.26	0	-1	-1	-1
1211	3007	202	-1	-1	-3.92	0	-1	-1	-1
1212	3007	202	-1	-1	-0.04	0	-1	-1	-1
1213	3007	202	-1	-1	-1.98	0	-1	-1	-1
1214	3003	202	25.58	32.07	-0.8	0	-1	-1	-1
1215	3011	208	117	165	-2.52	1	-1	-1	-1
1216	3013	210	60	95	3.56	1	-1	-1	-1
1300	3004	203	71.8	50.6	-0.87	1	-1	-1	-1
1400	3005	204	83	27	-0.87	1	-1	-1	-1
1500	3006	205	43	110	-0.87	1	-1	-1	-1
1600	3008	206	28.78	23.97	-1.24	1	-1	-1	-1
1601	3008	206	39.7	22.15	-2.65	1	-1	-1	-1
1602	3008	206	39.86	19.05	-2.99	1	-1	-1	-1
1603	3008	206	34.86	27.21	-2.5	1	-1	-1	-1
1604	3008	206	37.74	25.58	-2.43	1	-1	-1	-1
1605	3008	206	32.56	16.48	-3.5	1	-1	-1	-1
1606	3008	206	37.18	16.67	-3.47	1	-1	-1	-1
1607	3008	206	31.27	26.51	-1.05	1	-1	-1	-1
1608	3009	206	34.42	21.61	-2.62	0	-1	-1	-1
1700	3010	207	43.51	84.79	-4.16	1	-1	-1	-1
1800	1000	211	84	95.6	-1.24	1	-1	-1	-1
1801	1000	211	91.88	104.71	-2.65	1	-1	-1	-1
1802	1000	211	93.13	99.22	-2.99	1	-1	-1	-1
1803	1000	211	94.11	93.05	-2.5	1	-1	-1	-1
1804	1000	211	93.27	95.62	-2.43	1	-1	-1	-1
1805	1000	211	94.11	101.38	-3.5	1	-1	-1	-1
1806	1000	211	96	98.5	-3.47	1	-1	-1	-1
3900	3900	451	69.5	34	-1.14	1	-1	-1	-1
3901	3901	452	30	21	-1.14	1	-1	-1	-1
3902	3902	453	22	19	-1.14	1	-1	-1	-1
3903	3903	454	26.5	58	-1.14	1	-1	-1	-1
3904	3904	455	26.5	58	-1.14	1	-1	-1	-1
3905	3905	456	18	51	-1.14	1	-1	-1	-1
3906	3906	457	18	51	-1.14	1	-1	-1	-1
3907	3907	458	24.5	54	-1.14	1	-1	-1	-1
3908	3908	459	24.5	54	-1.14	1	-1	-1	-1
3911	3911	451	66	32	-1.14	1	-1	-1	-1
3912	3911	451	74	32	-1.14	1	-1	-1	-1
3913	3911	451	74	28	-1.14	1	-1	-1	-1
3914	3911	451	65	28	-1.14	1	-1	-1	-1
3915	3912	452	28.5	18.5	-1.14	1	-1	-1	-1
3916	3912	452	31	18.5	-1.14	1	-1	-1	-1
3917	3912	452	28.5	16	-1.14	1	-1	-1	-1
3918	3912	452	31	16	-1.14	1	-1	-1	-1
3919	3913	453	19.5	21	-1.14	1	-1	-1	-1
3920	3913	453	19.5	16	-1.14	1	-1	-1	-1
3921	3913	453	16	21	-1.14	1	-1	-1	-1
3922	3913	453	16	16	-1.14	1	-1	-1	-1
3923	3914	454	24.5	56	-1.14	1	-1	-1	-1
3924	3914	454	29	56	-1.14	1	-1	-1	-1
3925	3914	454	31.5	54.5	-1.14	1	-1	-1	-1
3926	3914	454	23	54.5	-1.14	1	-1	-1	-1
3927	3915	455	24.5	56	-1.14	1	-1	-1	-1
3928	3915	455	29	56	-1.14	1	-1	-1	-1
3929	3915	455	31.5	54.5	-1.14	1	-1	-1	-1
3930	3915	455	23	54.5	-1.14	1	-1	-1	-1
3931	3916	456	21.5	50.5	-1.14	1	-1	-1	-1
3932	3916	456	18.5	47.5	-1.14	1	-1	-1	-1
3933	3916	456	18.5	45	-1.14	1	-1	-1	-1
3934	3916	456	24	49.5	-1.14	1	-1	-1	-1
3935	3917	457	21.5	50.5	-1.14	1	-1	-1	-1
3936	3917	457	18.5	47.5	-1.14	1	-1	-1	-1
3937	3917	457	18.5	45	-1.14	1	-1	-1	-1
3938	3917	457	24	49.5	-1.14	1	-1	-1	-1
3939	3918	458	25	49.5	-1.14	1	-1	-1	-1
3940	3918	458	28	47	-1.14	1	-1	-1	-1
3941	3918	458	27.6	54	-1.14	1	-1	-1	-1
3942	3918	458	31	55	-1.14	1	-1	-1	-1
3943	3919	459	25	49.5	-1.14	1	-1	-1	-1
3944	3919	459	28	47	-1.14	1	-1	-1	-1
3945	3919	459	27.6	54	-1.14	1	-1	-1	-1
3946	3919	459	31	55	-1.14	1	-1	-1	-1
10000	1000	3	114.74	108.82	-3.17	1	-1	-1	-1
10001	1000	3	117.66	108.59	-3.18	1	-1	-1	-1
10002	1000	3	96.47	95.65	0.44	1	-1	-1	-1
10003	1000	3	128.34	102.45	-3.17	1	-1	-1	-1
10004	1000	3	127.95	101.19	-3.18	1	-1	-1	-1
10005	1000	3	96.13	116.65	-3.13	1	-1	-1	-1
10006	1000	3	127.14	103.94	-3.17	1	-1	-1	-1
10007	1000	3	116.31	107.82	-1.96	1	-1	-1	-1
10008	1000	3	116.38	109.72	-3.13	1	-1	-1	-1
10009	1000	3	113.46	109.37	-3.17	1	-1	-1	-1
10010	1000	3	114.38	107.16	-3.18	1	-1	-1	-1
10011	1000	3	124.83	101.78	-3.13	1	-1	-1	-1
10012	1000	3	95.96	114.44	0.44	1	-1	-1	-1
10013	1000	3	117.99	110.57	-3.18	1	-1	-1	-1
10014	1000	3	128.75	104.05	-3.17	1	-1	-1	-1
10015	1000	3	98.32	114.14	-3.18	1	-1	-1	-1
10016	1000	3	95.04	112.5	-3.13	1	-1	-1	-1
10017	1000	3	98.5	98.01	-3.17	1	-1	-1	-1
10018	1000	3	97.51	115.84	-3.18	1	-1	-1	-1
10019	1000	3	94.9	115.64	-3.13	1	-1	-1	-1
10020	1000	3	96.88	112.78	-3.17	1	-1	-1	-1
10021	1000	3	112.73	108.05	-3.18	1	-1	-1	-1
10022	1000	3	98.85	112.16	-3.13	1	-1	-1	-1
10023	1000	3	114.61	110.36	-4	1	-1	-1	-1
10024	1000	3	116.09	111.35	-3	1	-1	-1	-1
10025	1000	3	95.97	98.83	-2	1	-1	-1	-1
10026	1000	3	98.58	96.18	-1	1	-1	-1	-1
10027	1000	3	95.04	96.66	0	1	-1	-1	-1
10028	1000	3	99.37	97.15	1	1	-1	-1	-1
10029	1000	3	125.79	104.27	-4.28	1	-1	-1	-1
10030	1000	3	97.88	99.81	-3.28	1	-1	-1	-1
10031	1000	3	96.89	97.65	-2	1	-1	-1	-1
10032	1000	3	99.8	99.41	-1	1	-1	-1	-1
10035	1001	3	111.13	68.49	0.44	1	-1	-1	-1
10036	1001	3	110.41	66.01	0.44	1	-1	-1	-1
10037	1001	3	90.17	78.95	-3.17	1	-1	-1	-1
10038	1001	3	113.66	96.06	0.44	1	-1	-1	-1
10039	1001	3	115.67	95.69	0.44	1	-1	-1	-1
10040	1001	3	112.74	81.01	0.44	1	-1	-1	-1
10041	1001	3	93.09	79.54	0.44	1	-1	-1	-1
10042	1001	3	112.95	82.57	0.44	1	-1	-1	-1
10043	1001	3	110.22	67.55	0.44	1	-1	-1	-1
10044	1001	3	115.84	80.53	0.44	1	-1	-1	-1
10045	1001	3	110.89	69.74	0.44	1	-1	-1	-1
10046	1001	3	113.62	92.49	0.44	1	-1	-1	-1
10047	1001	3	115.23	97.03	0.44	1	-1	-1	-1
10048	1001	3	113.27	69.44	-3.17	1	-1	-1	-1
10049	1001	3	112.55	66.19	0.44	1	-1	-1	-1
10050	1001	3	115.43	94.15	0.44	1	-1	-1	-1
10051	1001	3	92.35	80.7	0.44	1	-1	-1	-1
10052	1001	3	114.66	83.51	0.44	1	-1	-1	-1
10053	1001	3	114.67	68.37	0.44	1	-1	-1	-1
10054	1001	3	94.88	79.82	-4	1	-1	-1	-1
10055	1001	3	92.03	78.63	-3	1	-1	-1	-1
10056	1001	3	91.97	77	-2	1	-1	-1	-1
10057	1001	3	94.45	78.44	-1	1	-1	-1	-1
10058	1001	3	91.07	80.15	0	1	-1	-1	-1
10059	1001	3	93.34	77.61	1	1	-1	-1	-1
10060	1001	3	114.83	93.04	-4.28	1	-1	-1	-1
10061	1001	3	114.42	94.85	-3.28	1	-1	-1	-1
10062	1001	3	112.24	95.46	-2	1	-1	-1	-1
10063	1001	3	111.46	81.97	-1	1	-1	-1	-1
10067	1002	3	39.51	146.17	0.44	1	-1	-1	-1
10070	1002	3	42.37	145.54	0.44	1	-1	-1	-1
10071	1002	3	52.29	149.55	0.44	1	-1	-1	-1
10072	1002	3	55.65	148.47	0.44	1	-1	-1	-1
10073	1002	3	37.85	157.37	0.44	1	-1	-1	-1
10074	1002	3	37.05	158.18	0.44	1	-1	-1	-1
10075	1002	3	41.02	145.31	0.44	1	-1	-1	-1
10076	1002	3	41.37	147.08	0.44	1	-1	-1	-1
10077	1002	3	53.97	147.38	0.44	1	-1	-1	-1
10078	1002	3	53.75	150.74	0.44	1	-1	-1	-1
10079	1002	3	53.09	148.86	0.44	1	-1	-1	-1
10080	1002	3	36.13	156.88	0.44	1	-1	-1	-1
10081	1002	3	55.69	150.77	0.44	1	-1	-1	-1
10082	1002	3	36.38	159.81	0.44	1	-1	-1	-1
10083	1002	3	34.17	159.27	0.44	1	-1	-1	-1
10084	1002	3	54.84	149.54	0.44	1	-1	-1	-1
10085	1002	3	52.28	147.54	0.44	1	-1	-1	-1
10086	1002	3	52.62	148.09	0.44	1	-1	-1	-1
10087	1002	3	34.47	157.62	0.44	1	-1	-1	-1
10088	1002	3	36.09	158.72	0.44	1	-1	-1	-1
10089	1002	3	39.82	148.11	0.44	1	-1	-1	-1
10090	1002	3	38.4	146.97	-3	1	-1	-1	-1
10091	1002	3	42.77	147.08	-2	1	-1	-1	-1
10092	1002	3	38.65	146.02	-1	1	-1	-1	-1
10093	1002	3	35.6	156.68	0	1	-1	-1	-1
10094	1002	3	34.5	156.25	1	1	-1	-1	-1
10095	1002	3	37.09	155.94	-4.28	1	-1	-1	-1
10096	1002	3	39.7	144.62	-3.28	1	-1	-1	-1
10097	1003	3	53.82	172.19	-0.88	1	-1	-1	-1
10098	1003	3	62.94	174.35	-0.88	1	-1	-1	-1
10099	1003	3	53.49	170.62	-0.88	1	-1	-1	-1
10100	1003	3	73.74	171.55	-0.88	1	-1	-1	-1
10101	1003	3	75.72	169.35	-0.88	1	-1	-1	-1
10102	1003	3	75.2	172.43	-0.88	1	-1	-1	-1
10103	1003	3	63.93	177.15	-0.88	1	-1	-1	-1
10104	1003	3	66.41	174.47	-0.88	1	-1	-1	-1
10105	1003	3	64.68	173.6	-0.88	1	-1	-1	-1
10106	1003	3	77.55	171.46	-0.88	1	-1	-1	-1
10107	1003	3	75.89	171.2	-0.88	1	-1	-1	-1
10108	1003	3	52.41	169.27	-0.88	1	-1	-1	-1
10109	1003	3	64.95	175.15	-0.88	1	-1	-1	-1
10110	1003	3	62.84	176.04	-0.88	1	-1	-1	-1
10111	1003	3	66.95	175.84	-0.88	1	-1	-1	-1
10112	1003	3	77.27	169.44	-0.88	1	-1	-1	-1
10113	1003	3	65.4	176.56	-0.88	1	-1	-1	-1
10114	1003	3	52.51	171.68	-3	1	-1	-1	-1
10115	1003	3	54.84	171.6	-2	1	-1	-1	-1
10116	1003	3	51.93	170.42	-1	1	-1	-1	-1
10117	1003	3	53.7	168.99	0	1	-1	-1	-1
10118	1003	3	54.89	170	1	1	-1	-1	-1
10119	1003	3	74.74	170.1	-4.28	1	-1	-1	-1
10120	1010	5	71.02	95.74	0.38	1	-1	-1	-1
10122	1010	5	82.7	95.03	-4.69	1	-1	-1	-1
10124	1010	5	71.7	91.23	0.44	1	-1	-1	-1
10125	1004	3	139.32	111.02	0.44	1	-1	-1	-1
10126	1004	3	141.7	112.16	0.44	1	-1	-1	-1
10127	1004	3	148.16	104.1	0.44	1	-1	-1	-1
10128	1004	3	140.95	111.03	0.44	1	-1	-1	-1
10129	1004	3	141.32	113.55	0.44	1	-1	-1	-1
10130	1004	3	145.99	124.02	0.44	1	-1	-1	-1
10131	1004	3	144.81	126.02	0.44	1	-1	-1	-1
10132	1004	3	141.79	123.02	0.44	1	-1	-1	-1
10133	1004	3	149.74	103.47	0.44	1	-1	-1	-1
10134	1004	3	140.35	113	0.44	1	-1	-1	-1
10135	1004	3	148.89	101.68	0.44	1	-1	-1	-1
10136	1004	3	142.92	122.05	0.44	1	-1	-1	-1
10137	1004	9	179.6	75.7	0.44	1	-1	-1	-1
10138	1004	9	181.8	68.2	0.44	1	-1	-1	-1
10139	1004	9	182.9	64.7	0.44	1	-1	-1	-1
10140	1004	3	138.68	112.82	0.44	1	-1	-1	-1
10141	1004	3	147.74	102.62	0.44	1	-1	-1	-1
10142	1004	3	142.72	123.72	0.44	1	-1	-1	-1
10143	1004	3	151.13	102.03	0.44	1	-1	-1	-1
10144	1004	3	148.11	100.74	0.44	1	-1	-1	-1
10145	1004	3	150.48	100.77	0.44	1	-1	-1	-1
10146	1004	3	151.64	103.13	0.44	1	-1	-1	-1
10147	1004	3	142.78	125.94	0.44	1	-1	-1	-1
10148	1004	3	142.82	111.27	0.44	1	-1	-1	-1
10149	1004	3	139.52	114.39	0.44	1	-1	-1	-1
10150	1000	3	126.45	102.19	0.44	1	-1	-1	-1
10151	1000	3	124.97	103.65	0.44	1	-1	-1	-1
10152	1000	3	125.94	100.49	0.44	1	-1	-1	-1
10153	1000	3	94.55	114.02	0.44	1	-1	-1	-1
10154	1005	3	41.22	23	0.44	1	-1	-1	-1
10155	1005	3	26.98	31.84	0.44	1	-1	-1	-1
10156	1005	3	42.04	24.45	0.44	1	-1	-1	-1
10157	1005	3	28.73	29.79	0.44	1	-1	-1	-1
10158	1005	3	36.51	39.96	0.44	1	-1	-1	-1
10159	1005	3	42.57	21.98	0.44	1	-1	-1	-1
10160	1005	3	34.91	40.93	0.44	1	-1	-1	-1
10161	1005	3	31.65	29.05	0.44	1	-1	-1	-1
10162	1005	3	37.44	36.77	0.44	1	-1	-1	-1
10163	1005	3	38.97	23.71	0.44	1	-1	-1	-1
10164	1005	3	43.17	25.49	0.44	1	-1	-1	-1
10165	1005	3	39.63	22.55	0.44	1	-1	-1	-1
10166	1005	3	27.63	28.6	0.44	1	-1	-1	-1
10167	1005	3	26.99	29.79	0.44	1	-1	-1	-1
10168	1005	3	29.03	27.53	-4	1	-1	-1	-1
10169	1005	3	35.22	38.93	-3	1	-1	-1	-1
10170	1005	3	36.33	37.84	-2	1	-1	-1	-1
10171	1005	3	37.72	38.99	-1	1	-1	-1	-1
10172	1005	3	30.24	28.65	0	1	-1	-1	-1
10173	1005	3	28.56	31.64	1	1	-1	-1	-1
10174	1005	3	30.35	30.25	-4.28	1	-1	-1	-1
10175	1006	3	107.27	148.92	-3.28	1	-1	-1	-1
10176	1006	3	111.79	149.49	-2	1	-1	-1	-1
10177	1006	3	110.84	148.4	-1	1	-1	-1	-1
10178	1006	3	108.99	148.75	0	1	-1	-1	-1
10179	1006	3	108.46	150.46	1	1	-1	-1	-1
10180	1006	3	121.85	143.63	-4.28	1	-1	-1	-1
10181	1006	3	110.76	146.55	-3.28	1	-1	-1	-1
10182	1006	3	120.96	146.23	-0.88	1	-1	-1	-1
10183	1006	3	125.34	144.44	-0.88	1	-1	-1	-1
10184	1006	3	125.24	147.45	-0.88	1	-1	-1	-1
10185	1006	3	126.04	146.21	-0.88	1	-1	-1	-1
10186	1006	3	107.06	148.48	-0.88	1	-1	-1	-1
10187	1006	3	122.79	146.87	-0.88	1	-1	-1	-1
10188	1006	3	123.59	144.18	-0.88	1	-1	-1	-1
10189	1006	3	121.96	145.24	-0.88	1	-1	-1	-1
10190	1006	3	110.1	150.52	-0.88	1	-1	-1	-1
10191	1006	3	107.16	150.05	-0.88	1	-1	-1	-1
10192	1006	3	124.14	145.82	-0.88	1	-1	-1	-1
10193	1006	3	107.37	151.67	-0.88	1	-1	-1	-1
10194	1007	3	78.1	33.84	-1.57	1	-1	-1	-1
10195	1007	3	66.59	40.07	-1.57	1	-1	-1	-1
10196	1007	3	69.21	38.87	-1.57	1	-1	-1	-1
10197	1007	3	80.92	32.58	-1.57	1	-1	-1	-1
10198	1001	3	114.64	79.99	-1.57	1	-1	-1	-1
10199	1001	3	113.05	67.88	-1.57	1	-1	-1	-1
10200	1001	3	111.43	80.24	-1.57	1	-1	-1	-1
10201	1001	3	111.69	67.21	-1.57	1	-1	-1	-1
10202	1001	3	112.9	79.54	-1.57	1	-1	-1	-1
10203	1001	3	114.75	81.77	-1.57	1	-1	-1	-1
10204	1007	3	64.37	36.15	-1.57	1	-1	-1	-1
10205	1007	3	78.67	29.62	-1.57	1	-1	-1	-1
10206	1007	3	77.13	30.45	-1.57	1	-1	-1	-1
10207	1007	3	93.2	27.95	-1.57	1	-1	-1	-1
10208	1007	3	96.7	26.06	-1.04	1	-1	-1	-1
10209	1007	3	65.1	37.82	-1.57	1	-1	-1	-1
10210	1007	3	80.28	15.8	-1.57	1	-1	-1	-1
10211	1007	3	82.24	19.68	-1.57	1	-1	-1	-1
10212	1007	3	78.72	18.77	-1.57	1	-1	-1	-1
10213	1007	3	83.09	17.45	-1.57	1	-1	-1	-1
10214	1007	3	98.05	27.16	-1.57	1	-1	-1	-1
10215	1007	3	93.05	30.04	-1.57	1	-1	-1	-1
10216	1007	3	80.55	29.14	-1.57	1	-1	-1	-1
10217	1007	3	81.42	17.33	-1.57	1	-1	-1	-1
10218	1007	3	81.75	30.84	-1	1	-1	-1	-1
10219	1007	3	79	31	-1	1	-1	-1	-1
