INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
26	【恶魔神像】	26	50	27	0	110000	105	1183	-1	-1	-1	-1	5	4500	6	4500	-1	-1
27	【恶魔神像】	27	50	28	0	120000	105	1259	-1	-1	-1	-1	5	4600	6	4600	-1	-1
28	【恶魔神像】	28	50	29	0	130000	105	1336	-1	-1	-1	-1	5	4700	6	4700	-1	-1
29	【恶魔神像】	29	50	30	0	140000	105	1416	-1	-1	-1	-1	5	4800	6	4800	-1	-1
30	【恶魔神像】	30	50	31	0	150000	105	1499	-1	-1	-1	-1	5	4900	6	4900	-1	-1
31	【恶魔神像】	31	50	32	0	160000	105	1583	-1	-1	-1	-1	5	5000	6	5000	-1	-1
32	【恶魔神像】	32	50	33	0	170000	105	1670	-1	-1	-1	-1	5	5100	6	5100	-1	-1
33	【恶魔神像】	33	50	34	0	180000	105	1760	-1	-1	-1	-1	5	5200	6	5200	-1	-1
34	【恶魔神像】	34	50	35	0	190000	105	1851	-1	-1	-1	-1	5	5300	6	5300	-1	-1
35	【恶魔神像】	35	50	36	0	200000	105	1945	-1	-1	-1	-1	5	5400	6	5400	-1	-1
36	【恶魔神像】	36	50	37	0	210000	105	2041	-1	-1	-1	-1	5	5500	6	5500	-1	-1
37	【恶魔神像】	37	50	38	0	220000	105	2140	-1	-1	-1	-1	5	5600	6	5600	-1	-1
38	【恶魔神像】	38	50	39	0	230000	105	2241	-1	-1	-1	-1	5	5700	6	5700	-1	-1
39	【恶魔神像】	39	50	40	0	240000	105	2344	-1	-1	-1	-1	5	5800	6	5800	-1	-1
40	【恶魔神像】	40	50	41	0	250000	105	2449	-1	-1	-1	-1	5	5900	6	5900	-1	-1
41	【恶魔神像】	41	50	42	0	260000	105	2557	-1	-1	-1	-1	5	6000	6	6000	-1	-1
42	【恶魔神像】	42	50	43	0	270000	105	2667	-1	-1	-1	-1	5	6100	6	6100	-1	-1
43	【恶魔神像】	43	50	44	0	280000	105	2779	-1	-1	-1	-1	5	6200	6	6200	-1	-1
44	【恶魔神像】	44	50	45	0	290000	105	2894	-1	-1	-1	-1	5	6300	6	6300	-1	-1
45	【恶魔神像】	45	50	46	0	300000	105	3011	-1	-1	-1	-1	5	6400	6	6400	-1	-1
46	【恶魔神像】	46	50	47	0	310000	105	3130	-1	-1	-1	-1	5	6500	6	6500	-1	-1
47	【恶魔神像】	47	50	48	0	320000	105	3252	-1	-1	-1	-1	5	6600	6	6600	-1	-1
48	【恶魔神像】	48	50	49	0	330000	105	3375	-1	-1	-1	-1	5	6700	6	6700	-1	-1
49	【恶魔神像】	49	50	50	0	340000	105	3502	-1	-1	-1	-1	5	6800	6	6800	-1	-1
50	【恶魔神像】	50	50	-1	0	350000	105	3630	-1	-1	-1	-1	5	6900	6	6900	-1	-1
100	【天使神像】	0	50	101	1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	【天使神像】	1	50	102	1	2000	11	18	-1	-1	-1	-1	11	2000	-1	-1	-1	-1
102	【天使神像】	2	50	103	1	3000	11	25	-1	-1	-1	-1	11	2100	-1	-1	-1	-1
103	【天使神像】	3	50	104	1	5000	11	33	-1	-1	-1	-1	11	2200	-1	-1	-1	-1
104	【天使神像】	4	50	105	1	7500	11	42	-1	-1	-1	-1	11	2300	-1	-1	-1	-1
105	【天使神像】	5	50	106	1	10000	11	52	-1	-1	-1	-1	11	2400	-1	-1	-1	-1
106	【天使神像】	6	50	107	1	12500	11	63	-1	-1	-1	-1	11	2500	-1	-1	-1	-1
107	【天使神像】	7	50	108	1	15000	11	75	-1	-1	-1	-1	11	2600	-1	-1	-1	-1
108	【天使神像】	8	50	109	1	17500	11	88	-1	-1	-1	-1	11	2700	-1	-1	-1	-1
109	【天使神像】	9	50	110	1	20000	11	101	-1	-1	-1	-1	11	2800	-1	-1	-1	-1
110	【天使神像】	10	50	111	1	25000	11	116	-1	-1	-1	-1	11	2900	-1	-1	-1	-1
111	【天使神像】	11	50	112	1	30000	11	131	-1	-1	-1	-1	11	3000	-1	-1	-1	-1
112	【天使神像】	12	50	113	1	35000	11	147	-1	-1	-1	-1	11	3100	-1	-1	-1	-1
113	【天使神像】	13	50	114	1	40000	11	165	-1	-1	-1	-1	11	3200	-1	-1	-1	-1
114	【天使神像】	14	50	115	1	45000	11	183	-1	-1	-1	-1	11	3300	-1	-1	-1	-1
115	【天使神像】	15	50	116	1	50000	11	202	-1	-1	-1	-1	11	3400	-1	-1	-1	-1
116	【天使神像】	16	50	117	1	55000	11	222	-1	-1	-1	-1	11	3500	-1	-1	-1	-1
117	【天使神像】	17	50	118	1	60000	11	243	-1	-1	-1	-1	11	3600	-1	-1	-1	-1
118	【天使神像】	18	50	119	1	65000	11	265	-1	-1	-1	-1	11	3700	-1	-1	-1	-1
119	【天使神像】	19	50	120	1	70000	11	288	-1	-1	-1	-1	11	3800	-1	-1	-1	-1
120	【天使神像】	20	50	121	1	75000	11	312	-1	-1	-1	-1	11	3900	-1	-1	-1	-1
121	【天使神像】	21	50	122	1	80000	11	336	-1	-1	-1	-1	11	4000	-1	-1	-1	-1
122	【天使神像】	22	50	123	1	85000	11	362	-1	-1	-1	-1	11	4100	-1	-1	-1	-1
123	【天使神像】	23	50	124	1	90000	11	388	-1	-1	-1	-1	11	4200	-1	-1	-1	-1
124	【天使神像】	24	50	125	1	95000	11	416	-1	-1	-1	-1	11	4300	-1	-1	-1	-1
125	【天使神像】	25	50	126	1	100000	11	444	-1	-1	-1	-1	11	4400	-1	-1	-1	-1
126	【天使神像】	26	50	127	1	110000	11	473	-1	-1	-1	-1	11	4500	-1	-1	-1	-1
127	【天使神像】	27	50	128	1	120000	11	503	-1	-1	-1	-1	11	4600	-1	-1	-1	-1
128	【天使神像】	28	50	129	1	130000	11	535	-1	-1	-1	-1	11	4700	-1	-1	-1	-1
129	【天使神像】	29	50	130	1	140000	11	567	-1	-1	-1	-1	11	4800	-1	-1	-1	-1
130	【天使神像】	30	50	131	1	150000	11	600	-1	-1	-1	-1	11	4900	-1	-1	-1	-1
131	【天使神像】	31	50	132	1	160000	11	633	-1	-1	-1	-1	11	5000	-1	-1	-1	-1
132	【天使神像】	32	50	133	1	170000	11	668	-1	-1	-1	-1	11	5100	-1	-1	-1	-1
133	【天使神像】	33	50	134	1	180000	11	704	-1	-1	-1	-1	11	5200	-1	-1	-1	-1
134	【天使神像】	34	50	135	1	190000	11	741	-1	-1	-1	-1	11	5300	-1	-1	-1	-1
135	【天使神像】	35	50	136	1	200000	11	778	-1	-1	-1	-1	11	5400	-1	-1	-1	-1
136	【天使神像】	36	50	137	1	210000	11	817	-1	-1	-1	-1	11	5500	-1	-1	-1	-1
137	【天使神像】	37	50	138	1	220000	11	856	-1	-1	-1	-1	11	5600	-1	-1	-1	-1
138	【天使神像】	38	50	139	1	230000	11	896	-1	-1	-1	-1	11	5700	-1	-1	-1	-1
139	【天使神像】	39	50	140	1	240000	11	938	-1	-1	-1	-1	11	5800	-1	-1	-1	-1
140	【天使神像】	40	50	141	1	250000	11	980	-1	-1	-1	-1	11	5900	-1	-1	-1	-1
141	【天使神像】	41	50	142	1	260000	11	1023	-1	-1	-1	-1	11	6000	-1	-1	-1	-1
142	【天使神像】	42	50	143	1	270000	11	1067	-1	-1	-1	-1	11	6100	-1	-1	-1	-1
143	【天使神像】	43	50	144	1	280000	11	1112	-1	-1	-1	-1	11	6200	-1	-1	-1	-1
144	【天使神像】	44	50	145	1	290000	11	1158	-1	-1	-1	-1	11	6300	-1	-1	-1	-1
145	【天使神像】	45	50	146	1	300000	11	1204	-1	-1	-1	-1	11	6400	-1	-1	-1	-1
146	【天使神像】	46	50	147	1	310000	11	1252	-1	-1	-1	-1	11	6500	-1	-1	-1	-1
147	【天使神像】	47	50	148	1	320000	11	1301	-1	-1	-1	-1	11	6600	-1	-1	-1	-1
148	【天使神像】	48	50	149	1	330000	11	1350	-1	-1	-1	-1	11	6700	-1	-1	-1	-1
149	【天使神像】	49	50	150	1	340000	11	1401	-1	-1	-1	-1	11	6800	-1	-1	-1	-1
150	【天使神像】	50	50	-1	1	350000	11	1452	-1	-1	-1	-1	11	6900	-1	-1	-1	-1
200	【勇士神像】	0	50	201	2	0	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
201	【勇士神像】	1	50	202	2	2000	10	18	-1	-1	-1	-1	10	2000	-1	-1	-1	-1
202	【勇士神像】	2	50	203	2	3000	10	25	-1	-1	-1	-1	10	2100	-1	-1	-1	-1
203	【勇士神像】	3	50	204	2	5000	10	33	-1	-1	-1	-1	10	2200	-1	-1	-1	-1
204	【勇士神像】	4	50	205	2	7500	10	42	-1	-1	-1	-1	10	2300	-1	-1	-1	-1
205	【勇士神像】	5	50	206	2	10000	10	52	-1	-1	-1	-1	10	2400	-1	-1	-1	-1
206	【勇士神像】	6	50	207	2	12500	10	63	-1	-1	-1	-1	10	2500	-1	-1	-1	-1
207	【勇士神像】	7	50	208	2	15000	10	75	-1	-1	-1	-1	10	2600	-1	-1	-1	-1
208	【勇士神像】	8	50	209	2	17500	10	88	-1	-1	-1	-1	10	2700	-1	-1	-1	-1
209	【勇士神像】	9	50	210	2	20000	10	101	-1	-1	-1	-1	10	2800	-1	-1	-1	-1
210	【勇士神像】	10	50	211	2	25000	10	116	-1	-1	-1	-1	10	2900	-1	-1	-1	-1
211	【勇士神像】	11	50	212	2	30000	10	131	-1	-1	-1	-1	10	3000	-1	-1	-1	-1
212	【勇士神像】	12	50	213	2	35000	10	147	-1	-1	-1	-1	10	3100	-1	-1	-1	-1
213	【勇士神像】	13	50	214	2	40000	10	165	-1	-1	-1	-1	10	3200	-1	-1	-1	-1
214	【勇士神像】	14	50	215	2	45000	10	183	-1	-1	-1	-1	10	3300	-1	-1	-1	-1
215	【勇士神像】	15	50	216	2	50000	10	202	-1	-1	-1	-1	10	3400	-1	-1	-1	-1
216	【勇士神像】	16	50	217	2	55000	10	222	-1	-1	-1	-1	10	3500	-1	-1	-1	-1
217	【勇士神像】	17	50	218	2	60000	10	243	-1	-1	-1	-1	10	3600	-1	-1	-1	-1
218	【勇士神像】	18	50	219	2	65000	10	265	-1	-1	-1	-1	10	3700	-1	-1	-1	-1
219	【勇士神像】	19	50	220	2	70000	10	288	-1	-1	-1	-1	10	3800	-1	-1	-1	-1
220	【勇士神像】	20	50	221	2	75000	10	312	-1	-1	-1	-1	10	3900	-1	-1	-1	-1
221	【勇士神像】	21	50	222	2	80000	10	336	-1	-1	-1	-1	10	4000	-1	-1	-1	-1
222	【勇士神像】	22	50	223	2	85000	10	362	-1	-1	-1	-1	10	4100	-1	-1	-1	-1
223	【勇士神像】	23	50	224	2	90000	10	388	-1	-1	-1	-1	10	4200	-1	-1	-1	-1
224	【勇士神像】	24	50	225	2	95000	10	416	-1	-1	-1	-1	10	4300	-1	-1	-1	-1
225	【勇士神像】	25	50	226	2	100000	10	444	-1	-1	-1	-1	10	4400	-1	-1	-1	-1
226	【勇士神像】	26	50	227	2	110000	10	473	-1	-1	-1	-1	10	4500	-1	-1	-1	-1
227	【勇士神像】	27	50	228	2	120000	10	503	-1	-1	-1	-1	10	4600	-1	-1	-1	-1
228	【勇士神像】	28	50	229	2	130000	10	535	-1	-1	-1	-1	10	4700	-1	-1	-1	-1
229	【勇士神像】	29	50	230	2	140000	10	567	-1	-1	-1	-1	10	4800	-1	-1	-1	-1
230	【勇士神像】	30	50	231	2	150000	10	600	-1	-1	-1	-1	10	4900	-1	-1	-1	-1
231	【勇士神像】	31	50	232	2	160000	10	633	-1	-1	-1	-1	10	5000	-1	-1	-1	-1
232	【勇士神像】	32	50	233	2	170000	10	668	-1	-1	-1	-1	10	5100	-1	-1	-1	-1
233	【勇士神像】	33	50	234	2	180000	10	704	-1	-1	-1	-1	10	5200	-1	-1	-1	-1
234	【勇士神像】	34	50	235	2	190000	10	741	-1	-1	-1	-1	10	5300	-1	-1	-1	-1
235	【勇士神像】	35	50	236	2	200000	10	778	-1	-1	-1	-1	10	5400	-1	-1	-1	-1
236	【勇士神像】	36	50	237	2	210000	10	817	-1	-1	-1	-1	10	5500	-1	-1	-1	-1
237	【勇士神像】	37	50	238	2	220000	10	856	-1	-1	-1	-1	10	5600	-1	-1	-1	-1
238	【勇士神像】	38	50	239	2	230000	10	896	-1	-1	-1	-1	10	5700	-1	-1	-1	-1
239	【勇士神像】	39	50	240	2	240000	10	938	-1	-1	-1	-1	10	5800	-1	-1	-1	-1
240	【勇士神像】	40	50	241	2	250000	10	980	-1	-1	-1	-1	10	5900	-1	-1	-1	-1
241	【勇士神像】	41	50	242	2	260000	10	1023	-1	-1	-1	-1	10	6000	-1	-1	-1	-1
242	【勇士神像】	42	50	243	2	270000	10	1067	-1	-1	-1	-1	10	6100	-1	-1	-1	-1
243	【勇士神像】	43	50	244	2	280000	10	1112	-1	-1	-1	-1	10	6200	-1	-1	-1	-1
244	【勇士神像】	44	50	245	2	290000	10	1158	-1	-1	-1	-1	10	6300	-1	-1	-1	-1
245	【勇士神像】	45	50	246	2	300000	10	1204	-1	-1	-1	-1	10	6400	-1	-1	-1	-1
246	【勇士神像】	46	50	247	2	310000	10	1252	-1	-1	-1	-1	10	6500	-1	-1	-1	-1
247	【勇士神像】	47	50	248	2	320000	10	1301	-1	-1	-1	-1	10	6600	-1	-1	-1	-1
248	【勇士神像】	48	50	249	2	330000	10	1350	-1	-1	-1	-1	10	6700	-1	-1	-1	-1
249	【勇士神像】	49	50	250	2	340000	10	1401	-1	-1	-1	-1	10	6800	-1	-1	-1	-1
250	【勇士神像】	50	50	-1	2	350000	10	1452	-1	-1	-1	-1	10	6900	-1	-1	-1	-1
300	【精灵神像】	0	50	301	3	0	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
301	【精灵神像】	1	50	302	3	2000	13	237	-1	-1	-1	-1	13	2000	-1	-1	-1	-1
302	【精灵神像】	2	50	303	3	3000	13	333	-1	-1	-1	-1	13	2100	-1	-1	-1	-1
303	【精灵神像】	3	50	304	3	5000	13	445	-1	-1	-1	-1	13	2200	-1	-1	-1	-1
304	【精灵神像】	4	50	305	3	7500	13	576	-1	-1	-1	-1	13	2300	-1	-1	-1	-1
305	【精灵神像】	5	50	306	3	10000	13	728	-1	-1	-1	-1	13	2400	-1	-1	-1	-1
306	【精灵神像】	6	50	307	3	12500	13	904	-1	-1	-1	-1	13	2500	-1	-1	-1	-1
307	【精灵神像】	7	50	308	3	15000	13	1105	-1	-1	-1	-1	13	2600	-1	-1	-1	-1
308	【精灵神像】	8	50	309	3	17500	13	1335	-1	-1	-1	-1	13	2700	-1	-1	-1	-1
309	【精灵神像】	9	50	310	3	20000	13	1595	-1	-1	-1	-1	13	2800	-1	-1	-1	-1
310	【精灵神像】	10	50	311	3	25000	13	1888	-1	-1	-1	-1	13	2900	-1	-1	-1	-1
311	【精灵神像】	11	50	312	3	30000	13	2216	-1	-1	-1	-1	13	3000	-1	-1	-1	-1
312	【精灵神像】	12	50	313	3	35000	13	2581	-1	-1	-1	-1	13	3100	-1	-1	-1	-1
313	【精灵神像】	13	50	314	3	40000	13	2985	-1	-1	-1	-1	13	3200	-1	-1	-1	-1
314	【精灵神像】	14	50	315	3	45000	13	3432	-1	-1	-1	-1	13	3300	-1	-1	-1	-1
315	【精灵神像】	15	50	316	3	50000	13	3923	-1	-1	-1	-1	13	3400	-1	-1	-1	-1
316	【精灵神像】	16	50	317	3	55000	13	4460	-1	-1	-1	-1	13	3500	-1	-1	-1	-1
317	【精灵神像】	17	50	318	3	60000	13	5047	-1	-1	-1	-1	13	3600	-1	-1	-1	-1
318	【精灵神像】	18	50	319	3	65000	13	5684	-1	-1	-1	-1	13	3700	-1	-1	-1	-1
319	【精灵神像】	19	50	320	3	70000	13	6375	-1	-1	-1	-1	13	3800	-1	-1	-1	-1
320	【精灵神像】	20	50	321	3	75000	13	7122	-1	-1	-1	-1	13	3900	-1	-1	-1	-1
321	【精灵神像】	21	50	322	3	80000	13	7926	-1	-1	-1	-1	13	4000	-1	-1	-1	-1
322	【精灵神像】	22	50	323	3	85000	13	8792	-1	-1	-1	-1	13	4100	-1	-1	-1	-1
323	【精灵神像】	23	50	324	3	90000	13	9719	-1	-1	-1	-1	13	4200	-1	-1	-1	-1
324	【精灵神像】	24	50	325	3	95000	13	10712	-1	-1	-1	-1	13	4300	-1	-1	-1	-1
325	【精灵神像】	25	50	326	3	100000	13	11772	-1	-1	-1	-1	13	4400	-1	-1	-1	-1
326	【精灵神像】	26	50	327	3	110000	13	12902	-1	-1	-1	-1	13	4500	-1	-1	-1	-1
327	【精灵神像】	27	50	328	3	120000	13	14103	-1	-1	-1	-1	13	4600	-1	-1	-1	-1
328	【精灵神像】	28	50	329	3	130000	13	15379	-1	-1	-1	-1	13	4700	-1	-1	-1	-1
329	【精灵神像】	29	50	330	3	140000	13	16731	-1	-1	-1	-1	13	4800	-1	-1	-1	-1
330	【精灵神像】	30	50	331	3	150000	13	18162	-1	-1	-1	-1	13	4900	-1	-1	-1	-1
331	【精灵神像】	31	50	332	3	160000	13	19674	-1	-1	-1	-1	13	5000	-1	-1	-1	-1
332	【精灵神像】	32	50	333	3	170000	13	21269	-1	-1	-1	-1	13	5100	-1	-1	-1	-1
333	【精灵神像】	33	50	334	3	180000	13	22950	-1	-1	-1	-1	13	5200	-1	-1	-1	-1
334	【精灵神像】	34	50	335	3	190000	13	24720	-1	-1	-1	-1	13	5300	-1	-1	-1	-1
335	【精灵神像】	35	50	336	3	200000	13	26579	-1	-1	-1	-1	13	5400	-1	-1	-1	-1
336	【精灵神像】	36	50	337	3	210000	13	28531	-1	-1	-1	-1	13	5500	-1	-1	-1	-1
337	【精灵神像】	37	50	338	3	220000	13	30578	-1	-1	-1	-1	13	5600	-1	-1	-1	-1
338	【精灵神像】	38	50	339	3	230000	13	32722	-1	-1	-1	-1	13	5700	-1	-1	-1	-1
339	【精灵神像】	39	50	340	3	240000	13	34966	-1	-1	-1	-1	13	5800	-1	-1	-1	-1
340	【精灵神像】	40	50	341	3	250000	13	37312	-1	-1	-1	-1	13	5900	-1	-1	-1	-1
341	【精灵神像】	41	50	342	3	260000	13	39762	-1	-1	-1	-1	13	6000	-1	-1	-1	-1
342	【精灵神像】	42	50	343	3	270000	13	42318	-1	-1	-1	-1	13	6100	-1	-1	-1	-1
343	【精灵神像】	43	50	344	3	280000	13	44983	-1	-1	-1	-1	13	6200	-1	-1	-1	-1
344	【精灵神像】	44	50	345	3	290000	13	47759	-1	-1	-1	-1	13	6300	-1	-1	-1	-1
345	【精灵神像】	45	50	346	3	300000	13	50648	-1	-1	-1	-1	13	6400	-1	-1	-1	-1
346	【精灵神像】	46	50	347	3	310000	13	53653	-1	-1	-1	-1	13	6500	-1	-1	-1	-1
347	【精灵神像】	47	50	348	3	320000	13	56776	-1	-1	-1	-1	13	6600	-1	-1	-1	-1
348	【精灵神像】	48	50	349	3	330000	13	60019	-1	-1	-1	-1	13	6700	-1	-1	-1	-1
349	【精灵神像】	49	50	350	3	340000	13	63385	-1	-1	-1	-1	13	6800	-1	-1	-1	-1
350	【精灵神像】	50	50	-1	3	350000	13	66876	-1	-1	-1	-1	13	6900	-1	-1	-1	-1
400	【巨龙神像】	0	50	401	4	0	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
401	【巨龙神像】	1	50	402	4	2000	13	180	-1	-1	-1	-1	13	2000	-1	-1	-1	-1
402	【巨龙神像】	2	50	403	4	3000	13	228	-1	-1	-1	-1	13	2100	-1	-1	-1	-1
403	【巨龙神像】	3	50	404	4	5000	13	295	-1	-1	-1	-1	13	2200	-1	-1	-1	-1
404	【巨龙神像】	4	50	405	4	7500	13	379	-1	-1	-1	-1	13	2300	-1	-1	-1	-1
405	【巨龙神像】	5	50	406	4	10000	13	481	-1	-1	-1	-1	13	2400	-1	-1	-1	-1
406	【巨龙神像】	6	50	407	4	12500	13	601	-1	-1	-1	-1	13	2500	-1	-1	-1	-1
407	【巨龙神像】	7	50	408	4	15000	13	738	-1	-1	-1	-1	13	2600	-1	-1	-1	-1
408	【巨龙神像】	8	50	409	4	17500	13	892	-1	-1	-1	-1	13	2700	-1	-1	-1	-1
409	【巨龙神像】	9	50	410	4	20000	13	1064	-1	-1	-1	-1	13	2800	-1	-1	-1	-1
410	【巨龙神像】	10	50	411	4	25000	13	1253	-1	-1	-1	-1	13	2900	-1	-1	-1	-1
411	【巨龙神像】	11	50	412	4	30000	13	1459	-1	-1	-1	-1	13	3000	-1	-1	-1	-1
412	【巨龙神像】	12	50	413	4	35000	13	1682	-1	-1	-1	-1	13	3100	-1	-1	-1	-1
413	【巨龙神像】	13	50	414	4	40000	13	1922	-1	-1	-1	-1	13	3200	-1	-1	-1	-1
414	【巨龙神像】	14	50	415	4	45000	13	2179	-1	-1	-1	-1	13	3300	-1	-1	-1	-1
415	【巨龙神像】	15	50	416	4	50000	13	2453	-1	-1	-1	-1	13	3400	-1	-1	-1	-1
416	【巨龙神像】	16	50	417	4	55000	13	2743	-1	-1	-1	-1	13	3500	-1	-1	-1	-1
417	【巨龙神像】	17	50	418	4	60000	13	3050	-1	-1	-1	-1	13	3600	-1	-1	-1	-1
418	【巨龙神像】	18	50	419	4	65000	13	3374	-1	-1	-1	-1	13	3700	-1	-1	-1	-1
419	【巨龙神像】	19	50	420	4	70000	13	3714	-1	-1	-1	-1	13	3800	-1	-1	-1	-1
420	【巨龙神像】	20	50	421	4	75000	13	4071	-1	-1	-1	-1	13	3900	-1	-1	-1	-1
421	【巨龙神像】	21	50	422	4	80000	13	4444	-1	-1	-1	-1	13	4000	-1	-1	-1	-1
422	【巨龙神像】	22	50	423	4	85000	13	4833	-1	-1	-1	-1	13	4100	-1	-1	-1	-1
423	【巨龙神像】	23	50	424	4	90000	13	5239	-1	-1	-1	-1	13	4200	-1	-1	-1	-1
424	【巨龙神像】	24	50	425	4	95000	13	5661	-1	-1	-1	-1	13	4300	-1	-1	-1	-1
425	【巨龙神像】	25	50	426	4	100000	13	6100	-1	-1	-1	-1	13	4400	-1	-1	-1	-1
426	【巨龙神像】	26	50	427	4	110000	13	6555	-1	-1	-1	-1	13	4500	-1	-1	-1	-1
427	【巨龙神像】	27	50	428	4	120000	13	7026	-1	-1	-1	-1	13	4600	-1	-1	-1	-1
428	【巨龙神像】	28	50	429	4	130000	13	7513	-1	-1	-1	-1	13	4700	-1	-1	-1	-1
429	【巨龙神像】	29	50	430	4	140000	13	8016	-1	-1	-1	-1	13	4800	-1	-1	-1	-1
430	【巨龙神像】	30	50	431	4	150000	13	8536	-1	-1	-1	-1	13	4900	-1	-1	-1	-1
431	【巨龙神像】	31	50	432	4	160000	13	9071	-1	-1	-1	-1	13	5000	-1	-1	-1	-1
432	【巨龙神像】	32	50	433	4	170000	13	9623	-1	-1	-1	-1	13	5100	-1	-1	-1	-1
433	【巨龙神像】	33	50	434	4	180000	13	10191	-1	-1	-1	-1	13	5200	-1	-1	-1	-1
434	【巨龙神像】	34	50	435	4	190000	13	10774	-1	-1	-1	-1	13	5300	-1	-1	-1	-1
435	【巨龙神像】	35	50	436	4	200000	13	11374	-1	-1	-1	-1	13	5400	-1	-1	-1	-1
436	【巨龙神像】	36	50	437	4	210000	13	11990	-1	-1	-1	-1	13	5500	-1	-1	-1	-1
437	【巨龙神像】	37	50	438	4	220000	13	12621	-1	-1	-1	-1	13	5600	-1	-1	-1	-1
438	【巨龙神像】	38	50	439	4	230000	13	13269	-1	-1	-1	-1	13	5700	-1	-1	-1	-1
439	【巨龙神像】	39	50	440	4	240000	13	13932	-1	-1	-1	-1	13	5800	-1	-1	-1	-1
440	【巨龙神像】	40	50	441	4	250000	13	14611	-1	-1	-1	-1	13	5900	-1	-1	-1	-1
441	【巨龙神像】	41	50	442	4	260000	13	15307	-1	-1	-1	-1	13	6000	-1	-1	-1	-1
442	【巨龙神像】	42	50	443	4	270000	13	16018	-1	-1	-1	-1	13	6100	-1	-1	-1	-1
443	【巨龙神像】	43	50	444	4	280000	13	16744	-1	-1	-1	-1	13	6200	-1	-1	-1	-1
444	【巨龙神像】	44	50	445	4	290000	13	17487	-1	-1	-1	-1	13	6300	-1	-1	-1	-1
445	【巨龙神像】	45	50	446	4	300000	13	18246	-1	-1	-1	-1	13	6400	-1	-1	-1	-1
446	【巨龙神像】	46	50	447	4	310000	13	19020	-1	-1	-1	-1	13	6500	-1	-1	-1	-1
447	【巨龙神像】	47	50	448	4	320000	13	19810	-1	-1	-1	-1	13	6600	-1	-1	-1	-1
