INT	INT	INT
2525	6113	226021
2526	6113	226022
2527	6113	226023
2528	6114	226040
2529	6114	226030
2530	6114	226031
2531	6114	226032
2532	6114	226027
2533	6114	226028
2534	6114	226029
2535	6115	226041
2536	6115	226036
2537	6115	226037
2538	6115	226038
2539	6115	226033
2540	6115	226034
2541	6115	226035
2542	6116	226060
2543	6116	226045
2544	6116	226046
2545	6116	226047
2546	6116	226042
2547	6116	226043
2548	6116	226044
2549	6117	226061
2550	6117	226051
2551	6117	226052
2552	6117	226053
2553	6117	226048
2554	6117	226049
2555	6117	226050
2556	6118	226062
2557	6118	226057
2558	6118	226058
2559	6118	226059
2560	6118	226054
2561	6118	226055
2562	6118	226056
2600	21000	-1
2601	21000	231000
2602	21000	231001
2603	21000	231002
2604	21000	231003
2605	21000	231004
2606	21000	231005
2607	21000	231006
2608	21000	231007
2609	21000	231008
2610	21000	231009
2700	11000	-1
2701	11000	230000
2702	11000	230001
2703	11000	230003
2704	11000	230002
2705	11000	230008
2706	11000	230005
2707	11000	230009
2708	11000	230006
2709	11000	230007
2710	11000	230010
2711	11001	-1
2712	11001	230100
2713	11001	230101
2714	11001	230103
2715	11001	230102
2716	11001	230108
2717	11001	230105
2718	11001	230109
2719	11001	230106
2720	11001	230107
2721	11001	230110
2722	11002	-1
2723	11002	230200
2724	11002	230201
2725	11002	230203
2726	11002	230202
2727	11002	230208
2728	11002	230205
2729	11002	230209
2730	11002	230206
2731	11002	230207
2732	11002	230210
2800	22000	-1
2801	0	241000
2802	0	241001
2803	0	241002
2804	22000	241003
2805	22000	241004
2806	22000	241005
2807	22000	241006
2808	22000	241007
2809	22000	241008
2810	22000	241009
2900	22001	-1
2901	0	241100
2902	0	241101
2903	0	241102
2904	22001	241103
2905	22001	241104
2906	22001	241105
2907	22001	241106
2908	22001	241107
2909	22001	241108
2910	22001	241109
40000	2	242000
40001	4	242001
40002	6	242002
40003	7	242003
40004	8	242004
50201	2	242011
50202	2	242013
50204	2	242014
50206	2	242016
50400	4	242018
50402	4	242020
50404	4	242022
50406	4	242024
50600	6	242026
50602	6	242028
50604	6	242030
50606	6	242032
50701	7	242035
50703	7	242037
50705	7	242039
50706	7	242040
50707	7	242041
50801	8	242043
50803	8	242045
50805	8	242047
50807	8	242049
2200000	3	243000
2200001	3	243001
2200002	5	243002
2200003	5	243003
2200004	1	243004
