INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
13	艾比·迪莉雅	103	2	25680	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	965	1171	3166	217	397	350
14	库克·埃迪	105	0	26880	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	914	1200	4147	227	537	283
15	伍德·埃迪	103	0	25144	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	868	1058	4170	246	511	277
16	巴德·约瑟夫	107	1	27668	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1067	1236	2537	344	422	463
17	安娜·凯特琳	103	2	25452	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	1020	1114	3052	232	361	370
18	米尔·科尔	110	1	28572	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1070	1312	2630	357	418	491
19	伍德·克雷孟特	110	1	28308	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1107	1269	2772	355	415	453
20	里德·里奇	105	0	26988	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	949	1170	4143	229	536	293
21	克顿·西莱斯特	105	0	26288	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	954	1144	3962	239	500	280
22	巴奈特·克莱儿	110	1	28424	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1033	1335	2534	354	431	483
23	修·劳瑞	105	0	26072	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	909	1168	4025	239	489	279
24	肯特·约书亚	110	1	28628	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1104	1295	2814	364	425	455
25	芬格·彼得	110	1	28992	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1118	1318	2814	360	428	461
26	史密斯·卡尔	103	0	25832	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	912	1145	3918	246	482	286
27	艾丹·伯顿	110	1	28076	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1101	1255	2654	346	409	462
28	肯特·艾布特	103	0	25720	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	898	1097	3858	232	528	295
29	波琳·萨瓦娜	100	2	24640	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	942	1123	3152	223	358	331
30	艾德·安迪	107	1	27460	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1066	1225	2751	331	401	449
31	霍尔·莱斯利	110	1	28056	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1009	1320	2614	333	414	486
32	肯特·布莱兹	103	0	25900	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	929	1090	4047	237	520	282
33	里德·奥斯卡	107	1	27524	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1057	1222	2635	360	400	480
34	玛乔丽·伊薇特	103	2	25688	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	951	1207	3053	216	390	347
35	霍克·阿尔文	107	1	27932	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1009	1335	2602	332	404	467
36	保拉·乔斯林	103	2	25060	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	951	1158	3116	220	364	337
37	亚当·艾萨克	110	1	28340	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1097	1249	2764	350	424	479
38	艾琳·艾莉森	100	2	24992	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	943	1122	3218	229	382	344
39	库克·罗伦	103	0	25652	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	909	1112	4041	231	492	278
40	卡门·依娃	103	2	25180	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	922	1167	3249	212	389	334
41	扬·赫瑟尔	103	0	25764	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	933	1110	3870	230	508	271
42	史密斯·毕维斯	103	0	25452	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	897	1125	3776	226	494	277
43	霍尔·夏佐	107	1	27796	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1081	1260	2592	347	399	458
44	艾琳·萨布丽娜	103	2	25332	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	931	1180	3254	226	375	344
45	特纳·艾德蒙	103	0	25676	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	898	1145	3784	224	498	279
46	玛莎·杰西卡	103	2	25144	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	961	1147	3128	210	379	333
47	玛乔丽·韦恩	103	2	25208	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	914	1184	3159	222	385	341
48	菲尔德·亚尔曼	103	0	25664	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	886	1123	3953	238	514	278
49	米勒·泰勒	107	1	27896	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1080	1245	2735	351	402	469
50	杰瑞·鲍比	103	0	25268	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	887	1078	3946	224	505	283
51	珀尔·尼迪亚	100	2	24744	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	911	1160	3055	215	365	341
52	肖特·阿尔杰农	103	0	25596	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	863	1135	3951	232	506	289
53	肯特·科林	103	0	25392	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	891	1124	3919	229	484	272
54	朱莉·艾莎	103	2	25188	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	948	1172	3079	218	370	340
55	艾德·罗伊	110	1	28060	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1052	1300	2562	331	404	479
56	珀尔·芬妮	100	2	24968	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	936	1155	3095	219	361	349
57	大卫·约瑟夫	107	1	27604	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1028	1279	2693	329	391	467
58	霍尔·爱得莱德	103	0	25240	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	892	1110	3823	234	480	279
59	巴奈特·赫瑟尔	107	1	27444	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1028	1255	2617	345	411	458
60	玛莎·莉亚	103	2	25092	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	963	1136	3087	221	375	343
61	修·霍根	107	1	27076	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1016	1229	2688	340	401	453
62	艾丹·阿尔瓦	107	1	27060	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1000	1232	2559	335	411	467
63	本·丹尼尔	107	1	27816	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1042	1289	2631	345	404	462
64	韦尔·格罗佛	100	0	24860	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	872	1074	3865	228	493	271
65	修·巴顿	107	1	27028	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1044	1222	2541	329	389	453
66	艾登·布莱兹	103	0	25092	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	875	1109	3777	222	484	280
67	保拉·埃尔莎	100	2	24824	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	945	1143	3037	209	370	331
68	布朗·科迪	107	1	27280	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1023	1243	2585	339	406	463
69	玛丽安·莫尼卡	100	2	24548	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	928	1118	3118	214	362	338
70	芭迪·达芙妮	100	2	24944	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	945	1150	3083	215	365	339
71	享特·利奥波特	105	1	26904	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1012	1225	2623	340	398	449
72	霍尔·霍根	100	0	24904	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	885	1078	3717	228	494	273
73	贝克·沃伦	107	1	27104	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1007	1255	2606	329	399	450
74	乔治·艾尔玛	100	0	24760	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	868	1062	3802	224	497	277
75	巴奈特·贝齐	103	0	25012	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	897	1096	3754	225	478	269
76	艾登·赫尔曼	107	1	27084	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1013	1257	2549	341	389	455
77	安·露露	100	2	24700	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	931	1143	3011	209	364	338
78	简·赫墨拉	100	2	24696	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	918	1148	3083	216	370	332
79	克顿·亚历克斯	100	0	24712	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	882	1065	3771	222	486	268
80	芬格·詹姆斯	107	1	27152	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1023	1259	2543	338	390	451
81	艾玛·卡瑞达	100	2	24564	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	931	1126	3081	213	361	334
82	里德·布里奇特	105	1	26892	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1002	1238	2565	329	396	453
83	凯尔西·露西娅	100	2	24684	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	933	1135	3054	211	367	335
84	米勒·嘉比里拉	105	1	26984	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1021	1233	2597	334	389	454
85	安娜·米里亚姆	100	2	24492	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	920	1130	3030	213	365	333
86	艾莉·格温多琳	100	2	24424	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	929	1117	3004	212	364	332
87	玛丽娅·姬玛	100	2	24316	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	914	1116	3010	213	365	333
88	怀特·考尔比	105	1	26968	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1019	1235	2584	334	391	451
89	布朗·格吉尔	105	1	26984	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1014	1245	2563	334	392	449
90	布朗·劳瑞	105	1	26936	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1014	1234	2556	333	393	454
91	乔治·克利夫兰	105	1	26880	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1015	1234	2538	331	388	453
92	玛丽安·弗里达	100	2	24264	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	911	1118	3017	211	360	332
93	艾德·布里奇特	105	1	26752	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1006	1231	2538	329	389	448
94	库克·丹尼	100	0	24436	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	863	1059	3706	220	481	270
95	艾米丽·乔伊	100	2	24208	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	916	1111	3009	210	358	330
96	亚伯·晓恩	105	1	26736	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1003	1227	2539	329	391	451
97	霍尔·雷	105	1	26704	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1004	1225	2548	330	389	449
98	大卫·吉伯特	100	0	24416	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	867	1056	3701	221	479	269
99	肯特·海勒	100	0	24388	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	864	1056	3696	220	479	269
100	简·谭雅坦尼娅	100	2	24144	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	909	1112	2997	209	358	329
101	福克斯·马克	87	0	18724	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	664	812	2834	170	367	206
102	希尔·朱恩	92	0	20976	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	752	917	3104	196	397	236
103	希尔·杰西	92	0	20288	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	763	870	3026	190	380	211
104	米尔·布莱兹	92	0	20308	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	666	926	3251	173	379	234
105	巴克·格林顿	97	1	22380	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	840	1004	2193	264	338	383
106	苏·谭雅坦尼娅	90	2	19600	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	770	861	2496	175	288	273
107	伊娃·希拉	92	2	20196	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	794	920	2472	170	296	259
108	霍尔·多洛雷斯	90	0	19992	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	672	894	3197	173	369	236
109	乔治·丹尼丝	97	1	23328	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	887	1083	2209	287	344	367
110	希尔·玛德琳	92	0	20392	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	691	923	3018	188	409	215
111	苏·卡米尔	90	2	19916	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	799	889	2447	178	292	256
112	伊娃·爱莉丝	90	2	19320	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	702	899	2633	174	289	253
113	米勒·柏特莱姆	94	0	21148	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	738	937	3199	181	413	227
114	玛丽娅·黛安娜	92	2	20372	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	802	943	2561	172	280	257
115	玛莎·艾许莉	92	2	20496	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	777	941	2488	169	305	282
116	艾登·威廉	92	0	20056	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	690	903	3106	190	378	216
117	巴克·伯里斯	94	0	21172	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	751	917	3231	195	411	235
118	巴罗·安迪	90	0	19828	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	667	914	3089	193	372	207
119	伍德·伯顿	92	0	20232	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	746	870	3129	191	377	214
120	凯拉·爱沙拉	90	2	19532	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	716	879	2582	174	294	286
121	艾莉·尤露莱特	90	2	19256	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	705	906	2350	166	278	275
122	凯尔西·阿曼达	90	2	19644	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	754	872	2371	171	310	274
123	苏·维拉	92	2	20772	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	776	977	2544	168	309	272
124	艾比·艾莎莱特	92	2	20384	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	762	951	2413	176	311	274
125	里德·詹姆士	90	0	19872	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	753	840	2857	172	372	225
126	杰瑞·契布曼	94	1	21996	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	788	1035	2237	259	307	383
127	亚伯·科兹莫	92	0	20496	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	688	921	3211	186	410	213
128	克顿·萨米	94	1	21512	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	798	981	2119	268	301	384
129	安·塞丽娜	92	2	20264	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	759	967	2309	164	283	285
130	享特·埃达	92	0	20144	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	707	875	2976	194	413	216
131	贝克·约书亚	90	0	19952	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	737	822	3184	173	377	231
132	艾丹·艾尔玛	94	1	21964	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	772	1048	2049	255	314	394
133	波琳·埃米莉	92	2	20472	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	786	949	2609	167	290	265
134	扬·贾斯特	97	1	22560	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	838	1032	2184	255	338	381
135	斯特林·狄克	94	1	21228	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	806	948	2156	280	298	372
136	米尔·科兹莫	92	0	20088	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	692	891	3049	187	381	233
137	布尔·斯坦利	90	0	19612	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	705	827	3040	191	394	212
138	史密斯·弗莉达	97	1	22624	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	861	1050	2157	270	323	365
139	米勒·乔	90	0	19944	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	711	879	2877	171	378	229
140	伊娃·厄里斯	90	2	19988	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	758	899	2587	183	290	284
141	亚伦·托马斯	90	0	19736	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	670	875	2884	173	409	216
142	杰瑞·达尼尔	94	1	21308	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	774	989	2078	280	319	360
143	玛莎·多拉	90	2	19584	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	757	898	2414	161	277	267
144	郎曼·多明尼卡	90	0	19584	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	673	833	2988	187	412	222
145	巴德·弗莉达	94	1	21672	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	788	1041	2197	271	298	349
146	布莱恩·莱斯利	97	1	22124	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	791	1051	2220	272	332	356
147	希尔·亚尔曼	92	0	20360	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	681	908	3135	170	412	222
148	郎曼·诺亚	94	1	21292	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	808	947	2035	285	313	376
149	亚伦·戈登	97	1	22160	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	853	1012	2115	275	315	365
150	米尔·亚度尼斯	94	1	21548	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	785	962	2213	270	335	377
151	芬格·伯里斯	97	1	22360	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	824	1047	2083	277	329	373
152	玛乔丽·利昂娜	92	2	20544	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	773	961	2510	182	300	274
153	雷克·汤米	90	0	19800	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	692	852	3194	173	380	223
154	肖特·爱格伯特	94	1	21940	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	815	1030	1986	265	327	359
155	亚伯·哈瑞斯	92	0	20304	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	712	910	2992	177	380	228
156	肖特·巴克	94	1	21996	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	859	948	2208	254	332	377
157	肖特·泰勒	90	0	19972	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	715	853	3077	184	378	234
158	芬格·安德鲁	90	0	19868	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	725	827	2937	182	408	221
159	伍德·汤米	94	1	21936	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	839	965	2139	269	339	372
160	郎曼·劳伦	94	1	21944	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	774	1048	2059	265	335	367
161	艾德·布伦特	90	0	19860	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	715	822	3125	180	414	210
162	芭比·菲洛米娜	92	2	20156	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	787	922	2333	172	309	260
163	艾达·艾薇尔	87	2	18804	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	703	855	2368	161	286	262
164	米勒·雷纳德	90	0	19388	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	668	848	2982	175	391	210
165	艾德·吉伯特	92	0	20060	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	726	898	2877	178	368	219
166	伯德·梅森	92	0	20276	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	714	923	2910	192	371	226
167	帕姬·萝拉	90	2	19472	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	745	875	2511	167	297	258
168	亚伦·迦勒	92	0	20092	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	690	907	2924	183	390	223
169	布尔·杜克	92	0	20484	213203	200203	204203	207203	208203	209203	206203	201203	3	10001	4	5	6	8	220	90	8	140	719	918	2987	184	404	212
170	玛丽安·切尔西	90	2	19800	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	789	884	2368	172	299	258
171	亚伯·拉罕	94	1	21636	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	815	962	2183	284	330	365
172	本·约瑟夫	94	1	21524	313203	300203	304203	307203	308203	309203	306203	301203	3	10101	104	105	106	107	8	90	220	140	771	1022	2112	269	305	368
173	凯拉·戴安娜	90	2	19900	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	764	908	2368	175	295	275
174	安·辛迪	90	2	19756	413203	400203	404203	407203	408203	409203	406203	401203	3	10201	204	205	206	207	90	220	8	140	732	903	2555	162	310	261
