INT	FLOAT	INT	INT	INT	INT	INT	INT
2101	15	2104	-1	-1	-1	-1	450
2102	15	2105	-1	-1	-1	-1	450
2103	15	2106	-1	-1	-1	-1	450
5000	15	5001	-1	-1	-1	-1	800
5001	15	5004	-1	-1	-1	-1	800
5002	15	5007	-1	-1	-1	-1	800
5003	15	5010	-1	-1	-1	-1	800
5004	15	5013	-1	-1	-1	-1	800
5005	15	5016	-1	-1	-1	-1	800
5006	15	5019	-1	-1	-1	-1	800
5007	20	1038	-1	10014	-1	-1	300
5008	20	1038	-1	10015	-1	-1	300
5009	20	1038	-1	10005	-1	-1	300
5010	20	1038	-1	10006	-1	-1	300
5011	15	5053	-1	-1	-1	-1	700
5012	15	5058	-1	-1	-1	-1	700
5013	15	5063	-1	-1	-1	-1	700
5014	15	5068	-1	-1	-1	-1	700
5015	15	5208	-1	-1	-1	-1	800
5016	15	5211	-1	-1	-1	-1	800
5017	15	5214	-1	-1	-1	-1	800
5018	15	5217	-1	-1	-1	-1	800
5019	15	5220	-1	-1	-1	-1	800
5020	15	5246	-1	-1	-1	-1	700
5021	15	5251	-1	-1	-1	-1	700
5022	15	5256	-1	-1	-1	-1	700
5023	15	5261	-1	-1	-1	-1	700
5024	15	5266	-1	-1	-1	-1	700
5025	20	1038	-1	10016	-1	-1	300
5026	15	5292	-1	-1	-1	-1	800
5027	15	5300	-1	-1	-1	-1	700
5028	15	5308	-1	-1	-1	-1	700
5029	15	5313	-1	-1	-1	-1	700
5030	15	5318	-1	-1	-1	-1	700
6000	15	35000	-1	-1	-1	-1	0
6001	15	35001	-1	-1	-1	-1	0
6002	15	35002	-1	-1	-1	-1	0
6003	15	35003	-1	-1	-1	-1	0
6004	15	35004	-1	-1	-1	-1	0
6005	15	35005	-1	-1	-1	-1	0
6006	15	35006	-1	-1	-1	-1	0
6007	15	35007	-1	-1	-1	-1	0
6008	15	35008	-1	-1	-1	-1	0
6009	15	35009	-1	-1	-1	-1	0
6010	15	35010	-1	-1	-1	-1	0
6011	15	35011	-1	-1	-1	-1	0
6012	15	35012	-1	-1	-1	-1	0
6013	15	35013	-1	-1	-1	-1	0
6014	15	35014	-1	-1	-1	-1	0
6015	15	35015	-1	-1	-1	-1	0
6016	15	35016	-1	-1	-1	-1	0
6017	15	35017	-1	-1	-1	-1	0
6018	15	35018	-1	-1	-1	-1	0
6019	15	35019	-1	-1	-1	-1	0
6020	15	35020	-1	-1	-1	-1	0
6021	15	35021	-1	-1	-1	-1	0
6022	15	35022	-1	-1	-1	-1	0
6023	15	35023	-1	-1	-1	-1	0
6024	15	35024	-1	-1	-1	-1	0
6025	15	35025	-1	-1	-1	-1	0
6026	15	35026	-1	-1	-1	-1	0
6027	15	35027	-1	-1	-1	-1	0
6028	15	35028	-1	-1	-1	-1	0
6029	15	35029	-1	-1	-1	-1	0
6030	15	35030	-1	-1	-1	-1	0
6031	15	35031	-1	-1	-1	-1	0
6032	15	35032	-1	-1	-1	-1	0
6033	15	35033	-1	-1	-1	-1	0
6034	15	35034	-1	-1	-1	-1	0
6035	15	35035	-1	-1	-1	-1	0
6036	15	35036	-1	-1	-1	-1	0
6037	15	35037	-1	-1	-1	-1	0
6038	15	35038	-1	-1	-1	-1	0
6039	15	35039	-1	-1	-1	-1	0
6040	15	35040	-1	-1	-1	-1	0
6041	15	35041	-1	-1	-1	-1	0
6042	15	35042	-1	-1	-1	-1	0
6043	15	35043	-1	-1	-1	-1	0
6044	15	35044	-1	-1	-1	-1	0
6045	15	35045	-1	-1	-1	-1	0
6046	15	35046	-1	-1	-1	-1	0
6047	15	35047	-1	-1	-1	-1	0
6048	15	35048	-1	-1	-1	-1	0
6049	15	35049	-1	-1	-1	-1	0
6050	15	35050	-1	-1	-1	-1	0
6051	15	35051	-1	-1	-1	-1	0
6052	15	35052	-1	-1	-1	-1	0
6053	15	35053	-1	-1	-1	-1	0
6054	15	35054	-1	-1	-1	-1	0
6055	15	35055	-1	-1	-1	-1	0
6056	15	35056	-1	-1	-1	-1	0
6057	15	35057	-1	-1	-1	-1	0
6058	15	35058	-1	-1	-1	-1	0
6059	15	35059	-1	-1	-1	-1	0
6060	15	35060	-1	-1	-1	-1	0
6061	15	35061	-1	-1	-1	-1	0
6062	15	35062	-1	-1	-1	-1	0
6063	15	35063	-1	-1	-1	-1	0
6064	15	35064	-1	-1	-1	-1	0
6065	15	35065	-1	-1	-1	-1	0
6066	15	35066	-1	-1	-1	-1	0
6067	15	35067	-1	-1	-1	-1	0
6068	15	35068	-1	-1	-1	-1	0
6069	15	35069	-1	-1	-1	-1	0
6070	15	35070	-1	-1	-1	-1	0
6071	15	35071	-1	-1	-1	-1	0
6072	15	35072	-1	-1	-1	-1	0
6073	15	35073	-1	-1	-1	-1	0
6074	15	35074	-1	-1	-1	-1	0
6075	15	35075	-1	-1	-1	-1	0
6076	15	35076	-1	-1	-1	-1	0
6077	15	35077	-1	-1	-1	-1	0
6078	15	35078	-1	-1	-1	-1	0
6079	15	35079	-1	-1	-1	-1	0
6080	15	35080	-1	-1	-1	-1	0
6081	15	35081	-1	-1	-1	-1	0
6082	15	35082	-1	-1	-1	-1	0
6083	15	35083	-1	-1	-1	-1	0
6084	15	35084	-1	-1	-1	-1	0
6085	15	35085	-1	-1	-1	-1	0
6086	15	35086	-1	-1	-1	-1	0
6087	15	35087	-1	-1	-1	-1	0
6088	15	35088	-1	-1	-1	-1	0
6089	15	35089	-1	-1	-1	-1	0
6090	15	35090	-1	-1	-1	-1	0
6091	15	35091	-1	-1	-1	-1	0
6092	15	35092	-1	-1	-1	-1	0
6093	15	35093	-1	-1	-1	-1	0
6094	15	35094	-1	-1	-1	-1	0
6095	15	35095	-1	-1	-1	-1	0
6096	15	35096	-1	-1	-1	-1	0
6097	15	35097	-1	-1	-1	-1	0
6098	15	35098	-1	-1	-1	-1	0
6099	15	35099	-1	-1	-1	-1	0
