INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
15	托拜厄斯	1	15	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
16	流浪者	1	16	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
17	使者菲利普	1	17	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
18	仓库管理员特洛	1	18	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
19	精灵莉莉丝	1	19	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
20	艾琳娜	1	20	1	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
21	铁匠休斯	1	21	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
22	护卫队长欧文	1	22	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
23	流浪商人阿钦	1	23	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
24	爱丽丝	1	24	1	1	30	2	2	2	2	194	242	194	242	1	64	64	4	5000	500	0	12000	0	20000	33	113	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
25	荣耀军领袖拜迪	1	25	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
26	仓库管理员库尔	1	26	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
27	仓库管理员多坎	1	27	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
28	大天使蒂卡尔	1	28	1	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
29	珍宝商伊莱	1	29	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
30	精灵安多米尔	1	30	1	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
31	圣光导师	1	31	1	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
32	里奥	1	32	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
33	荣耀军尼克	1	33	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
34	守护者罗宾	1	34	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
35	地精小玛雅	1	35	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
36	帕特里克	1	36	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
37	科多兽	1	37	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
38	智者提姆	1	38	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
39	流浪商人阿伽	1	39	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
40	荣耀先锋拉斐尔	1	40	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
41	塞尔维斯	1	41	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
42	匠人贝蒂	1	42	1	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
43	赛阿斯	1	43	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
44	长老	1	44	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
45	安妮老师	1	45	1	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
46	队长欧尼斯特	1	46	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
47	战士艾维斯	1	47	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
48	流浪者	1	48	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
49	维特	1	49	0	1	30	10	10	10	10	194	242	194	242	1	64	64	4	5000	500	0	12000	0	20000	33	113	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
50	精灵温蒂尼	1	50	1	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
51	精灵队长西露芙	1	51	1	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
52	魔导师沃茨	1	52	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
53	副队长伊登	1	53	0	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
54	精灵露娜	1	54	1	1	100	10	10	10	10	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
55	圣女比阿特丽斯	1	55	1	1	120	10	10	10	10	2677	3347	2677	3347	38	457	457	122	5000	500	0	12000	0	20000	909	1062	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
56	阿亚图拉	1	56	0	1	120	10	10	10	10	2677	3347	2677	3347	38	457	457	122	5000	500	0	12000	0	20000	909	1062	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
57	先知阿摩司	1	57	0	1	120	10	10	10	10	2677	3347	2677	3347	38	457	457	122	5000	500	0	12000	0	20000	909	1062	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
58	仓库管理员约克	1	58	0	1	100	2	2	2	2	1632	2040	1632	2040	21	319	319	66	5000	500	0	12000	0	20000	561	702	1	0	0	0	300	0	0	0	0	0	0	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
59	流浪者	1	59	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
60	长老摩列达	1	60	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
61	祭祀猎人安	1	61	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
62	先知阿摩司	1	62	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
63	少尉安斯艾尔	1	63	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
64	圣女比阿特丽斯	1	64	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
65	祭祀族长萨曼	1	65	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
66	祭灵塔雅	1	66	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
67	祭祀战士库塔	1	67	0	1	200	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
68	战士劳瑞斯	1	68	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
69	精灵队长西露芙	1	69	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
70	魔导师沃茨	1	70	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
71	守卫者菲比	1	71	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
72	圣导师塞西莉亚	1	72	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
73	流浪者	1	73	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
74	潮水妖精芭芭拉	1	74	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
75	祭祀猎人诺菲	1	75	0	1	220	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
76	先锋军统领佐罗	1	76	0	1	290	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
77	先锋军战士莱纳德	1	77	0	1	270	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
78	精灵队长西露芙	1	78	1	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
79	魔导师沃茨	1	79	0	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
80	勇士杰瑞特	1	80	0	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
81	军需官布莱尔	1	81	0	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
82	守卫者艾西	1	82	1	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
83	沙兵统领伯顿	1	83	0	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
84	圣导师塞西莉亚	1	84	1	1	300	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
85	流浪者	1	85	0	1	280	10	10	10	10	10179	12723	10179	12723	128	1445	1445	453	5000000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
86	流浪魔法师菲勒	1	87	0	1	200	1	1	1	1	10179	12723	10179	12723	0	1	1	1	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
87	狂战士亚瑟	1	88	0	1	400	1000	1000	1000	1000	10179	12723	10179	12723	500	1	1	1	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
88	元素法师阿迪	1	89	0	1	400	1000	1000	1000	1000	10179	12723	10179	12723	500	1	1	1	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
89	追猎者拉达亚	1	90	1	1	400	1000	1000	1000	1000	10179	12723	10179	12723	500	1	1	1	5000	500	0	12000	0	20000	2069	2802	1	0	0	0	300	0	0	0	0	0	0	0	1000	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
