INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
25	露迪娅	1	25	1	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	克雷斯	1	26	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	米拉	1	27	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	斯巴达克斯	1	28	0	2	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	老鼠	1	30	0	0	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	下水道奴隶冤魂	1	31	0	0	1	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	悲惨奴隶	1	32	0	0	6	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	巨蟒	1	33	0	0	8	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	训练场卫兵	1	34	0	2	8	2	2	2	2	2	2	2	2	0	2	2	0	50	9999	0	12500	0	15000	0	0	0	0	0	0	550	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10001	测试NPC	1	10001	-1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	200	200	0	12500	0	15000	0	0	0	0	0	0	500	0	1000	1001	1002	1003	1004	1005	1006	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
