INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT
97	4	397	16	12	25	36000	5	20	15000	-1	-1	-1	-1	-1	-1
98	5	398	-1	23001	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	5	399	-1	23002	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	5	400	-1	23003	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	7	416	15	23459	1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	7	417	15	23460	1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	7	418	15	23461	1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	7	419	15	23462	1	130	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	7	420	15	23463	1	170	-1	-1	-1	-1	-1	-1	-1	-1	-1
500	2	2790	-1	220	2	5	22017	23212	7	1600000	1800	45	9	3000	-1
501	2	2791	-1	240	2	5	22017	23212	3	1800000	2000	50	10	1000	-1
502	2	2792	-1	260	2	5	22017	23212	3	2000000	2200	55	11	2000	-1
503	2	2793	-1	280	2	5	22017	23212	3	2200000	2400	60	12	3000	-1
504	2	2794	-1	300	2	5	22017	23212	3	2400000	2600	65	13	4000	-1
1000	0	-1	-1	22000	2	22001	2	22002	2	22003	2	-1	-1	-1	-1
1001	0	-1	-1	2	100000	3	10000	-1	-1	-1	-1	-1	-1	-1	-1
1002	0	-1	-1	24500	3	24503	3	24506	3	24509	3	-1	-1	-1	-1
1003	0	-1	-1	25001	2	25003	2	25005	2	25007	2	-1	-1	-1	-1
1004	0	-1	-1	22002	30	22010	10	22011	10	22004	10	-1	-1	-1	-1
1005	0	-1	-1	208301	1	204301	1	206301	1	209301	1	-1	-1	-1	-1
1006	0	-1	-1	308301	1	304301	1	306301	1	309301	1	-1	-1	-1	-1
1007	0	-1	-1	408301	1	404301	1	406301	1	409301	1	-1	-1	-1	-1
1008	0	-1	-1	200001	1	201301	1	207301	1	210301	1	-1	-1	-1	-1
1009	0	-1	-1	300001	1	301301	1	307301	1	310301	1	-1	-1	-1	-1
1010	0	-1	-1	400001	1	401301	1	407301	1	410301	1	-1	-1	-1	-1
1011	0	-1	-1	20000	1	20001	1	20002	1	20004	1	-1	-1	-1	-1
1012	0	-1	-1	20100	1	20101	1	20102	1	20105	1	-1	-1	-1	-1
1013	0	-1	-1	20200	1	20201	1	20202	1	20206	1	-1	-1	-1	-1
2000	8	519	437	8	22002	1	22052	1	2	100000	-1	-1	-1	-1	-1
2001	8	520	437	15	22000	1	22051	1	2	150000	-1	-1	-1	-1	-1
2500	9	552	94	1	17	100	2	50000	21900	5	22000	10	-1	-1	-1
2501	9	553	94	2	17	150	2	100000	22054	1	15013	1	-1	-1	-1
2502	9	554	94	3	17	200	2	150000	22003	40	22054	2	-1	-1	-1
2503	9	555	94	4	17	250	2	200000	22017	40	36001	40	-1	-1	-1
2504	9	556	94	5	17	300	2	300000	26917	1	22066	15	-1	-1	-1
2505	9	557	94	6	17	350	2	400000	22001	6	5	5000	-1	-1	-1
2506	9	558	94	7	17	400	2	500000	20305	4	40203	1	-1	-1	-1
3000	0	-1	-1	23118	4	23136	4	22007	1	70055	5	-1	-1	-1	-1
3001	0	-1	-1	23118	3	23136	3	22000	10	70055	4	-1	-1	-1	-1
3002	0	-1	-1	23118	2	23136	2	22000	8	70055	3	-1	-1	-1	-1
3003	0	-1	-1	23118	1	23136	1	22000	5	70055	2	-1	-1	-1	-1
4000	6	3010	-1	22018	90	22054	3	-1	-1	3	380	-1	-1	-1	-1
10001	0	-1	-1	2	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10002	0	-1	-1	2	100000	22018	12	22054	3	-1	-1	-1	-1	-1	-1
10003	0	-1	-1	2	100000	22018	92	22054	13	-1	-1	-1	-1	-1	-1
10004	0	-1	-1	2	100000	22018	396	22054	13	22056	1	-1	-1	-1	-1
10005	0	-1	-1	2	100000	22018	3596	22054	13	22056	11	-1	-1	-1	-1
10006	0	-1	-1	2	100000	22018	22796	22054	13	22056	31	-1	-1	-1	-1
10007	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10008	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10009	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10010	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10101	0	-1	-1	2	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10102	0	-1	-1	2	100000	22018	12	22054	3	-1	-1	-1	-1	-1	-1
10103	0	-1	-1	2	100000	22018	92	22054	13	-1	-1	-1	-1	-1	-1
10104	0	-1	-1	2	100000	22018	396	22054	13	22056	1	-1	-1	-1	-1
10105	0	-1	-1	2	100000	22018	3596	22054	13	22056	11	-1	-1	-1	-1
10106	0	-1	-1	2	100000	22018	22796	22054	13	22056	31	-1	-1	-1	-1
10107	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10108	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10109	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10110	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10201	0	-1	-1	2	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10202	0	-1	-1	2	100000	22018	12	22054	3	-1	-1	-1	-1	-1	-1
10203	0	-1	-1	2	100000	22018	92	22054	13	-1	-1	-1	-1	-1	-1
10204	0	-1	-1	2	100000	22018	396	22054	13	22056	1	-1	-1	-1	-1
10205	0	-1	-1	2	100000	22018	3596	22054	13	22056	11	-1	-1	-1	-1
10206	0	-1	-1	2	100000	22018	22796	22054	13	22056	31	-1	-1	-1	-1
10207	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10208	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10209	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10210	0	-1	-1	22018	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15000	0	-1	-1	22066	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15001	0	-1	-1	22066	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15002	0	-1	-1	22066	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15003	0	-1	-1	22066	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15004	0	-1	-1	22066	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15005	0	-1	-1	22066	350	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15006	0	-1	-1	22066	350	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15007	0	-1	-1	22066	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15008	0	-1	-1	22066	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15009	0	-1	-1	22066	2200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15010	0	-1	-1	22066	3500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15011	0	-1	-1	22066	4500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15012	0	-1	-1	22066	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15013	0	-1	-1	22066	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15014	0	-1	-1	22066	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15015	0	-1	-1	22066	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15016	0	-1	-1	22066	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15017	0	-1	-1	22066	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15018	0	-1	-1	22066	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15019	0	-1	-1	22066	190	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15020	0	-1	-1	22066	380	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16000	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16001	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16100	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16101	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16200	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16201	0	-1	-1	17	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
