INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10304	300002	1	-1	2	40000	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10304	0
10305	304002	1	-1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10305	0
10306	307002	1	-1	2	30000	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10306	0
10307	400002	1	-1	2	40000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10307	0
10308	404002	1	-1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10308	0
10309	407002	1	-1	2	30000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10309	0
10310	206301	1	103	10	500	-1	-1	-1	-1	-1	-1	-1	-1	1	2010	-1	-1	-1	-1	-1	-1	10310	0
10311	306301	1	103	10	500	-1	-1	-1	-1	-1	-1	-1	-1	2	2010	-1	-1	-1	-1	-1	-1	10311	0
10312	406301	1	103	10	500	-1	-1	-1	-1	-1	-1	-1	-1	4	2010	-1	-1	-1	-1	-1	-1	10312	0
10313	206302	1	103	10	10000	-1	-1	-1	-1	-1	-1	206301	1	1	2011	-1	-1	-1	-1	-1	-1	10313	0
10314	306302	1	103	10	10000	-1	-1	-1	-1	-1	-1	306301	1	2	2011	-1	-1	-1	-1	-1	-1	10314	0
10315	406302	1	103	10	10000	-1	-1	-1	-1	-1	-1	406301	1	4	2011	-1	-1	-1	-1	-1	-1	10315	0
10316	206303	1	103	10	100000	-1	-1	-1	-1	-1	-1	206302	1	1	2012	-1	-1	-1	-1	-1	-1	10316	0
10317	306303	1	103	10	100000	-1	-1	-1	-1	-1	-1	306302	1	2	2012	-1	-1	-1	-1	-1	-1	10317	0
10318	406303	1	103	10	100000	-1	-1	-1	-1	-1	-1	406302	1	4	2012	-1	-1	-1	-1	-1	-1	10318	0
10319	206304	1	103	10	390000	-1	-1	-1	-1	-1	-1	206303	1	1	2013	-1	-1	-1	-1	-1	-1	10319	0
10320	306304	1	103	10	390000	-1	-1	-1	-1	-1	-1	306303	1	2	2013	-1	-1	-1	-1	-1	-1	10320	0
10321	406304	1	103	10	390000	-1	-1	-1	-1	-1	-1	406303	1	4	2013	-1	-1	-1	-1	-1	-1	10321	0
10322	206305	1	103	10	690000	-1	-1	-1	-1	-1	-1	206304	1	1	2014	-1	-1	-1	-1	-1	-1	10322	0
10323	306305	1	103	10	690000	-1	-1	-1	-1	-1	-1	306304	1	2	2014	-1	-1	-1	-1	-1	-1	10323	0
10324	406305	1	103	10	690000	-1	-1	-1	-1	-1	-1	406304	1	4	2014	-1	-1	-1	-1	-1	-1	10324	0
10325	206306	1	103	10	1000000	-1	-1	-1	-1	-1	-1	206305	1	1	-1	-1	-1	-1	-1	-1	-1	10325	0
10326	306306	1	103	10	1000000	-1	-1	-1	-1	-1	-1	306305	1	2	-1	-1	-1	-1	-1	-1	-1	10326	0
10327	406306	1	103	10	1000000	-1	-1	-1	-1	-1	-1	406305	1	4	-1	-1	-1	-1	-1	-1	-1	10327	0
10328	206307	1	103	10	3000000	-1	-1	-1	-1	-1	-1	206306	1	1	-1	-1	-1	-1	-1	-1	-1	10328	0
10329	306307	1	103	10	3000000	-1	-1	-1	-1	-1	-1	306306	1	2	-1	-1	-1	-1	-1	-1	-1	10329	0
10330	406307	1	103	10	3000000	-1	-1	-1	-1	-1	-1	406306	1	4	-1	-1	-1	-1	-1	-1	-1	10330	0
10352	22017	1	103	10	3000	382	-1	-1	-1	-1	-1	-1	-1	7	-1	2004	-1	-1	-1	-1	-1	10352	0
10353	22018	1	103	10	10000	383	-1	-1	-1	-1	-1	-1	-1	7	-1	2004	-1	-1	-1	-1	-1	10353	0
10401	213002	1	-1	2	187500	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10401	0
10402	210002	1	-1	2	187500	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10402	0
10403	212002	1	-1	2	100000	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10403	0
10404	211002	1	-1	2	37500	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10404	0
10405	313002	1	-1	2	187500	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10405	0
10406	310002	1	-1	2	150000	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10406	0
10407	311002	1	-1	2	37500	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10407	0
10408	413002	1	-1	2	150000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10408	0
10409	410002	1	-1	2	150000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10409	0
10410	411002	1	-1	2	30000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10410	0
10411	206301	1	104	10	500	-1	-1	-1	-1	-1	-1	-1	-1	1	2010	-1	-1	-1	-1	-1	-1	10411	0
10412	306301	1	104	10	500	-1	-1	-1	-1	-1	-1	-1	-1	2	2010	-1	-1	-1	-1	-1	-1	10412	0
10413	406301	1	104	10	500	-1	-1	-1	-1	-1	-1	-1	-1	4	2010	-1	-1	-1	-1	-1	-1	10413	0
10414	206302	1	104	10	10000	-1	-1	-1	-1	-1	-1	206301	1	1	2011	-1	-1	-1	-1	-1	-1	10414	0
10415	306302	1	104	10	10000	-1	-1	-1	-1	-1	-1	306301	1	2	2011	-1	-1	-1	-1	-1	-1	10415	0
10416	406302	1	104	10	10000	-1	-1	-1	-1	-1	-1	406301	1	4	2011	-1	-1	-1	-1	-1	-1	10416	0
10417	206303	1	104	10	100000	-1	-1	-1	-1	-1	-1	206302	1	1	2012	-1	-1	-1	-1	-1	-1	10417	0
10418	306303	1	104	10	100000	-1	-1	-1	-1	-1	-1	306302	1	2	2012	-1	-1	-1	-1	-1	-1	10418	0
10419	406303	1	104	10	100000	-1	-1	-1	-1	-1	-1	406302	1	4	2012	-1	-1	-1	-1	-1	-1	10419	0
10420	206304	1	104	10	390000	-1	-1	-1	-1	-1	-1	206303	1	1	2013	-1	-1	-1	-1	-1	-1	10420	0
10421	306304	1	104	10	390000	-1	-1	-1	-1	-1	-1	306303	1	2	2013	-1	-1	-1	-1	-1	-1	10421	0
10422	406304	1	104	10	390000	-1	-1	-1	-1	-1	-1	406303	1	4	2013	-1	-1	-1	-1	-1	-1	10422	0
10423	206305	1	104	10	690000	-1	-1	-1	-1	-1	-1	206304	1	1	2014	-1	-1	-1	-1	-1	-1	10423	0
10424	306305	1	104	10	690000	-1	-1	-1	-1	-1	-1	306304	1	2	2014	-1	-1	-1	-1	-1	-1	10424	0
10425	406305	1	104	10	690000	-1	-1	-1	-1	-1	-1	406304	1	4	2014	-1	-1	-1	-1	-1	-1	10425	0
10426	206306	1	104	10	1000000	-1	-1	-1	-1	-1	-1	206305	1	1	-1	-1	-1	-1	-1	-1	-1	10426	0
10427	306306	1	104	10	1000000	-1	-1	-1	-1	-1	-1	306305	1	2	-1	-1	-1	-1	-1	-1	-1	10427	0
10428	406306	1	104	10	1000000	-1	-1	-1	-1	-1	-1	406305	1	4	-1	-1	-1	-1	-1	-1	-1	10428	0
10429	206307	1	104	10	3000000	-1	-1	-1	-1	-1	-1	206306	1	1	-1	-1	-1	-1	-1	-1	-1	10429	0
10430	306307	1	104	10	3000000	-1	-1	-1	-1	-1	-1	306306	1	2	-1	-1	-1	-1	-1	-1	-1	10430	0
10431	406307	1	104	10	3000000	-1	-1	-1	-1	-1	-1	406306	1	4	-1	-1	-1	-1	-1	-1	-1	10431	0
10452	22017	1	104	10	3000	382	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10452	0
10453	22018	1	104	10	10000	383	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10453	0
10501	201301	1	105	11	1000	-1	-1	-1	-1	-1	-1	-1	-1	1	2020	-1	-1	-1	-1	-1	-1	10501	0
10502	301301	1	105	11	1000	-1	-1	-1	-1	-1	-1	-1	-1	2	2020	-1	-1	-1	-1	-1	-1	10502	0
10503	401301	1	105	11	1000	-1	-1	-1	-1	-1	-1	-1	-1	4	2020	-1	-1	-1	-1	-1	-1	10503	0
10504	201302	1	105	11	10000	-1	-1	-1	-1	-1	-1	201301	1	1	2021	-1	5602	-1	-1	-1	-1	10504	0
10505	301302	1	105	11	10000	-1	-1	-1	-1	-1	-1	301301	1	2	2021	-1	5602	-1	-1	-1	-1	10505	0
10506	401302	1	105	11	10000	-1	-1	-1	-1	-1	-1	401301	1	4	2021	-1	5602	-1	-1	-1	-1	10506	0
10507	201303	1	105	11	50000	-1	-1	-1	-1	-1	-1	201302	1	1	2022	-1	5604	-1	-1	-1	-1	10507	0
10508	301303	1	105	11	50000	-1	-1	-1	-1	-1	-1	301302	1	2	2022	-1	5604	-1	-1	-1	-1	10508	0
10509	401303	1	105	11	50000	-1	-1	-1	-1	-1	-1	401302	1	4	2022	-1	5604	-1	-1	-1	-1	10509	0
10510	201304	1	105	11	100000	-1	-1	-1	-1	-1	-1	201303	1	1	2023	-1	5606	-1	-1	-1	-1	10510	0
10511	301304	1	105	11	100000	-1	-1	-1	-1	-1	-1	301303	1	2	2023	-1	5606	-1	-1	-1	-1	10511	0
10512	401304	1	105	11	100000	-1	-1	-1	-1	-1	-1	401303	1	4	2023	-1	5606	-1	-1	-1	-1	10512	0
10513	201305	1	105	11	200000	-1	-1	-1	-1	-1	-1	201304	1	1	2024	-1	5608	-1	-1	-1	-1	10513	0
10514	301305	1	105	11	200000	-1	-1	-1	-1	-1	-1	301304	1	2	2024	-1	5608	-1	-1	-1	-1	10514	0
10515	401305	1	105	11	200000	-1	-1	-1	-1	-1	-1	401304	1	4	2024	-1	5608	-1	-1	-1	-1	10515	0
10516	201306	1	105	11	500000	-1	-1	-1	-1	-1	-1	201305	1	1	-1	-1	5610	-1	-1	-1	-1	10516	0
10517	301306	1	105	11	500000	-1	-1	-1	-1	-1	-1	301305	1	2	-1	-1	5610	-1	-1	-1	-1	10517	0
10518	401306	1	105	11	500000	-1	-1	-1	-1	-1	-1	401305	1	4	-1	-1	5610	-1	-1	-1	-1	10518	0
10519	201307	1	105	11	1000000	-1	-1	-1	-1	-1	-1	201306	1	1	-1	-1	5612	-1	-1	-1	-1	10519	0
10520	301307	1	105	11	1000000	-1	-1	-1	-1	-1	-1	301306	1	2	-1	-1	5612	-1	-1	-1	-1	10520	0
10521	401307	1	105	11	1000000	-1	-1	-1	-1	-1	-1	401306	1	4	-1	-1	5612	-1	-1	-1	-1	10521	0
10530	22064	1	105	11	3000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10522	0
10550	22000	1	105	11	3000	390	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10524	0
10551	22001	1	105	11	6000	391	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10525	0
10552	22002	1	105	11	1000	392	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10526	0
10553	22003	1	105	11	1000	393	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10527	0
10555	23105	1	105	11	3000	394	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10528	0
10597	600000	1	106	28000	50	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10601	0
10598	600001	1	106	28000	50	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10603	0
10599	600002	1	106	28000	50	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10604	0
10600	28000	1	106	8	10000	-1	671	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10605	0
10601	24003	1	106	8	50	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10606	0
10602	22000	1	106	8	600	-1	667	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10607	0
10603	22001	1	106	8	1200	-1	668	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10608	0
10604	22002	1	106	8	200	-1	669	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10609	0
10605	22003	1	106	8	200	-1	670	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10610	0
10606	22055	1	106	8	20000	-1	673	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10602	0
10700	20000	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20305	15	1	-1	-1	4002	-1	-1	-1	-1	10700	0
10701	20001	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20305	15	1	-1	-1	4002	-1	-1	-1	-1	10701	0
10702	20002	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20305	15	1	-1	-1	4002	-1	-1	-1	-1	10702	0
10703	20004	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	1	-1	-1	4002	-1	-1	-1	-1	10703	0
10704	20003	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	1	-1	-1	4002	-1	-1	-1	-1	10704	0
10705	20005	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	1	-1	-1	4002	-1	-1	-1	-1	10705	0
10706	20006	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	1	-1	-1	4002	-1	-1	-1	-1	10706	0
10707	20007	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	1	-1	-1	4002	-1	-1	-1	-1	10707	0
10708	20008	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	1	-1	-1	4002	-1	-1	-1	-1	10708	0
10710	20100	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	2	-1	-1	4002	-1	-1	-1	-1	10710	0
10711	20101	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	2	-1	-1	4002	-1	-1	-1	-1	10711	0
10712	20102	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	2	-1	-1	4002	-1	-1	-1	-1	10712	0
10713	20104	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	2	-1	-1	4002	-1	-1	-1	-1	10713	0
10714	20103	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	2	-1	-1	4002	-1	-1	-1	-1	10714	0
10715	20105	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	2	-1	-1	4002	-1	-1	-1	-1	10715	0
10716	20106	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	2	-1	-1	4002	-1	-1	-1	-1	10716	0
10717	20107	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	2	-1	-1	4002	-1	-1	-1	-1	10717	0
10718	20108	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	2	-1	-1	4002	-1	-1	-1	-1	10718	0
10720	20200	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	3	-1	-1	4002	-1	-1	-1	-1	10720	0
10721	20202	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	3	-1	-1	4002	-1	-1	-1	-1	10721	0
10722	20206	1	1107	5	1000	-1	-1	-1	-1	-1	-1	20304	15	3	-1	-1	4002	-1	-1	-1	-1	10722	0
10723	20204	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	3	-1	-1	4002	-1	-1	-1	-1	10723	0
10724	20203	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	3	-1	-1	4002	-1	-1	-1	-1	10724	0
10725	20205	1	1107	5	1500	-1	-1	-1	-1	-1	-1	20305	20	3	-1	-1	4002	-1	-1	-1	-1	10725	0
10726	20201	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	3	-1	-1	4002	-1	-1	-1	-1	10726	0
10727	20207	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	3	-1	-1	4002	-1	-1	-1	-1	10727	0
10728	20208	1	1107	5	2000	-1	-1	-1	-1	-1	-1	20306	25	3	-1	-1	4002	-1	-1	-1	-1	10728	0
16000	16000	1	1300	3	1200	980	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16001	16001	1	1300	3	1200	989	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16002	16002	1	1300	3	1100	998	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16003	16003	1	1300	3	1100	1007	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16004	16004	1	1300	3	1000	1008	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16030	16030	1	1301	3	1000	981	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16031	16031	1	1301	3	1000	990	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16060	16060	1	1302	3	1000	982	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16061	16061	1	1302	3	1000	991	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	0
16100	16100	1	1300	3	1200	983	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16101	16101	1	1300	3	1200	992	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16102	16102	1	1300	3	1100	998	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16103	16103	1	1300	3	1100	1007	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16104	16104	1	1300	3	1000	1010	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16130	16130	1	1301	3	1000	984	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16131	16131	1	1301	3	1000	993	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16160	16160	1	1302	3	1000	985	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16161	16161	1	1302	3	1000	994	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	0
16200	16200	1	1300	3	1200	986	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16201	16201	1	1300	3	1200	995	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16202	16202	1	1300	3	1100	998	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16203	16203	1	1300	3	1100	1007	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16204	16204	1	1300	3	1000	1012	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16230	16230	1	1301	3	1000	987	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16231	16231	1	1301	3	1000	996	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16260	16260	1	1302	3	1000	988	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
16261	16261	1	1302	3	1000	997	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	1	0
89994	22501	1	300	3	45	526	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89994	0
89995	22502	1	300	3	90	527	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89995	0
89996	22503	1	300	3	60	528	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89996	0
89997	22504	1	300	3	50	529	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89997	0
89998	23174	1	300	3	18	-1	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89998	0
89999	23175	1	300	3	88	-1	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	89999	0
90000	23176	1	300	3	488	-1	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	90000	0
100000	23146	1	-1	3	50	523	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	100000	0
100026	22003	1	16	17	20	-1	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	100026	0
100027	22017	1	16	17	12	-1	-1	-1	-1	-1	0	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	100027	0
