INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
58	3	5	-1	9	10	59	2100	9000	76	9	540000	8	320000	7000	0	-1	-1	-1	-1	58	1858	-1
59	3	5	-1	10	10	-1	3300	10000	86	9	1280000	8	768000	11000	0	-1	-1	-1	-1	59	1859	-1
60	5	6	1000	1	10	61	90	0	3	9	0	-1	-1	300	0	-1	-1	-1	-1	60	1860	-1
61	5	6	-1	2	10	62	180	0	7	9	600	-1	-1	600	0	-1	-1	-1	-1	61	1861	-1
62	5	6	-1	3	10	63	270	0	11	9	1800	-1	-1	900	0	-1	-1	-1	-1	62	1862	-1
63	5	6	-1	4	10	64	450	0	18	9	5520	8	3312	1500	0	-1	-1	-1	-1	63	1863	-1
64	5	6	-1	5	10	65	630	0	29	9	21600	8	12960	2100	0	-1	-1	-1	-1	64	1864	-1
65	5	6	-1	6	10	66	900	0	42	9	81000	8	48600	3000	0	-1	-1	-1	-1	65	1865	-1
66	5	6	-1	7	10	67	1350	0	52	9	201000	8	120600	4500	0	-1	-1	-1	-1	66	1866	-1
67	5	6	-1	8	10	68	2070	0	62	9	450000	8	270000	6900	0	-1	-1	-1	-1	67	1867	-1
68	5	6	-1	9	10	69	3150	0	72	9	920000	8	551880	10500	0	-1	-1	-1	-1	68	1868	-1
69	5	6	-1	10	10	-1	4950	0	82	9	2235000	8	1340000	16500	0	-1	-1	-1	-1	69	1869	-1
70	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	100000	40	-1	-1	-1
71	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	100000	40	-1	-1	-1
72	-1	7	-1	3	2	73	150	3000	999	9	1500	8	900	500	0	-1	-1	-1	-1	72	1872	-1
73	-1	7	-1	4	2	74	240	4000	999	9	1500	8	900	800	0	-1	-1	-1	-1	73	1873	-1
74	-1	7	-1	5	2	75	360	5000	999	9	1500	8	900	1200	0	-1	-1	-1	-1	74	1874	-1
75	-1	7	-1	6	2	76	510	6000	999	9	1500	8	900	1700	0	-1	-1	-1	-1	75	1875	-1
76	-1	7	-1	7	2	77	750	7000	999	9	1500	8	900	2500	0	-1	-1	-1	-1	76	1876	-1
77	-1	7	-1	8	2	78	1170	8000	999	9	1500	8	900	3900	0	-1	-1	-1	-1	77	1877	-1
78	-1	7	-1	9	2	79	1770	9000	999	9	1500	8	900	5900	0	-1	-1	-1	-1	78	1878	-1
79	-1	7	-1	10	2	-1	2790	10000	999	9	1500	8	900	9300	0	-1	-1	-1	-1	79	1879	-1
80	1	8	1000	1	10	81	90	1000	11	9	0	8	0	300	0	-1	-1	-1	-1	80	1880	10
81	1	8	-1	2	10	82	150	2000	15	9	1800	8	660	500	0	-1	-1	-1	-1	81	1881	11
82	1	8	-1	3	10	83	240	3000	20	9	4500	8	1650	800	0	-1	-1	-1	-1	82	1882	12
83	2	8	-1	4	10	84	420	4000	27	9	16500	8	6072	1400	0	-1	-1	-1	-1	83	1883	13
84	2	8	-1	5	10	85	600	5000	38	9	68400	8	25000	2000	0	-1	-1	-1	-1	84	1884	14
85	2	8	-1	6	10	86	840	6000	51	9	178000	8	65000	2800	0	-1	-1	-1	-1	85	1885	15
86	3	8	-1	7	10	87	1290	7000	61	9	440000	8	162000	4300	0	-1	-1	-1	-1	86	1886	16
87	3	8	-1	8	10	88	1980	8000	69	9	880000	8	325000	6600	0	-1	-1	-1	-1	87	1887	17
88	3	8	-1	9	10	89	3000	9000	79	9	1776000	8	650000	10000	0	-1	-1	-1	-1	88	1888	18
89	3	8	-1	10	10	-1	4710	10000	89	9	4250000	8	1550000	15700	0	-1	-1	-1	-1	89	1889	19
90	0	9	1000	1	10	91	60	1000	3	9	0	-1	-1	200	0	-1	-1	-1	-1	90	1890	-1
91	1	9	-1	2	10	92	90	2000	7	9	450	-1	-1	300	0	-1	-1	-1	-1	91	1891	-1
92	1	9	-1	3	10	93	150	3000	11	9	1350	-1	-1	500	0	-1	-1	-1	-1	92	1892	-1
93	1	9	-1	4	10	94	270	4000	18	9	4140	8	2484	900	0	-1	-1	-1	-1	93	1893	-1
94	1	9	-1	5	10	95	390	5000	29	9	18000	8	10800	1300	0	-1	-1	-1	-1	94	1894	-1
95	1	9	-1	6	10	96	540	6000	42	9	62000	8	37500	1800	0	-1	-1	-1	-1	95	1895	-1
96	1	9	-1	7	10	97	840	7000	52	9	157500	8	94500	2800	0	-1	-1	-1	-1	96	1896	-1
97	1	9	-1	8	10	98	1290	8000	62	9	350000	8	210000	4300	0	-1	-1	-1	-1	97	1897	-1
98	1	9	-1	9	10	99	1950	9000	72	9	718000	8	430000	6500	0	-1	-1	-1	-1	98	1898	-1
99	1	9	-1	10	10	-1	3030	10000	82	9	1735000	8	1040000	10100	0	-1	-1	-1	-1	99	1899	-1
100	0	10	1000	1	10	101	60	1000	2	9	0	-1	-1	200	0	-1	-1	-1	-1	100	1900	-1
101	1	10	-1	2	10	102	150	2000	6	9	700	-1	-1	500	0	-1	-1	-1	-1	101	1901	-1
102	1	10	-1	3	10	103	210	3000	10	9	2100	-1	-1	700	0	-1	-1	-1	-1	102	1902	-1
103	1	10	-1	4	10	104	360	4000	17	9	6440	8	3864	1200	0	-1	-1	-1	-1	103	1903	-1
104	1	10	-1	5	10	105	540	5000	28	9	22500	8	13500	1800	0	-1	-1	-1	-1	104	1904	-1
105	1	10	-1	6	10	106	750	6000	41	9	91000	8	54000	2500	0	-1	-1	-1	-1	105	1905	-1
106	1	10	-1	7	10	107	1140	7000	51	9	227500	8	136500	3800	0	-1	-1	-1	-1	106	1906	-1
107	1	10	-1	8	10	108	1740	8000	61	9	500000	8	302500	5800	0	-1	-1	-1	-1	107	1907	-1
108	1	10	-1	9	10	109	2640	9000	71	9	1036000	8	622000	8800	0	-1	-1	-1	-1	108	1908	-1
109	1	10	-1	10	10	-1	4170	10000	81	9	2520000	8	1512000	13900	0	-1	-1	-1	-1	109	1909	-1
110	1	11	11	1	10	111	50	1000	101	9	0	-1	-1	200	0	-1	-1	-1	-1	110	1910	-1
111	1	11	-1	2	10	112	150	2000	101	9	750	-1	-1	500	0	-1	-1	-1	-1	111	1911	-1
112	1	11	-1	3	10	113	210	3000	101	9	2000	8	1920	700	0	-1	-1	-1	-1	112	1912	-1
113	1	11	-1	4	10	114	360	4000	101	9	5750	8	5520	1200	0	-1	-1	-1	-1	113	1913	-1
114	1	11	-1	5	10	115	540	5000	101	9	24000	8	23000	1800	0	-1	-1	-1	-1	114	1914	-1
115	1	11	-1	6	10	116	750	6000	101	9	75000	8	72000	2500	0	-1	-1	-1	-1	115	1915	-1
116	1	11	-1	7	10	117	1140	7000	101	9	190000	8	182400	3800	0	-1	-1	-1	-1	116	1916	-1
117	1	11	-1	8	10	118	1740	8000	101	9	420000	8	403500	5800	0	-1	-1	-1	-1	117	1917	-1
118	1	11	-1	9	10	119	2640	9000	101	9	855000	8	825000	8800	0	-1	-1	-1	-1	118	1918	-1
119	1	11	-1	10	10	-1	4170	10000	101	9	2060000	8	1980000	13900	0	-1	-1	-1	-1	119	1919	-1
120	1	12	12	1	10	121	60	1000	20	9	0	8	0	200	0	-1	-1	-1	-1	120	1920	-1
121	1	12	-1	2	10	122	120	2000	23	9	1650	8	1980	400	0	-1	-1	-1	-1	121	1921	-1
122	1	12	-1	3	10	123	210	3000	28	9	4400	8	5280	700	0	-1	-1	-1	-1	122	1922	-1
123	2	12	-1	4	10	124	330	4000	39	9	25300	8	30360	1100	0	-1	-1	-1	-1	123	1923	-1
124	2	12	-1	5	10	125	510	5000	52	9	74800	8	89750	1700	0	-1	-1	-1	-1	124	1924	-1
125	2	12	-1	6	10	126	720	6000	62	9	168000	8	202000	2400	0	-1	-1	-1	-1	125	1925	-1
126	3	12	-1	7	10	127	1050	7000	70	9	380000	8	455400	3500	0	-1	-1	-1	-1	126	1926	-1
127	3	12	-1	8	10	128	1620	8000	80	9	815000	8	975000	5400	0	-1	-1	-1	-1	127	1927	-1
128	3	12	-1	9	10	129	2490	9000	90	9	1560000	8	1870000	8300	0	-1	-1	-1	-1	128	1928	-1
129	3	12	-1	10	10	-1	3900	10000	96	9	3275000	8	3930000	13000	0	-1	-1	-1	-1	129	1929	-1
130	1	13	13	1	10	131	60	1000	9	9	0	-1	-1	200	0	-1	-1	-1	-1	130	1930	30
131	1	13	-1	2	10	132	90	2000	14	9	1300	8	300	300	0	-1	-1	-1	-1	131	1931	31
132	1	13	-1	3	10	133	150	3000	17	9	3250	8	750	500	0	-1	-1	-1	-1	132	1932	32
133	2	13	-1	4	10	134	240	4000	21	9	10465	8	2415	800	0	-1	-1	-1	-1	133	1933	33
134	2	13	-1	5	10	135	360	5000	26	9	44200	8	10200	1200	0	-1	-1	-1	-1	134	1934	34
135	2	13	-1	6	10	136	510	6000	37	9	123000	8	28500	1700	0	-1	-1	-1	-1	135	1935	35
136	3	13	-1	7	10	137	750	7000	50	9	305000	8	70500	2500	0	-1	-1	-1	-1	136	1936	36
137	3	13	-1	8	10	138	1170	8000	60	9	614000	8	142000	3900	0	-1	-1	-1	-1	137	1937	37
138	3	13	-1	9	10	139	1770	9000	68	9	1235000	8	285000	5900	0	-1	-1	-1	-1	138	1938	38
139	3	13	-1	10	10	-1	2790	10000	78	9	2960000	8	683000	9300	0	-1	-1	-1	-1	139	1939	39
200	-1	98	-1	1	1	-1	-1	-1	88	-1	-1	-1	-1	-1	1	7	2	2000	10	-1	-1	-1
201	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	20	2	80000	120	-1	-1	-1
202	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	1000	110	-1	-1	-1
203	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	9	2	20000	130	-1	-1	-1
204	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2	1000	20	-1	-1	-1
205	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	100000	40	-1	-1	-1
206	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	7	2	1000	50	-1	-1	-1
207	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	100000	30	-1	-1	-1
208	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3	2	1000	60	-1	-1	-1
209	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	101	2	100000	70	-1	-1	-1
210	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	11	2	50000	80	-1	-1	-1
211	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	4	2	1000	90	-1	-1	-1
212	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	2	1000	100	-1	-1	-1
213	-1	98	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	8	2	2000	0	-1	-1	-1
