INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING	STRING	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT
1002	5	-1	幸运大转盘	-1		2	48	72	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1003	5	-1	幸运大转盘	-1		2	72	96	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1004	5	-1	幸运大转盘	-1		2	96	120	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1005	5	-1	幸运大转盘	-1		2	120	144	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1006	5	-1	幸运大转盘	-1		2	144	168	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1007	5	-1	幸运大转盘	-1		2	168	192	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1008	5	-1	幸运大转盘	-1		2	192	216	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1009	5	-1	幸运大转盘	-1		2	216	240	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1010	5	-1	幸运大转盘	-1		2	240	264	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1011	5	-1	幸运大转盘	-1		2	264	288	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1012	5	-1	幸运大转盘	-1		2	288	312	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1013	5	-1	幸运大转盘	-1		2	312	336	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1014	5	-1	幸运大转盘	-1		2	336	360	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1015	5	-1	幸运大转盘	-1		2	360	384	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1016	5	-1	幸运大转盘	-1		2	384	408	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1017	5	-1	幸运大转盘	-1		2	408	432	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1018	5	-1	幸运大转盘	-1		2	432	456	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1019	5	-1	幸运大转盘	-1		2	456	480	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1020	5	-1	幸运大转盘	-1		2	480	504	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1021	5	-1	幸运大转盘	-1		2	504	528	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1022	5	-1	幸运大转盘	-1		2	528	552	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1023	5	-1	幸运大转盘	-1		2	552	576	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1024	5	-1	幸运大转盘	-1		2	576	600	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1025	5	-1	幸运大转盘	-1		2	600	624	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1026	5	-1	幸运大转盘	-1		2	624	648	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1027	5	-1	幸运大转盘	-1		2	648	672	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1028	5	-1	幸运大转盘	-1		2	672	696	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1029	5	-1	幸运大转盘	-1		2	696	720	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1030	5	-1	幸运大转盘	-1		2	720	744	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1031	5	-1	幸运大转盘	-1		2	744	768	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1032	5	-1	幸运大转盘	-1		2	768	792	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1033	5	-1	幸运大转盘	-1		2	792	816	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1034	5	-1	幸运大转盘	-1		2	816	840	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1035	5	-1	幸运大转盘	-1		2	840	864	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1036	5	-1	幸运大转盘	-1		2	864	888	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1037	5	-1	幸运大转盘	-1		2	888	912	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1038	5	-1	幸运大转盘	-1		2	912	936	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1039	5	-1	幸运大转盘	-1		2	936	960	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1040	5	-1	幸运大转盘	-1		2	960	984	0	-1	8		-1	0	100	-1	90|120|150|180|210	1290	0	0
1041	5	-1	幸运大转盘	-1		2	984	1008	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
2001	1	-1	每日充值	-1		-1	200	200	0	-1	2		-1	0	-1	-1		760	0	0
2002	1	-1	每日充值	-1		-1	200	200	0	-1	2		-1	0	-1	-1		740	0	0
2003	1	-1	每日充值	-1		-1	200	200	0	-1	2		-1	0	-1	-1		720	0	0
2004	1	-1	每日充值	-1		-1	200	200	0	-1	2		-1	0	-1	-1		700	0	0
2005	1	-1	每日充值	-1		-1	200	200	0	-1	2		-1	0	-1	-1		680	0	1
3001	2	-1	第1天	3		2	0	168	0	10	1		-1	0	-1	-1		660	0	0
3002	2	-1	第2天	3		2	0	168	0	10	1		-1	0	-1	-1		640	0	0
3003	2	-1	第3天	3		2	0	168	0	10	1		-1	0	-1	-1		620	0	0
3004	2	-1	第4天	3		2	0	168	0	10	1		-1	0	-1	-1		600	0	0
3005	2	-1	第5天	3		2	0	168	0	10	1		-1	0	-1	-1		580	0	0
3006	2	-1	第6天	3		2	0	168	0	10	1		-1	0	-1	-1		560	0	0
3007	2	-1	第7天	3		2	0	168	0	10	1		-1	0	-1	-1		540	0	0
5002	2	-1	开服巨献！	3		2	48	72	0	-1	6		-1	300000|300001|300002	-1	-1		1480	0	0
5014	1	-1	累计充值	303		2	168	336	0	-1	2	累计充值满一定数额，可领取丰厚奖励！（活动期间内有效）	-1	0	-1	-1		1470	0	0
5015	2	-1	折扣巨献	2200005		2	336	504	0	-1	5	一大波优惠正在袭来，买到就是赚到！（活动期间内有效）	-1	0	-1	-1		1460	0	1
5016	2	-1	消费返利	2200006		2	336	504	0	-1	5	付出就有回报，买的越多价格越低！（活动期间内有效）	-1	0	-1	-1		1440	0	1
6000	2	-1	寒食活动	307		1	2018/3/15 0:00	2018/4/1 0:00	0	-1	9	活动期间通过祭奠英灵获得特殊道具可换取特殊奖励	-1	0	-1	-1		1460	0	0
