INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1011	5	220433	1	0	61010	40	0	61011	20	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1012	1	0	40005	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1012	5	220434	1	0	61012	20	-1	-1	-1	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1013	1	0	40006	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1013	5	220435	1	0	61013	20	-1	-1	-1	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1014	1	0	40007	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1014	5	220436	1	0	61014	20	0	61015	2	-1	-1	-1	0	85105	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	40008	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1019	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1020	1	10	241000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1020	5	220432	1	0	61016	20	0	61017	40	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1021	1	0	40004	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1021	5	220433	1	0	61018	40	0	61019	20	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1022	1	0	40005	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1022	5	220434	1	0	61020	20	-1	-1	-1	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1023	1	0	40006	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1023	5	220435	1	0	61021	20	-1	-1	-1	-1	-1	-1	0	-1	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1	0	40007	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1024	5	220436	1	0	61022	20	0	61023	2	-1	-1	-1	0	85205	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	40008	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1029	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1030	1	10	241000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
