INT	STRING	STRING	INT	INT	INT	INT
225	点许愿池界面大按钮（许愿包裹没有点击时）3		-1	-1	502	503
226	完成孵蛋-打开孵化室		-1	-1	507	-1
227	点开议事厅-点开随从界面		-1	-1	508	-1
300	家园修改后新步骤1-点农场		-1	3	47	521
301	家园修改后新步骤2-农场造好		-1	-1	522	-1
302	家园修改后新步骤3-收完菜该种地		-1	-1	523	-1
303	家园修改后新步骤4-种完菜该点订单		-1	-1	524	525
304	家园改后新步骤5-以标记位525加524减为节.该修复合成屋		-1	-1	540	-1
305	家园改后新步骤6-以527加525减为节.该点合成屋点果实		-1	-1	540	-1
306	家园修改后新步骤7-点击角斗圣殿 要去修复		-1	-1	540	-1
307	家园修改后新步骤8-点击角斗圣殿 要去查看		-1	-1	540	-1
308	家园修改后新步骤9-点击交易所  要修复		-1	-1	540	-1
309	家园修改后新步骤10-点击交易所 要查看		-1	-1	540	-1
310	家园修改后新步骤11		-1	-1	-1	-1
311	家园修改后新步骤12		-1	-1	-1	-1
312	家园修改后新步骤13		-1	-1	-1	-1
313	家园修改后新步骤14		-1	-1	-1	-1
314	家园修改后新步骤15		-1	-1	-1	-1
315	家园修改后新步骤16		-1	-1	-1	-1
316	家园修改后新步骤17		-1	-1	-1	-1
350	家园修改后新步骤-角斗圣殿1		-1	-1	530	531
351	家园修改后新步骤-角斗圣殿2		-1	-1	531	532
352	家园修改后新步骤-交易所		-1	-1	533	534
353	家园修改后新步骤-许愿池		-1	-1	1910	503
354	家园修改后新步骤-孵化室		-1	-1	1850	506
355	家园修改后新步骤-议事厅随从任务		-1	-1	1800	509
356	家园修改后新步骤		-1	-1	-1	-1
357	家园修改后新步骤		-1	-1	-1	-1
358	家园修改后新步骤		-1	-1	-1	-1
1000	装备按钮	BtnEquip	100	0	224	-1
1001	精灵按钮	BtnElf	513	1	2690	3038
1002	图鉴按钮	BtnHnadBook	51	3	43	-1
1003	技能按钮	BtnSkill	112	3	75	-1
1004	成就按钮	BtnAchievement	58	3	25	-1
1005	福利按钮		300	0	1790	-1
1006	邮件按钮		300	0	1790	-1
1007	日常任务	BtnMission	121	3	-1	-1
1008	设置按钮		300	0	1790	-1
1009	商城按钮		300	0	1790	-1
1010	VIP按钮		300	0	1790	-1
1011	首充按钮		300	0	1790	-1
1012	好友按钮	BtnFriend	8	3	7	-1
1013	队伍按钮	BtnTeam	105	3	35	-1
1014	活动按钮	BtnDaily	119	0	50	-1
1015	副本按钮	BtnTollate	1003	0	38	-1
1016	战盟按钮	BtnBattleUnion	133	3	63	-1
1017	排行榜	BtnRank	413	3	119	-1
1018	家园按钮	BtnPet	116	3	47	-1
1019	转生		10024	0	266	-1
1020	首充按钮	BtnFrist	121	3	52	-1
1021	战场按钮	BtnBattleField	205	3	103	-1
1022	竞技场按钮	BtnArena	168	3	118	-1
1023	许愿池开启	BtnWishingTree	164	3	152	-1
1024	勇士港口开启	BtnSailingHarbor	256	3	3099	-1
1025	合成开启	BtnItemCompose	117	0	48	-1
1026	去商城啊少年		1	3	1	-1
1027	翅膀开启	BtnWing	111	3	41	-1
1028	金币关卡开启		517	0	85	-1
1029	活动-守卫大陆引导		412	0	119	225
1030	冒险-蛮荒孤岛	BtnIsland	201	3	80	-1
1032	获得坐骑		156	3	-1	2683
1033	坐骑开启	BtnRide	156	3	225	2683
1034	丛林石窟引导		115	0	-1	-1
1035	神器解锁	BtnMaYaWeapon	108	3	3013	-1
1040	获得翅膀		111	3	-1	2680
1050	打开灵兽界面时开始引导		-1	-1	58	2681
1060	转生功能开启	BtnReborn	-1	-1	-1	-1
2000	达成条件打开界面		414	1	227	-1
2001	测试		2	1	2	-1
2010	玛雅纪元—灵兽关卡		-1	0	999	3038
