INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
160309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
160310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
160403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
160404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
160405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
160406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
160407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
160408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
160409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
160503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
160504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
160505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
160506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
160507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
160508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
160509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
161303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
161304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
161305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
161306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
161307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
161308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
161309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
161310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
161403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
161404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
161405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
161406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
161407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
161408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
161409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
161503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
161504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
161505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
161506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
161507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
161508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
161509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
162303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
162304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
162305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
162306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
162307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
162308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
162309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
162310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
162403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
162404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
162405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
162406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
162407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
162408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
162409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
162503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
162504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
162505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
162506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
162507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
162508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
162509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
600000	-1	-1	-1	-1	-1	-1	-1	-1	10	50000	-1	-1	-1	-1	3	0
600001	-1	-1	-1	-1	-1	-1	-1	-1	10	50000	-1	-1	-1	-1	3	0
600002	-1	-1	-1	-1	-1	-1	-1	-1	10	50000	-1	-1	-1	-1	3	0
600003	-1	-1	-1	-1	-1	-1	-1	-1	10	100000	-1	-1	-1	-1	3	0
600004	-1	-1	-1	-1	-1	-1	-1	-1	10	100000	-1	-1	-1	-1	3	0
600005	-1	-1	-1	-1	-1	-1	-1	-1	10	100000	-1	-1	-1	-1	3	0
1280303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
1280304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
1280305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
1280306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
1280307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1280308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
1280309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1280310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
1280403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
1280404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
1280405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
1280406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1280407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
1280408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
1280409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1280503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
1280504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
1280505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
1280506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1280507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1280508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
1280509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
1281303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
1281304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
1281305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
1281306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
1281307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1281308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
1281309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1281310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
1281403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
1281404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
1281405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
1281406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1281407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
1281408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
1281409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1281503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
1281504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
1281505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
1281506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1281507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1281508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
1281509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
1282303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
1282304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
1282305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
1282306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
1282307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1282308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
1282309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1282310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
1282403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
1282404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
1282405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
1282406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
1282407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
1282408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
1282409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1282503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
1282504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
1282505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
1282506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
1282507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
1282508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
1282509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
2560303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
2560304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
2560305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
2560306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
2560307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2560308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
2560309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2560310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
2560403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
2560404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
2560405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
2560406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2560407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
2560408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
2560409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2560503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
2560504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
2560505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
2560506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2560507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2560508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
2560509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
2561303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
2561304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
2561305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
2561306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
2561307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2561308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
2561309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2561310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
2561403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
2561404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
2561405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
2561406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2561407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
2561408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
2561409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2561503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
2561504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
2561505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
2561506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2561507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2561508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
2561509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
2562303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
2562304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
2562305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
2562306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
2562307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2562308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
2562309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2562310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
2562403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
2562404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
2562405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
2562406	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
2562407	-1	-1	-1	-1	-1	-1	-1	-1	10	360000	-1	-1	-1	-1	3	0
2562408	-1	-1	-1	-1	-1	-1	-1	-1	10	960000	-1	-1	-1	-1	3	0
2562409	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2562503	-1	-1	-1	-1	-1	-1	-1	-1	10	120000	-1	-1	-1	-1	3	0
2562504	-1	-1	-1	-1	-1	-1	-1	-1	10	280000	-1	-1	-1	-1	3	0
2562505	-1	-1	-1	-1	-1	-1	-1	-1	10	450000	-1	-1	-1	-1	3	0
2562506	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
2562507	-1	-1	-1	-1	-1	-1	-1	-1	10	1800000	-1	-1	-1	-1	3	0
2562508	-1	-1	-1	-1	-1	-1	-1	-1	10	4800000	-1	-1	-1	-1	3	0
2562509	-1	-1	-1	-1	-1	-1	-1	-1	10	9000000	-1	-1	-1	-1	3	0
5120303	-1	-1	-1	-1	-1	-1	-1	-1	10	16000	-1	-1	-1	-1	3	0
5120304	-1	-1	-1	-1	-1	-1	-1	-1	10	35000	-1	-1	-1	-1	3	0
5120305	-1	-1	-1	-1	-1	-1	-1	-1	10	60000	-1	-1	-1	-1	3	0
5120306	-1	-1	-1	-1	-1	-1	-1	-1	10	160000	-1	-1	-1	-1	3	0
5120307	-1	-1	-1	-1	-1	-1	-1	-1	10	240000	-1	-1	-1	-1	3	0
5120308	-1	-1	-1	-1	-1	-1	-1	-1	10	600000	-1	-1	-1	-1	3	0
5120309	-1	-1	-1	-1	-1	-1	-1	-1	10	1200000	-1	-1	-1	-1	3	0
5120310	-1	-1	-1	-1	-1	-1	-1	-1	10	2400000	-1	-1	-1	-1	3	0
5120403	-1	-1	-1	-1	-1	-1	-1	-1	10	24000	-1	-1	-1	-1	3	0
5120404	-1	-1	-1	-1	-1	-1	-1	-1	10	56000	-1	-1	-1	-1	3	0
5120405	-1	-1	-1	-1	-1	-1	-1	-1	10	90000	-1	-1	-1	-1	3	0
