INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3011	圣光上校	1	3011	1	5	2655	6	2832	7	2655	8	2832	13	35403	10	1416	11	1416	19	177	21	1100	-1	-1	2424	3010	3012
3012	圣光少将	1	3012	1	5	3381	6	3607	7	3381	8	3607	13	45092	10	1803	11	1803	19	225	21	1200	-1	-1	2425	3011	3013
3013	圣光中将	1	3013	1	5	4264	6	4548	7	4264	8	4548	13	56855	10	2274	11	2274	19	284	21	1300	-1	-1	2426	3012	3014
3014	圣光上将	1	3014	1	5	5325	6	5680	7	5325	8	5680	13	71004	10	2840	11	2840	19	355	21	1400	-1	-1	2427	3013	-1
3015	闪亮新人	1	3015	1	5	229	6	244	7	229	8	244	19	15	20	15	-1	-1	-1	-1	-1	-1	0	-1	649	-1	3016
3016	圣光精英	1	3016	1	5	423	6	452	7	423	8	452	19	29	20	29	-1	-1	-1	-1	-1	-1	0	-1	653	3015	3017
3017	无畏领袖	1	3017	1	5	797	6	852	7	797	8	852	19	55	20	55	-1	-1	-1	-1	-1	-1	0	-1	657	3016	3018
3018	完美守护	1	3018	1	5	1455	6	1556	7	1455	8	1556	19	100	20	100	-1	-1	-1	-1	-1	-1	0	-1	661	3017	-1
3019	青铜光泽	1	3019	1	106	500	111	500	113	500	119	500	120	500	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2428	-1	3020
3020	白银光辉	1	3020	1	106	800	111	800	113	800	119	800	120	800	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2429	3019	3021
3021	黄金灿烂	1	3021	1	106	1000	111	1000	113	1000	119	1000	120	1000	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2430	3020	3022
3022	钻石耀眼	1	3022	1	106	1200	111	1200	113	1200	119	1200	120	1200	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2431	3021	3023
3023	星辰璀璨	1	3023	1	106	1500	111	1500	113	1500	119	1500	120	1500	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2432	3022	-1
3024	翅膀硬了	1	3024	1	5	302	6	317	7	302	8	317	25	10	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	889	-1	3025
3025	天空之主	1	3025	1	5	496	6	520	7	496	8	520	25	20	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	891	3024	3026
3026	九天神迹	1	3026	1	5	794	6	833	7	794	8	833	25	35	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	893	3025	3027
3027	域外传说	1	3027	1	5	1208	6	1268	7	1208	8	1268	25	40	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	895	3026	3028
3028	星尘之遗	1	3028	1	5	1787	6	1876	7	1787	8	1876	25	50	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	897	3027	-1
3029	出类拔萃	1	3029	1	13	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2457	-1	3030
3030	登峰造极	1	3030	1	13	10000	105	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2459	3029	3031
3031	超群绝伦	1	3031	1	13	10000	105	2000	110	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2461	3030	3032
3032	万古流芳	1	3032	1	13	10000	105	2000	110	2000	9	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2463	3031	3033
3033	盖世无双	1	3033	1	13	10000	105	2000	110	2000	9	3000	12	3000	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2465	3032	-1
3034	小跟班	1	3034	1	5	788	6	829	7	788	8	829	26	53	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	949	-1	3035
3035	暖心相随	1	3035	1	5	1212	6	1274	7	1212	8	1274	26	82	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	951	3034	3036
3036	形影不离	1	3036	1	5	1672	6	1758	7	1672	8	1758	26	114	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	953	3035	3037
3037	并肩作战	1	3037	1	5	2187	6	2299	7	2187	8	2299	26	149	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	955	3036	3038
3038	不离不弃	1	3038	1	5	2778	6	2921	7	2778	8	2921	26	190	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	957	3037	3039
3039	一生陪伴	1	3039	1	5	3474	6	3652	7	3474	8	3652	26	237	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1022	3038	-1
3040	灵兽称号占位	0	-1	1	5	4304	6	4525	7	4304	8	4525	26	294	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3041
3041	灵兽称号占位	0	-1	1	5	5307	6	5579	7	5307	8	5579	26	362	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3040	3042
3042	灵兽称号占位	0	-1	1	5	6521	6	6856	7	6521	8	6856	26	445	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3041	3043
3043	灵兽称号占位	0	-1	1	5	7995	6	8405	7	7995	8	8405	26	546	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3042	-1
3100	勇者之路	1	3100	1	5	197	6	221	7	197	8	221	15	200	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2433	-1	3101
3101	修炼狂人	1	3101	1	5	365	6	408	7	365	8	408	15	400	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2434	3100	3102
3102	天生斗士	1	3102	1	5	687	6	770	7	687	8	770	15	600	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2435	3101	3103
3103	战技出神	1	3103	1	5	1255	6	1405	7	1255	8	1405	15	800	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2436	3102	-1
4000	圣光勇士	2	4000	0	105	200	13	1150	10	100	11	100	19	30	20	40	9	18	12	12	-1	-1	0	-1	2437	-1	4001
4001	荣耀先锋	2	4001	0	105	300	13	1800	10	150	11	150	19	45	20	60	9	27	12	18	-1	-1	0	-1	2438	4000	4002
4002	屠魔使者	2	4002	0	105	500	13	3400	10	250	11	250	19	75	20	100	9	45	12	30	-1	-1	0	-1	2439	4001	4003
4003	驭龙古战	2	4003	0	105	800	13	6200	10	400	11	400	19	120	20	160	9	72	12	48	-1	-1	0	-1	2440	4002	4004
4004	无畏圣魂	2	4004	0	105	1100	13	9600	10	550	11	550	19	165	20	220	9	99	12	66	-1	-1	0	-1	2441	4003	4005
4005	守护天使	2	4005	0	105	1500	13	15000	10	750	11	750	19	225	20	300	9	135	12	90	-1	-1	0	-1	2442	4004	4006
4006	天临神将	2	4006	0	105	1950	13	21500	10	975	11	975	19	300	20	400	9	176	12	117	-1	-1	0	-1	2443	4005	4007
4007	末世王者	2	4007	0	105	2450	13	30000	10	1225	11	1225	19	370	20	490	9	220	12	147	-1	-1	0	-1	2444	4006	4008
4008	光辉圣主	2	4008	0	105	3000	13	40000	10	1500	11	1500	19	450	20	600	9	270	12	180	-1	-1	0	-1	2445	4007	4009
4009	神域圣君	2	4009	0	105	3600	13	52500	10	1800	11	1800	19	540	20	720	9	324	12	216	-1	-1	0	-1	2446	4008	4010
4010	星辰主神	2	4010	0	105	4250	13	67500	10	2125	11	2125	19	630	20	850	9	383	12	255	-1	-1	0	-1	2447	4009	4011
4011	玛雅传说	2	4011	0	105	5000	13	85000	10	2500	11	2500	19	750	20	1000	9	450	12	300	-1	-1	0	-1	2448	4010	-1
5000	圣盟王者	3	5000	0	5	2600	6	3000	7	2600	8	3000	13	50000	110	1400	19	600	20	500	-1	-1	0	-1	2508	-1	-1
5001	圣盟精英	3	5001	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	2509	-1	-1
5050	玛雅战神	4	5050	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4030	-1	-1
5051	劫后余生	3	5051	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4031	-1	-1
5052	救世传说	3	5052	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4035	-1	-1
6000	太阳新兵	1	6000	1	105	137	13	1654	10	82	11	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3901	-1	6001
6001	太阳先锋	1	6001	1	105	241	13	2898	10	144	11	144	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3903	6000	6002
6002	太阳卫士	1	6002	1	105	379	13	4552	10	227	11	227	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3906	6001	6003
6003	太阳勇者	1	6003	1	105	560	13	6726	10	336	11	336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3908	6002	6004
6004	太阳统帅	1	6004	1	105	796	13	9562	10	478	11	478	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	3910	6003	-1
7000	最强王者	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7001	最强王者	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7002	最强王者	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8000	玛雅领主	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2449	-1	-1
8001	玛雅副领主	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2450	-1	-1
8002	玛雅精英	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2451	-1	-1
8003	玛雅勇士	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2452	-1	-1
9000	挖矿神手	3	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2453	-1	-1
9001	挖矿圣手	3	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2454	-1	-1
9002	挖矿能手	3	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2455	-1	-1
