INT	INT	STRING	STRING	STRING	STRING	INT
31	12030	12|18|2	446|250|14000	12|18|2	1338|750|42000	26
32	12031	12|18|2	457|255|14000	12|18|2	1371|765|42000	27
33	12032	12|18|2	468|260|14000	12|18|2	1404|780|42000	28
34	12033	12|18|2	480|265|14000	12|18|2	1440|795|42000	29
35	12034	12|18|2	492|270|14000	12|18|2	1476|810|42000	30
36	12035	12|18|2	504|275|16000	12|18|2	1512|825|48000	31
37	12036	12|18|2	516|280|16000	12|18|2	1548|840|48000	32
38	12037	12|18|2	529|285|16000	12|18|2	1587|855|48000	33
39	12038	12|18|2	542|290|16000	12|18|2	1626|870|48000	34
40	12039	12|18|2	555|295|16000	12|18|2	1665|885|48000	35
41	12040	12|18|2	568|300|18000	12|18|2	1704|900|54000	36
42	12041	12|18|2	581|305|18000	12|18|2	1743|915|54000	37
43	12042	12|18|2	594|310|18000	12|18|2	1782|930|54000	38
44	12043	12|18|2	608|315|18000	12|18|2	1824|945|54000	39
45	12044	12|18|2	622|320|18000	12|18|2	1866|960|54000	40
46	12045	12|18|2	636|325|20000	12|18|2	1908|975|60000	41
47	12046	12|18|2	650|330|20000	12|18|2	1950|990|60000	42
48	12047	12|18|2	665|335|20000	12|18|2	1995|1005|60000	43
49	12048	12|18|2	680|340|20000	12|18|2	2040|1020|60000	44
50	12049	12|18|2	695|345|20000	12|18|2	2085|1035|60000	45
51	12050	12|18|2	710|350|22000	12|18|2	2130|1050|66000	46
52	12051	12|18|2	725|355|22000	12|18|2	2175|1065|66000	47
53	12052	12|18|2	740|360|22000	12|18|2	2220|1080|66000	48
54	12053	12|18|2	756|365|22000	12|18|2	2268|1095|66000	49
55	12054	12|18|2	772|370|22000	12|18|2	2316|1110|66000	50
56	12055	12|18|2	788|375|24000	12|18|2	2364|1125|72000	51
57	12056	12|18|2	804|380|24000	12|18|2	2412|1140|72000	52
58	12057	12|18|2	821|385|24000	12|18|2	2463|1155|72000	53
59	12058	12|18|2	838|390|24000	12|18|2	2514|1170|72000	54
60	12059	12|18|2	855|395|24000	12|18|2	2565|1185|72000	55
61	12060	12|18|2	872|400|26000	12|18|2	2616|1200|78000	56
62	12061	12|18|2	889|405|26000	12|18|2	2667|1215|78000	57
63	12062	12|18|2	906|410|26000	12|18|2	2718|1230|78000	58
64	12063	12|18|2	924|415|26000	12|18|2	2772|1245|78000	59
65	12064	12|18|2	942|420|26000	12|18|2	2826|1260|78000	60
66	12065	12|18|2	960|425|28000	12|18|2	2880|1275|84000	61
67	12066	12|18|2	978|430|28000	12|18|2	2934|1290|84000	62
68	12067	12|18|2	997|435|28000	12|18|2	2991|1305|84000	63
69	12068	12|18|2	1016|440|28000	12|18|2	3048|1320|84000	64
70	12069	12|18|2	1035|445|28000	12|18|2	3105|1335|84000	65
71	12070	12|18|2	1054|450|30000	12|18|2	3162|1350|90000	66
72	12071	12|18|2	1073|455|30000	12|18|2	3219|1365|90000	67
73	12072	12|18|2	1092|460|30000	12|18|2	3276|1380|90000	68
74	12073	12|18|2	1112|465|30000	12|18|2	3336|1395|90000	69
75	12074	12|18|2	1132|470|30000	12|18|2	3396|1410|90000	70
76	12075	12|18|2	1152|475|32000	12|18|2	3456|1425|96000	71
77	12076	12|18|2	1172|480|32000	12|18|2	3516|1440|96000	72
78	12077	12|18|2	1193|485|32000	12|18|2	3579|1455|96000	73
79	12078	12|18|2	1214|490|32000	12|18|2	3642|1470|96000	74
80	12079	12|18|2	1235|495|32000	12|18|2	3705|1485|96000	75
81	12080	12|18|2	1256|500|34000	12|18|2	3768|1500|102000	76
82	12081	12|18|2	1277|505|34000	12|18|2	3831|1515|102000	77
83	12082	12|18|2	1298|510|34000	12|18|2	3894|1530|102000	78
84	12083	12|18|2	1320|515|34000	12|18|2	3960|1545|102000	79
85	12084	12|18|2	1342|520|34000	12|18|2	4026|1560|102000	80
86	12085	12|18|2	1364|525|36000	12|18|2	4092|1575|108000	81
87	12086	12|18|2	1386|530|36000	12|18|2	4158|1590|108000	82
88	12087	12|18|2	1409|535|36000	12|18|2	4227|1605|108000	83
89	12088	12|18|2	1432|540|36000	12|18|2	4296|1620|108000	84
90	12089	12|18|2	1455|545|36000	12|18|2	4365|1635|108000	85
91	12090	12|18|2	1478|550|38000	12|18|2	4434|1650|114000	86
92	12091	12|18|2	1501|555|38000	12|18|2	4503|1665|114000	87
93	12092	12|18|2	1524|560|38000	12|18|2	4572|1680|114000	88
94	12093	12|18|2	1548|565|38000	12|18|2	4644|1695|114000	89
95	12094	12|18|2	1572|570|38000	12|18|2	4716|1710|114000	90
96	12095	12|18|2	1596|575|40000	12|18|2	4788|1725|120000	91
97	12096	12|18|2	1620|580|40000	12|18|2	4860|1740|120000	92
98	12097	12|18|2	1645|585|40000	12|18|2	4935|1755|120000	93
99	12098	12|18|2	1670|590|40000	12|18|2	5010|1770|120000	94
100	12099	12|18|2	1695|595|40000	12|18|2	5085|1785|120000	95
