INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
16101	夜之华	173	26	603979776	1	10500	4	1	1	-1	0	-1	0	0	16101	-1	16101	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16102	熊猫	176	26	603979776	1	10500	4	1	1	-1	0	-1	0	0	16102	-1	16102	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16103	海盗船长	180	26	603979776	1	10500	4	1	1	-1	0	-1	0	0	16103	-1	16103	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16104	幽冥战神	178	26	603979776	1	10500	4	1	1	-1	0	-1	0	0	16104	-1	16104	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16130	法师翅膀时装	10107	27	1207959552	1	10501	4	1	1	-1	0	-1	0	0	16130	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16131	法师翅膀时装1	10106	27	1207959552	1	10501	4	1	1	-1	0	-1	0	0	16131	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16160	法师武器时装	500005	28	2415919104	1	10502	4	1	1	-1	0	-1	0	0	16160	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16161	法师武器时装1	500006	28	2415919104	1	10502	4	1	1	-1	0	-1	0	0	16161	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16200	恭贺新禧	174	26	603979776	1	10500	4	1	2	-1	0	-1	0	0	16200	-1	16200	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16201	夜之华	175	26	603979776	1	10500	4	1	2	-1	0	-1	0	0	16201	-1	16201	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16202	熊猫	177	26	603979776	1	10500	4	1	2	-1	0	-1	0	0	16202	-1	16202	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16203	海盗女皇	181	26	603979776	1	10500	4	1	2	-1	0	-1	0	0	16203	-1	16203	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16204	幽冥战神	179	26	603979776	1	10500	4	1	2	-1	0	-1	0	0	16204	-1	16204	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16230	弓手翅膀时装	10207	27	1207959552	1	10501	4	1	2	-1	0	-1	0	0	16230	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16231	弓手翅膀时装1	10206	27	1207959552	1	10501	4	1	2	-1	0	-1	0	0	16231	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16260	弓手武器时装	500008	28	2415919104	1	10502	4	1	2	-1	0	-1	0	0	16260	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16261	弓手武器时装1	500007	28	2415919104	1	10502	4	1	2	-1	0	-1	0	0	16261	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
18000	月卡	807	1	2	1	800	3	1	-1	-1	0	-1	0	-1	100003200	25	0	-1	18	0	1	1	9999	1	0	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
18001	终身卡	534	1	2	1	800	3	1	-1	-1	0	-1	0	-1	100003200	88	4	-1	18	0	1	1	9999	1	0	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
18002	等级投资	803	1	2	1	800	3	1	-1	-1	0	-1	0	-1	100003200	40	3030	-1	18	0	1	1	9999	1	0	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
18003	七天投资	23018	1	2	1	800	3	1	-1	-1	0	-1	0	-1	100003200	60	3032	-1	18	0	1	1	9999	1	0	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19000	苹果	336	1	2	999	22201	1	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	143020220	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19001	枣饼	339	1	2	999	22201	2	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	143020221	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19002	花环	332	1	2	999	22201	2	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	143020222	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19003	面燕	335	1	2	999	22201	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	143020223	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19004	蛇盘兔	338	1	2	999	22201	4	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	143020224	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19100	柳枝	334	1	2	999	22202	1	1	-1	-1	0	-1	0	-1	-1	90	2	-1	143020225	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19101	春酒	330	1	2	999	22202	2	1	-1	-1	0	-1	0	-1	-1	90	2	-1	143020226	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19102	凉糕	333	1	2	999	22202	2	1	-1	-1	0	-1	0	-1	-1	90	2	-1	143020227	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19103	青团	337	1	2	999	22202	3	1	-1	-1	0	-1	0	-1	-1	90	2	-1	143020228	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
19104	蹴鞠	331	1	2	999	22202	4	1	-1	-1	0	-1	0	-1	-1	90	2	-1	143020229	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20000	天赋石[升龙剑]	1001500	1	4194314	99	21000	2	100	0	-1	0	5	18240	0	4	0	1	1	143020000	1	1	2000	20000	60	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20001	天赋石[斩击刺]	1001501	1	4194314	99	21000	2	100	0	-1	0	5	21600	0	5	0	1	1	143020001	1	1	3000	30000	60	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20002	天赋石[狂暴旋风]	1001502	1	4194314	99	21000	2	100	0	-1	0	5	25440	0	6	0	1	1	143020002	1	1	5000	50000	60	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20003	天赋石[炎阳领域]	1001504	1	4194314	99	21000	3	100	0	-1	0	5	50880	0	7	0	1	50	143020003	1	1	18000	180000	90	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20004	天赋石[突刺]	1001503	1	4194314	99	21000	3	100	0	-1	0	5	43200	0	10	0	1	80	143020004	1	1	50000	500000	120	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20005	天赋石[毁灭剑气]	1001505	1	4194314	99	21000	3	100	0	-1	0	5	59040	0	9	0	1	110	143020005	1	1	24000	240000	90	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20006	天赋石[地裂斩]	1001506	1	4194314	99	21000	4	100	0	-1	0	5	77760	0	8	0	1	140	143020006	1	1	12000	120000	90	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20007	天赋石[圣光庇佑]	1001507	1	4194314	99	21000	4	100	0	-1	0	5	87360	0	12	0	1	170	143020007	1	1	100000	1000000	120	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20008	天赋石[十字灭神]	1001508	1	4194314	99	21000	4	100	0	-1	0	5	98400	0	11	0	1	200	143020008	1	1	75000	750000	120	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20091	天赋石[斩击刺]	1001501	1	4194314	99	21000	2	100	0	-1	0	-1	0	0	5	0	1	1	143020009	0	1	37500	75000	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20092	天赋石[狂暴旋风]	1001502	1	4194314	99	21000	2	100	0	-1	0	-1	0	0	6	0	1	1	143020010	0	1	37500	75000	50	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
