INT	INT	INT	STRING	STRING	STRING	STRING	STRING
32	-1	4029	2017/4/13 12:00	2018/12/30 12:00	1,2000000|2,1000000|3,10000|23036,1|450000,1|450003,1|450006,1|450007,1|450004,1|450005,1	1,2000000|2,1000000|3,10000|23037,1|450001,1|450008,1|450009,1|450010,1|450011,1|450012,1	1,2000000|2,1000000|3,10000|23038,1|450002,1|450013,1|450014,1|450015,1|450016,1|450017,1
33	-1	4034	2017/9/28 12:00	2018/12/30 12:00	2,500000|17,100|24513,1	2,500000|17,100|24513,1	2,500000|17,100|24513,1
34	-1	4036	2017/9/28 12:00	2018/12/30 12:00	28000,5|17,500|2,1000000|22007,1|23585,1|24514,1	28000,5|17,500|2,1000000|22007,1|23585,1|24514,1	28000,5|17,500|2,1000000|22007,1|23585,1|24514,1
35	-1	4037	2017/9/28 12:00	2018/12/30 12:00	28000,10|17,1000|2,5000000|22007,5|23585,3|27600,1|24514,2	28000,10|17,1000|2,5000000|22007,5|23585,3|27600,1|24514,2	28000,10|17,1000|2,5000000|22007,5|23585,3|27600,1|24514,2
36	-1	4038	2017/9/28 12:00	2018/12/30 12:00	28000,15|17,2000|2,7000000|22007,10|23585,5|27600,3|24515,2	28000,15|17,2000|2,7000000|22007,10|23585,5|27600,3|24515,2	28000,15|17,2000|2,7000000|22007,10|23585,5|27600,3|24515,2
37	-1	4039	2017/9/28 12:00	2018/12/30 12:00	28000,20|17,3000|2,9000000|22007,20|23585,10|27600,5|24515,3	28000,20|17,3000|2,9000000|22007,20|23585,10|27600,5|24515,3	28000,20|17,3000|2,9000000|22007,20|23585,10|27600,5|24515,3
38	-1	4040	2018/1/1 12:00	2018/12/30 12:00	2,100000|22000,5|22003,5|22002,5	2,100000|22000,5|22003,5|22002,5	2,100000|22000,5|22003,5|22002,5
39	-1	4041	2018/1/1 12:00	2018/12/30 12:00	2,200000|22000,5|22003,5|22018,5|22017,10	2,200000|22000,5|22003,5|22018,5|22017,10	2,200000|22000,5|22003,5|22018,5|22017,10
40	-1	4042	2018/1/1 12:00	2018/12/30 12:00	2,300000|22003,10|22018,5|22066,3	2,300000|22003,10|22018,5|22066,3	2,300000|22003,10|22018,5|22066,3
41	-1	4043	2018/1/1 12:00	2018/12/30 12:00	2,400000|22000,5|22003,5|22018,5|22001,3	2,400000|22000,5|22003,5|22018,5|22001,3	2,400000|22000,5|22003,5|22018,5|22001,3
101	-1	4044	2018/1/1 12:00	2018/4/25 23:59	23144,100|17,50|22000,3	23144,100|17,50|22000,3	23144,100|17,50|22000,3
102	-1	4045	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,20|22001,3	23144,50|17,20|22001,3	23144,50|17,20|22001,3
103	-1	4046	2018/1/1 12:00	2018/4/25 23:59	23144,100|17,50|22003,10	23144,100|17,50|22003,10	23144,100|17,50|22003,10
104	-1	4047	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22017,20	23144,50|17,50|22017,20	23144,50|17,50|22017,20
105	-1	4048	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22018,6	23144,50|17,50|22018,6	23144,50|17,50|22018,6
106	-1	4049	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|22002,10	23144,80|17,50|22002,10	23144,80|17,50|22002,10
107	-1	4050	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
108	-1	4051	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
109	-1	4052	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|22000,5|22003,5	23144,80|17,50|22000,5|22003,5	23144,80|17,50|22000,5|22003,5
110	-1	4053	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|22017,10|22018,5	23144,80|17,50|22017,10|22018,5	23144,80|17,50|22017,10|22018,5
111	-1	4054	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22018,5|22000,5	23144,50|17,50|22018,5|22000,5	23144,50|17,50|22018,5|22000,5
112	-1	4055	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,80|22018,8|22000,8	23144,80|17,80|22018,8|22000,8	23144,80|17,80|22018,8|22000,8
113	-1	4056	2018/1/1 12:00	2018/12/31 23:59	23144,100|17,100|20304,3|5,3000	23144,100|17,100|20304,3|5,3000	23144,100|17,100|20304,3|5,3000
114	-1	4057	2018/1/1 12:00	2018/12/31 23:59	23144,100|17,100|20305,2|5,3000	23144,100|17,100|20305,2|5,3000	23144,100|17,100|20305,2|5,3000
115	-1	4058	2018/1/1 12:00	2018/12/31 23:59	23144,100|17,100|5,1000|22066,5	23144,100|17,100|5,1000|22066,5	23144,100|17,100|5,1000|22066,5
116	-1	4059	2018/1/1 12:00	2018/4/25 23:59	23144,150|17,150|5,2000|20304,3	23144,150|17,150|5,2000|20304,3	23144,150|17,150|5,2000|20304,3
117	-1	4060	2018/1/1 12:00	2018/4/25 23:59	23144,120|17,120|22017,30|23180,5	23144,120|17,120|22017,30|23180,5	23144,120|17,120|22017,30|23180,5
118	-1	4061	2018/1/1 12:00	2018/4/25 23:59	23144,180|17,180|22000,10|22003,20	23144,180|17,180|22000,10|22003,20	23144,180|17,180|22000,10|22003,20
119	-1	4062	2018/1/1 12:00	2018/4/25 23:59	23144,180|17,180|22001,10|22002,10	23144,180|17,180|22001,10|22002,10	23144,180|17,180|22001,10|22002,10
120	-1	4063	2018/1/1 12:00	2018/12/31 23:59	23144,180|17,180|7,2000|22066,10	23144,180|17,180|7,2000|22066,10	23144,180|17,180|7,2000|22066,10
121	-1	4064	2018/1/1 12:00	2018/4/25 23:59	23144,200|17,200|22018,30|23180,10	23144,200|17,200|22018,30|23180,10	23144,200|17,200|22018,30|23180,10
122	-1	4065	2018/1/1 12:00	2018/4/25 23:59	23144,300|17,300|22054,2|22082,1	23144,300|17,300|22054,2|22082,1	23144,300|17,300|22054,2|22082,1
123	-1	4066	2018/1/1 12:00	2018/4/25 23:59	23144,300|17,300|20305,6|22083,1	23144,300|17,300|20305,6|22083,1	23144,300|17,300|20305,6|22083,1
124	-1	4067	2018/1/1 12:00	2018/4/25 23:59	23144,500|17,500|20306,6|22083,1	23144,500|17,500|20306,6|22083,1	23144,500|17,500|20306,6|22083,1
125	-1	4068	2018/1/1 12:00	2018/4/25 23:59	23144,500|17,500|22017,30|22084,1	23144,500|17,500|22017,30|22084,1	23144,500|17,500|22017,30|22084,1
126	-1	4069	2018/1/1 12:00	2018/4/25 23:59	23144,100|17,50|22000,3	23144,100|17,50|22000,3	23144,100|17,50|22000,3
127	-1	4070	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,20|22001,3	23144,50|17,20|22001,3	23144,50|17,20|22001,3
128	-1	4071	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22017,20	23144,50|17,50|22017,20	23144,50|17,50|22017,20
129	-1	4072	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22017,20	23144,50|17,50|22017,20	23144,50|17,50|22017,20
130	-1	4073	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,50|22018,6	23144,50|17,50|22018,6	23144,50|17,50|22018,6
131	-1	4074	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|22002,10	23144,80|17,50|22002,10	23144,80|17,50|22002,10
132	-1	4075	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|22002,10	23144,80|17,50|22002,10	23144,80|17,50|22002,10
133	-1	4076	2018/1/1 12:00	2018/4/25 23:59	23144,50|17,20|22001,3	23144,50|17,20|22001,3	23144,50|17,20|22001,3
134	-1	4077	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
135	-1	4078	2018/1/1 12:00	2018/4/25 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
136	-1	4079	2018/1/1 12:00	2018/12/31 23:59	23144,100|17,100|5,1000|22066,5	23144,100|17,100|5,1000|22066,5	23144,100|17,100|5,1000|22066,5
137	-1	4080	2018/1/1 12:00	2018/12/31 23:59	23144,50|17,20|22001,3	23144,50|17,20|22001,3	23144,50|17,20|22001,3
138	-1	4081	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|22002,10	23144,80|17,50|22002,10	23144,80|17,50|22002,10
139	-1	4082	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
140	-1	4083	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3	23144,80|17,50|24513,3|22093,3
141	-1	4084	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,50|22017,10|22018,5	23144,80|17,50|22017,10|22018,5	23144,80|17,50|22017,10|22018,5
142	-1	4085	2018/1/1 12:00	2018/12/31 23:59	23144,50|17,50|22018,5|22000,5	23144,50|17,50|22018,5|22000,5	23144,50|17,50|22018,5|22000,5
143	-1	4086	2018/1/1 12:00	2018/12/31 23:59	23144,80|17,80|22018,8|22000,8	23144,80|17,80|22018,8|22000,8	23144,80|17,80|22018,8|22000,8
