INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
13	0	-1	0	-1	0	1	400	-1	113	400	0	-1	-1	-1	-1	2	-1	-1	7	2	90	2	-1	-1	-1	0	-1	250	4	-1	-1	-1	-1	22	-1	22	-1	1	0	-1	-1	-1	-1	-1	1	0	15
14	0	-1	0	-1	0	1	400	-1	114	400	0	-1	-1	-1	-1	2	-1	-1	7	2	90	2	-1	-1	-1	0	-1	185	4	-1	-1	-1	-1	23	-1	23	-1	1	0	-1	-1	-1	-1	-1	1	0	15
15	0	-1	0	-1	0	1	400	-1	115	400	0	-1	-1	-1	-1	2	-1	-1	7	2	90	2	-1	-1	-1	0	-1	160	4	-1	-1	-1	-1	24	-1	24	-1	1	0	-1	-1	-1	-1	-1	1	0	15
16	0	-1	0	-1	0	1	600	-1	116	800	0	-1	-1	-1	-1	2	-1	-1	7	2	90	2	-1	-1	-1	0	-1	300	4	-1	-1	-1	-1	25	-1	25	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
17	3	-1	0	-1	0	1	0	-1	-1	-1	0	-1	-1	-1	-1	4	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	16	-1	-1	16	-1	0	0	-1	28	5	-1	-1	1	1	15
18	0	-1	0	-1	0	1	200	-1	118	200	4	1	250	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	0	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
19	0	-1	0	-1	0	1	150	-1	119	150	4	1	200	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
20	0	-1	0	-1	0	1	250	-1	120	250	4	1	150	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	2	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
21	0	-1	0	-1	0	1	500	-1	121	500	4	1	350	-1	-1	2	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	100	4	-1	-1	-1	3	-1	-1	-1	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
22	0	-1	0	-1	0	1	200	-1	122	200	4	1	250	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	0	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
23	0	-1	0	-1	0	1	150	-1	123	150	4	1	200	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
24	0	-1	0	-1	0	1	250	-1	124	250	4	1	150	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	2	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
25	0	-1	0	-1	0	1	500	-1	125	500	4	1	350	-1	-1	2	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	100	4	-1	-1	-1	3	-1	-1	-1	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
26	0	-1	0	-1	0	1	200	-1	126	200	4	1	250	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	0	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
27	0	-1	0	-1	0	1	150	-1	127	150	4	1	200	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
28	0	-1	0	-1	0	1	250	-1	128	250	4	1	150	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	2	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
29	0	-1	0	-1	0	1	500	-1	129	500	4	1	350	-1	-1	2	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	100	4	-1	-1	-1	3	-1	-1	-1	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
30	3	-1	0	-1	300000	1	1500	-1	112	1000	7	5	600	-1	-1	16	-1	-1	2	10	-1	-1	-1	-1	-1	0	-1	-1	20	-1	-1	26	26	-1	-1	-1	-1	0	0	122	1	-1	4004	-1	1	1	10
100	0	-1	0	-1	0	1	400	100	300	467	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	100	-1	100	-1	1	0	-1	-1	-1	-1	-1	1	0	15
101	0	-1	0	-1	0	1	300	101	301	367	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	101	-1	101	-1	1	0	-1	-1	-1	-1	-1	1	0	15
102	0	-1	0	-1	0	1	500	103	302	500	2	600	200	8	1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	102	-1	102	-1	-2	0	-1	-1	-1	-1	-1	1	0	15
103	0	-1	0	-1	0	1	0	-1	-1	0	0	-1	-1	-1	-1	2	-1	-1	6	2	7	6	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	103	-1	103	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
104	1	-1	10000100	-1	9000	1	1300	-1	323	1000	4	3	400	200	-1	8	-1	-1	4	3	8	-1	-1	-1	-1	0	-1	200	6	-1	-1	-1	104	104	-1	-1	-1	0	0	-1	101	10	4104	20100	100	1	15
105	1	-1	10000104	-1	12000	1	1000	-1	303	700	2	2700	50	8	1	8	116	-1	4	3	8	-1	-1	-1	-1	0	-1	500	6	-1	-1	-1	-1	105	-1	105	-1	0	0	-1	105	8	4105	20101	150	1	15
106	1	-1	10000108	-1	12000	1	1300	-1	307	800	7	4	700	16	0	8	-1	-1	2	6	1	-1	-1	-1	-1	0	-1	0	6	-1	-1	117	117	117	117	-1	-1	0	0	328	109	10	4106	20102	200	1	15
107	1	-1	10000112	-1	12000	1	1450	-1	311	1300	4	2	400	0	-1	8	-1	-1	2	5	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	108	-1	-1	-1	-1	0	0	321	113	10	4107	20103	350	1	15
108	1	-1	10000116	-1	14000	1	1500	-1	315	1250	4	2	700	0	-1	8	-1	-1	4	3	8	-1	-1	-1	-1	0	300	-1	6	-1	-1	-1	109	-1	-1	-1	-1	0	0	-1	117	8	4108	20104	400	1	15
109	1	-1	10000120	-1	12000	1	1500	-1	306	800	2	3000	600	8	1	8	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	500	6	-1	-1	-1	-1	110	-1	110	-1	0	0	306	121	10	4109	20105	450	1	15
110	1	-1	10000124	-1	6000	1	800	-1	308	500	0	-1	-1	-1	-1	8	-1	-1	4	1	7	-1	-1	-1	-1	0	-1	-1	1	112	113	-1	-1	119	-1	119	-1	0	0	-1	125	7	4110	20106	300	1	15
111	1	-1	10000128	-1	10000	1	800	-1	314	800	0	-1	-1	-1	-1	8	-1	-1	2	9	-1	-1	-1	-1	-1	3	-1	-1	6	-1	-1	-1	-1	114	-1	114	-1	0	0	-1	129	8	4111	20107	250	1	15
112	1	-1	10000131	-1	18000	1	1500	-1	312	1500	4	3	700	0	0	8	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	115	-1	118	-1	-1	0	0	-1	132	10	4112	20108	500	1	15
113	1	-1	0	-1	9000	-1	1500	-1	316	700	2	2700	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
114	1	-1	0	-1	-1	-1	-1	-1	319	1200	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	319	-1	-1	-1	-1	1	1	15
115	0	-1	0	-1	0	1	550	-1	318	600	4	1	450	-1	-1	2	-1	-1	6	2	6	5	-1	-1	-1	0	-1	-1	4	-1	-1	-1	120	-1	-1	-1	-1	1	0	323	-1	-1	-1	-1	1	0	15
116	0	-1	0	-1	0	1	550	-1	320	600	4	1	250	-1	-1	2	-1	-1	6	2	6	5	-1	-1	-1	0	-1	-1	4	-1	-1	-1	121	-1	-1	-1	-1	1	0	324	-1	-1	-1	-1	1	0	15
117	0	-1	0	-1	0	1	350	-1	321	400	4	1	300	-1	-1	2	-1	-1	6	2	6	5	-1	-1	-1	0	-1	-1	4	-1	-1	-1	122	-1	-1	-1	-1	1	0	325	-1	-1	-1	-1	1	0	15
118	0	-1	0	-1	0	1	1250	-1	322	1300	4	1	500	-1	-1	2	-1	-1	6	2	6	5	-1	-1	-1	0	-1	-1	4	-1	-1	-1	123	-1	-1	-1	-1	-3	0	326	-1	-1	-1	-1	1	0	15
119	1	-1	10000100	-1	8000	1	1300	-1	313	1000	4	2	800	0	-1	8	-1	-1	4	3	8	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	104	-1	-1	-1	-1	0	0	-1	101	7	4104	20100	100	1	15
120	1	-1	0	-1	0	1	0	-1	-1	-1	3	-1	-1	-1	-1	8	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	10	-1	-1	1	0	15
121	0	-1	0	-1	0	1	400	106	300	467	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	100	-1	100	-1	1	0	-1	-1	-1	-1	-1	1	0	15
122	0	-1	0	-1	0	1	300	107	301	367	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	101	-1	101	-1	1	0	-1	-1	-1	-1	-1	1	0	15
123	0	-1	0	-1	0	1	500	108	302	500	2	600	200	8	1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	102	-1	102	-1	-2	0	-1	-1	-1	-1	-1	1	0	15
124	0	-1	0	-1	0	1	0	-1	-1	0	0	-1	-1	-1	-1	2	-1	-1	6	2	7	6	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	103	-1	103	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
125	0	-1	0	-1	0	1	400	109	300	467	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	100	-1	100	-1	1	0	-1	-1	-1	-1	-1	1	0	15
126	0	-1	0	-1	0	1	300	110	301	367	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	101	-1	101	-1	1	0	-1	-1	-1	-1	-1	1	0	15
127	0	-1	0	-1	0	1	500	111	302	500	2	600	200	8	1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	102	-1	102	-1	-2	0	-1	-1	-1	-1	-1	1	0	15
128	0	-1	0	-1	0	1	0	-1	-1	0	0	-1	-1	-1	-1	2	-1	-1	6	2	7	6	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	103	-1	103	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
129	0	-1	0	-1	0	1	400	112	300	467	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	100	-1	100	-1	1	0	-1	-1	-1	-1	-1	1	0	15
130	0	-1	0	-1	0	1	300	113	301	367	0	-1	-1	-1	-1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	101	-1	101	-1	1	0	-1	-1	-1	-1	-1	1	0	15
131	0	-1	0	-1	0	1	500	114	302	500	2	600	200	8	1	2	-1	-1	7	6	50	6	-1	-1	-1	0	-1	-1	4	-1	-1	-1	-1	102	-1	102	-1	-2	0	-1	-1	-1	-1	-1	1	0	15
132	0	-1	0	-1	0	1	0	-1	-1	0	0	-1	-1	-1	-1	2	-1	-1	6	2	7	6	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	103	-1	103	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
133	3	-1	0	-1	300000	1	1500	-1	311	1000	7	5	600	-1	-1	16	-1	-1	2	10	-1	-1	-1	-1	-1	0	-1	-1	20	-1	-1	125	125	-1	-1	-1	-1	0	0	329	1	-1	4104	-1	1	1	10
200	0	-1	0	-1	0	1	300	-1	200	300	4	1	200	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	200	-1	-1	-1	-1	1	0	200	-1	-1	-1	-1	1	0	15
201	0	-1	0	-1	0	1	350	-1	201	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	201	-1	-1	-1	-1	1	0	201	-1	-1	-1	-1	1	0	15
202	0	-1	0	-1	0	1	350	-1	202	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	202	-1	-1	-1	-1	1	0	202	-1	-1	-1	-1	1	0	15
203	0	-1	0	-1	0	1	800	-1	203	700	4	1	600	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	203	-1	-1	-1	-1	-3	0	203	-1	-1	-1	-1	1	0	15
204	1	-1	10000200	-1	3000	1	500	-1	217	700	4	1	400	-1	-1	4	-1	-1	3	8	60	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	204	204	204	-1	-1	0	0	-1	201	9	4204	20200	100	1	15
205	1	-1	10000204	-1	5500	1	1300	-1	204	1200	4	2	800	0	-1	4	-1	-1	4	3	7	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	205	206	-1	-1	-1	0	0	-1	205	11	4205	20201	400	1	15
206	1	-1	10000208	-1	6000	1	1300	-1	208	1200	4	2	500	0	-1	4	-1	-1	4	3	7	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	207	208	-1	-1	-1	0	0	-1	209	9	4206	20202	150	1	15
207	1	-1	10000212	-1	8000	1	1500	-1	205	1800	4	3	400	400	600	4	-1	-1	2	6	6	1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	209	209	209	209	-1	0	0	-1	213	9	4207	20206	200	1	15
208	1	-1	10000216	-1	10000	1	1300	-1	210	1100	4	3	400	1400	0	8	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	225	225	-1	-1	-1	0	0	210	217	8	4208	20205	350	1	15
209	1	-1	10000219	-1	10000	1	1000	-1	211	1000	0	-1	-1	-1	-1	8	-1	-1	2	9	-1	-1	-1	-1	-1	3	-1	-1	6	-1	-1	-1	-1	211	-1	211	-1	0	0	-1	220	8	4209	20203	250	1	15
210	1	-1	10000222	-1	20000	1	1300	-1	209	1300	4	1	1200	-1	-1	8	-1	-1	2	9	-1	-1	-1	-1	-1	3	-1	500	3	-1	-1	-1	212	-1	-1	-1	-1	0	1	208	223	8	4210	20207	450	1	15
211	1	-1	10000226	-1	8000	1	900	-1	207	700	0	-1	-1	-1	-1	4	-1	-1	4	2	6	-1	-1	-1	-1	0	-1	-1	1	217	-1	-1	-1	213	-1	213	-1	0	0	-1	227	6	4211	20204	300	1	15
212	1	-1	10000230	-1	12000	1	2000	-1	212	1500	4	3	500	1000	1000	4	-1	-1	2	6	-1	1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	214	214	214	214	214	0	0	-1	231	8	4212	20208	500	1	15
213	0	-1	0	-1	0	1	250	-1	213	300	4	1	230	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	218	-1	-1	-1	-1	1	0	216	-1	-1	-1	-1	1	0	15
214	0	-1	0	-1	0	1	350	-1	214	300	4	1	200	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	219	-1	-1	-1	-1	1	0	217	-1	-1	-1	-1	1	0	15
215	0	-1	0	-1	0	1	300	-1	215	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	220	-1	-1	-1	-1	1	0	218	-1	-1	-1	-1	1	0	15
216	0	-1	0	-1	0	1	450	-1	216	500	4	1	350	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	221	-1	-1	-1	-1	-3	0	219	-1	-1	-1	-1	1	0	15
217	1	-1	10000200	-1	7000	1	500	-1	206	700	4	3	500	300	300	4	-1	-1	3	8	90	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	204	204	204	-1	-1	0	0	-1	201	6	4204	20200	100	1	15
218	1	-1	10000230	-1	12000	1	2000	-1	218	1500	4	3	1700	550	550	4	-1	-1	5	5	6	1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	214	214	214	-1	215	0	0	-1	231	5	4212	20208	900	1	15
219	0	-1	0	-1	0	1	300	-1	200	300	4	1	200	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	200	-1	-1	-1	-1	1	0	223	-1	-1	-1	-1	1	0	15
220	0	-1	0	-1	0	1	350	-1	201	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	201	-1	-1	-1	-1	1	0	224	-1	-1	-1	-1	1	0	15
221	0	-1	0	-1	0	1	350	-1	202	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	202	-1	-1	-1	-1	1	0	225	-1	-1	-1	-1	1	0	15
222	0	-1	0	-1	0	1	800	-1	203	700	4	1	600	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	203	-1	-1	-1	-1	-3	0	226	-1	-1	-1	-1	1	0	15
223	0	-1	0	-1	0	1	300	-1	200	300	4	1	200	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	200	-1	-1	-1	-1	1	0	227	-1	-1	-1	-1	1	0	15
224	0	-1	0	-1	0	1	350	-1	201	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	201	-1	-1	-1	-1	1	0	228	-1	-1	-1	-1	1	0	15
225	0	-1	0	-1	0	1	350	-1	202	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	202	-1	-1	-1	-1	1	0	229	-1	-1	-1	-1	1	0	15
226	0	-1	0	-1	0	1	800	-1	203	700	4	1	600	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	203	-1	-1	-1	-1	-3	0	230	-1	-1	-1	-1	1	0	15
227	0	-1	0	-1	0	1	300	-1	200	300	4	1	200	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	200	-1	-1	-1	-1	1	0	231	-1	-1	-1	-1	1	0	15
228	0	-1	0	-1	0	1	350	-1	201	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	201	-1	-1	-1	-1	1	0	232	-1	-1	-1	-1	1	0	15
229	0	-1	0	-1	0	1	350	-1	202	350	4	1	250	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	202	-1	-1	-1	-1	1	0	233	-1	-1	-1	-1	1	0	15
230	0	-1	0	-1	0	1	800	-1	203	700	4	1	600	-1	-1	2	-1	-1	6	2	8	8	-1	-1	-1	0	-1	-1	4	-1	-1	-1	203	-1	-1	-1	-1	-3	0	234	-1	-1	-1	-1	1	0	15
231	3	-1	0	-1	300000	1	1500	-1	210	1000	7	5	600	-1	-1	16	-1	-1	2	10	-1	-1	-1	-1	-1	0	-1	-1	20	-1	-1	226	226	-1	-1	-1	-1	0	0	235	1	-1	4204	-1	1	1	10
300	1	-1	0	-1	6000	1	0	-1	-1	0	0	-1	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	300	-1	300	-1	0	2	-1	-1	-1	-1	-1	1	1	15
301	1	-1	0	-1	6000	1	0	-1	-1	0	0	-1	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	301	-1	301	-1	0	2	-1	-1	-1	-1	-1	1	1	15
302	1	-1	0	-1	30000	1	0	-1	-1	0	0	-1	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	302	-1	302	-1	0	2	-1	-1	-1	-1	-1	1	1	15
303	3	-1	0	-1	5000	1	0	-1	-1	0	0	-1	-1	-1	-1	8	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	8072	-1	-1	-1	-1	-1	0	0	611	-1	-1	-1	-1	1	1	15
999	1	-1	0	-1	0	1	0	-1	-1	0	0	-1	-1	-1	-1	4	-1	-1	1	4	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	408	-1	15003	-1	1	1	15
1000	2	-1	0	-1	0	1	3000	-1	0	0	0	-1	-1	-1	-1	2	-1	-1	1	3	-1	-1	-1	-1	-1	0	-1	300	10	-1	-1	-1	-1	1000	-1	1000	-1	0	0	-1	-1	-1	-1	-1	1	1	15
1004	2	-1	0	-1	0	1	0	-1	0	0	3	1005	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	0	2	-1	-1	-1	-1	-1	1	1	15
1006	2	-1	0	-1	0	1	6000	-1	1001	6000	5	2	3000	16	1	16	-1	-1	5	2	20	-1	-1	-1	-1	0	3000	-1	10	-1	-1	1010	1007	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	1	1	15
1007	2	-1	0	-1	0	1	1500	1000	1000	0	0	-1	-1	-1	-1	16	-1	-1	1	6	-1	-1	-1	-1	-1	0	-1	10000	10	-1	-1	-1	-1	1008	-1	1008	-1	0	0	-1	-1	-1	-1	-1	1	1	15
1008	2	-1	0	-1	0	1	5000	-1	1004	4500	2	4500	500	16	0	16	-1	-1	3	7	90	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	1009	-1	1009	-1	0	0	-1	-1	-1	-1	-1	1	1	15
1009	2	-1	0	-1	0	1	0	-1	0	0	3	1011	-1	-1	-1	16	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	15
1010	2	-1	0	-1	0	1	2000	1001	2000	0	0	-1	-1	-1	-1	8	-1	-1	1	4	-1	-1	-1	-1	-1	0	-1	-1	10	-1	-1	-1	-1	1012	-1	1012	-1	0	0	-1	-1	-1	-1	-1	1	1	15
