INT	INT	STRING	INT	INT	INT	INT	INT
26	0	79|101|124|149|175|203|232|263|295|329|364|401|439|479|520|563|607|653|700|700|749|799|851|904|959|1015|1073|1132|1193|1193|1255|1319|1384|1451|1519|1589|1660|1733|1807|1807|1883|1960|2039|2119|2201|2284|2369|2455|2543|2543|2632|2723|2815|2909|3004|3101|3199|3299|3400|3400|3503|3607|3713|3820|3929|4039|4151|4264|4379|4379|4495|4613|4732|4853|4975|5099|5224|5351|5479|5479	-1	-1	-1	-1	-1
27	1		20	0	-1	-1	-1
28	0	6000|7500|9000|10750|14000|17500|21000|24500|28250|33500|42500|51750|61000|70750|80500|90500|100750|111250|1350|134750|149750|165250|180750|196750|219000|239750|261000|282750|2400|329250|356500|384250|412500|441250|472750|509500|546750|584750|7200|700750|755500|811500|868250|926000|1034500|1120000|1207000|1295250|18000|1503000|1622500|1744250|1868000|1994000|2231250|2417500|2607000|2799500|36000|3165750|3425500|3689500|3958000|4230500|4806750|5151250|5501000|5856500|72000|6771750|7271500|7779250|8294750|8818250|9806250|10547000|11298750|12062250|120000|0	-1	-1	-1	-1	-1
29	0	11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|11500|13500|13500|13500|13500|13500|13500|13500|13500|13500|13500|15500|15500|15500|15500|15500|15500|15500|15500|15500|15500|18000|18000|18000|18000|18000|18000|18000|18000|18000|18000|20500|20500|20500|20500|20500|20500|20500|20500|20500|20500|22500|22500|22500|22500|22500|22500|22500|22500|22500|22500|25500|25500|25500|25500|25500|25500|25500|25500|25500|25500|28500	-1	-1	-1	-1	-1
30	0	6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|7200|7200|7200|7200|7200|7200|7200|7200|7200|7200|8400|8400|8400|8400|8400|8400|8400|8400|8400|8400|9600|9600|9600|9600|9600|9600|9600|9600|9600|9600|10800|10800|10800|10800|10800|10800|10800|10800|10800|10800|12000|12000|12000|12000|12000|12000|12000|12000|12000|12000|13500|13500|13500|13500|13500|13500|13500|13500|13500|13500|15000	-1	-1	-1	-1	-1
31	0	132|184|245|314|391|477|571|673|784|903|1030|1165|1309|1461|1621|1790|1967|2152|2346|2346|2548|2758|2976|3203|3438|3681|3933|4193|4461|4461|4738|5023|5316|5617|5927|6245|6571|6906|7249|7249|7600|7960|8328|8704|9088|9481|9882|10291|10709|10709|11135|11569|12012|12463|12922|13389|13865|14349|14841|14841|15342|15851|16368|16894|17428|17970|18520|19079|19646|19646|20221|20805|21397|21997|22606|23223|23848|24481|25123|25123	-1	-1	-1	-1	-1
32	1		20	0	-1	-1	-1
33	0	5500|7000|8750|10250|13500|16500|20000|23250|26750|32000|40500|49000|58000|67250|76500|86000|95750|105750|1350|128000|142250|156750|171750|187000|208250|227750|248000|268500|2250|312750|338500|365000|391750|419250|449000|484000|519500|555500|6750|665750|717750|770750|824750|879750|982750|1064000|1146500|1230500|17100|1427750|1541500|1657000|1774750|1894250|2119750|2296750|2476750|2659500|34200|3007500|3254250|3505000|3760000|4019000|4566500|4893500|5226000|5563750|68400|6433000|6908000|7390250|7880000|8377500|9316000|10019500|10734000|11459000|114000|0	-1	0	-1	-1	-1
34	1		-3500	-50	-1	-1	-1
100	1		20	0	-1	-1	-1
101	0	3000|3750|4500|5250|7000|8750|10500|12250|14000|16750|21250|25750|30500|35250|40250|45250|50250|55500|600|67250|74750|82500|90250|98250|109500|119750|130500|141250|1200|164500|178250|192000|206250|220500|236250|254750|273250|292250|3600|350250|377750|405750|434000|463000|517250|560000|603500|647500|9000|751500|811250|872000|934000|997000|1115500|1208750|1303500|1399750|18000|1582750|1712750|1844750|1979000|2115250|2403250|2575500|2750500|2928250|36000|3385750|3635750|3889500|4147250|4409000|4903000|5273500|5649250|6031000|60000|0	-1	-1	-1	-1	-1
102	0	7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|7400|9100|9100|9100|9100|9100|9100|9100|9100|9100|9100|10700|10700|10700|10700|10700|10700|10700|10700|10700|10700|12200|12200|12200|12200|12200|12200|12200|12200|12200|12200|13700|13700|13700|13700|13700|13700|13700|13700|13700|13700|15300|15300|15300|15300|15300|15300|15300|15300|15300|15300|17200|17200|17200|17200|17200|17200|17200|17200|17200|17200|19100	-1	-1	-1	-1	-1
103	0	78|102|127|155|184|214|247|281|317|355|394|435|478|523|570|618|668|720|773|773|829|886|944|1005|1067|1132|1197|1265|1334|1334|1406|1479|1553|1630|1708|1788|1870|1953|2038|2038|2125|2214|2305|2397|2491|2587|2684|2784|2885|2885|2987|3092|3198|3307|3416|3528|3641|3757|3874|3874|3992|4113|4235|4359|4485|4612|4741|4872|5005|5005|5140|5276|5414|5554|5695|5839|5984|6130|6279|6279	-1	-1	-1	-1	-1
104	1		10	0	-1	-1	-1
105	0	3250|4250|5250|6250|8000|10000|12000|14000|16250|19250|24500|29750|35000|40500|46250|52000|58000|64000|750|77500|86000|95000|104000|113000|126000|137750|150000|162500|1350|189250|205000|220750|237000|253750|271750|293000|314250|336250|4050|403000|434500|466500|499250|532500|594750|644000|694000|744750|10350|864250|933000|1003000|1074000|1146500|1283000|1390000|1499000|1609750|20700|1820250|1969750|2121500|2275750|2432500|2763750|2961750|3163000|3367500|41400|3893750|4181000|4473000|4769500|5070500|5638500|6064500|6496750|6935750|69000|0	-1	-1	-1	-1	-1
106	0	3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|4700|4700|4700|4700|4700|4700|4700|4700|4700|4700|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|6400|6400|6400|6400|6400|6400|6400|6400|6400|6400|7000|7000|7000|7000|7000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|8000|8000|8000|8000|8000|8600|8600|8600|8600|8600|8600|8600|8600|8600|8600|9500	-1	-1	-1	-1	-1
107	0	34|39|45|50|56|62|68|75|82|89|96|104|112|120|129|137|146|155|165|165|175|184|195|205|216|227|238|250|262|262|274|286|299|311|325|338|352|365|380|380|394|409|424|439|454|470|486|502|518|518|535|552|569|587|605|623|641|660|679|679|698|717|737|756|777|797|818|838|860|860|881|903|925|947|969|992|1015|1038|1062|1062	-1	-1	-1	-1	-1
108	1		20	0	-1	-1	-1
109	0	3750|4750|5750|6750|8750|11000|13000|15250|17500|21000|26500|32250|38000|44000|50250|56500|63000|69500|900|84250|93500|103250|113000|123000|137000|149750|163000|176500|1500|205750|222750|240000|257750|275750|295500|318250|341750|365500|4500|438000|472250|507000|542500|578750|646500|700000|754250|809500|11250|939250|1014000|1090250|1167500|1246250|1394500|1511000|1629250|1749750|22500|1978500|2141000|2306000|2473750|2644000|3004250|3219500|3438250|3660250|45000|4232250|4544750|4862000|5184250|5511500|6129000|6591750|7061750|7538750|75000|0	-1	-1	-1	-1	-1
110	0	4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|5100|5100|5100|5100|5100|5100|5100|5100|5100|5100|6100|6100|6100|6100|6100|6100|6100|6100|6100|6100|6900|6900|6900|6900|6900|6900|6900|6900|6900|6900|7900|7900|7900|7900|7900|7900|7900|7900|7900|7900|8700|8700|8700|8700|8700|8700|8700|8700|8700|8700|9700|9700|9700|9700|9700|9700|9700|9700|9700|9700|10700	-1	-1	-1	-1	-1
111	0	37|48|60|73|87|101|117|134|151|170|189|209|230|253|276|300|325|351|378|378|406|434|464|495|526|559|592|627|662|662|698|736|774|813|853|894|936|979|1022|1022|1067|1113|1160|1207|1256|1305|1355|1407|1459|1459|1512|1566|1621|1678|1734|1792|1851|1911|1972|1972|2033|2096|2160|2224|2290|2356|2423|2491|2561|2561|2631|2702|2774|2847|2921|2996|3071|3148|3226|3226	-1	-1	-1	-1	-1
112	1		20	0	-1	-1	-1
113	0	5250|6500|8000|9500|12250|15250|18250|21500|24750|29250|37250|45250|53500|61750|70500|79250|88250|97250|1200|118000|131000|144500|158250|172250|191750|209750|228500|247250|2100|288000|311750|336250|360750|386000|413750|445750|478500|511750|6300|613250|661250|710000|759750|810250|905250|980000|1056000|1133500|15750|1315000|1419750|1526250|1634500|1744750|1952250|2115250|2281000|2449750|31500|2770000|2997250|3228250|3463250|3701750|4206000|4507250|4813500|5124500|63000|5925250|6362500|6806750|7258000|7716000|8580500|9228500|9886500|10554500|105000|0	-1	0	-1	-1	-1
114	0	3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|4600|4600|4600|4600|4600|4600|4600|4600|4600|4600|5300|5300|5300|5300|5300|5300|5300|5300|5300|5300|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6900|6900|6900|6900|6900|6900|6900|6900|6900|6900|7600|7600|7600|7600|7600|7600|7600|7600|7600|7600|8400|8400|8400|8400|8400|8400|8400|8400|8400|8400|9400	-1	-1	-1	-1	-1
115	0	38|50|64|80|98|117|138|161|186|213|241|271|303|337|373|410|449|490|533|533|578|624|672|722|774|828|883|940|999|999|1060|1123|1187|1253|1321|1391|1463|1536|1611|1611|1688|1767|1848|1930|2014|2100|2188|2278|2369|2369|2462|2557|2654|2753|2853|2955|3059|3165|3273|3273|3382|3493|3606|3721|3838|3956|4076|4198|4322|4322|4448|4575|4704|4835|4968|5103|5239|5377|5517|5517	-1	-1	-1	-1	-1
116	1		20	0	-1	-1	-1
117	0	4750|6250|7500|9000|11500|14500|17250|20250|23250|27750|35000|42500|50250|58250|66250|74750|83000|91750|1050|111250|123500|136250|149000|162250|180750|197750|215250|233250|1950|271500|294000|317000|340250|364000|390000|420250|451000|482500|5850|578000|623250|669500|716250|764000|853500|924000|995750|1068750|14850|1240000|1338500|1439000|1541250|1645000|1840750|1994500|2150750|2309750|29700|2611750|2826000|3043750|3265250|3490250|3965500|4249750|4538500|4831750|59400|5586500|5999000|6417750|6843250|7275000|8090250|8701250|9321500|9951250|99000|0	-1	-1	-1	-1	-1
118	0	19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|19100|23900|23900|23900|23900|23900|23900|23900|23900|23900|23900|26700|26700|26700|26700|26700|26700|26700|26700|26700|26700|30500|30500|30500|30500|30500|30500|30500|30500|30500|30500|34300|34300|34300|34300|34300|34300|34300|34300|34300|34300|38000|38000|38000|38000|38000|38000|38000|38000|38000|38000|42700|42700|42700|42700|42700|42700|42700|42700|42700|42700|47500	-1	-1	-1	-1	-1
119	0	239|307|379|457|539|627|719|817|919|1027|1139|1257|1379|1507|1639|1777|1919|2067|2219|2219|2377|2539|2707|2879|3057|3239|3427|3619|3817|3817|4019|4227|4439|4657|4879|5107|5339|5577|5819|5819|6067|6319|6577|6839|7107|7379|7657|7939|8227|8227|8519|8817|9119|9427|9739|10057|10379|10707|11039|11039|11377|11719|12067|12419|12777|13139|13507|13879|14257|14257|14639|15027|15419|15817|16219|16627|17039|17457|17879|17879	-1	-1	-1	-1	-1
120	1		20	0	-1	-1	-1
121	0	5500|7000|8750|10250|13500|16500|20000|23250|26750|32000|40500|49000|58000|67250|76500|86000|95750|105750|1350|128000|142250|156750|171750|187000|208250|227750|248000|268500|2250|312750|338500|365000|391750|419250|449000|484000|519500|555500|6750|665750|717750|770750|824750|879750|982750|1064000|1146500|1230500|17100|1427750|1541500|1657000|1774750|1894250|2119750|2296750|2476750|2659500|34200|3007500|3254250|3505000|3760000|4019000|4566500|4893500|5226000|5563750|68400|6433000|6908000|7390250|7880000|8377500|9316000|10019500|10734000|11459000|114000|0	-1	-1	-1	-1	-1
122	0	4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|5500|5500|5500|5500|5500|5500|5500|5500|5500|5500|6350|6350|6350|6350|6350|6350|6350|6350|6350|6350|7200|7200|7200|7200|7200|7200|7200|7200|7200|7200|8300|8300|8300|8300|8300|8300|8300|8300|8300|8300|8900|8900|8900|8900|8900|8900|8900|8900|8900|8900|10200|10200|10200|10200|10200|10200|10200|10200|10200|10200|11200	-1	-1	-1	-1	-1
123	0	41|56|71|89|108|128|150|174|199|226|254|283|315|347|382|418|455|494|534|534|577|620|665|712|760|810|861|914|968|968|1024|1082|1140|1201|1263|1327|1392|1458|1527|1527|1596|1668|1741|1815|1891|1968|2047|2128|2210|2210|2293|2379|2465|2554|2643|2735|2827|2922|3018|3018|3115|3214|3315|3417|3521|3626|3732|3841|3950|3950|4062|4175|4289|4405|4522|4642|4762|4884|5008|5008	-1	-1	-1	-1	-1
124	1		20	0	-1	-1	-1
125	0	4000|5250|6250|7500|9750|12250|14750|17250|19750|23500|29750|36250|42750|49500|56250|63250|70500|77750|900|94250|104750|115500|126500|137750|153250|167750|182750|197750|1650|230500|249500|269000|288750|308750|331000|356500|382750|409250|4950|490500|529000|568000|607750|648250|724250|784000|844750|906750|12600|1052000|1135750|1221000|1307750|1395750|1561750|1692250|1824750|1959750|25200|2216000|2397750|2582750|2770500|2961250|3364750|3605750|3850750|4099500|50400|4740000|5090000|5445500|5806250|6172750|6864250|7382750|7909250|8443500|84000|0	-1	0	-1	-1	-1
126	1		3000	100	-1	-1	-1
127	0	63|81|99|119|140|162|186|210|236|263|291|321|351|383|416|450|486|522|560|560|599|639|681|723|767|812|858|906|954|954|1004|1055|1107|1161|1215|1271|1328|1386|1446|1446|1506|1568|1631|1695|1761|1827|1895|1964|2034|2034|2106|2178|2252|2327|2403|2481|2559|2639|2720|2720|2802|2886|2970|3056|3143|3231|3321|3411|3503|3503|3596|3690|3786|3882|3980|4079|4179|4281|4383|4383	-1	-1	-1	-1	-1
128	1		20	0	-1	-1	-1
129	0	4500|5500|6750|8000|10500|13000|15750|18250|21000|25250|31750|38750|45750|53000|60250|67750|75500|83500|1050|101000|112250|123750|135500|147500|164250|179750|195750|212000|1800|247000|267250|288000|309250|330750|354500|382000|410000|438500|5400|525500|566750|608500|651250|694500|775750|840000|905250|971500|13500|1127250|1217000|1308250|1401000|1495500|1673500|1813250|1955250|2099750|27000|2374250|2569250|2767250|2968500|3173000|3605000|3863250|4125750|4392500|54000|5078750|5453500|5834500|6221000|6613750|7354750|7910250|8474000|9046750|90000|0	-1	-1	-1	-1	-1
130	0	33|37|43|48|54|60|66|72|94|102|109|117|125|134|142|151|160|169|201|212|222|233|244|255|267|279|291|303|344|357|371|385|399|413|427|442|457|472|523|539|556|573|589|607|624|642|660|678|738|757|777|796|816|836|857|877|898|919|989|1011|1034|1056|1079|1102|1125|1149|1173|1197|1276|1301|1326|1352|1378|1404|1430|1456|1483|1510|1599|1627	-1	-1	-1	-1	-1
131	1		20	0	-1	-1	-1
132	0	6000|7500|9000|10750|14000|17500|21000|24500|28250|33500|42500|51750|61000|70750|80500|90500|100750|111250|1350|134750|149750|165250|180750|196750|219000|239750|261000|282750|2400|329250|356500|384250|412500|441250|472750|509500|546750|584750|7200|700750|755500|811500|868250|926000|1034500|1120000|1207000|1295250|18000|1503000|1622500|1744250|1868000|1994000|2231250|2417500|2607000|2799500|36000|3165750|3425500|3689500|3958000|4230500|4806750|5151250|5501000|5856500|72000|6771750|7271500|7779250|8294750|8818250|9806250|10547000|11298750|12062250|120000|0	-1	-1	-1	-1	-1
133	0	33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|33700|40400|40400|40400|40400|40400|40400|40400|40400|40400|40400|47100|47100|47100|47100|47100|47100|47100|47100|47100|47100|53900|53900|53900|53900|53900|53900|53900|53900|53900|53900|60600|60600|60600|60600|60600|60600|60600|60600|60600|60600|67300|67300|67300|67300|67300|67300|67300|67300|67300|67300|75700|75700|75700|75700|75700|75700|75700|75700|75700|75700|84100	-1	-1	-1	-1	-1
134	0	301|394|501|621|754|901|1061|1234|1421|1622|1835|2062|2303|2557|2824|3105|3399|3706|4027|4027|4362|4709|5070|5445|5833|6234|6649|7077|7518|7518|7973|8442|8923|9418|9927|10449|10984|11533|12095|12095|12670|13259|13862|14477|15106|15749|16405|17074|17757|17757|18453|19162|19885|20622|21371|22134|22911|23701|24504|24504|25321|26151|26994|27851|28722|29605|30502|31413|32337|32337|33274|34225|35189|36166|37157|38162|39179|40210|41255|41255	-1	-1	-1	-1	-1
200	1		20	0	-1	-1	-1
201	0	3000|3750|4500|5250|7000|8750|10500|12250|14000|16750|21250|25750|30500|35250|40250|45250|50250|55500|600|67250|74750|82500|90250|98250|109500|119750|130500|141250|1200|164500|178250|192000|206250|220500|236250|254750|273250|292250|3600|350250|377750|405750|434000|463000|517250|560000|603500|647500|9000|751500|811250|872000|934000|997000|1115500|1208750|1303500|1399750|18000|1582750|1712750|1844750|1979000|2115250|2403250|2575500|2750500|2928250|36000|3385750|3635750|3889500|4147250|4409000|4903000|5273500|5649250|6031000|60000|0	-1	-1	-1	-1	-1
202	0	5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|6750|6750|6750|6750|6750|6750|6750|6750|6750|6750|7900|7900|7900|7900|7900|7900|7900|7900|7900|7900|9000|9000|9000|9000|9000|9000|9000|9000|9000|9000|10100|10100|10100|10100|10100|10100|10100|10100|10100|10100|11200|11200|11200|11200|11200|11200|11200|11200|11200|11200|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|14000	-1	-1	-1	-1	-1
