INT	INT	INT
3000101	9	600
3000102	9	1320
3000103	9	2100
3000201	2	60000
3000202	2	132000
3000203	2	210000
3010001	26500	2
3010002	26500	3
3010003	26500	4
3010101	26501	4
3010102	26501	5
3010103	26501	6
3010201	23544	1
3010202	23544	2
3010203	23544	3
3020001	23524	1
3020002	23524	2
3020003	23524	3
3020101	23524	1
3020102	23524	2
3020103	23524	3
3020201	26147	1
3020202	26147	1
3020203	26147	1
3030001	22000	2
3030002	22000	3
3030003	22000	4
3030101	22000	2
3030102	22000	3
3030103	22000	4
3030201	20402	1
3030202	20402	2
3030203	20402	3
3040001	23501	1
3040002	23501	2
3040003	23501	3
3040101	23501	1
3040102	23501	2
3040103	23501	3
3040201	23603	1
3040202	23603	1
3040203	23603	1
3050001	23534	1
3050002	23534	2
3050003	23534	3
3050101	23534	1
3050102	23534	2
3050103	23534	3
3050201	23539	2
3050202	23539	3
3050203	23539	4
3060001	7	300
3060002	7	660
3060003	7	1050
3060101	7	300
3060102	7	660
3060103	7	1050
3060201	23550	1
3060202	23550	2
3060203	23550	3
4000001	8	400
4000002	8	880
4000003	8	1400
4000101	9	800
4000102	9	1760
4000103	9	2800
4000201	2	80000
4000202	2	176000
4000203	2	280000
4010001	26501	2
4010002	26501	3
4010003	26501	4
4010101	26502	4
4010102	26502	5
4010103	26502	6
4010201	23544	1
4010202	23544	2
4010203	23544	3
4020001	23524	1
4020002	23524	2
4020003	23524	3
4020101	23524	1
4020102	23524	2
4020103	23524	3
4020201	26153	1
4020202	26153	1
4020203	26153	1
4030001	22000	3
4030002	22000	4
4030003	22000	5
4030101	22000	3
4030102	22000	4
4030103	22000	5
4030201	20402	1
4030202	20402	2
4030203	20402	3
4040001	23501	1
4040002	23501	2
4040003	23501	3
4040101	23501	1
4040102	23501	2
4040103	23501	3
4040201	23603	1
4040202	23603	1
4040203	23603	1
4050001	23534	1
4050002	23534	2
4050003	23534	3
4050101	23534	1
4050102	23534	2
4050103	23534	3
4050201	23539	2
4050202	23539	3
4050203	23539	4
4060001	7	400
4060002	7	880
4060003	7	1400
4060101	7	400
4060102	7	880
4060103	7	1400
4060201	23548	1
4060202	23548	2
4060203	23548	3
5000001	9	500
5000002	9	1100
5000003	9	1750
5000101	8	1000
5000102	8	2200
5000103	8	3500
5000201	2	100000
5000202	2	220000
5000203	2	350000
5010001	26501	2
5010002	26501	3
5010003	26501	4
5010101	26502	4
5010102	26502	5
5010103	26502	6
5010201	23545	1
5010202	23545	2
5010203	23545	3
5020001	23525	1
5020002	23525	2
5020003	23525	3
5020101	23525	1
5020102	23525	2
5020103	23525	3
5020201	26156	1
5020202	26156	1
5020203	26156	1
5030001	22000	3
5030002	22000	4
5030003	22000	5
5030101	22000	3
5030102	22000	4
5030103	22000	5
5030201	20403	1
5030202	20403	2
5030203	20403	3
5040001	23502	1
5040002	23502	2
5040003	23502	3
5040101	23502	1
5040102	23502	2
5040103	23502	3
5040201	23601	1
5040202	23601	1
5040203	23601	1
5050001	23535	1
5050002	23535	2
5050003	23535	3
5050101	23535	1
5050102	23535	2
5050103	23535	3
5050201	23540	2
5050202	23540	3
5050203	23540	4
5060001	7	500
5060002	7	1100
5060003	7	1750
5060101	7	500
5060102	7	1100
5060103	7	1750
5060201	23549	1
5060202	23549	2
5060203	23549	3
6000001	8	600
6000002	8	1320
6000003	8	2100
6000101	9	1200
6000102	9	2640
6000103	9	4200
6000201	2	120000
6000202	2	264000
6000203	2	420000
6010001	26501	2
6010002	26501	3
6010003	26501	4
6010101	26502	4
6010102	26502	5
6010103	26502	6
6010201	23545	1
6010202	23545	2
6010203	23545	3
6020001	23525	1
6020002	23525	2
6020003	23525	3
6020101	23525	1
6020102	23525	2
6020103	23525	3
6020201	26157	1
6020202	26157	1
6020203	26157	1
6030001	22000	4
6030002	22000	5
6030003	22000	6
6030101	22000	4
6030102	22000	5
6030103	22000	6
6030201	20403	1
6030202	20403	2
6030203	20403	3
6040001	23502	1
6040002	23502	2
6040003	23502	3
6040101	23502	1
6040102	23502	2
6040103	23502	3
6040201	23601	1
6040202	23601	1
6040203	23601	1
6050001	23535	1
6050002	23535	2
6050003	23535	3
6050101	23535	1
6050102	23535	2
6050103	23535	3
6050201	23540	2
6050202	23540	3
6050203	23540	4
6060001	7	600
6060002	7	1320
6060003	7	2100
6060101	7	600
6060102	7	1320
6060103	7	2100
6060201	23550	1
6060202	23550	2
6060203	23550	3
7000001	9	700
7000002	9	1540
7000003	9	2450
7000101	8	1400
7000102	8	3080
7000103	8	4900
7000201	2	140000
7000202	2	308000
7000203	2	490000
7010001	26502	2
7010002	26502	3
7010003	26502	4
7010101	26503	4
7010102	26503	5
7010103	26503	6
7010201	23546	1
7010202	23546	2
7010203	23546	3
7020001	23526	1
7020002	23526	2
7020003	23526	3
7020101	23526	1
7020102	23526	2
7020103	23526	3
7020201	26159	1
7020202	26159	1
7020203	26159	1
7030001	22000	4
7030002	22000	5
7030003	22000	6
7030101	22000	4
7030102	22000	5
7030103	22000	6
7030201	20404	1
7030202	20404	2
7030203	20404	3
7040001	23503	1
7040002	23503	2
7040003	23503	3
7040101	23503	1
7040102	23503	2
7040103	23503	3
7040201	23604	1
7040202	23604	1
7040203	23604	1
7050001	23536	1
7050002	23536	2
7050003	23536	3
7050101	23536	1
7050102	23536	2
7050103	23536	3
7050201	23541	2
7050202	23541	3
7050203	23541	4
7060001	7	700
7060002	7	1540
7060003	7	2450
7060101	7	700
7060102	7	1540
7060103	7	2450
7060201	23548	1
7060202	23548	2
7060203	23548	3
8000001	8	800
8000002	8	1760
8000003	8	2800
8000101	9	1600
8000102	9	3520
8000103	9	5600
8000201	2	160000
8000202	2	352000
8000203	2	560000
8010001	26502	2
8010002	26502	3
8010003	26502	4
8010101	26503	4
8010102	26503	5
8010103	26503	6
8010201	23546	1
8010202	23546	2
8010203	23546	3
8020001	23526	1
8020002	23526	2
8020003	23526	3
8020101	23526	1
8020102	23526	2
8020103	23526	3
8020201	26159	1
8020202	26159	1
8020203	26159	1
8030001	22000	5
8030002	22000	6
8030003	22000	7
8030101	22000	5
8030102	22000	6
8030103	22000	7
8030201	20404	1
8030202	20404	2
8030203	20404	3
8040001	23503	1
8040002	23503	2
8040003	23503	3
8040101	23503	1
8040102	23503	2
8040103	23503	3
8040201	23604	1
8040202	23604	1
8040203	23604	1
8050001	23536	1
8050002	23536	2
8050003	23536	3
8050101	23536	1
8050102	23536	2
8050103	23536	3
8050201	23541	2
8050202	23541	3
8050203	23541	4
8060001	7	800
8060002	7	1760
8060003	7	2800
8060101	7	800
8060102	7	1760
8060103	7	2800
8060201	23549	1
8060202	23549	2
8060203	23549	3
9000001	9	900
9000002	9	1980
9000003	9	3150
9000101	8	1800
9000102	8	3960
9000103	8	6300
9000201	2	180000
9000202	2	396000
9000203	2	630000
9010001	26502	2
9010002	26502	3
9010003	26502	4
9010101	26503	4
9010102	26503	5
9010103	26503	6
9010201	23547	1
9010202	23547	2
9010203	23547	3
9020001	23526	1
9020002	23526	2
9020003	23526	3
9020101	23526	1
9020102	23526	2
9020103	23526	3
9020201	26162	1
9020202	26162	1
9020203	26162	1
9030001	22000	5
9030002	22000	6
9030003	22000	7
9030101	22000	5
9030102	22000	6
9030103	22000	7
9030201	20405	1
9030202	20405	2
9030203	20405	3
9040001	23504	1
9040002	23504	2
9040003	23504	3
9040101	23504	1
9040102	23504	2
9040103	23504	3
9040201	23602	1
9040202	23602	1
9040203	23602	1
9050001	23537	1
9050002	23537	2
9050003	23537	3
9050101	23537	1
9050102	23537	2
9050103	23537	3
9050201	23542	2
9050202	23542	3
9050203	23542	4
9060001	7	900
9060002	7	1980
9060003	7	3150
9060101	7	900
9060102	7	1980
9060103	7	3150
9060201	23550	1
9060202	23550	2
9060203	23550	3
10000001	8	1000
10000002	8	2200
10000003	8	3500
10000101	9	2000
10000102	9	4400
10000103	9	7000
10000201	2	200000
10000202	2	440000
10000203	2	700000
10010001	26503	2
10010002	26503	3
10010003	26503	4
10010101	26503	4
10010102	26503	5
10010103	26503	6
10010201	23547	1
10010202	23547	2
10010203	23547	3
10020001	23526	1
10020002	23526	2
10020003	23526	3
10020101	23526	1
10020102	23526	2
10020103	23526	3
10020201	26162	1
10020202	26162	1
10020203	26162	1
10030001	22000	6
10030002	22000	7
10030003	22000	8
10030101	22000	6
10030102	22000	7
10030103	22000	8
10030201	20405	1
10030202	20405	2
10030203	20405	3
10040001	23504	1
10040002	23504	2
10040003	23504	3
10040101	23504	1
10040102	23504	2
10040103	23504	3
10040201	23602	1
10040202	23602	1
10040203	23602	1
10050001	23537	1
10050002	23537	2
10050003	23537	3
10050101	23537	1
10050102	23537	2
10050103	23537	3
10050201	23542	2
10050202	23542	3
10050203	23542	4
10060001	7	1000
10060002	7	2200
10060003	7	3500
10060101	7	1000
10060102	7	2200
10060103	7	3500
10060201	23550	1
10060202	23550	2
10060203	23550	3
