INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10013	-1	0	4星蓝魔怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10014	-1	0	5星蓝魔怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10015	-1	0	1星雪人	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10016	-1	0	2星雪人	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10017	-1	0	3星雪人	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10018	-1	0	4星雪人	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10019	-1	0	5星雪人	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10020	-1	0	1星美人鱼	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10021	-1	0	2星美人鱼	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10022	-1	0	3星美人鱼	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10023	-1	0	4星美人鱼	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10024	-1	0	5星美人鱼	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10025	-1	0	1星暗黑骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10026	-1	0	2星暗黑骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10027	-1	0	3星暗黑骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10028	-1	0	4星暗黑骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10029	-1	0	5星暗黑骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10030	-1	0	1星幼龙	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10031	-1	0	2星幼龙	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10032	-1	0	3星幼龙	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10033	-1	0	4星幼龙	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10034	-1	0	5星幼龙	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10035	-1	0	1星雪虫	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10036	-1	0	2星雪虫	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10037	-1	0	3星雪虫	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10038	-1	0	4星雪虫	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10039	-1	0	5星雪虫	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10040	-1	0	1星巴哈姆特	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10041	-1	0	2星巴哈姆特	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10042	-1	0	3星巴哈姆特	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10043	-1	0	4星巴哈姆特	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10044	-1	0	5星巴哈姆特	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10045	-1	0	1星巨齿兽	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10046	-1	0	2星巨齿兽	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10047	-1	0	3星巨齿兽	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10048	-1	0	4星巨齿兽	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10049	-1	0	5星巨齿兽	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10050	-1	0	1星红魔龙	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10051	-1	0	2星红魔龙	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10052	-1	0	3星红魔龙	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10053	-1	0	4星红魔龙	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10054	-1	0	5星红魔龙	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10055	-1	0	1星树妖	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10056	-1	0	2星树妖	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10057	-1	0	3星树妖	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10058	-1	0	4星树妖	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10059	-1	0	5星树妖	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10060	-1	0	1星石巨人	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10061	-1	0	2星石巨人	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10062	-1	0	3星石巨人	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10063	-1	0	4星石巨人	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10064	-1	0	5星石巨人	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10065	-1	0	1星寒冰魔	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10066	-1	0	2星寒冰魔	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10067	-1	0	3星寒冰魔	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10068	-1	0	4星寒冰魔	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10069	-1	0	5星寒冰魔	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10070	-1	0	1星风后	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10071	-1	0	2星风后	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10072	-1	0	3星风后	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10073	-1	0	4星风后	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10074	-1	0	5星风后	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10075	-1	0	1星牛魔王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10076	-1	0	2星牛魔王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10077	-1	0	3星牛魔王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10078	-1	0	4星牛魔王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10079	-1	0	5星牛魔王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10080	-1	0	1星巫师王	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10081	-1	0	2星巫师王	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10082	-1	0	3星巫师王	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10083	-1	0	4星巫师王	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10084	-1	0	5星巫师王	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10085	-1	0	1星黑炎魔	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10086	-1	0	2星黑炎魔	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10087	-1	0	3星黑炎魔	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10088	-1	0	4星黑炎魔	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10089	-1	0	5星黑炎魔	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10090	-1	0	1星幻影骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10091	-1	0	2星幻影骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10092	-1	0	3星幻影骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10093	-1	0	4星幻影骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10094	-1	0	5星幻影骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10095	-1	0	1星牛怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10096	-1	0	2星牛怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10097	-1	0	3星牛怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10098	-1	0	4星牛怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10099	-1	0	5星牛怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10100	-1	0	1星骷髅兵	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10101	-1	0	2星骷髅兵	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10102	-1	0	3星骷髅兵	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10103	-1	0	4星骷髅兵	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10104	-1	0	5星骷髅兵	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10105	-1	0	1星蜘蛛	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10106	-1	0	2星蜘蛛	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10107	-1	0	3星蜘蛛	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10108	-1	0	4星蜘蛛	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10109	-1	0	5星蜘蛛	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10110	-1	0	1星偷猎者	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10111	-1	0	2星偷猎者	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10112	-1	0	3星偷猎者	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10113	-1	0	4星偷猎者	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10114	-1	0	5星偷猎者	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10115	-1	0	1星勾尾蝎	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10116	-1	0	2星勾尾蝎	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10117	-1	0	3星勾尾蝎	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10118	-1	0	4星勾尾蝎	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10119	-1	0	5星勾尾蝎	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10120	-1	0	1星幽灵	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10121	-1	0	2星幽灵	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10122	-1	0	3星幽灵	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10123	-1	0	4星幽灵	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10124	-1	0	5星幽灵	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10125	-1	0	1星死灵巫师	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10126	-1	0	2星死灵巫师	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10127	-1	0	3星死灵巫师	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10128	-1	0	4星死灵巫师	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10129	-1	0	5星死灵巫师	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10130	-1	0	1星骷髅弓箭手	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10131	-1	0	2星骷髅弓箭手	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10132	-1	0	3星骷髅弓箭手	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10133	-1	0	4星骷髅弓箭手	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10134	-1	0	5星骷髅弓箭手	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10135	-1	0	1星地狱猎犬怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10136	-1	0	2星地狱猎犬怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10137	-1	0	3星地狱猎犬怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10138	-1	0	4星地狱猎犬怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10139	-1	0	5星地狱猎犬怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10140	-1	0	1星鬼魅	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10141	-1	0	2星鬼魅	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10142	-1	0	3星鬼魅	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10143	-1	0	4星鬼魅	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10144	-1	0	5星鬼魅	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10145	-1	0	1星恶魔	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10146	-1	0	2星恶魔	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10147	-1	0	3星恶魔	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10148	-1	0	4星恶魔	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10149	-1	0	5星恶魔	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10150	-1	0	1星诅咒巫师	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10151	-1	0	2星诅咒巫师	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10152	-1	0	3星诅咒巫师	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10153	-1	0	4星诅咒巫师	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10154	-1	0	5星诅咒巫师	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10155	-1	0	1星死神骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10156	-1	0	2星死神骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10157	-1	0	3星死神骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10158	-1	0	4星死神骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10159	-1	0	5星死神骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10160	-1	0	1星蓝翼海怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10161	-1	0	2星蓝翼海怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10162	-1	0	3星蓝翼海怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10163	-1	0	4星蓝翼海怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10164	-1	0	5星蓝翼海怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10165	-1	0	1星银翼海怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10166	-1	0	2星银翼海怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10167	-1	0	3星银翼海怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10168	-1	0	4星银翼海怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10169	-1	0	5星银翼海怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10170	-1	0	1星破坏骑士	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10171	-1	0	2星破坏骑士	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10172	-1	0	3星破坏骑士	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10173	-1	0	4星破坏骑士	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10174	-1	0	5星破坏骑士	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10175	-1	0	1星铁脊怪	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10176	-1	0	2星铁脊怪	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10177	-1	0	3星铁脊怪	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10178	-1	0	4星铁脊怪	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
10179	-1	0	5星铁脊怪	0	0	0	0	72	72	72	72	36	36	1440	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0
10180	-1	0	1星蓝魔龙	0	0	0	0	24	24	24	24	12	12	480	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0
10181	-1	0	2星蓝魔龙	0	0	0	0	36	36	36	36	18	18	720	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
10182	-1	0	3星蓝魔龙	0	0	0	0	48	48	48	48	24	24	960	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0
10183	-1	0	4星蓝魔龙	0	0	0	0	60	60	60	60	30	30	1200	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0
