INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
15	1073	1075	9	0	1074	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
16	1088	1035	5	5	1036	12	12	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1
17	1000	1076	10	3	1082	12	5	1081	15	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
18	1000	1077	10	3	1082	12	5	1281	15	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
19	1000	1078	10	3	1082	12	5	1381	15	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
20	1094	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
21	1095	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
22	1096	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
23	1097	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
24	1098	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
25	1099	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
26	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
27	1101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
28	1102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
29	1103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
30	1104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
31	1105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
32	1106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
33	1107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
34	1108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
35	1021	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
36	3009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
37	1019	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
38	1020	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
40	1060	1083	16	3	1084	12	5	1085	20	10	-1	-1	-1	2	1	41	0	2	6000	-1
41	1060	1083	16	3	1084	12	5	1085	20	10	1086	25	8	2	1	-1	-1	-1	-1	-1
45	1090	1093	9	3	1091	15	5	-1	-1	-1	-1	-1	-1	2	1	46	0	2	6000	-1
46	1090	1093	9	3	1091	15	5	1092	25	1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
47	2100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
48	2105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
49	2105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
50	1109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
51	5053	5034	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
52	5040	5039	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
53	1111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
54	1500	-1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
55	1061	1216	10	0	1212	15	15	-1	-1	-1	-1	-1	-1	1	1	56	0	2	6000	-1
56	1061	1216	10	0	1217	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6013
101	1007	1011	10	0	1208	15	15	-1	-1	-1	-1	-1	-1	1	1	102	0	2	6000	-1
102	1007	1011	10	0	1206	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
114	1073	1075	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	115	0	2	6000	-1
115	1073	1075	9	0	1074	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
201	1007	1011	10	0	1008	15	15	-1	-1	-1	-1	-1	-1	1	1	202	0	2	6000	-1
202	1007	1011	10	0	1006	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
214	1073	1075	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	215	0	2	6000	-1
215	1073	1075	9	0	1074	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
1000	5001	1011	10	0	5002	15	15	-1	-1	-1	-1	-1	-1	1	1	1001	0	2	6000	-1
1001	5001	1011	10	0	5000	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	-1
1002	1007	1011	10	0	1008	15	15	-1	-1	-1	-1	-1	-1	1	1	1003	0	2	6000	-1
1003	1007	1011	10	0	1006	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
1004	5016	1011	10	0	5017	15	15	-1	-1	-1	-1	-1	-1	1	1	1005	0	2	6000	-1
1005	5016	1011	10	0	5015	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
1006	5019	1011	10	0	5020	15	15	-1	-1	-1	-1	-1	-1	1	1	1007	0	2	6000	-1
1007	5019	1011	10	0	5018	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
1008	5007	1011	10	0	5008	15	15	-1	-1	-1	-1	-1	-1	1	1	1009	0	2	6000	-1
1009	5007	1011	10	0	5006	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6006
1010	5010	1011	10	0	5011	15	15	-1	-1	-1	-1	-1	-1	1	1	1011	0	2	6000	-1
1011	5010	1011	10	0	5009	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6006
1012	5013	1011	10	0	5014	15	15	-1	-1	-1	-1	-1	-1	1	1	1013	0	2	6000	-1
1013	5013	1011	10	0	5012	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6006
1014	5004	1011	10	0	5005	15	15	-1	-1	-1	-1	-1	-1	0	0	1015	0	2	6000	-1
1015	5004	1011	10	0	5003	20	5	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	6009
1500	1031	5021	6	0	5022	10	10	-1	-1	-1	-1	-1	-1	1	1	1501	0	2	6000	-1
1501	1031	5021	6	0	5023	20	10	5022	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6010
1502	1031	5241	6	0	5027	10	10	-1	-1	-1	-1	-1	-1	0	0	1503	0	2	6000	-1
1503	1031	5241	6	0	5028	20	10	5027	23	20	-1	-1	-1	0	0	-1	0	-1	-1	6010
1504	1031	1027	6	0	1028	10	10	-1	-1	-1	-1	-1	-1	1	1	1505	0	2	6000	-1
1505	1031	1027	6	0	1029	20	10	1028	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
1506	1031	5031	6	0	5032	10	10	-1	-1	-1	-1	-1	-1	1	1	1507	0	2	6000	-1
1507	1031	5031	6	0	5033	20	10	5032	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
1508	1031	5036	6	0	5037	10	10	-1	-1	-1	-1	-1	-1	1	1	1509	0	2	6000	-1
1509	1031	5036	6	0	5038	20	10	5037	23	20	-1	-1	-1	1	1	-1	0	-1	-1	6001
1600	5041	5043	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1601	0	2	6000	-1
1601	5041	5043	9	0	5042	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
1602	5044	5046	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1603	0	2	6000	-1
1603	5044	5239	15	0	5045	30	10	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
1604	1073	1075	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1605	0	2	6000	-1
1605	1073	1075	9	0	1074	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6002
1606	5047	5049	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1607	0	2	6000	-1
1607	5047	5049	9	0	5048	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6002
1608	5050	5052	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1609	0	2	6000	-1
1609	5050	5052	9	0	5051	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6002
1650	5227	5229	7	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1651	0	2	6000	-1
1651	5227	5236	10	2	5228	20	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6008
1652	5230	5232	7	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1653	0	2	6000	-1
1653	5230	5237	10	2	5231	18	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6008
1654	5233	5235	7	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1655	0	2	6000	-1
1655	5233	5238	10	2	5234	15	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	6008
1700	1000	1000	10	3	5054	15	5	5055	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1701	1000	5056	10	3	5057	15	5	5058	23	9	-1	-1	-1	0	0	-1	-1	-1	-1	-1
1702	1000	1076	10	3	1082	15	5	1081	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1703	1000	1077	10	3	1082	15	5	1281	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1704	1000	1078	10	3	1082	15	5	1381	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1705	1000	5059	10	3	5060	15	5	5061	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1706	1000	5062	10	3	5063	15	5	5064	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1707	1000	5065	10	3	5066	15	5	5067	23	9	-1	-1	-1	2	0	-1	-1	-1	-1	-1
1800	1060	5068	16	3	5069	12	5	5070	20	10	-1	-1	-1	2	1	1801	0	2	6000	-1
1801	1060	5068	16	3	5069	12	5	5070	20	10	5071	25	8	2	1	-1	-1	-1	-1	6007
1802	1060	5072	16	3	5073	12	5	5074	20	10	-1	-1	-1	0	0	1803	0	2	6000	-1
1803	1060	5072	16	3	5073	12	5	5074	20	10	5075	25	8	0	0	-1	-1	-1	-1	6007
1804	1060	1083	16	3	1084	15	15	1085	20	20	-1	-1	-1	2	1	1805	0	2	6000	-1
1805	1060	1083	16	3	1084	15	15	1085	20	20	1086	25	8	2	1	-1	-1	-1	-1	6004
1806	1060	5076	16	3	5077	15	15	5078	20	20	-1	-1	-1	2	1	1807	0	2	6000	-1
1807	1060	5076	16	3	5077	15	15	5078	20	20	5079	25	8	2	1	-1	-1	-1	-1	6004
1808	1060	5080	16	3	5081	15	15	5082	20	20	-1	-1	-1	2	1	1809	0	2	6000	-1
1809	1060	5080	16	3	5081	15	15	5082	20	20	5083	25	8	2	1	-1	-1	-1	-1	6004
1810	1060	5084	16	3	5085	16	15	5086	25	20	-1	-1	-1	2	1	1811	0	2	6000	-1
1811	1060	5084	16	3	5085	16	15	5086	25	20	5087	25	8	2	1	-1	-1	-1	-1	6013
1812	1060	5088	16	3	5089	16	15	5090	25	20	-1	-1	-1	0	0	1813	0	2	6000	-1
1813	1060	5088	16	3	5089	16	15	5090	25	20	5091	25	8	0	0	-1	-1	-1	-1	6013
1814	1060	5092	16	3	5093	15	15	5094	20	20	-1	-1	-1	0	0	1815	0	2	6000	-1
1815	1060	5092	16	3	5093	15	15	5094	20	20	5095	25	8	0	0	-1	-1	-1	-1	6013
1816	1060	5096	16	3	5097	15	15	5098	20	20	-1	-1	-1	0	0	1817	0	2	6000	-1
1817	1060	5096	16	3	5097	15	15	5098	20	20	5099	25	8	0	0	-1	-1	-1	-1	6013
1818	1060	5100	16	3	5101	15	15	5102	20	20	-1	-1	-1	0	0	1819	0	2	6000	-1
1819	1060	5100	16	3	5101	15	15	5102	20	20	5103	25	8	0	0	-1	-1	-1	-1	6013
1820	1060	5104	16	3	5105	15	15	5106	20	20	-1	-1	-1	0	0	1821	0	2	6000	-1
1821	1060	5104	16	3	5105	15	15	5106	20	20	5107	25	8	0	0	-1	-1	-1	-1	6013
1822	1060	5108	16	3	5109	15	15	5110	20	20	-1	-1	-1	0	0	1823	0	2	6000	-1
1823	1060	5108	16	3	5109	15	15	5110	20	20	5111	25	8	0	0	-1	-1	-1	-1	6013
1824	1060	5112	16	3	5113	15	15	5114	20	20	-1	-1	-1	0	0	1825	0	2	6000	-1
1825	1060	5112	16	3	5113	15	15	5114	20	20	5115	25	8	0	0	-1	-1	-1	-1	6013
1826	1060	5116	16	3	5117	15	15	5118	20	20	-1	-1	-1	0	0	1827	0	2	6000	-1
1827	1060	5116	16	3	5117	15	15	5118	20	20	5119	25	8	0	0	-1	-1	-1	-1	6013
1828	1060	5072	16	3	5073	12	5	5249	5	3	-1	-1	-1	0	0	-1	-1	-1	-1	-1
1900	1090	5122	7	3	5120	12	5	-1	-1	-1	-1	-1	-1	2	1	1901	0	2	6000	-1
1901	1090	5122	7	3	5120	12	5	5121	20	1	-1	-1	-1	2	1	-1	-1	-1	-1	6014
1902	1090	5125	5	3	5123	12	5	-1	-1	-1	-1	-1	-1	0	0	1903	0	2	6000	-1
1903	1090	5240	10	0	5123	14	5	5124	22	20	-1	-1	-1	0	0	-1	-1	-1	-1	6014
1904	1090	1093	9	3	1091	15	5	-1	-1	-1	-1	-1	-1	2	1	1905	0	2	6000	-1
1905	1090	1093	9	3	1091	15	5	1092	25	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
1906	1090	5128	7	3	5126	12	5	-1	-1	-1	-1	-1	-1	2	1	1907	0	2	6000	-1
1907	1090	5128	7	3	5126	12	5	5127	20	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
1908	1090	5131	7	3	5129	12	5	-1	-1	-1	-1	-1	-1	2	1	1909	0	2	6000	-1
1909	1090	5131	7	3	5129	12	5	5130	20	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
2000	1089	1033	5	5	1034	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2001	1089	5132	5	5	5133	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2002	1089	5134	5	5	5135	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2003	1089	5136	5	5	5137	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2004	1089	5138	5	5	5139	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2005	1087	1035	5	5	1036	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2006	1087	5140	5	5	5141	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2007	1087	5142	5	5	5143	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2008	1087	5144	5	5	5145	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2009	1087	5146	5	5	5147	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2100	1088	5148	5	5	5149	12	12	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
2200	1061	1204	9	0	1200	15	6	-1	-1	-1	-1	-1	-1	1	1	2201	0	2	6000	-1
2201	1061	1200	15	0	1205	20	8	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
2202	1061	1204	9	0	1200	15	4	-1	-1	-1	-1	-1	-1	1	1	2203	0	2	6000	-1
2203	1061	1200	15	0	1205	20	6	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
2204	1061	1204	9	0	1200	15	4	-1	-1	-1	-1	-1	-1	1	1	2205	0	2	6000	-1
2205	1061	1200	15	0	1205	20	6	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
2206	1061	5246	9	0	5242	15	5	-1	-1	-1	-1	-1	-1	0	0	2207	0	2	6000	-1
2207	1061	5242	15	0	5247	20	5	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
3000	5164	5165	10	0	5163	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	-1
3001	1031	5210	8	0	5209	12	4	5211	23	10	-1	-1	-1	1	1	-1	0	-1	-1	-1
3002	5194	5196	9	0	5195	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4000	5215	1011	10	0	5216	15	15	-1	-1	-1	-1	-1	-1	1	1	4001	0	2	6000	-1
4001	5215	1011	10	0	5214	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6009
4002	1060	5217	16	3	5218	15	15	5219	20	20	-1	-1	-1	2	1	4003	0	2	6000	-1
4003	1060	5217	16	3	5218	15	15	5219	20	20	5220	25	8	2	1	-1	-1	-1	-1	6013
4004	1000	5226	9	3	5224	15	5	-1	-1	-1	-1	-1	-1	2	1	4005	0	2	6000	-1
4005	1000	5226	9	3	5224	15	5	5225	25	1	-1	-1	-1	2	1	-1	-1	-1	-1	6014
4006	5221	5223	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4007	0	2	6000	-1
4007	5221	5223	9	0	5222	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4100	5152	1011	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4101	0	2	6000	-1
4101	5152	1011	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
4102	1060	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4103	0	2	6000	-1
4103	1060	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	6004
4104	5182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4105	0	2	6000	-1
4105	5182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4106	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4107	0	2	6000	-1
4107	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
4108	5155	1011	10	0	5156	15	15	-1	-1	-1	-1	-1	-1	1	1	4109	0	2	6000	-1
4109	5155	1011	10	0	5154	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
4110	1060	5170	16	3	5171	15	15	5172	20	20	-1	-1	-1	2	1	4111	0	2	6000	-1
4111	1060	5170	16	3	5171	15	15	5172	20	20	5173	25	8	2	1	-1	-1	-1	-1	6004
4112	5185	5187	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4113	0	2	6000	-1
4113	5185	5187	9	0	5186	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4114	1000	5202	7	3	5200	12	5	-1	-1	-1	-1	-1	-1	2	1	4115	0	2	6000	-1
4115	1000	5202	7	3	5200	12	5	5201	20	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
4116	5158	1011	10	0	5159	15	15	-1	-1	-1	-1	-1	-1	1	1	4117	0	2	6000	-1
4117	5158	1011	10	0	5157	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
4118	1060	5174	16	3	5175	15	15	5176	20	20	-1	-1	-1	2	1	4119	0	2	6000	-1
4119	1060	5174	16	3	5175	15	15	5176	20	20	5177	25	8	2	1	-1	-1	-1	-1	6004
4120	5188	5190	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4121	0	2	6000	-1
4121	5188	5190	9	0	5189	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4122	1000	5205	7	3	5203	12	5	-1	-1	-1	-1	-1	-1	2	1	4123	0	2	6000	-1
4123	1000	5205	7	3	5203	12	5	5204	20	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
4124	5161	1011	10	0	5162	15	15	-1	-1	-1	-1	-1	-1	1	1	4125	0	2	6000	-1
4125	5161	1011	10	0	5160	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6000
4126	1060	5178	16	3	5179	15	15	5180	20	20	-1	-1	-1	2	1	4127	0	2	6000	-1
4127	1060	5178	16	3	5179	15	15	5180	20	20	5181	25	8	2	1	-1	-1	-1	-1	6004
4128	5191	5193	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4129	0	2	6000	-1
4129	5191	5193	9	0	5192	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
4130	1000	5208	7	3	5206	12	5	-1	-1	-1	-1	-1	-1	2	1	4131	0	2	6000	-1
4131	1000	5208	7	3	5206	12	5	5207	25	1	-1	-1	-1	2	1	-1	-1	-1	-1	6005
4132	5251	1011	10	0	5252	15	15	-1	-1	-1	-1	-1	-1	1	1	4133	0	2	6000	-1
4133	5251	1011	10	0	5250	20	5	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	-1	6009
4134	1060	5253	16	3	5254	15	15	5255	20	20	-1	-1	-1	2	1	4135	0	2	6000	-1
4135	1060	5253	16	3	5254	15	15	5255	20	20	5256	25	8	2	1	-1	-1	-1	-1	6013
4136	5257	5259	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4137	0	2	6000	-1
4137	5257	5259	9	0	5258	25	10	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1
5000	1400	1401	12	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
5001	1402	1403	8	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
6000	1000	4	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
6001	1000	104	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
6002	1000	204	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1
100000	2001	2002	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100001	2001	2003	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100002	2001	2004	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100003	2001	2005	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100004	2001	2006	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100005	2001	2007	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100006	2001	-1	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100007	2001	-1	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100008	2010	2011	15	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100009	2012	2013	60	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100010	2014	2015	15	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100011	2001	2017	15	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100012	2001	2019	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100013	2001	2021	15	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100014	2013	2015	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100015	2013	2016	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100016	2017	-1	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100017	2017	2018	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100018	2017	2019	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100019	2017	2020	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100020	2001	2023	60	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
