INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
100	荣耀军发言人	世界BOSS第1名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中取得了伤害榜第1名的好成绩！请及时领取您的奖励。	-1	23180	5	22063	1	-1	-1	-1	-1	-1	-1	-1
101	荣耀军发言人	世界BOSS第2名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中取得了伤害榜第2名的好成绩！请及时领取您的奖励。	-1	23180	5	22054	1	-1	-1	-1	-1	-1	-1	-1
102	荣耀军发言人	世界BOSS第3名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中取得了伤害榜第3名的好成绩！请及时领取您的奖励。	-1	23180	5	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	荣耀军发言人	世界BOSS第4名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中取得了伤害榜第4名的好成绩！请及时领取您的奖励。	-1	23180	4	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	荣耀军发言人	世界BOSS第5名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中取得了伤害榜第5名的好成绩！请及时领取您的奖励。	-1	23180	4	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	荣耀军发言人	世界BOSS前10名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中进入伤害榜前10名！请及时领取您的奖励。	-1	23180	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	荣耀军发言人	世界BOSS前50名奖励	恭喜您，在刚刚结束的对抗世界BOSS的活动中进入伤害榜前50名！请及时领取您的奖励。	-1	23180	2	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	荣耀军发言人	世界BOSS奖励	在刚刚结束的对抗世界BOSS的活动中，您的表现十分出色！请及时领取您的奖励。	-1	23180	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	荣耀军发言人	世界BOSS奖励	在刚刚结束的对抗世界BOSS的活动中，您的表现十分出色！请及时领取您的奖励。	-1	23180	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	荣耀军发言人	世界BOSS奖励	在刚刚结束的对抗世界BOSS的活动中，您的表现十分出色！请及时领取您的奖励。	-1	23180	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	荣耀军发言人	世界BOSS奖励	在刚刚结束的对抗世界BOSS的活动中，您的表现十分出色！请及时领取您的奖励。	-1	23180	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	神秘人	回收物品邮寄	在刚刚的装备回收过程中，您遗落了这些物品，一位神秘人将它们邮寄给您，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	农场主	要塞农场收获	您刚刚在农场收获作物的过程中遗落了这些物品，玛雅大陆路不拾遗协会的成员找到了它们并邮寄给您，请查收，同时感谢那些拾金不昧的人们吧。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	矿工头	要塞矿洞收获	您刚刚在矿洞收取矿石资源过程中遗落了这些物品，玛雅大陆路不拾遗协会的成员找到了它们并邮寄给您，请查收，同时感谢那些拾金不昧的人们吧。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	伐木工头	要塞伐木场收获	您刚刚在伐木场收取木材资源过程中遗落了这些物品，玛雅大陆路不拾遗协会的成员找到了它们并邮寄给您，请查收，同时感谢那些拾金不昧的人们吧。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	占卜师	占星奖励	您刚刚在占星的过程中遗落了这些物品，玛雅大陆路不拾遗协会的成员找到了它们并邮寄给您，请查收，同时感谢那些拾金不昧的人们吧。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	战场管理员	战场奖励	您在活动中获得物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	交易所管理者	交易物品邮寄	您在交易所中消费时遗落了物品，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	孵化室管理员	孵化奖励	您在孵化室获得了额外奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	竞技场管理者	竞技场奖励	您在竞技场获得了额外奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	铁匠屋管理者	铁匠屋奖励	您在铁匠屋获得了额外奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	合成管理员	合成奖励	您在合成时获得了额外奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	神秘人	礼包物品邮寄	您刚刚在使用礼包的过程中遗落了这些物品，一位神秘人将它们邮寄给您，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	官方团队	40点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到40点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	5000	-1	-1	-1	-1	-1	-1	493
124	官方团队	70点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到70点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	10000	-1	-1	-1	-1	-1	-1	494
125	官方团队	100点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到100点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	15000	-1	-1	-1	-1	-1	-1	495
126	官方团队	130点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到130点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	20000	-1	-1	-1	-1	-1	-1	496
127	官方团队	170点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到170点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	25000	-1	-1	-1	-1	-1	-1	497
128	官方团队	200点活跃度奖励	感谢您对游戏的喜爱，今日活跃度已达到200点，这是特意为您准备的额外奖励，请收下。	99999	22053	2	2	30000	-1	-1	-1	-1	-1	-1	498
129	宝藏猎手	遗落宝藏	你好~！冒险者，你刚刚在使用藏宝图的过程中遗落了这些物品，看你也不容易东西先还给你吧，不过下次你可能就没这么走运了~！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	官方团队	充值成功	未描述	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	战盟使者尤莱亚	圣光盟战竞标成功	尊敬的战盟盟主，恭喜您！本次王城报名中您的竞价金额为{0}，排名第{1}，获得了参与盟战的资格。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	战盟使者尤莱亚	圣光盟战竞标失败	尊敬的战盟盟主，很抱歉！本次王城报名中您的竞价金额为{0}，排名第{1}，没有获得参与资格，资金已返回至公会资金，请您查收。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	战盟使者尤莱亚	盟战奖励	在刚刚结束的圣光盟战中，您的英勇作战获得了如下奖励，请及时领取。	-1	23118	1	23147	4	17	200	-1	-1	-1	-1	-1
134	战盟使者尤莱亚	盟战每日奖励	尊贵的战盟盟主，因为您的战盟取得了圣光盟战的胜利，现为您发放盟战每日奖励，请及时领取！	-1	23119	1	23136	5	22000	10	17	300	-1	-1	-1
135	战盟使者尤莱亚	盟战每日奖励	尊贵的战盟副盟主，因为您的战盟取得了圣光盟战的胜利，现为您发放盟战每日奖励，请及时领取！	-1	23118	5	23136	3	22000	5	17	200	-1	-1	-1
136	战盟使者尤莱亚	盟战每日奖励	尊贵的战盟精英，因为您的战盟取得了圣光盟战的胜利，现为您发放盟战每日奖励，请及时领取！	-1	23118	3	23136	2	22000	3	17	150	-1	-1	-1
137	战盟使者尤莱亚	盟战每日奖励	尊贵的战盟成员，因为您的战盟取得了圣光盟战的胜利，现为您发放盟战每日奖励，请及时领取！	-1	23118	2	23136	1	22000	2	17	100	-1	-1	-1
138	战盟使者尤莱亚	圣光盟战竞标成功	恭喜您，您所在的战盟在本次盟战报名中竞价排名第{0}，获得了参与此次圣光盟战的资格，请提前做好准备。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	战盟使者尤莱亚	圣光盟战竞标失败	很抱歉，您所在的战盟在本次萌战报名中竞价排名第{0}，没有获得参与资格，期待下次有机会看到您英勇作战的身姿。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	官方团队	VIP1特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	10000	22003	5	22018	5	-1	-1	-1	-1	-1
141	官方团队	VIP2特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	20000	22003	15	22018	8	23548	1	-1	-1	-1
142	官方团队	VIP3特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	30000	22003	25	22018	10	22000	1	-1	-1	-1
143	官方团队	VIP4特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	100000	22003	35	22018	15	22007	2	-1	-1	-1
144	官方团队	VIP5特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	140000	22003	45	22018	20	23549	1	-1	-1	-1
145	官方团队	VIP6特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	180000	22003	55	22018	25	22001	1	-1	-1	-1
146	官方团队	VIP7特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	200000	22003	65	22018	30	23548	1	-1	-1	-1
147	官方团队	VIP8特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	220000	22003	75	22018	35	23549	1	-1	-1	-1
148	官方团队	VIP9特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	250000	22003	80	22018	50	22007	10	-1	-1	-1
149	官方团队	VIP10特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	300000	22003	90	22018	60	40094	1	-1	-1	-1
150	官方团队	VIP11特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	350000	22003	100	22018	80	22007	15	-1	-1	-1
151	官方团队	VIP12特别奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，我们会继续努力，带给您更愉快的体验！	-1	10	400000	22003	100	22018	100	40095	1	-1	-1	-1
155	《玛雅纪元》官方团队	问卷调查奖励	亲爱的朋友，感谢您对《玛雅纪元》的支持，特此发放奖励，希望您能有更愉快的体验！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	《玛雅纪元》官方团队	VIP特别奖励	亲爱的朋友，特此赠送您充值成功后特殊的VIP奖励礼包，希望您能有更愉快的游戏体验！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	官方团队	盟主变更通知	{0}的成员您好，由于盟主 {1} 超过48小时未登陆游戏，本战盟盟主已变更为 {2}。特此通知，愿新盟主带领全体战盟成员回归荣耀！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	战盟使者尤莱亚	战盟矿山争夺奖励	亲爱的战盟成员，您在今天的战盟矿山争夺中表现勇猛，共累计获得积分{0}，请及时领取您的奖励！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	战盟使者尤莱亚	战盟矿山资源发放	战盟矿山每日资源发放，请及时领取您的奖励。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
197	老板娘丽娜	限号测试奖励	亲爱的玩家，感谢您对游戏限号测试的支持，特此发放限号测试礼包，我们会继续努力，带给您更愉快的体验！	-1	2	600000	17	300	22000	5	22003	20	-1	-1	-1
198	老板娘丽娜	限号测试等级奖励	亲爱的玩家，您在限号测试里努力体验，角色等级>100级，给测试做出了卓越的贡献。感谢您对游戏限号测试的支持，特此发放限号测试等级礼包，我们会继续努力，带给您更愉快的体验！	-1	2	800000	17	400	22000	10	22003	40	22001	5	-1
199	老板娘丽娜	限号测试连续登陆奖励	亲爱的玩家，感谢您第二天再次登录游戏，我们会继续努力，带给您更愉快的体验！限位您发放限号测试连续登陆礼包，祝您游戏愉快！	-1	2	1000000	17	500	22017	50	22018	20	22007	1	-1
200	官方团队	活动奖励	您在[{0}]活动中获得物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	战盟使者尤莱亚	盟战取消通知	十分抱歉，由于您所在的服务器（{0}）正在{1}合服，圣光盟战的报名暂时取消，报名时所扣除的{2}战盟资金已经退还，还请查收。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	系统通知	死亡报告	玩家 [ff3a3a]{0}[-] 击杀了你，请努力变强吧！\n击杀时间:{1}	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
251	玛雅女神	击杀报告	你击杀了玩家 [ff3a3a]{0}[-] ，请放下屠刀把！\n击杀时间:{1}	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
301	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	5	28000	5	2	10000000	-1	-1	-1	-1	-1
302	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	3	28000	3	2	5000000	-1	-1	-1	-1	-1
303	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	2	28000	2	2	2000000	-1	-1	-1	-1	-1
304	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	2	28000	2	2	1000000	-1	-1	-1	-1	-1
305	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	800000	-1	-1	-1	-1	-1
306	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	500000	-1	-1	-1	-1	-1
307	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	400000	-1	-1	-1	-1	-1
308	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	300000	-1	-1	-1	-1	-1
309	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	200000	-1	-1	-1	-1	-1
310	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	100000	-1	-1	-1	-1	-1
311	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	80000	-1	-1	-1	-1	-1
312	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	50000	-1	-1	-1	-1	-1
313	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	30000	-1	-1	-1	-1	-1
314	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	10000	-1	-1	-1	-1	-1
321	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	8000	2	30000	3	100	10	1000	-1	-1	-1
322	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	7000	2	26000	3	90	10	900	-1	-1	-1
323	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	6600	2	24000	3	80	10	800	-1	-1	-1
324	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	6200	2	22000	3	70	10	700	-1	-1	-1
325	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	5800	2	20000	3	60	10	600	-1	-1	-1
326	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	5400	2	18000	3	50	10	500	-1	-1	-1
327	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	5000	2	16000	3	40	10	400	-1	-1	-1
328	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	4600	2	14000	3	30	10	300	-1	-1	-1
329	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	4200	2	12000	3	20	10	200	-1	-1	-1
330	官方团队	灭世之战贡献排名奖励	亲爱的玩家~恭喜您在灭世之战活动中对炮台提升贡献巨大力量，获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	1	3800	2	10000	3	10	10	100	-1	-1	-1
331	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	5	28000	5	2	8000000	-1	-1	-1	-1	-1
332	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	3	28000	3	2	3000000	-1	-1	-1	-1	-1
333	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	2	28000	2	2	1500000	-1	-1	-1	-1	-1
334	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	2	28000	2	2	750000	-1	-1	-1	-1	-1
335	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	600000	-1	-1	-1	-1	-1
336	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	400000	-1	-1	-1	-1	-1
337	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	300000	-1	-1	-1	-1	-1
338	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	200000	-1	-1	-1	-1	-1
339	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	100000	-1	-1	-1	-1	-1
340	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	90000	-1	-1	-1	-1	-1
341	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	80000	-1	-1	-1	-1	-1
342	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	50000	-1	-1	-1	-1	-1
343	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	30000	-1	-1	-1	-1	-1
344	官方团队	灭世之战积分排名奖励	亲爱的玩家~恭喜您在灭世之战活动中积分获得第（{0}）名的好成绩，获得如下奖励，请在附件中领取！	99999	22054	1	28000	1	2	10000	-1	-1	-1	-1	-1
