INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10105	5	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10106	6	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10107	7	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10108	8	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10109	9	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10110	10	1	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10201	1	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10202	2	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10203	3	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10204	4	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10205	5	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10206	6	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10207	7	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10208	8	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10209	9	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
10210	10	2	32	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15000	1	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15001	2	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15002	3	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15003	4	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15004	5	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15005	6	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15006	7	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15007	8	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15008	9	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15009	10	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15010	11	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15011	12	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15012	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15013	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15014	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15015	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15016	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15017	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15018	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15019	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15020	13	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
15901	1	7	4	0	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16000	4	0	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16001	4	0	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16002	4	0	4096	0	100	1	-1	-1	-1	0	-1	0	17	1	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16003	4	0	4096	0	100	1	-1	-1	-1	0	-1	0	15	3	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16004	4	0	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16030	4	0	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16031	4	0	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16060	4	0	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16061	4	0	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16100	4	1	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16101	4	1	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16102	4	1	4096	0	100	1	-1	-1	-1	0	-1	0	17	1	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16103	4	1	4096	0	100	1	-1	-1	-1	0	-1	0	15	3	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16104	4	1	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16130	4	1	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16131	4	1	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16160	4	1	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16161	4	1	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16200	4	2	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16201	4	2	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16202	4	2	4096	0	100	1	-1	-1	-1	0	-1	0	17	1	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16203	4	2	4096	0	100	1	-1	-1	-1	0	-1	0	15	3	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16204	4	2	4096	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16230	4	2	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16231	4	2	8192	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16260	4	2	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
16261	4	2	16384	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
19999	1	2	32	0	100	1	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	1	0
200001	1	0	1	2	48	10	-1	-1	-1	0	-1	0	10	6	11	4	13	113	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	1	2	10	50	13	0	0	890	1	2	2	1	2	50	60	-1	-1	-1	-1	1	0
200002	2	0	1	2	56	20	-1	-1	2	4	4	5	10	12	11	8	13	240	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	2	2	10	50	13	0	0	1815	1	2	2	2	2	50	60	-1	-1	-1	-1	1	0
200003	3	0	1	2	64	30	-1	-1	2	6	4	10	10	21	11	14	13	437	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	3	2	10	50	13	0	0	3760	1	2	2	3	2	50	60	-1	-1	-1	-1	1	0
200004	4	0	1	2	72	40	-1	-1	2	151	4	230	10	34	11	23	13	785	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	4	2	10	50	13	0	0	8040	1	2	2	4	2	50	60	-1	-1	-1	-1	1	1
200005	5	0	1	2	80	50	-1	-1	2	265	4	387	10	51	11	35	13	1305	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	5	2	10	50	13	0	0	12850	1	2	2	5	2	50	60	-1	-1	-1	-1	1	1
200006	6	0	1	2	88	60	-1	-1	2	396	4	533	10	71	11	48	13	2048	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	6	2	10	50	13	0	0	18185	1	2	2	6	2	50	60	-1	-1	-1	-1	1	2
200007	7	0	1	2	96	70	-1	-1	2	578	4	749	10	94	11	64	13	3072	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	7	2	10	50	13	0	0	24050	1	2	2	7	2	50	60	-1	-1	-1	-1	1	3
200008	8	0	1	2	104	80	-1	-1	2	799	4	1010	10	116	11	79	13	4194	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	8	2	10	50	13	0	0	30445	1	2	2	8	2	50	60	-1	-1	-1	-1	1	3
200009	9	0	1	2	112	90	-1	-1	2	973	4	1225	10	153	11	104	13	6368	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	9	2	10	50	13	0	0	37375	1	2	2	9	2	50	60	-1	-1	-1	-1	1	3
200010	10	0	1	2	120	100	-1	-1	2	1063	4	1360	10	176	11	120	13	7966	-1	0	15	-1	0	0	-1	0	0	-1	-1	-1	-1	10	10	2	10	50	13	0	0	44840	1	2	2	10	2	50	60	-1	-1	-1	-1	1	3
200101	1	0	1	2	48	10	-1	-1	-1	0	-1	0	10	8	11	6	13	169	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	1	3	12	60	13	0	0	1815	1	2	2	1	3	50	80	-1	-1	-1	-1	1	0
200102	2	0	1	2	56	20	-1	-1	2	4	4	5	10	18	11	12	13	360	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	2	3	12	60	13	0	0	2770	1	2	2	2	3	50	80	-1	-1	-1	-1	1	0
200103	3	0	1	2	64	30	-1	-1	2	8	4	10	10	31	11	21	13	655	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	3	3	12	60	13	0	0	5835	1	2	2	3	3	50	80	-1	-1	-1	-1	1	0
200104	4	0	1	2	72	40	-1	-1	2	155	4	234	10	51	11	35	13	1178	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	4	3	12	60	13	0	0	8730	1	2	2	4	3	50	80	-1	-1	-1	-1	1	1
200105	5	0	1	2	80	50	-1	-1	2	270	4	391	10	76	11	52	13	1958	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	5	3	12	60	13	0	0	13615	1	2	2	5	3	50	80	-1	-1	-1	-1	1	1
200106	6	0	1	2	88	60	-1	-1	2	405	4	543	10	106	11	72	13	3072	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	6	3	12	60	13	0	0	19030	1	2	2	6	3	50	80	-1	-1	-1	-1	1	2
200107	7	0	1	2	96	70	-1	-1	2	586	4	759	10	141	11	96	13	4609	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	7	3	12	60	13	0	0	24975	1	2	2	7	3	50	80	-1	-1	-1	-1	1	3
200108	8	0	1	2	104	80	-1	-1	2	808	4	1020	10	174	11	119	13	6291	-1	0	15	-1	0	0	-1	0	0	13	-1	-1	-1	11	8	3	12	60	13	0	0	61400	1	2	2	8	3	50	80	-1	-1	-1	-1	1	3
