INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
60015	60015	0	1	5	70003	50	120	60016	202	1	106	3	101	5	-1	-1	1	25	50	5000	10015	13	13	10	5	1
60016	60016	0	2	5	70003	100	240	60017	202	1	106	3	101	5	-1	-1	1	25	50	5000	10016	13	13	10	10	1
60017	60017	0	3	5	70003	200	360	60018	202	1	106	3	101	5	-1	-1	1	25	50	5000	10017	13	13	10	20	1
60018	60018	0	4	5	70003	300	480	60019	202	1	106	3	101	5	-1	-1	1	25	50	5000	10018	13	13	10	40	1
60019	60019	0	5	5	70003	-1	600	-1	202	1	106	3	101	5	-1	-1	1	25	50	5000	10019	13	13	10	80	1
60020	60020	0	1	5	70004	50	120	60021	302	1	102	3	103	5	-1	-1	1	25	50	5000	10020	18	18	18	5	1
60021	60021	0	2	5	70004	100	240	60022	302	1	102	3	103	5	-1	-1	1	25	50	5000	10021	18	18	18	10	1
60022	60022	0	3	5	70004	200	360	60023	302	1	102	3	103	5	-1	-1	1	25	50	5000	10022	18	18	18	20	1
60023	60023	0	4	5	70004	300	480	60024	302	1	102	3	103	5	-1	-1	1	25	50	5000	10023	18	18	18	40	1
60024	60024	0	5	5	70004	-1	600	-1	302	1	102	3	103	5	-1	-1	1	25	50	5000	10024	18	18	18	80	1
60025	60025	0	1	5	70005	50	120	60026	104	1	101	3	103	5	-1	-1	1	25	50	5000	10025	15	16	18	5	1
60026	60026	0	2	5	70005	100	240	60027	104	1	101	3	103	5	-1	-1	1	25	50	5000	10026	15	16	18	10	1
60027	60027	0	3	5	70005	200	360	60028	104	1	101	3	103	5	-1	-1	1	25	50	5000	10027	15	16	18	20	1
60028	60028	0	4	5	70005	300	480	60029	104	1	101	3	103	5	-1	-1	1	25	50	5000	10028	15	16	18	40	1
60029	60029	0	5	5	70005	-1	600	-1	104	1	101	3	103	5	-1	-1	1	25	50	5000	10029	15	13	13	80	1
60030	60030	4	1	5	70006	50	120	60031	102	1	200	3	300	5	-1	-1	1	25	50	5000	10030	0	13	13	5	1
60031	60031	4	2	5	70006	100	240	60032	102	1	200	3	300	5	-1	-1	1	25	50	5000	10031	0	13	13	10	1
60032	60032	4	3	5	70006	200	360	60033	102	1	200	3	300	5	-1	-1	1	25	50	5000	10032	0	13	13	20	1
60033	60033	4	4	5	70006	300	480	60034	102	1	200	3	300	5	-1	-1	1	25	50	5000	10033	0	13	13	40	1
60034	60034	4	5	5	70006	-1	600	-1	102	1	200	3	300	5	-1	-1	1	25	50	5000	10034	0	13	10	80	1
60035	60035	2	1	5	70007	50	120	60036	105	1	202	3	106	5	-1	-1	1	25	50	5000	10035	13	13	10	5	1
60036	60036	2	2	5	70007	100	240	60037	105	1	202	3	106	5	-1	-1	1	25	50	5000	10036	13	13	10	10	1
60037	60037	2	3	5	70007	200	360	60038	105	1	202	3	106	5	-1	-1	1	25	50	5000	10037	13	13	10	20	1
60038	60038	2	4	5	70007	300	480	60039	105	1	202	3	106	5	-1	-1	1	25	50	5000	10038	13	13	13	40	1
60039	60039	2	5	5	70007	-1	600	-1	105	1	202	3	106	5	-1	-1	1	25	50	5000	10039	13	13	13	80	1
60040	60040	2	1	5	70008	50	120	60041	205	1	105	3	106	5	-1	-1	1	25	50	5000	10040	13	13	13	5	1
60041	60041	2	2	5	70008	100	240	60042	205	1	105	3	106	5	-1	-1	1	25	50	5000	10041	13	13	13	10	1
60042	60042	2	3	5	70008	200	360	60043	205	1	105	3	106	5	-1	-1	1	25	50	5000	10042	13	13	13	20	1
60043	60043	2	4	5	70008	300	480	60044	205	1	105	3	106	5	-1	-1	1	25	50	5000	10043	13	13	13	40	1
60044	60044	2	5	5	70008	-1	600	-1	205	1	105	3	106	5	-1	-1	1	25	50	5000	10044	13	13	13	80	1
60045	60045	2	1	5	70009	50	120	60046	402	1	102	3	304	5	-1	-1	1	25	50	5000	10045	13	13	13	5	0
60046	60046	2	2	5	70009	100	240	60047	402	1	102	3	304	5	-1	-1	1	25	50	5000	10046	13	13	13	10	0
60047	60047	2	3	5	70009	200	360	60048	402	1	102	3	304	5	-1	-1	1	25	50	5000	10047	13	13	14	20	0
60048	60048	2	4	5	70009	300	480	60049	402	1	102	3	304	5	-1	-1	1	25	50	5000	10048	13	13	14	40	0
60049	60049	2	5	5	70009	-1	600	-1	402	1	102	3	304	5	-1	-1	1	25	50	5000	10049	13	13	14	80	0
60050	60050	4	1	5	70010	50	120	60051	300	1	102	3	207	5	-1	-1	1	25	50	5000	10050	13	13	14	5	0
60051	60051	4	2	5	70010	100	240	60052	300	1	102	3	207	5	-1	-1	1	25	50	5000	10051	13	13	14	10	0
60052	60052	4	3	5	70010	200	360	60053	300	1	102	3	207	5	-1	-1	1	25	50	5000	10052	13	10	13	20	0
60053	60053	4	4	5	70010	300	480	60054	300	1	102	3	207	5	-1	-1	1	25	50	5000	10053	13	10	13	40	0
60054	60054	4	5	5	70010	-1	600	-1	300	1	102	3	207	5	-1	-1	1	25	50	5000	10054	13	10	13	80	0
60055	60055	3	1	5	70011	50	120	60056	102	1	302	3	402	5	-1	-1	1	25	50	5000	10055	13	10	13	5	0
60056	60056	3	2	5	70011	100	240	60057	102	1	302	3	402	5	-1	-1	1	25	50	5000	10056	13	10	13	10	0
60057	60057	3	3	5	70011	200	360	60058	102	1	302	3	402	5	-1	-1	1	25	50	5000	10057	13	10	13	20	0
60058	60058	3	4	5	70011	300	480	60059	102	1	302	3	402	5	-1	-1	1	25	50	5000	10058	13	10	13	40	0
60059	60059	3	5	5	70011	-1	600	-1	102	1	302	3	402	5	-1	-1	1	25	50	5000	10059	13	10	13	80	0
60060	60060	3	1	5	70012	50	120	60061	104	1	401	3	201	5	-1	-1	1	25	50	5000	10060	13	13	10	5	1
60061	60061	3	2	5	70012	100	240	60062	104	1	401	3	201	5	-1	-1	1	25	50	5000	10061	13	13	10	10	1
60062	60062	3	3	5	70012	200	360	60063	104	1	401	3	201	5	-1	-1	1	25	50	5000	10062	13	13	10	20	1
60063	60063	3	4	5	70012	300	480	60064	104	1	401	3	201	5	-1	-1	1	25	50	5000	10063	13	13	10	40	1
60064	60064	3	5	5	70012	-1	600	-1	104	1	401	3	201	5	-1	-1	1	25	50	5000	10064	13	13	10	80	1
60065	60065	3	1	5	70013	50	120	60066	101	1	100	3	202	5	-1	-1	1	25	50	5000	10065	13	13	14	5	1
60066	60066	3	2	5	70013	100	240	60067	101	1	100	3	202	5	-1	-1	1	25	50	5000	10066	13	13	14	10	1
60067	60067	3	3	5	70013	200	360	60068	101	1	100	3	202	5	-1	-1	1	25	50	5000	10067	13	13	14	20	1
60068	60068	3	4	5	70013	300	480	60069	101	1	100	3	202	5	-1	-1	1	25	50	5000	10068	13	13	14	40	1
60069	60069	3	5	5	70013	-1	600	-1	101	1	100	3	202	5	-1	-1	1	25	50	5000	10069	13	13	14	80	1
60070	60070	3	1	5	70014	50	120	60071	304	1	207	3	403	5	-1	-1	1	25	50	5000	10070	13	16	19	5	0
60071	60071	3	2	5	70014	100	240	60072	304	1	207	3	403	5	-1	-1	1	25	50	5000	10071	13	16	19	10	0
60072	60072	3	3	5	70014	200	360	60073	304	1	207	3	403	5	-1	-1	1	25	50	5000	10072	13	16	19	20	0
60073	60073	3	4	5	70014	300	480	60074	304	1	207	3	403	5	-1	-1	1	25	50	5000	10073	13	16	19	40	0
60074	60074	3	5	5	70014	-1	600	-1	304	1	207	3	403	5	-1	-1	1	25	50	5000	10074	13	16	19	80	0
60075	60075	1	1	5	70015	50	120	60076	102	1	300	3	401	5	-1	-1	1	25	50	5000	10075	15	18	18	5	1
60076	60076	1	2	5	70015	100	240	60077	102	1	300	3	401	5	-1	-1	1	25	50	5000	10076	15	18	18	10	1
60077	60077	1	3	5	70015	200	360	60078	102	1	300	3	401	5	-1	-1	1	25	50	5000	10077	15	18	18	20	1
60078	60078	1	4	5	70015	300	480	60079	102	1	300	3	401	5	-1	-1	1	25	50	5000	10078	15	18	18	40	1
60079	60079	1	5	5	70015	-1	600	-1	102	1	300	3	401	5	-1	-1	1	25	50	5000	10079	15	18	18	80	1
60080	60080	1	1	5	70016	50	120	60081	104	1	106	3	403	5	-1	-1	1	25	50	5000	10080	18	13	13	5	1
60081	60081	1	2	5	70016	100	240	60082	104	1	106	3	403	5	-1	-1	1	25	50	5000	10081	18	13	13	10	1
60082	60082	1	3	5	70016	200	360	60083	104	1	106	3	403	5	-1	-1	1	25	50	5000	10082	18	13	13	20	1
60083	60083	1	4	5	70016	300	480	60084	104	1	106	3	403	5	-1	-1	1	25	50	5000	10083	18	13	13	40	1
60084	60084	1	5	5	70016	-1	600	-1	104	1	106	3	403	5	-1	-1	1	25	50	5000	10084	18	13	13	80	1
60085	60085	1	1	5	70017	50	120	60086	206	1	104	3	401	5	-1	-1	1	25	50	5000	10085	13	18	19	5	1
60086	60086	1	2	5	70017	100	240	60087	206	1	104	3	401	5	-1	-1	1	25	50	5000	10086	13	18	19	10	1
60087	60087	1	3	5	70017	200	360	60088	206	1	104	3	401	5	-1	-1	1	25	50	5000	10087	13	18	19	20	1
60088	60088	1	4	5	70017	300	480	60089	206	1	104	3	401	5	-1	-1	1	25	50	5000	10088	13	18	19	40	1
60089	60089	1	5	5	70017	-1	600	-1	206	1	104	3	401	5	-1	-1	1	25	50	5000	10089	13	18	19	80	1
60090	60090	1	1	5	70018	50	120	60091	103	1	302	3	207	5	-1	-1	1	25	50	5000	10090	18	13	13	5	0
60091	60091	1	2	5	70018	100	240	60092	103	1	302	3	207	5	-1	-1	1	25	50	5000	10091	18	13	13	10	0
60092	60092	1	3	5	70018	200	360	60093	103	1	302	3	207	5	-1	-1	1	25	50	5000	10092	18	13	13	20	0
60093	60093	1	4	5	70018	300	480	60094	103	1	302	3	207	5	-1	-1	1	25	50	5000	10093	18	13	13	40	0
60094	60094	1	5	5	70018	-1	600	-1	103	1	302	3	207	5	-1	-1	1	25	50	5000	10094	18	13	13	80	0
60095	60095	2	1	5	70019	50	120	60096	104	1	100	3	106	5	-1	-1	1	25	50	5000	10095	10	18	18	5	1
60096	60096	2	2	5	70019	100	240	60097	104	1	100	3	106	5	-1	-1	1	25	50	5000	10096	10	18	18	10	1
60097	60097	2	3	5	70019	200	360	60098	104	1	100	3	106	5	-1	-1	1	25	50	5000	10097	10	18	18	20	1
60098	60098	2	4	5	70019	300	480	60099	104	1	100	3	106	5	-1	-1	1	25	50	5000	10098	10	18	18	40	1
60099	60099	2	5	5	70019	-1	600	-1	104	1	100	3	106	5	-1	-1	1	25	50	5000	10099	10	18	18	80	1
60100	60100	5	1	5	70020	50	120	60101	100	1	305	3	403	5	-1	-1	1	25	50	5000	10100	15	13	13	5	1
60101	60101	5	2	5	70020	100	240	60102	100	1	305	3	403	5	-1	-1	1	25	50	5000	10101	15	13	13	10	1
60102	60102	5	3	5	70020	200	360	60103	100	1	305	3	403	5	-1	-1	1	25	50	5000	10102	15	13	13	20	1
60103	60103	5	4	5	70020	300	480	60104	100	1	305	3	403	5	-1	-1	1	25	50	5000	10103	15	13	13	40	1
60104	60104	5	5	5	70020	-1	600	-1	100	1	305	3	403	5	-1	-1	1	25	50	5000	10104	15	13	13	80	1
60105	60105	2	1	5	70021	50	120	60106	100	1	101	3	200	5	-1	-1	1	25	50	5000	10105	1	15	18	5	1
60106	60106	2	2	5	70021	100	240	60107	100	1	101	3	200	5	-1	-1	1	25	50	5000	10106	1	15	18	10	1
60107	60107	2	3	5	70021	200	360	60108	100	1	101	3	200	5	-1	-1	1	25	50	5000	10107	1	15	18	20	1
60108	60108	2	4	5	70021	300	480	60109	100	1	101	3	200	5	-1	-1	1	25	50	5000	10108	1	15	18	40	1
60109	60109	2	5	5	70021	-1	600	-1	100	1	101	3	200	5	-1	-1	1	25	50	5000	10109	1	15	18	80	1
60110	60110	0	1	5	70022	50	120	60111	103	1	106	3	403	5	-1	-1	1	25	50	5000	10110	18	10	13	5	1
60111	60111	0	2	5	70022	100	240	60112	103	1	106	3	403	5	-1	-1	1	25	50	5000	10111	18	10	13	10	1
60112	60112	0	3	5	70022	200	360	60113	103	1	106	3	403	5	-1	-1	1	25	50	5000	10112	18	10	13	20	1
60113	60113	0	4	5	70022	300	480	60114	103	1	106	3	403	5	-1	-1	1	25	50	5000	10113	18	10	13	40	1
60114	60114	0	5	5	70022	-1	600	-1	103	1	106	3	403	5	-1	-1	1	25	50	5000	10114	18	10	13	80	1
60115	60115	2	1	5	70023	50	120	60116	201	1	100	3	305	5	-1	-1	1	25	50	5000	10115	13	11	13	5	1
60116	60116	2	2	5	70023	100	240	60117	201	1	100	3	305	5	-1	-1	1	25	50	5000	10116	13	11	13	10	1
60117	60117	2	3	5	70023	200	360	60118	201	1	100	3	305	5	-1	-1	1	25	50	5000	10117	13	11	13	20	1
60118	60118	2	4	5	70023	300	480	60119	201	1	100	3	305	5	-1	-1	1	25	50	5000	10118	13	11	13	40	1
60119	60119	2	5	5	70023	-1	600	-1	201	1	100	3	305	5	-1	-1	1	25	50	5000	10119	13	11	13	80	1
60120	60120	5	1	5	70024	50	120	60121	103	1	101	3	203	5	-1	-1	1	25	50	5000	10120	10	16	18	5	1
60121	60121	5	2	5	70024	100	240	60122	103	1	101	3	203	5	-1	-1	1	25	50	5000	10121	10	16	18	10	1
60122	60122	5	3	5	70024	200	360	60123	103	1	101	3	203	5	-1	-1	1	25	50	5000	10122	10	16	18	20	1
60123	60123	5	4	5	70024	300	480	60124	103	1	101	3	203	5	-1	-1	1	25	50	5000	10123	10	16	18	40	1
60124	60124	5	5	5	70024	-1	600	-1	103	1	101	3	203	5	-1	-1	1	25	50	5000	10124	10	16	18	80	1
60125	60125	5	1	5	70025	50	120	60126	301	1	203	3	302	5	-1	-1	1	25	50	5000	10125	15	16	18	5	1
60126	60126	5	2	5	70025	100	240	60127	301	1	203	3	302	5	-1	-1	1	25	50	5000	10126	15	16	18	10	1
60127	60127	5	3	5	70025	200	360	60128	301	1	203	3	302	5	-1	-1	1	25	50	5000	10127	15	16	18	20	1
60128	60128	5	4	5	70025	300	480	60129	301	1	203	3	302	5	-1	-1	1	25	50	5000	10128	15	16	18	40	1
60129	60129	5	5	5	70025	-1	600	-1	301	1	203	3	302	5	-1	-1	1	25	50	5000	10129	15	16	18	80	1
60130	60130	5	1	5	70026	50	120	60131	400	1	203	3	104	5	-1	-1	1	25	50	5000	10130	15	16	18	5	1
60131	60131	5	2	5	70026	100	240	60132	400	1	203	3	104	5	-1	-1	1	25	50	5000	10131	15	16	18	10	1
60132	60132	5	3	5	70026	200	360	60133	400	1	203	3	104	5	-1	-1	1	25	50	5000	10132	15	16	18	20	1
60133	60133	5	4	5	70026	300	480	60134	400	1	203	3	104	5	-1	-1	1	25	50	5000	10133	15	16	18	40	1
60134	60134	5	5	5	70026	-1	600	-1	400	1	203	3	104	5	-1	-1	1	25	50	5000	10134	15	16	18	80	1
60135	60135	5	1	5	70027	50	120	60136	304	1	106	3	301	5	-1	-1	1	25	50	5000	10135	15	11	14	5	1
60136	60136	5	2	5	70027	100	240	60137	304	1	106	3	301	5	-1	-1	1	25	50	5000	10136	15	11	14	10	1
60137	60137	5	3	5	70027	200	360	60138	304	1	106	3	301	5	-1	-1	1	25	50	5000	10137	15	11	14	20	1
60138	60138	5	4	5	70027	300	480	60139	304	1	106	3	301	5	-1	-1	1	25	50	5000	10138	15	11	14	40	1
60139	60139	5	5	5	70027	-1	600	-1	304	1	106	3	301	5	-1	-1	1	25	50	5000	10139	15	11	14	80	1
60140	60140	1	1	5	70028	50	120	60141	204	1	400	3	102	5	-1	-1	1	25	50	5000	10140	10	11	14	5	1
60141	60141	1	2	5	70028	100	240	60142	204	1	400	3	102	5	-1	-1	1	25	50	5000	10141	10	11	14	10	1
60142	60142	1	3	5	70028	200	360	60143	204	1	400	3	102	5	-1	-1	1	25	50	5000	10142	10	11	14	20	1
60143	60143	1	4	5	70028	300	480	60144	204	1	400	3	102	5	-1	-1	1	25	50	5000	10143	10	11	14	40	1
60144	60144	1	5	5	70028	-1	600	-1	204	1	400	3	102	5	-1	-1	1	25	50	5000	10144	10	11	14	80	1
60145	60145	1	1	5	70029	50	120	60146	104	1	402	3	204	5	-1	-1	1	25	50	5000	10145	10	16	19	5	1
60146	60146	1	2	5	70029	100	240	60147	104	1	402	3	204	5	-1	-1	1	25	50	5000	10146	10	16	19	10	1
60147	60147	1	3	5	70029	200	360	60148	104	1	402	3	204	5	-1	-1	1	25	50	5000	10147	10	16	19	20	1
60148	60148	1	4	5	70029	300	480	60149	104	1	402	3	204	5	-1	-1	1	25	50	5000	10148	10	16	19	40	1
60149	60149	1	5	5	70029	-1	600	-1	104	1	402	3	204	5	-1	-1	1	25	50	5000	10149	10	16	19	80	1
60150	60150	0	1	5	70030	50	120	60151	105	1	204	3	303	5	-1	-1	1	25	50	5000	10150	15	16	19	5	1
60151	60151	0	2	5	70030	100	240	60152	105	1	204	3	303	5	-1	-1	1	25	50	5000	10151	15	16	19	10	1
60152	60152	0	3	5	70030	200	360	60153	105	1	204	3	303	5	-1	-1	1	25	50	5000	10152	15	16	19	20	1
60153	60153	0	4	5	70030	300	480	60154	105	1	204	3	303	5	-1	-1	1	25	50	5000	10153	15	16	19	40	1
60154	60154	0	5	5	70030	-1	600	-1	105	1	204	3	303	5	-1	-1	1	25	50	5000	10154	15	16	19	80	1
60155	60155	1	1	5	70031	50	120	60156	204	1	303	3	403	5	-1	-1	1	25	50	5000	10155	15	13	13	5	1
60156	60156	1	2	5	70031	100	240	60157	204	1	303	3	403	5	-1	-1	1	25	50	5000	10156	15	13	13	10	1
60157	60157	1	3	5	70031	200	360	60158	204	1	303	3	403	5	-1	-1	1	25	50	5000	10157	15	13	13	20	1
60158	60158	1	4	5	70031	300	480	60159	204	1	303	3	403	5	-1	-1	1	25	50	5000	10158	15	13	13	40	1
60159	60159	1	5	5	70031	-1	600	-1	204	1	303	3	403	5	-1	-1	1	25	50	5000	10159	15	13	13	80	1
60160	60160	0	1	5	70032	50	120	60161	402	1	303	3	205	5	-1	-1	1	25	50	5000	10160	13	18	18	5	1
60161	60161	0	2	5	70032	100	240	60162	402	1	303	3	205	5	-1	-1	1	25	50	5000	10161	13	18	18	10	1
60162	60162	0	3	5	70032	200	360	60163	402	1	303	3	205	5	-1	-1	1	25	50	5000	10162	13	18	18	20	1
60163	60163	0	4	5	70032	300	480	60164	402	1	303	3	205	5	-1	-1	1	25	50	5000	10163	13	18	18	40	1
60164	60164	0	5	5	70032	-1	600	-1	402	1	303	3	205	5	-1	-1	1	25	50	5000	10164	13	18	18	80	1
60165	60165	0	1	5	70033	50	120	60166	105	1	305	3	205	5	-1	-1	1	25	50	5000	10165	18	18	18	5	1
60166	60166	0	2	5	70033	100	240	60167	105	1	305	3	205	5	-1	-1	1	25	50	5000	10166	18	18	18	10	1
60167	60167	0	3	5	70033	200	360	60168	105	1	305	3	205	5	-1	-1	1	25	50	5000	10167	18	18	18	20	1
60168	60168	0	4	5	70033	300	480	60169	105	1	305	3	205	5	-1	-1	1	25	50	5000	10168	18	18	18	40	1
60169	60169	0	5	5	70033	-1	600	-1	105	1	305	3	205	5	-1	-1	1	25	50	5000	10169	18	18	18	80	1
60170	60170	0	1	5	70034	50	120	60171	105	1	206	3	304	5	-1	-1	1	25	50	5000	10170	18	13	13	5	1
60171	60171	0	2	5	70034	100	240	60172	105	1	206	3	304	5	-1	-1	1	25	50	5000	10171	18	13	13	10	1
60172	60172	0	3	5	70034	200	360	60173	105	1	206	3	304	5	-1	-1	1	25	50	5000	10172	18	13	13	20	1
60173	60173	0	4	5	70034	300	480	60174	105	1	206	3	304	5	-1	-1	1	25	50	5000	10173	18	13	13	40	1
60174	60174	0	5	5	70034	-1	600	-1	105	1	206	3	304	5	-1	-1	1	25	50	5000	10174	18	13	13	80	1
60175	60175	1	1	5	70035	50	120	60176	206	1	300	3	101	5	-1	-1	1	25	50	5000	10175	13	13	14	5	1
60176	60176	1	2	5	70035	100	240	60177	206	1	300	3	101	5	-1	-1	1	25	50	5000	10176	13	13	14	10	1
60177	60177	1	3	5	70035	200	360	60178	206	1	300	3	101	5	-1	-1	1	25	50	5000	10177	13	13	14	20	1
60178	60178	1	4	5	70035	300	480	60179	206	1	300	3	101	5	-1	-1	1	25	50	5000	10178	13	13	14	40	1
60179	60179	1	5	5	70035	-1	600	-1	206	1	300	3	101	5	-1	-1	1	25	50	5000	10179	13	13	14	80	1
60180	60180	4	1	5	70036	50	120	60181	207	1	104	3	105	5	-1	-1	1	25	50	5000	10180	13	18	19	5	0
60181	60181	4	2	5	70036	100	240	60182	207	1	104	3	105	5	-1	-1	1	25	50	5000	10181	13	18	19	10	0
60182	60182	4	3	5	70036	200	360	60183	207	1	104	3	105	5	-1	-1	1	25	50	5000	10182	13	18	19	20	0
60183	60183	4	4	5	70036	300	480	60184	207	1	104	3	105	5	-1	-1	1	25	50	5000	10183	13	18	19	40	0
60184	60184	4	5	5	70036	-1	600	-1	207	1	104	3	105	5	-1	-1	1	25	50	5000	10184	13	18	19	80	0
60185	60185	1	1	5	70037	50	120	60186	207	1	303	3	100	5	-1	-1	1	25	50	5000	10185	18	18	18	5	0
60186	60186	1	2	5	70037	100	240	60187	207	1	303	3	100	5	-1	-1	1	25	50	5000	10186	18	18	18	10	0
60187	60187	1	3	5	70037	200	360	60188	207	1	303	3	100	5	-1	-1	1	25	50	5000	10187	18	18	18	20	0
60188	60188	1	4	5	70037	300	480	60189	207	1	303	3	100	5	-1	-1	1	25	50	5000	10188	18	18	18	40	0
60189	60189	1	5	5	70037	-1	600	-1	207	1	303	3	100	5	-1	-1	1	25	50	5000	10189	18	18	18	80	0
60190	60190	2	1	5	70038	50	120	60191	105	1	103	3	400	5	-1	-1	1	25	50	5000	10190	15	18	18	5	1
60191	60191	2	2	5	70038	100	240	60192	105	1	103	3	400	5	-1	-1	1	25	50	5000	10191	15	18	18	10	1
60192	60192	2	3	5	70038	200	360	60193	105	1	103	3	400	5	-1	-1	1	25	50	5000	10192	15	18	18	20	1
60193	60193	2	4	5	70038	300	480	60194	105	1	103	3	400	5	-1	-1	1	25	50	5000	10193	15	18	18	40	1
60194	60194	2	5	5	70038	-1	600	-1	105	1	103	3	400	5	-1	-1	1	25	50	5000	10194	15	18	18	80	1
60195	60195	2	1	5	70039	50	120	60196	200	1	104	3	101	5	-1	-1	1	25	50	5000	10195	15	18	18	5	1
60196	60196	2	2	5	70039	100	240	60197	200	1	104	3	101	5	-1	-1	1	25	50	5000	10196	15	18	18	10	1
60197	60197	2	3	5	70039	200	360	60198	200	1	104	3	101	5	-1	-1	1	25	50	5000	10197	15	18	18	20	1
60198	60198	2	4	5	70039	300	480	60199	200	1	104	3	101	5	-1	-1	1	25	50	5000	10198	15	18	18	40	1
60199	60199	2	5	5	70039	-1	600	-1	200	1	104	3	101	5	-1	-1	1	25	50	5000	10199	15	18	18	80	1
60200	60200	0	1	5	70040	50	120	60201	102	1	104	3	302	5	-1	-1	1	25	50	5000	10200	15	13	13	5	1
60201	60201	0	2	5	70040	100	240	60202	102	1	104	3	302	5	-1	-1	1	25	50	5000	10201	15	13	13	10	1
60202	60202	0	3	5	70040	200	360	60203	102	1	104	3	302	5	-1	-1	1	25	50	5000	10202	15	13	13	20	1
60203	60203	0	4	5	70040	300	480	60204	102	1	104	3	302	5	-1	-1	1	25	50	5000	10203	15	13	13	40	1
60204	60204	0	5	5	70040	-1	600	-1	102	1	104	3	302	5	-1	-1	1	25	50	5000	10204	15	13	13	80	1
60205	60205	4	1	5	70041	50	120	60206	200	1	401	3	304	5	-1	-1	1	25	50	5000	10205	10	15	18	5	1
60206	60206	4	2	5	70041	100	240	60207	200	1	401	3	304	5	-1	-1	1	25	50	5000	10206	10	15	18	10	1
60207	60207	4	3	5	70041	200	360	60208	200	1	401	3	304	5	-1	-1	1	25	50	5000	10207	10	15	18	20	1
60208	60208	4	4	5	70041	300	480	60209	200	1	401	3	304	5	-1	-1	1	25	50	5000	10208	10	15	18	40	1
60209	60209	4	5	5	70041	-1	600	-1	200	1	401	3	304	5	-1	-1	1	25	50	5000	10209	10	15	18	80	1
60210	60210	0	1	5	70042	50	120	60211	100	1	102	3	106	5	-1	-1	1	25	50	5000	10210	18	15	18	5	1
60211	60211	0	2	5	70042	100	240	60212	100	1	102	3	106	5	-1	-1	1	25	50	5000	10211	18	15	18	10	1
60212	60212	0	3	5	70042	200	360	60213	100	1	102	3	106	5	-1	-1	1	25	50	5000	10212	18	15	18	20	1
60213	60213	0	4	5	70042	300	480	60214	100	1	102	3	106	5	-1	-1	1	25	50	5000	10213	18	15	18	40	1
60214	60214	0	5	5	70042	-1	600	-1	100	1	102	3	106	5	-1	-1	1	25	50	5000	10214	18	15	18	80	1
60215	60215	2	1	5	70043	50	120	60216	103	1	101	3	301	5	-1	-1	1	25	50	5000	10215	18	15	18	5	1
60216	60216	2	2	5	70043	100	240	60217	103	1	101	3	301	5	-1	-1	1	25	50	5000	10216	18	15	18	10	1
