INT	STRING
182	罢ke
183	霸课
184	ba课
185	罢教
186	罢学
187	罢运
188	网特
189	网评员
190	网络评论员
191	五毛党
192	五毛们
193	5毛党
194	戒严
195	jieyan
196	jie严
197	戒yan
198	8的平方事件
199	知道64
200	八九年
201	贰拾年
202	2o年
203	20和谐年
204	贰拾周年
205	六四
206	六河蟹四
207	六百度四
208	六和谐四
209	陆四
210	陆肆
211	198964
212	5月35
213	89年春夏之交
214	64惨案
215	64时期
216	64运动
217	4事件
218	四事件
219	北京风波
220	学潮
221	学chao
222	xuechao
223	学百度潮
224	门安天
225	天按门
226	坦克压大学生
227	民主女神
228	历史的伤口
229	高自联
230	北高联
231	维多利亚公园
232	bloodisonthesquare
233	为了忘却的纪念
234	血洗京城
235	四二六社论
236	王丹
237	柴玲
238	沈彤
239	封从德
240	王超华
241	王维林
242	吾尔开希
243	吾尔开西
244	侯德健
245	阎明复
246	方励之
247	蒋捷连
248	丁子霖
249	辛灏年
250	蒋彦永
251	严家其
252	陈一咨
253	中华局域网
254	党的喉舌
255	互联网审查
256	当局严密封锁
257	新闻封锁
258	封锁消息
259	爱国者同盟
260	关闭所有论坛
261	网络封锁
262	金盾工程
263	gfw
264	无界浏览
265	无界网络
266	自由门
267	何清涟
268	中国的陷阱
269	汪兆钧
270	记者无疆界
271	境外媒体
272	维基百科
273	纽约时报
274	bbc中文网
275	华盛顿邮报
276	世界日报
277	东森新闻网
278	东森电视
279	基督教科学箴言报
280	星岛日报
281	亚洲周刊
282	泰晤士报
283	美联社
284	中央社
285	雅虎香港
286	wikipedia
287	youtube
288	googleblogger
289	美国之音
290	美国广播公司
291	英国金融时报
292	自由亚洲
293	中央日报
294	自由时报
295	中国时报
296	反分裂
297	威胁论
298	左翼联盟
299	钓鱼岛
300	保钓组织
301	主权
302	弓单
303	火乍
304	木仓
305	石肖
306	核蛋
307	步qiang
308	bao炸
309	爆zha
310	baozha
311	zha药
312	zha弹
313	炸dan
314	炸yao
315	zhadan
316	zhayao
317	hmtd
318	三硝基甲苯
319	六氟化铀
320	炸药配方
321	弹药配方
322	炸弹配方
323	皮箱炸弹
324	火药配方
325	人体炸弹
326	人肉炸弹
327	解放军
328	兵力部署
329	军转
330	军事社
331	8341部队
332	第21集团军
333	七大军区
334	7大军区
335	北京军区
336	沈阳军区
337	济南军区
338	成都军区
339	广州军区
340	南京军区
341	兰州军区
342	颜色革命
343	规模冲突
344	塔利班
345	基地组织
346	恐怖分子
347	恐怖份子
348	三股势力
349	印尼屠华
350	印尼事件
351	蒋公纪念歌
352	马英九
353	mayingjiu
354	李天羽
355	苏贞昌
356	林文漪
357	陈水扁
358	陈s扁
359	陈随便
360	阿扁
361	a扁
362	告全国同胞书
363	台百度湾
364	台完
365	台wan
366	taiwan
367	台弯
368	湾台
369	台湾国
370	台湾共和国
371	台军
372	台独
373	台毒
374	台du
375	taidu
376	twdl
377	一中一台
378	打台湾
379	两岸关系
380	两岸战争
381	攻占台湾
382	支持台湾
383	进攻台湾
384	占领台湾
385	统一台湾
386	收复台湾
387	登陆台湾
388	解放台湾
389	解放tw
390	解决台湾
391	光复民国
392	台湾独立
393	台湾问题
394	台海问题
395	台海危机
396	台海统一
397	台海大战
398	台海战争
399	台海局势
400	入联
401	入耳关
402	中华联邦
403	国民党
404	x民党
405	民进党
406	青天白日
407	闹独立
408	duli
409	fenlie
410	日本万岁
411	小泽一郎
412	劣等民族
413	汉人
414	汉维
415	维汉
416	维吾
417	吾尔
418	热比娅
419	伊力哈木
420	疆独
421	东突厥斯坦解放组织
422	东突解放组织
423	蒙古分裂分子
424	列确
425	阿旺晋美
426	藏人
427	臧人
428	zang人
429	藏民
430	藏m
431	达赖
432	赖达
433	dalai
434	哒赖
435	dl喇嘛
436	丹增嘉措
437	打砸抢
438	西独
439	藏独
440	葬独
441	臧独
442	藏毒
443	藏du
444	zangdu
445	支持zd
446	藏暴乱
447	藏青会
448	雪山狮子旗
449	拉萨
450	啦萨
451	啦沙
452	啦撒
453	拉sa
454	lasa
455	la萨
456	西藏
457	藏西
458	xizang
459	xi藏
460	x藏
461	西z
462	tibet
463	希葬
464	希藏
465	硒藏
466	稀藏
467	西脏
468	西奘
469	西葬
470	西臧
471	援藏
472	bjork
473	王千源
474	安拉
475	回教
476	回族
477	回回
478	回民
479	穆斯林
480	穆罕穆德
481	穆罕默德
482	默罕默德
483	伊斯兰
484	圣战组织
485	清真
486	清zhen
487	qingzhen
488	真主
489	阿拉伯
490	高丽棒子
491	韩国狗
492	满洲第三帝国
493	满狗
494	鞑子
495	胡的接班人
496	钦定接班人
497	习近平
498	平近习
499	xjp
500	习太子
501	习明泽
502	老习
503	温家宝
504	温加宝
505	温x
506	温jia宝
507	温宝宝
508	温加饱
509	温加保
510	张培莉
511	温云松
512	温如春
513	温jb
514	胡温
515	胡x
516	胡jt
517	胡boss
518	胡总
519	胡王八
520	hujintao
521	胡jintao
522	胡j涛
523	胡惊涛
524	胡景涛
525	胡紧掏
526	湖紧掏
527	胡紧套
528	锦涛
529	hjt
530	胡派
531	胡主席
532	刘永清
533	胡海峰
534	胡海清
535	江泽民
536	民泽江
537	江胡
538	江哥
539	江主席
540	江书记
541	江浙闽
542	江沢民
543	江浙民
544	择民
545	则民
546	茳泽民
547	zemin
548	ze民
549	老江
550	老j
551	江core
552	江x
553	江派
554	江zm
555	jzm
556	江戏子
557	江蛤蟆
558	江某某
559	江贼
560	江猪
561	江氏集团
562	江绵恒
563	江绵康
564	王冶坪
565	江泽慧
566	邓小平
567	平小邓
568	xiao平
569	邓xp
570	邓晓平
571	邓朴方
572	邓榕
573	邓质方
574	毛泽东
575	猫泽东
576	猫则东
577	chairmanmao
578	猫贼洞
579	毛zd
580	毛zx
581	z东
582	ze东
583	泽d
584	zedong
585	毛太祖
586	毛相
587	主席画像
588	改革历程
589	朱镕基
590	朱容基
591	朱镕鸡
592	朱容鸡
593	朱云来
594	李鹏
595	李peng
596	里鹏
597	李月月鸟
598	李小鹏
599	李小琳
600	华主席
601	华国
602	国锋
603	国峰
604	锋同志
605	白春礼
606	薄熙来
607	薄一波
608	蔡赴朝
609	蔡武
610	曹刚川
611	常万全
612	陈炳德
613	陈德铭
614	陈建国
615	陈良宇
616	陈绍基
617	陈同海
618	陈至立
619	戴秉国
620	丁一平
621	董建华
622	杜德印
623	杜世成
624	傅锐
625	郭伯雄
626	郭金龙
627	贺国强
628	胡春华
629	耀邦
630	华建敏
631	黄华华
632	黄丽满
633	黄兴国
634	回良玉
635	贾庆林
636	贾廷安
637	靖志远
638	李长春
639	李春城
640	李建国
641	李克强
642	李岚清
643	李沛瑶
644	李荣融
645	李瑞环
646	李铁映
647	李先念
648	李学举
649	李源潮
650	栗智
651	梁光烈
652	廖锡龙
653	林树森
654	林炎志
655	林左鸣
656	令计划
657	柳斌杰
658	刘奇葆
659	刘少奇
660	刘延东
661	刘云山
662	刘志军
663	龙新民
664	路甬祥
665	罗箭
666	吕祖善
667	马飚
668	马恺
669	孟建柱
670	欧广源
671	强卫
672	沈跃跃
673	宋平顺
674	粟戎生
675	苏树林
676	孙家正
677	铁凝
678	屠光绍
679	王东明
680	汪东兴
681	王鸿举
682	王沪宁
683	王乐泉
684	王洛林
685	王岐山
686	王胜俊
687	王太华
688	王学军
689	王兆国
690	王振华
691	吴邦国
692	吴定富
693	吴官正
694	无官正
695	吴胜利
696	吴仪
697	奚国华
698	习仲勋
699	徐才厚
700	许其亮
701	徐绍史
702	杨洁篪
703	叶剑英
704	由喜贵
705	于幼军
706	俞正声
707	袁纯清
708	曾培炎
709	曾庆红
710	曾宪梓
711	曾荫权
712	张德江
713	张定发
714	张高丽
715	张立昌
716	张荣坤
717	张志国
718	赵洪祝
719	紫阳
720	周生贤
721	周永康
722	朱海仑
723	政治局常委
724	中纪委
725	主席像
726	总书记
727	中南海
728	大陆当局
729	中国当局
730	北京当局
731	共产党
732	党产共
733	gcd
734	共贪党
735	gongchandang
736	阿共
737	共一产一党
738	产党共
739	公产党
740	工产党
741	共c党
742	共x党
743	共铲
744	供产
745	共惨
746	供铲党
747	供铲谠
748	供铲裆
749	共残党
750	共残主义
751	共产主义的幽灵
752	拱铲
753	老共
754	中共
755	中珙
756	中gong
757	gc党
758	贡挡
759	gong党
760	g产
761	狗产蛋
762	共残裆
763	恶党
764	邪党
765	共产专制
766	共产王朝
767	裆中央
768	土共
769	土g
770	共狗
771	g匪
772	共匪
773	仇共
774	communistparty
775	政府
776	症腐
777	政腐
778	政付
779	正府
780	政俯
781	政一府
782	政百度府
783	政f
784	zhengfu
785	政zhi
786	挡中央
787	档中央
788	中央领导
789	中国zf
790	中央zf
791	国wu院
792	中华帝国
793	gong和
794	大陆官方
795	北京政权 
796	福音会
797	中国教徒
798	统一教
799	观音法门
800	清海无上师
801	盘古
802	李洪志
803	志洪李
804	李宏志
805	轮功
806	法轮
807	轮法功
808	三去车仑
809	氵去车仑
810	发论工
811	法x功
812	法o功
813	法0功
814	法一轮一功
815	轮子功
816	车仑工力
817	法lun
818	fa轮
819	法lg
820	flg
821	fl功
822	falungong
823	大法弟子
824	大纪元
825	dajiyuan
826	明慧网
827	明慧周报
828	正见网
829	新唐人
830	伪火
831	退党
832	tuidang
833	退dang
834	超越红墙
835	自fen
836	真善忍
837	九评
838	9评
839	9ping
840	九ping
841	jiuping
842	藏字石
843	集体自杀
844	自sha
845	zi杀
846	suicide
847	titor
848	逢8必灾
849	逢八必灾
850	逢9必乱
851	逢九必乱
852	朱瑟里诺
853	根达亚文明
854	诺查丹玛斯
855	人类灭亡进程表
856	按照马雅历法
857	推背图
858	推bei图
859	济世灵文
860	诸世纪
861	爱女人
862	爱液
863	按摩棒
864	拔出来
865	爆草
866	包二奶
867	暴干
868	暴奸
869	暴乳
870	爆乳
871	暴淫
872	屄
873	被操
874	被插
875	被干
876	逼奸
877	仓井空
878	插暴
879	操逼
880	操黑
881	操烂
882	肏你
883	肏死
884	操死
885	操我
886	厕奴
887	插比
888	插b
889	插逼
890	插进
891	插你
892	插我
893	插阴
894	潮吹
895	潮喷
896	成人电影
897	成人论坛
898	成人色情
899	成人网站
900	成人文学
901	成人小说
902	艳情小说
903	成人游戏
904	吃精
905	赤裸
906	抽插
907	扌由插
908	抽一插
909	春药
910	大波
911	大力抽送
912	大乳
913	荡妇
914	荡女
915	盗撮
916	多人轮
917	发浪
918	放尿
919	肥逼
920	粉穴
921	封面女郎
922	风月大陆
923	干死你
924	干穴
925	肛交
926	肛门
927	龟头
928	裹本
929	国产av
930	好嫩
931	豪乳
932	黑逼
933	后庭
934	后穴
935	虎骑
936	花花公子
937	换妻俱乐部
938	黄片
939	几吧
940	鸡吧
941	鸡巴
942	鸡奸
943	寂寞男
944	寂寞女
945	妓女
946	激情
947	集体淫
948	奸情
949	叫床
950	脚交
951	金鳞岂是池中物
952	金麟岂是池中物
953	精液
954	就去日
955	巨屌
956	菊花洞
957	菊门
958	巨奶
959	巨乳
960	菊穴
961	开苞
962	口爆
963	口活
964	口交
965	口射
966	口淫
967	裤袜
968	狂操
969	狂插
970	浪逼
971	浪妇
972	浪叫
973	浪女
974	狼友
975	聊性
976	流淫
977	铃木麻
978	凌辱
979	漏乳
980	露b
981	乱交
982	乱伦
983	轮暴
984	轮操
985	轮奸
986	裸陪
987	买春
988	美逼
989	美少妇
990	美乳
991	美腿
992	美穴
993	美幼
994	秘唇
995	迷奸
996	密穴
997	蜜穴
998	蜜液
999	摸奶
1000	摸胸
1001	母奸
1002	奈美
1003	奶子
1004	男奴
1005	内射
1006	嫩逼
1007	嫩女
1008	嫩穴
1009	捏弄
1010	女优
1011	炮友
1012	砲友
1013	喷精
1014	屁眼
1015	品香堂
1016	前凸后翘
1017	强jian
1018	强暴
1019	强奸处女
1020	情趣用品
1021	情色
1022	拳交
1023	全裸
1024	群交
1025	惹火身材
1026	人妻
1027	人兽
1028	日逼
1029	日烂
1030	肉棒
1031	肉逼
1032	肉唇
1033	肉洞
1034	肉缝
1035	肉棍
1036	肉茎
1037	肉具
1038	揉乳
1039	肉穴
1040	肉欲
1041	乳爆
1042	乳房
1043	乳沟
1044	乳交
1045	乳头
1046	三级片
1047	骚逼
1048	骚比
1049	骚女
1050	骚水
1051	骚穴
1052	色逼
1053	色界
1054	色猫
1055	色盟
1056	色情网站
1057	色区
1058	色色
1059	色诱
1060	色欲
1061	色b
1062	少年阿宾
1063	少修正
1064	射爽
1065	射颜
1066	食精
1067	释欲
1068	兽奸
1069	兽交
1070	手淫
1071	兽欲
1072	熟妇
1073	熟母
1074	熟女
1075	爽片
1076	爽死我了
1077	双臀
1078	死逼
1079	丝袜
1080	丝诱
1081	松岛枫
1082	酥痒
1083	汤加丽
1084	套弄
1085	体奸
1086	体位
1087	舔脚
1088	舔阴
1089	调教
1090	偷欢
1091	偷拍
1092	推油
1093	脱内裤
1094	文做
1095	我就色
1096	无码
1097	舞女
1098	无修正
1099	吸精
1100	夏川纯
1101	相奸
1102	小逼
1103	校鸡
1104	小穴
1105	小xue
1106	写真
1107	性感妖娆
1108	性感诱惑
1109	性虎
1110	性饥渴
1111	性技巧
1112	性交
1113	性奴
1114	性虐
1115	性息
1116	性欲
1117	胸推
1118	穴口
1119	学生妹
1120	穴图
1121	亚情
1122	颜射
1123	阳具
1124	杨思敏
1125	要射了
1126	夜勤病栋
1127	一本道
1128	一夜欢
1129	一夜情
1130	一ye情
1131	阴部
1132	淫虫
1133	阴唇
1134	淫荡
1135	阴道
1136	淫电影
1137	阴阜
1138	淫妇
1139	淫河
1140	阴核
1141	阴户
1142	淫贱
1143	淫叫
1144	淫教师
1145	阴茎
1146	阴精
1147	淫浪
1148	淫媚
1149	淫糜
1150	淫魔
1151	淫母
1152	淫女
1153	淫虐
1154	淫妻
1155	淫情
1156	淫色
1157	淫声浪语
1158	淫兽学园
1159	淫书
1160	淫术炼金士
1161	淫水
1162	淫娃
1163	淫威
1164	淫亵
1165	淫样
1166	淫液
1167	淫照
1168	阴b
1169	应召
1170	幼交
1171	幼男
1172	幼女
1173	欲火
1174	欲女
1175	玉女心经
1176	玉蒲团
1177	玉乳
1178	欲仙欲死
1179	玉穴
1180	援交
1181	原味内衣
1182	援助交际
1183	张筱雨
1184	招鸡
1185	招妓
1186	中年美妇
1187	抓胸
1188	自拍
1189	自慰
1190	作爱
1191	18禁
1192	99bb
1193	a4u
1194	a4y
1195	adult
1196	amateur
1197	anal
1198	a片
1199	fuck
1200	gay片
1201	g点
1202	g片
1203	hardcore
1204	h动画
1205	h动漫
1206	incest
1207	porn
1208	secom
1209	sexinsex
1210	sm女王
1211	xiao77
1212	xing伴侣
1213	tokyohot
1214	yin荡
1215	汉芯造假
1216	杨树宽
1217	中印边界谈判结果
1218	喂奶门
1219	摸nai门
1220	酒瓶门
1221	脱裤门
1222	75事件
1223	乌鲁木齐
1224	新疆骚乱
1225	针刺
1226	打针
1227	食堂涨价
1228	饭菜涨价
1229	h1n1
1230	瘟疫爆发
1231	yangjia
1232	y佳
1233	yang佳
1234	杨佳
1235	杨j
1236	袭警
1237	杀警
1238	武侯祠
1239	川b26931
1240	贺立旗
1241	周正毅
1242	px项目
1243	骂四川
1244	家l福
1245	家le福
1246	加了服
1247	麦当劳被砸
1248	豆腐渣
1249	这不是天灾
1250	龙小霞
1251	震其国土
1252	yuce
1253	提前预测
1254	地震预测
1255	隐瞒地震
1256	李四光预测
1257	蟾蜍迁徙
1258	地震来得更猛烈
1259	八级地震毫无预报
1260	踩踏事故
1261	聂树斌
1262	万里大造林
1263	陈相贵
1264	张丹红
1265	尹方明
1266	李树菲
1267	王奉友
1268	零八奥运艰
1269	惨奥
1270	奥晕
1271	凹晕
1272	懊运
1273	懊孕
1274	奥孕
1275	奥你妈的运
1276	反奥
1277	628事件
1278	weng安
1279	wengan
1280	翁安
1281	瓮安事件
1282	化工厂爆炸
1283	讨回工资
1284	穴海
1285	协警
1286	纳米比亚
1287	专业调查
1288	有华龙
1289	jq的来
1290	电信路
1291	第一夫人
1292	党鞭
1293	黄巨
1294	荡尽天下
1295	家元自称玉皇大帝
1296	主席李世民
1297	何祚庥
1298	刘刚
1299	不要沉默
1300	后勤集团
1301	发国难财
1302	浪漫邂逅
1303	红满堂
1304	张小洋
1305	炸学校
1306	子宫
1307	叫晶晶的女孩
1308	回派
1309	社会黑暗
1310	国之母
1311	国母
1312	国姆
1313	东方微点
1314	震惊全球
1315	nowto
1316	chengdu
1317	徐明
1318	六月飞雪
1319	暴力虐待
1320	暴力袭击
1321	天府广场
1322	粮荒
1323	洗脑班
1324	李愚蠢
1325	中国猪
1326	台湾猪
1327	进化不完全的生命体
1328	震死他们
1329	贱人
1330	装b
1331	大sb
1332	傻逼
1333	傻b
1334	煞逼
1335	煞笔
1336	刹笔
1337	傻比
1338	沙比
1339	欠干
1340	婊子养的
1341	我日你
1342	我操
1343	我草
1344	卧艹
1345	卧槽
1346	爆你菊
1347	艹你
1348	cao你
1349	你他妈
1350	真他妈
1351	别他吗
1352	草你吗
1353	草你丫
1354	操你妈
1355	擦你妈
1356	操你娘
1357	操他妈
1358	日你妈
1359	干你妈
1360	干你娘
1361	娘西皮
1362	狗操
1363	狗草
1364	狗杂种
1365	狗日的
1366	操你祖宗
1367	操你全家
1368	操你大爷
1369	妈逼
1370	你麻痹
1371	麻痹的
1372	妈了个逼
1373	马勒
1374	狗娘养
1375	贱比
1376	贱b
1377	下贱
1378	死全家
1379	全家死光
1380	全家不得好死
1381	全家死绝
1382	白痴
1383	无耻
1384	sb
1385	杀b
1386	你吗b
1387	你妈的
1388	婊子
1389	贱货
1390	人渣
1391	混蛋
1392	媚外
1393	和弦
1394	兼职
1395	限量
1396	铃声
1397	性伴侣
1398	男公关
1399	火辣
1400	精子
1401	射精
1402	诱奸
1403	强奸
1404	做爱
1405	性爱
1406	发生关系
1407	按摩
1408	快感
1409	处男
1410	猛男
1411	少妇
1412	屌
1413	屁股
1414	下体
1415	内裤
1416	浑圆
1417	咪咪
1418	发情
1419	刺激
1420	白嫩
1421	粉嫩
1422	兽性
1423	风骚
1424	呻吟
1425	sm
1426	阉割
1427	高潮
1428	裸露
1429	不穿
1430	一丝不挂
1431	脱光
1432	干你
1433	干死
1434	我干
1435	中日没有不友好的
1436	木牛流马的污染比汽车飞机大
1437	他们嫌我挡了城市的道路
1438	当官靠后台
1439	警察我们是为人民服务的
1440	中石化说亏损
1441	做人不能太cctv了
1442	领导干部吃王八
1443	工商税务两条狼
1444	公检法是流氓
1445	公安把秩序搞乱
1446	剖腹一刀五千几
1447	读不起选个学校三万起
1448	父母下岗儿下地
1449	裙中性运动
1450	他妈的
1451	他妹的
1452	东伊运
1453	世维会
1454	杨尚昆
1455	灵灵派
1456	阿鲁纳恰尔邦
1457	尖阁诸岛
1458	香港建国
1459	香港国
1460	港独
1461	香港独立
1462	占领中环
1463	占中
1464	香港城邦论
1465	太阳花学运
1466	反国教运动
1467	浴盐
1468	蔡英文
1469	金三胖
1470	你奶奶
1471	强暴幼女
1472	isis
1473	周恩来
1474	朱德
1475	彭德怀
1476	林彪
1477	刘伯承
1478	陈毅
1479	贺龙
1480	聂荣臻
1481	徐向前
1482	罗荣桓
1483	李大钊
1484	陈独秀
1485	孙中山
1486	孙文
1487	孙逸仙
1488	陈云
1489	尉健行
1490	胡锦涛
1491	罗干
1492	黄菊
1493	唐家璇
1494	王刚
1495	刘淇
1496	胡耀邦
1497	彭丽媛
1498	华国锋
1499	习大大
1500	吴帮国
1501	无帮国
1502	无邦国
1503	无帮过
1504	瘟家宝
1505	假庆林
1506	甲庆林
1507	假青林
1508	离长春
1509	习远平
1510	袭近平
1511	李磕墙
1512	贺过墙
1513	和锅枪
1514	习主席
1515	毛主席
1516	毛主度
1517	马凯
1518	孙春兰
1519	孙政才
1520	汪洋
1521	张春贤
1522	范长龙
1523	赵乐际
1524	栗战书
1525	韩正
1526	布什
1527	布莱尔
1528	小泉
1529	纯一郎
1530	萨马兰奇
1531	安南
1532	阿拉法特
1533	普京
1534	默克尔
1535	克林顿
1536	里根
1537	尼克松
1538	林肯
1539	杜鲁门
1540	赫鲁晓夫
1541	列宁
1542	斯大林
1543	马克思
1544	恩格斯
1545	金正日
1546	金日成
1547	萨达姆
1548	胡志明
1549	西哈努克
1550	希拉克
1551	撒切尔
1552	阿罗约
1553	曼德拉
1554	卡斯特罗
1555	富兰克林
1556	华盛顿
1557	艾森豪威尔
1558	拿破仑
1559	亚历山大
1560	路易
1561	拉姆斯菲尔德
1562	劳拉
1563	鲍威尔
1564	奥巴马
1565	梅德韦杰夫
1566	金正恩
1567	安倍晋三
1568	本拉登
1569	奥马尔
1570	达赖喇嘛
1571	江青
1572	张春桥
1573	姚文元
1574	王洪文
1575	东条英机
1576	希特勒
1577	墨索里尼
1578	冈村秀树
1579	冈村宁次
1580	高丽朴
1581	赵紫阳
1582	沃尔开西
1583	李大师
1584	赖昌星
1585	马加爵
1586	班禅
1587	额尔德尼
1588	山本五十六
1589	阿扁万岁
1590	热那亚
1591	王立军
1592	粥永康
1593	轴永康
1594	肘永康
1595	周健康
1596	粥健康
1597	周小康
1598	李登辉
1599	连战
1600	宋楚瑜
1601	吕秀莲
1602	郁慕明
1603	蒋介石
1604	蒋中正
1605	蒋经国
1606	六四运动
1607	密宗
1608	民国
1609	民运
1610	民主潮
1611	摩门教
1612	纳粹
1613	南华早报
1614	南蛮
1615	起义
1616	亲民党
1617	瘸腿帮
1618	人民报
1619	法轮功
1620	法轮大法
1621	打倒共产党
1622	台独万岁
1623	圣战
1624	台独分子
1625	台联
1626	台湾民国
1627	台湾岛国
1628	天安门事件
1629	屠杀
1630	新党
1631	新疆独立
1632	新疆分裂
1633	新疆国
1634	西藏独立
1635	西藏分裂
1636	西藏国
1637	藏妇会
1638	学运
1639	两个中国
1640	一贯道
1641	圆满
1642	造反
1643	镇压
1644	政变
1645	政治
1646	政治反对派
1647	政治犯
1648	反党
1649	民主党
1650	中国之春
1651	转法轮
1652	自焚
1653	共党
1654	苏家屯
1655	东亚病夫
1656	支那
1657	高治联
1658	专政
1659	专制
1660	四人帮
1661	新闻管制
1662	核工业基地
1663	核武器
1664	铀
1665	原子弹
1666	氢弹
1667	导弹
1668	核潜艇
1669	大参考
1670	小参考
1671	国内动态清样
1672	东突
1673	中央电视台
1674	两国论
1675	一边一国
1676	赤匪
1677	道教
1678	多维
1679	佛教
1680	佛祖
1681	释迦牟尼
1682	如来
1683	阿弥陀佛
1684	观世音
1685	普贤
1686	文殊
1687	地藏
1688	河殇
1689	升天
1690	圣母
1691	耶和华
1692	耶稣
1693	真主安拉
1694	白莲教
1695	天主教
1696	基督教
1697	东正教
1698	大法
1699	真理教
1700	走向圆满
1701	黄大仙
1702	风水
1703	跳大神
1704	神汉
1705	神婆
1706	大卫教
1707	阎王
1708	黑白无常
1709	牛头马面
1710	蒙古鞑子
1711	老毛子
1712	回民吃猪肉
1713	蒙古独立
1714	全能神
1715	谋杀
1716	杀人
1717	吸毒
1718	贩毒
1719	赌博
1720	拐卖
1721	走私
1722	卖淫
1723	监狱
1724	抢劫
1725	先奸后杀
1726	枪支弹药
1727	下注
1728	押大
1729	押小
1730	抽头
1731	坐庄
1732	赌马
1733	赌球
1734	筹码
1735	老虎机
1736	轮盘赌
1737	安非他命
1738	大麻
1739	可卡因
1740	海洛因
1741	冰毒
1742	摇头丸
1743	杜冷丁
1744	鸦片
1745	罂粟
1746	迷幻药
1747	白粉
1748	嗑药
1749	卖枪支弹药
1750	k粉
1751	冰粉
1752	毒品
1753	黄网
1754	肏
1755	马的
1756	马白勺
1757	妈的
1758	妈白勺
1759	女马ㄉ
1760	女马的
1761	女马白勺
1762	操你
1763	操妳
1764	操他
1765	操人也
1766	操她
1767	操女也
1768	干妳
1769	干他
1770	干人也
1771	干她
1772	干女也
1773	超你
1774	超妳
1775	超他
1776	超人也
1777	超她
1778	超女也
1779	屌你
1780	屌我
1781	屌妳
1782	屌他
1783	屌人也
1784	屌她
1785	屌女也
1786	凸你
1787	凸我
1788	凸妳
1789	凸他
1790	凸人也
1791	凸她
1792	凸女也
1793	插他
1794	插她
1795	插妳
1796	臭你
1797	臭妳
1798	臭他
1799	臭人也
1800	臭她
1801	臭女也
1802	机八
1803	鸡八
1804	g八
1805	机巴
1806	g巴
1807	机叭
1808	鸡叭
1809	g叭
1810	机芭
1811	鸡芭
1812	g芭
1813	机掰
1814	鸡掰
1815	g掰
1816	机y
1817	鸡y
1818	机8
1819	鸡８
1820	靠爸
1821	靠母
1822	哭爸
1823	哭母
1824	靠北
1825	老gy
1826	干gy
1827	操gy
1828	超gy
1829	臭gy
1830	干七八
1831	干78
1832	干７８
1833	操七八
1834	操78
1835	操７８
1836	超七八
1837	超78
1838	超７８
1839	臭七八
1840	臭78
1841	臭７８
1842	懒叫
1843	懒教
1844	妈b
1845	我日
1846	婊
1847	璩美凤
1848	日你
1849	你妈
1850	tnnd
1851	幼齿
1852	阝月
1853	歇逼
1854	蛤蟆
1855	发骚
1856	奸淫
1857	菜逼
1858	奶奶的
1859	日死你
1860	江八点
1861	你娘
1862	破鞋
1863	贱逼
1864	娘的
1865	狗卵子
1866	骚货
1867	操蛋
1868	大比
