INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
40093	(废弃,新加灵兽可用）	600	14	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	102	100	102	-1	-1	-1	-1	100	1200	66|67|68|69|70	110	0	105	0	113	0	111	0	106	0	9023
40094	(废弃,新加灵兽可用）	605	15	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	202	-1	-1	-1	-1	100	1200	71|72|73|74|75	110	0	105	0	113	0	111	0	106	0	9043
40095	(废弃,新加灵兽可用）	606	16	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	204	-1	-1	-1	-1	100	1200	76|77|78|79|80	110	0	105	0	113	0	111	0	106	0	9102
40096	(废弃,新加灵兽可用）	607	17	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	201	-1	-1	-1	-1	100	1200	81|82|83|84|85	110	0	105	0	113	0	111	0	106	0	9033
40097	(废弃,新加灵兽可用）	608	18	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	205	-1	-1	-1	-1	100	1200	86|87|88|89|90	110	0	105	0	113	0	111	0	106	0	9036
40098	(废弃,新加灵兽可用）	609	19	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	96	200	-1	-1	-1	-1	100	1200	86|87|88|89|90	110	0	105	0	113	0	111	0	106	0	9206
40099	(废弃,新加灵兽可用）	610	20	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	203	-1	-1	-1	-1	100	1200	86|87|88|89|90	110	0	105	0	113	0	111	0	106	0	9256
40100	天马	606	21	13	9200	276	10	480	15	11	480	15	-1	0	0	-1	0	0	-1	0	0	104	99	203	4	7	-1	-1	28	2400	16|17|18|19|20	110	600	105	800	113	400	111	400	106	400	9102
40101	大天使	602	22	13	8000	240	10	560	17	11	560	17	-1	0	0	-1	0	0	-1	0	0	104	99	203	4	5	-1	-1	28	2400	21|22|23|24|25	110	600	105	800	113	400	111	400	106	400	9071
40102	大恶魔	604	23	105	580	18	10	400	12	11	400	12	-1	0	0	-1	0	0	-1	0	0	104	99	203	5	8	-1	-1	28	2400	26|27|28|29|30	110	600	105	800	113	400	111	400	106	400	9233
40103	飞天娜迦	607	24	105	480	15	19	50	2	20	50	2	-1	0	0	-1	0	0	-1	0	0	104	99	203	7	9	-1	-1	28	2400	31|32|33|34|35	110	600	105	800	113	400	111	400	106	400	9013
40104	玛雅风蛇	616	25	13	9800	294	20	60	2	12	80	3	-1	0	0	-1	0	0	-1	0	0	104	99	203	6	8	-1	-1	28	2400	36|37|38|39|40	110	600	105	800	113	400	111	400	106	400	9052
40105	白银神龙	610	26	105	490	15	13	8000	240	9	50	2	-1	0	0	-1	0	0	-1	0	0	104	99	203	6	9	-1	-1	28	2400	41|42|43|44|45	110	600	105	800	113	400	111	400	106	400	9253
40200	雷震子	608	27	105	510	16	13	11000	330	19	60	2	9	50	2	-1	0	0	-1	0	0	104	99	203	13	14	-1	-1	35	4800	46|47|48|49|50	110	1000	105	1200	113	600	111	600	106	600	9036
40201	翡翠雏龙	605	28	105	550	17	13	9900	297	20	60	2	12	60	2	-1	0	0	-1	0	0	104	99	203	10	14	-1	-1	35	4800	51|52|53|54|55	110	1000	105	1200	113	600	111	600	106	600	9046
40202	踏雪灵虎	617	29	105	560	17	13	12000	360	9	80	3	12	80	3	-1	0	0	-1	0	0	104	99	203	10	12	-1	-1	35	4800	56|57|58|59|60	110	1000	105	1200	113	600	111	600	106	600	9264
40203	金凤凰	609	30	13	15000	450	10	580	18	11	580	18	12	60	2	-1	0	0	-1	0	0	104	99	203	12	14	-1	-1	35	4800	61|62|63|64|65	110	1000	105	1200	113	600	111	600	106	600	9206
40204	水精灵	618	31	105	580	18	13	13000	390	19	50	2	20	50	2	-1	0	0	-1	0	0	104	99	203	11	15	-1	-1	35	4800	66|67|68|69|70	110	1000	105	1200	113	600	111	600	106	600	9216
40205	土精灵	619	32	105	620	19	13	11000	330	10	320	10	11	320	10	-1	0	0	-1	0	0	104	99	203	11	15	-1	-1	35	4800	71|72|73|74|75	110	1000	105	1200	113	600	111	600	106	600	9244
40206	熔岩幼蜥	620	33	105	650	20	19	60	2	20	60	2	9	80	3	-1	0	0	-1	0	0	104	99	203	13	15	-1	-1	35	4800	76|77|78|79|80	110	1000	105	1200	113	600	111	600	106	600	9134
40207	新5	617	34	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	104	99	203	-1	-1	-1	-1	35	4800	81|82|83|84|85	110	0	105	0	113	0	111	0	106	0	9264
40300	冰雪之魄	621	35	105	780	24	13	15000	450	10	520	16	11	520	16	9	90	3	-1	0	0	104	99	203	16	-1	-1	-1	50	9600	86|87|88|89|90	110	1500	105	2000	113	800	111	800	106	800	9062
