INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
50010	50000	-1	3	100	40	0	0	105	50009	-1	0	1	10	105	50009	-1	0	3	1000	105	50009	-1	0	6	9	105	50009	-1	0	7	2	21	50000	-1	0	0	0	-1	0	-1	0
50011	50000	-1	3	120	40	0	0	105	50010	-1	0	1	11	105	50010	-1	0	4	100	105	50010	-1	0	6	10	105	50010	-1	0	7	1	21	50000	-1	0	0	0	-1	0	-1	0
50012	50000	2	4	150	40	0	0	105	50011	-1	0	1	12	105	50011	-1	0	5	10000	105	50011	-1	0	6	11	105	50011	-1	0	7	0	21	50000	-1	0	0	0	-1	0	-1	0
50101	51000	1	1	5	40	0	0	10	50000	11	50000	1	1	10	50000	11	50000	2	1	10	50000	11	50000	6	0	10	50000	11	50000	7	11	22	50000	-1	0	0	0	-1	0	-1	0
50102	51000	-1	1	10	40	0	0	10	50001	11	50001	1	2	10	50001	11	50001	3	1	10	50001	11	50001	6	1	10	50001	11	50001	7	10	22	50000	-1	0	0	0	-1	0	-1	0
50103	51000	-1	1	15	40	0	0	10	50002	11	50002	1	3	10	50002	11	50002	4	5	10	50002	11	50002	6	2	10	50002	11	50002	7	9	22	50000	-1	0	0	0	-1	0	-1	0
50104	51000	-1	2	20	40	0	0	10	50003	11	50003	1	4	10	50003	11	50003	5	500	10	50003	11	50003	6	3	10	50003	11	50003	7	8	22	50000	-1	0	0	0	-1	0	-1	0
50105	51000	-1	2	30	40	0	0	10	50004	11	50004	1	5	10	50004	11	50004	2	5	10	50004	11	50004	6	4	10	50004	11	50004	7	7	22	50000	-1	0	0	0	-1	0	-1	0
50106	51000	-1	2	40	40	0	0	10	50005	11	50005	1	6	10	50005	11	50005	3	100	10	50005	11	50005	6	5	10	50005	11	50005	7	6	22	50000	-1	0	0	0	-1	0	-1	0
50107	51000	-1	2	50	40	0	0	10	50006	11	50006	1	7	10	50006	11	50006	4	25	10	50006	11	50006	6	6	10	50006	11	50006	7	5	22	50000	-1	0	0	0	-1	0	-1	0
50108	51000	-1	3	60	40	0	0	10	50007	11	50007	1	8	10	50007	11	50007	5	2500	10	50007	11	50007	6	7	10	50007	11	50007	7	4	22	50000	-1	0	0	0	-1	0	-1	0
50109	51000	-1	3	80	40	0	0	10	50008	11	50008	1	9	10	50008	11	50008	2	10	10	50008	11	50008	6	8	10	50008	11	50008	7	3	22	50000	-1	0	0	0	-1	0	-1	0
50110	51000	-1	3	100	40	0	0	10	50009	11	50009	1	10	10	50009	11	50009	3	1000	10	50009	11	50009	6	9	10	50009	11	50009	7	2	22	50000	-1	0	0	0	-1	0	-1	0
50111	51000	-1	3	120	40	0	0	10	50010	11	50010	1	11	10	50010	11	50010	4	100	10	50010	11	50010	6	10	10	50010	11	50010	7	1	22	50000	-1	0	0	0	-1	0	-1	0
50112	51000	2	4	150	40	0	0	10	50011	11	50011	1	12	10	50011	11	50011	5	10000	10	50011	11	50011	6	11	10	50011	11	50011	7	0	22	50000	-1	0	0	0	-1	0	-1	0
50201	52000	1	1	5	40	0	0	13	50012	-1	0	1	1	13	50012	-1	0	2	1	13	50012	-1	0	6	0	13	50012	-1	0	7	11	113	50000	114	50000	0	0	-1	0	-1	0
50202	52000	-1	1	10	40	0	0	13	50013	-1	0	1	2	13	50013	-1	0	3	1	13	50013	-1	0	6	1	13	50013	-1	0	7	10	113	50000	114	50000	0	0	-1	0	-1	0
50203	52000	-1	1	15	40	0	0	13	50014	-1	0	1	3	13	50014	-1	0	4	5	13	50014	-1	0	6	2	13	50014	-1	0	7	9	113	50000	114	50000	0	0	-1	0	-1	0
50204	52000	-1	2	20	40	0	0	13	50015	-1	0	1	4	13	50015	-1	0	5	500	13	50015	-1	0	6	3	13	50015	-1	0	7	8	113	50000	114	50000	0	0	-1	0	-1	0
50205	52000	-1	2	30	40	0	0	13	50016	-1	0	1	5	13	50016	-1	0	2	5	13	50016	-1	0	6	4	13	50016	-1	0	7	7	113	50000	114	50000	0	0	-1	0	-1	0
50206	52000	-1	2	40	40	0	0	13	50017	-1	0	1	6	13	50017	-1	0	3	100	13	50017	-1	0	6	5	13	50017	-1	0	7	6	113	50000	114	50000	0	0	-1	0	-1	0
50207	52000	-1	2	50	40	0	0	13	50018	-1	0	1	7	13	50018	-1	0	4	25	13	50018	-1	0	6	6	13	50018	-1	0	7	5	113	50000	114	50000	0	0	-1	0	-1	0
50208	52000	-1	3	60	40	0	0	13	50019	-1	0	1	8	13	50019	-1	0	5	2500	13	50019	-1	0	6	7	13	50019	-1	0	7	4	113	50000	114	50000	0	0	-1	0	-1	0
50209	52000	-1	3	80	40	0	0	13	50020	-1	0	1	9	13	50020	-1	0	2	10	13	50020	-1	0	6	8	13	50020	-1	0	7	3	113	50000	114	50000	0	0	-1	0	-1	0
50210	52000	-1	3	100	40	0	0	13	50021	-1	0	1	10	13	50021	-1	0	3	1000	13	50021	-1	0	6	9	13	50021	-1	0	7	2	113	50000	114	50000	0	0	-1	0	-1	0
50211	52000	-1	3	120	40	0	0	13	50022	-1	0	1	11	13	50022	-1	0	4	100	13	50022	-1	0	6	10	13	50022	-1	0	7	1	113	50000	114	50000	0	0	-1	0	-1	0
50212	52000	2	4	150	40	0	0	13	50023	-1	0	1	12	13	50023	-1	0	5	10000	13	50023	-1	0	6	11	13	50023	-1	0	7	0	113	50000	114	50000	0	0	-1	0	-1	0
