INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT
1002	2100	61.78	13.35	3	-1	-1	2	2	-1	-1	-1
1003	2101	61.42	84.59	3	-1	-1	2	0	-1	-1	-1
1004	2101	61.26	47.26	3	-1	-1	2	1	-1	-1	-1
1005	2101	61.78	13.35	3	-1	-1	2	2	-1	-1	-1
1006	2102	61.42	84.59	3	-1	-1	2	0	-1	-1	-1
1007	2102	61.26	47.26	3	-1	-1	2	1	-1	-1	-1
1008	2102	61.78	13.35	3	-1	-1	2	2	-1	-1	-1
1009	2103	61.42	84.59	3	-1	-1	2	0	-1	-1	-1
1010	2103	61.26	47.26	3	-1	-1	2	1	-1	-1	-1
1011	2103	61.78	13.35	3	-1	-1	2	2	-1	-1	-1
1012	2104	61.42	84.59	3	-1	-1	2	0	-1	-1	-1
1013	2104	61.26	47.26	3	-1	-1	2	1	-1	-1	-1
1014	2104	61.78	13.35	3	-1	-1	2	2	-1	-1	-1
2000	-1	30.14	79.77	3	-1	-1	2	0	-1	-1	-1
2001	-1	69.77	79.8	3	-1	-1	2	1	-1	-1	-1
2002	-1	109.9	79.74	3	-1	-1	2	2	-1	-1	-1
2003	-1	68.67	96.58	3	-1	-1	2	3	-1	-1	-1
2004	-1	71.22	61.13	3	-1	-1	2	4	-1	-1	-1
10000	100	17.56	8.84	1	10000	-1	0	-1	200	2000	40000
10001	100	32.47	8.8	1	10001	-1	0	-1	200	2000	40000
10002	100	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10003	100	20	21	1	10003	-1	0	-1	200	2000	40000
10004	100	26	21	1	10004	-1	0	-1	200	2000	40000
10005	101	17.56	8.84	1	10000	-1	0	-1	500	2000	40000
10006	101	32.47	8.8	1	10001	-1	0	-1	500	2000	40000
10007	101	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10008	101	20	21	1	10003	-1	0	-1	500	2000	40000
10009	101	26	21	1	10004	-1	0	-1	500	2000	40000
10010	102	17.56	8.84	1	10000	-1	0	-1	2000	2000	40000
10011	102	32.47	8.8	1	10001	-1	0	-1	2000	2000	40000
10012	102	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10013	102	20	21	1	10003	-1	0	-1	2000	2000	40000
10014	102	26	21	1	10004	-1	0	-1	2000	2000	40000
10015	500	17.56	8.84	1	10000	-1	0	-1	1000	2000	40000
10016	500	32.47	8.8	1	10001	-1	0	-1	1000	2000	40000
10017	500	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10018	500	20	21	1	10003	-1	0	-1	1000	2000	40000
10019	500	26	21	1	10004	-1	0	-1	1000	2000	40000
10020	501	17.56	8.84	1	10000	-1	0	-1	2000	2000	40000
10021	501	32.47	8.8	1	10001	-1	0	-1	2000	2000	40000
10022	501	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10023	501	20	21	1	10003	-1	0	-1	2000	2000	40000
10024	501	26	21	1	10004	-1	0	-1	2000	2000	40000
10025	502	17.56	8.84	1	10000	-1	0	-1	3000	2000	40000
10026	502	32.47	8.8	1	10001	-1	0	-1	3000	2000	40000
10027	502	23.05	25.43	1.4	10002	0	1	-1	-1	-1	-1
10028	502	20	21	1	10003	-1	0	-1	3000	2000	40000
10029	502	26	21	1	10004	-1	0	-1	3000	2000	40000
10030	106	1	1	1	10030	0	1	-1	-1	-1	-1
10031	107	1	1	1	10030	0	1	-1	-1	-1	-1
10032	108	1	1	1	10030	0	1	-1	-1	-1	-1
10033	109	22.3	45.01	1	10040	-1	0	2000	3000	2000	40000
10034	109	32.14	45.01	1	10041	-1	0	2000	3000	2000	40000
10035	109	41.29	45.01	1	10042	-1	0	2000	3000	2000	40000
10036	110	22.3	45.01	1	10040	-1	0	2000	3000	2000	40000
10037	110	32.14	45.01	1	10041	-1	0	2000	3000	2000	40000
10038	110	41.29	45.01	1	10042	-1	0	2000	3000	2000	40000
10039	111	22.3	45.01	1	10040	-1	0	2000	4000	2000	40000
10040	111	32.14	45.01	1	10041	-1	0	2000	4000	2000	40000
10041	111	41.29	45.01	1	10042	-1	0	2000	4000	2000	40000
10100	503	16.89	43.13	1	-1	-1	0	2000	15000	2000	40000
10101	503	18.94	43.19	1	-1	-1	0	2000	15000	2000	40000
10102	503	21.5	47.23	1	-1	-1	0	2000	15000	2000	40000
10103	503	23.34	47.26	1	-1	-1	0	2000	15000	2000	40000
10104	503	16.58	51.48	1	-1	-1	0	2000	15000	2000	40000
10105	503	18.62	51.51	1	-1	-1	0	2000	15000	2000	40000
10106	503	16.04	57	1	-1	-1	0	2000	15000	2000	40000
10107	503	24.18	62.39	1	-1	-1	0	2000	15000	2000	40000
10110	504	16.89	43.13	1	-1	-1	0	2000	20000	2000	40000
10111	504	18.94	43.19	1	-1	-1	0	2000	20000	2000	40000
10112	504	21.5	47.23	1	-1	-1	0	2000	20000	2000	40000
10113	504	23.34	47.26	1	-1	-1	0	2000	20000	2000	40000
10114	504	16.58	51.48	1	-1	-1	0	2000	20000	2000	40000
10115	504	18.62	51.51	1	-1	-1	0	2000	20000	2000	40000
10116	504	16.04	57	1	-1	-1	0	2000	20000	2000	40000
10117	504	24.18	62.39	1	-1	-1	0	2000	20000	2000	40000
10210	505	16.89	43.13	1	-1	-1	0	2000	30000	2000	40000
10211	505	18.94	43.19	1	-1	-1	0	2000	30000	2000	40000
10212	505	21.5	47.23	1	-1	-1	0	2000	30000	2000	40000
10213	505	23.34	47.26	1	-1	-1	0	2000	30000	2000	40000
10214	505	16.58	51.48	1	-1	-1	0	2000	30000	2000	40000
10215	505	18.62	51.51	1	-1	-1	0	2000	30000	2000	40000
10216	505	16.04	57	1	-1	-1	0	2000	30000	2000	40000
10217	505	24.18	62.39	1	-1	-1	0	2000	30000	2000	40000
