INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING
9	失落王座-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	429	429	-1	-1	-1	5	3	100800	我不记得自己的名字，甚至没有一副完整的身体，我只知道在这里我将找回真正的自己。\n                        ——魔王之影	1	18000	2	11700	-1	-1	-1	-1	534	-1	145	169	193	109	217	-1	9	18000	11700	40102	-1	1	-1	190	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	失落王座-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3006	3006	-1	-1	-1	5	3	191650	我不记得自己的名字，甚至没有一副完整的身体，我只知道在这里我将找回真正的自己。\n                        ——魔王之影	1	32000	2	17550	-1	-1	-1	-1	534	-1	146	170	194	110	218	-1	10	32000	17550	40106	-1	1	-1	200	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	失落王座-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3007	3007	-1	-1	-1	5	3	260500	我不记得自己的名字，甚至没有一副完整的身体，我只知道在这里我将找回真正的自己。\n                        ——魔王之影	1	50500	2	35100	-1	-1	-1	-1	534	-1	147	171	195	111	219	-1	11	50500	35100	40110	-1	1	-1	210	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	远古祭坛-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	165	165	-1	-1	-1	5	3	225900	已经无法感受到我的主人的气息，但灵魂深处的印记告诉我，我只需要在这里等他降临。\n                        ——荒古魔魂	1	42500	2	25300	-1	-1	-1	-1	535	-1	148	172	196	112	220	-1	12	42500	25300	40114	-1	1	-1	220	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	远古祭坛-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3008	3008	-1	-1	-1	5	3	384500	已经无法感受到我的主人的气息，但灵魂深处的印记告诉我，我只需要在这里等他降临。\n                        ——荒古魔魂	1	77000	2	37950	-1	-1	-1	-1	535	-1	149	173	197	113	221	-1	13	77000	37950	40118	-1	1	-1	230	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	远古祭坛-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3009	3009	-1	-1	-1	5	3	446000	已经无法感受到我的主人的气息，但灵魂深处的印记告诉我，我只需要在这里等他降临。\n                        ——荒古魔魂	1	120500	2	75900	-1	-1	-1	-1	535	-1	150	174	198	114	222	-1	14	120500	75900	40122	-1	1	-1	240	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	深海之谜-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	220	220	-1	-1	-1	5	3	386000	曾经有人说我并不是魔域最美丽的魔灵，于是我没有给他看到第二日日出的机会\n                        ——魔灵塞伊丝	1	85500	2	47600	-1	-1	-1	-1	536	-1	151	175	199	115	223	-1	15	85500	47600	40126	-1	1	-1	250	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	深海之谜-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3010	3010	-1	-1	-1	5	3	483300	曾经有人说我并不是魔域最美丽的魔灵，于是我没有给他看到第二日日出的机会\n                        ——魔灵塞伊丝	1	143000	2	71500	-1	-1	-1	-1	536	-1	152	176	200	116	224	-1	16	143000	71500	40130	-1	1	-1	260	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	深海之谜-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3011	3011	-1	-1	-1	5	3	668600	曾经有人说我并不是魔域最美丽的魔灵，于是我没有给他看到第二日日出的机会\n                        ——魔灵塞伊丝	1	227000	2	143000	-1	-1	-1	-1	536	-1	153	177	201	117	225	-1	17	227000	143000	40134	-1	1	-1	270	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	吞噬沙城-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	320	320	-1	-1	-1	5	3	479000	越强大的人却孤独，邪恶将一点点的将你们吞噬，终将化作这里的风沙。\n                        ——沙魔阿卡门农	1	172000	2	63700	-1	-1	-1	-1	537	-1	154	178	202	118	226	-1	18	172000	63700	1000061	-1	1	-1	280	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	吞噬沙城-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	3012	3012	-1	-1	-1	5	3	556500	越强大的人却孤独，邪恶将一点点的将你们吞噬，终将化作这里的风沙。\n                        ——沙魔阿卡门农	1	265600	2	128400	-1	-1	-1	-1	537	-1	155	179	203	119	227	-1	19	265600	128400	1000062	-1	1	-1	290	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	吞噬沙城-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	3013	3013	-1	-1	-1	5	3	779000	越强大的人却孤独，邪恶将一点点的将你们吞噬，终将化作这里的风沙。\n                        ——沙魔阿卡门农	1	427600	2	383600	-1	-1	-1	-1	537	-1	156	180	204	120	228	-1	20	427600	383600	1000063	-1	1	-1	300	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	幽暗遗迹-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	538	-1	157	181	205	121	229	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	幽暗遗迹-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	538	-1	158	182	206	122	230	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	幽暗遗迹-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	538	-1	159	183	207	123	231	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	远古之城-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	539	-1	160	184	208	124	232	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	远古之城-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	539	-1	161	185	209	125	233	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	远古之城-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	539	-1	162	186	210	126	234	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	泰坦遗迹-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	540	-1	163	187	211	127	235	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	泰坦遗迹-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	540	-1	164	188	212	128	236	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	泰坦遗迹-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	540	-1	165	189	213	129	237	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	冰封秘境-普通	0	0	0	-1	-1	3	3	-1	-1	-1	-1	3	30	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	541	-1	166	190	214	130	238	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	冰封秘境-精英	0	0	1	-1	-1	2	2	-1	-1	-1	-1	3	40	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	541	-1	167	191	215	131	239	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	冰封秘境-炼狱	0	0	2	-1	-1	1	1	-1	-1	-1	-1	3	50	99999	99999	-1	-1	-1	5	3	479000	待定	-1	-1	-1	-1	-1	-1	-1	-1	541	-1	168	192	216	132	240	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
200	玛雅大陆	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25000	25000	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	200	-1	-1	-1	-1	-1	-1	-1	1	-1	7002	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	祭雨丛林	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25001	25001	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	201	-1	-1	-1	-1	-1	-1	-1	1	-1	7102	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
202	玛雅大陆	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25002	25002	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	202	-1	-1	-1	-1	-1	-1	-1	1	-1	7202	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
203	凛冬谷	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25003	25003	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	203	-1	-1	-1	-1	-1	-1	-1	1	-1	7300	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
204	古遗迹海域	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25004	25004	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	204	-1	-1	-1	-1	-1	-1	-1	1	-1	7400	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
205	古遗迹海域	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25005	25005	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	205	-1	-1	-1	-1	-1	-1	-1	1	-1	7450	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
206	暗黑沙域	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25005	25005	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	206	-1	-1	-1	-1	-1	-1	-1	1	-1	7500	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
207	暗黑沙域	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25005	25005	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	207	-1	-1	-1	-1	-1	-1	-1	1	-1	7600	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
208	玛雅大陆	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25006	25006	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	-1	-1	-1	-1	-1	-1	1	-1	7699	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
209	灭世之战	1	2	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	20	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	209	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	0	3	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
210	迷失地宫	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8017	8017	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	210	-1	-1	-1	-1	-1	-1	-1	1	-1	7800	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
211	玛雅大陆	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	211	-1	-1	-1	-1	-1	-1	-1	1	-1	7850	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
212	黄金龙	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	57	-1	-1	-1	5	-1	10000	待定	40101	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	212	-1	-1	-1	-1	-1	-1	-1	1	-1	7853	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
213	塔雅试炼	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8024	8024	-1	-1	-1	5	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	213	-1	-1	-1	-1	-1	-1	-1	1	-1	7854	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
214	前世今生	5	22	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8036	8036	-1	-1	-1	9999	-1	10000	待定	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	214	-1	-1	-1	-1	-1	-1	-1	1	-1	7870	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
450	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2042	2042	-1	-1	-1	5	-1	10000	待定	1	400	2	12000	-1	-1	-1	-1	-1	-1	-1	-1	-1	451	-1	-1	1	600	12000	-1	-1	1	-1	7855	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
451	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5728	5728	-1	-1	-1	5	-1	10000	待定	1	800	2	24000	-1	-1	-1	-1	-1	-1	-1	-1	-1	452	-1	-1	3	1200	24000	-1	-1	1	-1	7856	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
452	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5730	5730	-1	-1	-1	5	-1	10000	待定	1	1200	2	36000	-1	-1	-1	-1	-1	-1	-1	-1	-1	453	-1	-1	6	2400	36000	-1	-1	1	-1	7857	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
453	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5732	5732	-1	-1	-1	5	-1	10000	待定	1	2400	2	48000	-1	-1	-1	-1	-1	-1	-1	-1	-1	454	-1	-1	8	3600	48000	-1	-1	1	-1	7858	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
454	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5734	5734	-1	-1	-1	5	-1	10000	待定	1	8200	2	60000	-1	-1	-1	-1	-1	-1	-1	-1	-1	455	-1	-1	10	12000	60000	-1	-1	1	-1	7859	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
455	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5736	5736	-1	-1	-1	5	-1	10000	待定	1	10350	2	72000	-1	-1	-1	-1	-1	-1	-1	-1	-1	456	-1	-1	13	12000	82000	-1	-1	1	-1	7860	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
456	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5738	5738	-1	-1	-1	5	-1	10000	待定	1	11450	2	86000	-1	-1	-1	-1	-1	-1	-1	-1	-1	457	-1	-1	16	12000	94000	-1	-1	1	-1	7861	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
457	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5740	5740	-1	-1	-1	5	-1	10000	待定	1	13002	2	98000	-1	-1	-1	-1	-1	-1	-1	-1	-1	458	-1	-1	18	12000	106000	-1	-1	1	-1	7862	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
458	遥远的史诗	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5742	5742	-1	-1	-1	5	-1	10000	待定	1	15450	2	110000	-1	-1	-1	-1	-1	-1	-1	-1	-1	459	-1	-1	20	-1	-1	-1	-1	1	-1	7863	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
500	幽冥魔殿-普通	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	10	-1	25500	就算海水枯竭、星辰坠落，魔主的灵魂都将永生不灭，因为光会熄灭，可是黑暗永远不会消失。——黑暗魔王斯卡	1	100009	2	100018	5	100000	20307	100027	542	-1	136	137	138	500	-1	0	-1	-1	-1	-1	-1	1	-1	5000	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
501	幽冥魔殿-精英	0	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3050	3050	-1	-1	-1	10	-1	50000	就算海水枯竭、星辰坠落，魔主的灵魂都将永生不灭，因为光会熄灭，可是黑暗永远不会消失。——黑暗魔王斯卡	1	100010	2	100019	5	100001	20307	100027	542	-1	139	140	141	501	-1	1	-1	-1	-1	-1	-1	1	-1	5010	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
502	幽冥魔殿	0	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2004	2009	-1	-1	-1	10	-1	80000	就算海水枯竭、星辰坠落，魔主的灵魂都将永生不灭，因为光会熄灭，可是黑暗永远不会消失。——黑暗魔王斯卡	1	100011	2	100020	5	100002	20307	100027	542	-1	142	143	144	502	-1	2	-1	-1	-1	-1	-1	1	-1	5020	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
503	炽焰炼狱-普通	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	10	-1	118350	跟随我的脚步，炼狱之火将焚烧你身上所有的不洁，你将没有疾病、没有忧愁、没有痛苦，这是来自地狱的恩赐。——地狱使者阿德斯	1	100012	2	100021	5	100003	20308	100028	543	-1	241	242	243	503	-1	3	-1	-1	-1	-1	-1	1	-1	5030	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
504	炽焰炼狱-精英	0	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3052	3052	-1	-1	-1	10	-1	140250	跟随我的脚步，炼狱之火将焚烧你身上所有的不洁，你将没有疾病、没有忧愁、没有痛苦，这是来自地狱的恩赐。——地狱使者阿德斯	1	100013	2	100022	5	100004	20308	100028	543	-1	244	245	246	504	-1	4	-1	-1	-1	-1	-1	1	-1	5040	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
505	炽焰炼狱	0	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2010	2014	-1	-1	-1	10	-1	175000	跟随我的脚步，炼狱之火将焚烧你身上所有的不洁，你将没有疾病、没有忧愁、没有痛苦，这是来自地狱的恩赐。——地狱使者阿德斯	1	100014	2	100023	5	100005	20308	100028	543	-1	247	248	249	505	-1	5	-1	-1	-1	-1	-1	1	-1	5050	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
506	死亡漩涡-普通	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	99999	99999	-1	-1	-1	10	-1	157400	给你一个善意的提醒，永远不要盯着我的眼睛，那会让你跌入无尽的深渊，直至死亡，才能让你获得解脱。——深海魔后赫卡忒	1	100015	2	100024	5	100006	20309	100029	544	-1	450	451	452	506	-1	11	-1	-1	-1	-1	-1	1	-1	5060	-1	0	0	0	2	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
