INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
69	精灵队长西露芙	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
70	魔导师沃茨	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
71	守望者菲比	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
72	圣导师塞西莉亚	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
73	流浪者	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
74	潮水妖精芭芭拉	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
75	祭祀猎人诺菲	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
76	先锋军统领佐罗	0	0	290	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
77	先锋军战士莱纳德	0	0	270	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
78	精灵队长西露芙	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
79	魔导师沃茨	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
80	勇士杰瑞特	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
81	军需官布莱尔	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
82	守望者艾西	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
83	沙兵统领伯顿	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
84	圣导师塞西莉亚	0	0	300	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
85	流浪者	0	0	280	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
86	黑市商人	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
87	流浪魔法师菲勒	0	0	400	1	0	0	3	8	-1	-1	0	2000	0	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
88	狂战士亚瑟	0	0	400	1	0	0	3	8	-1	-1	0	2000	0	8000		-1	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
89	元素法师阿迪	0	0	400	1	0	0	3	8	-1	-1	0	2000	0	8000		-1	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
90	追猎者拉达亚	0	0	400	1	0	0	3	8	-1	-1	0	2000	0	8000		-1	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
91	傲娇的马	0	0	50	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
92	祭灵塔雅	0	2	200	1	1	5	15	30	-1	-1	0	2000	0	8000		0	200000	0	-1	1	-1	-1	-1	-1	100	0	0	-1	0			0	0	0	-1	0	-1	-1		
93	逐光者凯恩	0	0	100	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
94	猎人范海辛	0	0	100	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
95	林克	0	0	100	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
96	窃法者比尔森	0	0	100	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
97	先锋军统领佐罗	0	0	100	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
98	圣导师塞西莉亚	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
99	精灵队长西露芙	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
100	荣耀先锋拉斐尔	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
101	审判天使凯拉	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
102	流浪者	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
103	拉面	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
104	被囚禁的安妮	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
105	逃离者爱迪森	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
106	阿瓦罗萨	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
107	赛瑞尔达	0	0	350	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
108	全服第一剑士	0	0	400	1	0	0	3	5	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
109	全服第一魔法师	0	0	400	1	0	0	3	5	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
110	全服第一弓箭手	0	0	400	1	0	0	3	5	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
200	城镇卫兵	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	400000	0	-1	0	-1	-1	-1	-1	100	0	0	-1	0	22.18,93.77,21.9,75.89,35.68,66.56,57.29,82.29	16,001,601	1	0	0	-1	0	-1	-1		
201	城镇卫兵	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	400000	0	-1	0	-1	-1	-1	-1	100	0	0	-1	0	61.63,94.39,55.07,106.75,35.75,121.42,21.12,108.56	16,001,601	1	0	0	-1	0	-1	-1		
202	城镇卫兵	0	0	100	1	0	1	3	8	-1	-1	0	2000	0	8000		0	-1	0	-1	0	-1	-1	-1	-1	100	0	0	-1	0			1	0	0	-1	0	-1	-1		
300	废弃矿_灰	0	0	1	1	0	0	3	8	-1	-1	0	100	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
301	恐惧高塔_魔幻矿_红_争夺	0	0	1	1	0	0	3	8	-1	-1	0	100	1	120000		0	-1	0	-1	1	15	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
302	恐惧高塔_魔尘矿_黄_争夺	0	0	1	1	0	0	3	8	-1	-1	0	100	1	120000		0	-1	0	-1	1	15	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
303	恐惧高塔_钻石矿_蓝_争夺	0	0	1	1	0	0	3	8	-1	-1	0	100	1	120000		0	-1	0	-1	1	15	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
304	恐惧高塔_智慧矿_绿_争夺	0	0	1	1	0	0	3	8	-1	-1	0	100	1	120000		0	-1	0	-1	1	15	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
400	黑洞	0	3	1	1	0	0	1	20	-1	-1	0	2000	0	8000		0	200002	0	-1	0	-1	-1	-1	-1	500	0	0	-1	0			1	0	0	-1	0	-1	-1		
500	箱子1倍亮	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
501	箱子1倍灰	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
502	箱子1倍黑	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
503	箱子2倍亮	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
504	箱子2倍灰	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
505	箱子2倍黑	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
506	木桶1倍亮	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
507	木桶1倍灰	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
508	木桶1倍黑	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
509	木桶2倍亮	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
510	木桶2倍灰	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
511	木桶2倍黑	0	0	1	-1	0	0	3	8	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
512	铁栏杆	0	0	1	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	2	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
513	铁栏杆2倍	0	0	1	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	200002	0	5	0	-1	-1	-1	3	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
600	黄金炎龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
601	小白银幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
602	白银幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
603	小青铜幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
604	青铜幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
605	鬼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
606	赤炎幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
607	花仙子	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
608	浴火凤凰	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
609	暗黑天龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
610	浴血冰霜镇压者	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
616	白银幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
617	青铜幼龙	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
618	水精灵	0	0	120	-1	0	0	3	-1	-1	-1	0	2000	0	8000		0	-1	0	5	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
