INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
4001	2050105	242019	4	-1	1	1800	-30	257	1400018	1400019	22000	22054	10	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4002	2050104	242020	4	-1	1	1800	-56	181	1400020	1400021	22001	22007	13	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4003	2050108	242021	4	-1	1	1800	-114	200	1400022	1400023	22002	22007	13	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4004	2050105	242022	4	-1	1	1800	151	64	1400024	1400025	22000	22054	10	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4005	2050107	242023	4	-1	1	1800	208	42	1400026	1400027	22003	22007	13	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4006	2050108	242024	4	-1	1	1800	187	-30	1400028	1400029	22002	22007	13	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
4007	2050107	242025	4	-1	1	1800	128	-7	1400030	1400031	22003	22007	13	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
6000	2050106	242026	6	-1	1	1800	128	117	1400032	1400033	22018	22054	10	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6001	2050105	242027	6	-1	1	1800	163	22	1400034	1400035	22000	22054	10	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6002	2050104	242028	6	-1	1	1800	188	95	1400036	1400037	22001	22007	13	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6003	2050108	242029	6	-1	1	1800	107	48	1400038	1400039	22002	22007	13	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6004	2050106	242030	6	-1	1	1800	-4	275	1400040	1400041	22018	22054	10	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6005	2050107	242031	6	-1	1	1800	38	190	1400042	1400043	22003	22007	13	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6006	2050108	242032	6	-1	1	1800	60	260	1400044	1400045	22002	22007	13	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
6007	2050107	242033	6	-1	1	1800	-26	205	1400046	1400047	22003	22007	13	8	2	1300|1400	1700|1800	1600	2	24000	10	240	13	16	958	-1	-1
7000	2050106	242034	7	-1	1	1800	90	40	1400048	1400049	22018	22054	10	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7001	2050108	242035	7	-1	1	1800	163	58	1400050	1400051	22002	22007	13	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7002	2050105	242036	7	-1	1	1800	115	-19	1400052	1400053	22000	22054	10	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7003	2050107	242037	7	-1	1	1800	196	2	1400054	1400055	22003	22007	13	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7004	2050106	242038	7	-1	1	1800	-82	266	1400056	1400057	22018	22054	10	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7005	2050104	242039	7	-1	1	1800	-77	189	1400058	1400059	22001	22007	13	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7006	2050105	242040	7	-1	1	1800	-18	248	1400060	1400061	22000	22054	10	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
7007	2050104	242041	7	-1	1	1800	-19	169	1400062	1400063	22001	22007	13	8	2	1300|1400	1700|1800	2000	2	30000	10	300	13	20	960	-1	-1
8000	2050106	242042	8	-1	1	1800	-6	108	1400064	1400065	22018	22054	10	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8001	2050108	242043	8	-1	1	1800	47	136	1400066	1400067	22002	22007	13	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8002	2050105	242044	8	-1	1	1800	66	97	1400068	1400069	22000	22054	10	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8003	2050107	242045	8	-1	1	1800	13	68	1400070	1400071	22003	22007	13	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8004	2050106	242046	8	-1	1	1800	90	226	1400072	1400073	22018	22054	10	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8005	2050104	242047	8	-1	1	1800	72	265	1400074	1400075	22001	22007	13	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8006	2050105	242048	8	-1	1	1800	19	237	1400076	1400077	22000	22054	10	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
8007	2050104	242049	8	-1	1	1800	37	198	1400078	1400079	22001	22007	13	8	2	1300|1400	1700|1800	2500	2	35000	10	350	13	25	961	-1	-1
100000	2050104	243000	3	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19000	1
100001	2050104	243001	3	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19001	1
100002	2050104	243002	5	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19002	1
100003	2050104	243003	5	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19003	1
100004	2050104	243004	1	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19004	1
100005	2050104	243005	0	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19004	1
100006	2050104	243006	0	-1	1	0	580	580	1400062	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	0	-1	19004	1
