INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT
105	0	400	401	0	0	0	1	0	1	1	105	105	1	-1	-1	0	1	-1	1	0	8	10000106	10000107	10000107	4	1	-1	10000	1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
106	0	-1	-1	400	0	0	1	0	1	1	105	105	2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
107	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	4	2049	-1	10000	11	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
108	0	1112	1113	3000	0	1	1	0	1	1	-1	-1	-1	-1	-1	0	2049	-1	1	0	8	10000114	10000115	10000115	-1	256	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
109	0	400	1003	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	10000118	10000119	10000119	-1	1	-1	0	0	-1	15	200	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
110	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	10000122	10000123	10000123	-1	3	-1	-1	1	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
111	1	1009	-1	2000	0	7	1	0	1	1	-1	-1	-1	-1	-1	9	3	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
112	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	100	400	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
113	1	0	-1	3000	0	2	1	1	1	1	-1	-1	-1	-1	-1	2	3	-1	25	25	10000126	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
114	1	316	315	1800000	0	2	1	0	0	1	114	-1	-1	1	1	2	3	-1	10	10	0	10000130	-1	-1	-1	4096	-1	1	1	14	-1	0	0	2	3	-1	11	11	0	10000130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
115	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	10000133	10000134	10000134	-1	3	-1	-1	1	20096	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
116	0	0	-1	3000	0	0	1	1	1	1	116	-1	-1	-1	-1	9	3	-1	1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
117	0	400	401	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	10000110	10000111	10000111	-1	2049	-1	1	1	3	3	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
118	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	3	3	-1	3	0	3	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
119	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	0	8	5000	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
120	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	2750	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
121	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	2750	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
122	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	2750	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
123	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	1	0	8	5000	17	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
124	0	328	-1	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	13	1	-1	400	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
125	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000	4500	5500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
200	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	200	32	40	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
201	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	250	40	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
202	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	350	56	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
203	0	400	401	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	800	80	100	-1	1	-1	0	0	2	10	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
204	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000202	10000203	10000203	-1	1	-1	10000	1	-1	-1	-1	-1	-1	1	-1	10000	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
205	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000206	10000207	10000207	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
206	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	3	15	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
207	0	400	401	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000210	10000211	10000211	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
208	1	1009	-1	2000	0	7	1	0	1	1	-1	-1	-1	-1	-1	9	3	-1	1	1	-1	-1	-1	-1	-1	256	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
209	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000214	10000215	10000215	-1	128	-1	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
210	0	0	-1	180000	0	0	1	0	0	1	210	-1	-1	1	1	17	3	-1	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
211	1	0	-1	1800000	0	2	1	0	0	1	211	-1	-1	1	1	2	3	-1	5	5	0	10000221	-1	-1	2	3	-1	6	6	0	10000221	-1	-1	-1	3	-1	19	19	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
212	0	-1	-1	12000	0	4	1	0	1	1	212	212	1	1	-1	1	1	-1	1	1	13	10000224	0	0	-1	1024	-1	2	10000	-1	-1	-1	-1	4	1	-1	10000	1	223	-1	-1	-1	-1	1	-1	2	-1	-1	-1	-1	-1		0	-1	-1
213	0	400	401	3000	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000228	10000229	10000229	-1	3	-1	25	25	-5000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
214	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000232	10000233	10000233	-1	1	-1	-1	1	30097	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
215	0	214	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
216	0	-1	-1	0	0	0	1	1	1	0	-1	-1	-1	-1	-1	3	1	-1	0	1	5	20	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
217	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	3	1	-1	0	0	6	18	100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
218	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
219	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
220	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	2250	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
221	0	400	401	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	4500	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
222	0	-1	-1	400	0	0	1	1	1	0	-1	-1	-1	-1	-1	4	2048	-1	10000	7	214	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
223	1	0	-1	20000	0	0	1	0	1	1	-1	-1	-1	1	-1	10	3	-1	16	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
224	0	-1	-1	0	0	0	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
225	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	10000242	10000243	10000243	-1	128	-1	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
226	0	400	401	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	0	1	-1	0	0	6	1000	4500	5500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
300	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	1	1	-1	0	0	6	0	10000300	10000300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
301	0	-1	-1	0	0	0	1	0	1	1	-1	-1	-1	-1	-1	24	1	-1	0	0	6	0	10000300	10000300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
302	1	0	-1	10000	0	2	0	0	0	0	-1	-1	-1	-1	-1	2	3	-1	25	25	0	10000300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
303	1	0	-1	3600000	1	2	0	0	0	0	303	1	1	-1	0	2	3	-1	5	5	0	100	-1	-1	2	3	-1	6	6	0	100	-1	-1	2	3	-1	7	7	0	100	-1	-1	2	3	-1	8	8	0	100	-1	-1		0	-1	-1
304	1	0	-1	3600000	1	2	0	0	0	0	304	1	1	-1	0	2	3	-1	10	10	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
305	1	0	-1	3600000	1	2	0	0	0	0	305	1	1	-1	0	2	3	-1	11	11	0	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
306	1	0	-1	3600000	1	2	0	0	0	0	306	1	1	-1	0	2	3	-1	13	13	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
307	1	0	-1	3600000	1	0	0	0	0	0	307	1	1	-1	0	23	3	-1	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
308	1	0	-1	3600000	1	0	0	0	0	0	307	1	2	-1	0	23	3	-1	30000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
309	1	0	-1	3600000	1	0	0	0	0	0	307	1	3	-1	0	23	3	-1	40000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	-1	-1
