INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	FLOAT
306	15003	4	307	6	240	22066	10	105	3548	10	1419	11	1419	13	42586	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
307	15003	4	308	7	250	22066	10	105	3671	10	1468	11	1468	13	44062	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
308	15003	4	309	8	270	22066	10	105	3797	10	1518	11	1518	13	45564	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
309	15003	4	310	9	280	22066	10	105	3924	10	1569	11	1569	13	47092	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
310	15003	4	311	10	290	22066	10	105	4053	10	1621	11	1621	13	48646	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
311	15003	4	312	11	300	22066	10	105	4185	10	1674	11	1674	13	50229	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
312	15003	4	313	12	320	22066	10	105	4319	10	1727	11	1727	13	51835	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
313	15003	4	401	13	330	22066	10	105	4455	10	1782	11	1782	13	53470	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
401	15004	5	402	1	350	22066	10	105	4877	10	1951	11	1951	13	58533	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11040	0	1	3000	1	99999
402	15004	5	403	2	360	22066	10	105	5022	10	2009	11	2009	13	60274	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
403	15004	5	404	3	380	22066	10	105	5170	10	2068	11	2068	13	62043	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
404	15004	5	405	4	390	22066	10	105	5319	10	2127	11	2127	13	63837	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
405	15004	5	406	5	410	22066	10	105	5471	10	2188	11	2188	13	65659	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
406	15004	5	407	6	420	22066	10	105	5625	10	2250	11	2250	13	67507	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
407	15004	5	408	7	440	22066	10	105	5781	10	2312	11	2312	13	69382	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
408	15004	5	409	8	460	22066	10	105	5940	10	2376	11	2376	13	71286	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
409	15004	5	410	9	480	22066	10	105	6101	10	2440	11	2440	13	73215	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
410	15004	5	411	10	490	22066	10	105	6264	10	2505	11	2505	13	75172	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
411	15004	5	412	11	510	22066	10	105	6429	10	2571	11	2571	13	77155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
412	15004	5	413	12	530	22066	10	105	6597	10	2638	11	2638	13	79167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
413	15004	5	501	13	550	22066	10	105	6767	10	2706	11	2706	13	81205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3000	1	99999
501	15005	6	502	1	570	22066	10	105	7290	10	2916	11	2916	13	87483	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11050	0	1	3250	1	99999
502	15005	6	503	2	590	22066	10	105	7469	10	2987	11	2987	13	89631	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
503	15005	6	504	3	610	22066	10	105	7650	10	3060	11	3060	13	91806	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
504	15005	6	505	4	630	22066	10	105	7834	10	3133	11	3133	13	94009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
505	15005	6	506	5	650	22066	10	105	8020	10	3208	11	3208	13	96240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
506	15005	6	507	6	680	22066	10	105	8208	10	3283	11	3283	13	98497	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
507	15005	6	508	7	700	22066	10	105	8398	10	3359	11	3359	13	100782	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
508	15005	6	509	8	720	22066	10	105	8591	10	3436	11	3436	13	103095	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
509	15005	6	510	9	750	22066	10	105	8786	10	3514	11	3514	13	105436	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
510	15005	6	511	10	770	22066	10	105	8983	10	3593	11	3593	13	107805	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
511	15005	6	512	11	800	22066	10	105	9183	10	3673	11	3673	13	110202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
512	15005	6	513	12	820	22066	10	105	9385	10	3754	11	3754	13	112626	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
513	15005	6	601	13	850	22066	10	105	9589	10	3835	11	3835	13	115078	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3250	1	99999
601	15006	7	602	1	870	22066	10	105	10216	10	4086	11	4086	13	122602	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11060	0	1	3500	1	99999
602	15006	7	603	2	900	22066	10	105	10430	10	4172	11	4172	13	125167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
603	15006	7	604	3	930	22066	10	105	10646	10	4258	11	4258	13	127759	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
604	15006	7	605	4	960	22066	10	105	10865	10	4346	11	4346	13	130380	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
605	15006	7	606	5	980	22066	10	105	11085	10	4434	11	4434	13	133029	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
606	15006	7	607	6	1010	22066	10	105	11308	10	4523	11	4523	13	135706	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
607	15006	7	608	7	1040	22066	10	105	11534	10	4613	11	4613	13	138412	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
608	15006	7	609	8	1070	22066	10	105	11762	10	4704	11	4704	13	141145	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
609	15006	7	610	9	1100	22066	10	105	11992	10	4796	11	4796	13	143908	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
610	15006	7	611	10	1130	22066	10	105	12225	10	4890	11	4890	13	146700	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
611	15006	7	612	11	1170	22066	10	105	12459	10	4983	11	4983	13	149518	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
612	15006	7	613	12	1200	22066	10	105	12697	10	5078	11	5078	13	152367	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
613	15006	7	701	13	1230	22066	10	105	12936	10	5174	11	5174	13	155242	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3500	1	99999
701	15007	8	702	1	1260	22066	10	105	13670	10	5468	11	5468	13	164044	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11070	0	0	3750	1	99999
702	15007	8	703	2	1300	22066	10	105	13919	10	5567	11	5567	13	167035	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
703	15007	8	704	3	1330	22066	10	105	14171	10	5668	11	5668	13	170055	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
704	15007	8	705	4	1370	22066	10	105	14425	10	5770	11	5770	13	173104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
705	15007	8	706	5	1400	22066	10	105	14681	10	5872	11	5872	13	176182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
706	15007	8	707	6	1440	22066	10	105	14940	10	5976	11	5976	13	179289	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
707	15007	8	708	7	1480	22066	10	105	15202	10	6080	11	6080	13	182424	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
708	15007	8	709	8	1520	22066	10	105	15465	10	6186	11	6186	13	185589	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
709	15007	8	710	9	1550	22066	10	105	15731	10	6292	11	6292	13	188782	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
710	15007	8	711	10	1590	22066	10	105	16000	10	6400	11	6400	13	192006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
711	15007	8	712	11	1630	22066	10	105	16271	10	6508	11	6508	13	195258	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
712	15007	8	713	12	1670	22066	10	105	16545	10	6618	11	6618	13	198540	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
713	15007	8	801	13	1710	22066	10	105	16820	10	6728	11	6728	13	201850	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	3750	1	99999
801	15008	9	802	1	1760	22066	10	105	17663	10	7065	11	7065	13	211957	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11080	0	0	4000	1	99999
802	15008	9	803	2	1800	22066	10	105	17948	10	7179	11	7179	13	215386	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
803	15008	9	804	3	1840	22066	10	105	18237	10	7294	11	7294	13	218844	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
804	15008	9	805	4	1880	22066	10	105	18527	10	7411	11	7411	13	222331	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
805	15008	9	806	5	1930	22066	10	105	18820	10	7528	11	7528	13	225847	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
806	15008	9	807	6	1970	22066	10	105	19116	10	7646	11	7646	13	229393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
807	15008	9	808	7	2020	22066	10	105	19414	10	7765	11	7765	13	232969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
808	15008	9	809	8	2060	22066	10	105	19714	10	7885	11	7885	13	236575	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
809	15008	9	810	9	2110	22066	10	105	20017	10	8007	11	8007	13	240211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
810	15008	9	811	10	2160	22066	10	105	20323	10	8129	11	8129	13	243877	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
811	15008	9	812	11	2210	22066	10	105	20631	10	8252	11	8252	13	247572	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
812	15008	9	813	12	2260	22066	10	105	20941	10	8376	11	8376	13	251296	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
813	15008	9	901	13	2310	22066	10	105	21254	10	8501	11	8501	13	255052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4000	1	99999
901	15009	10	902	1	2360	22066	10	105	22208	10	8883	11	8883	13	266497	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11090	0	0	4250	1	99999
902	15009	10	903	2	2410	22066	10	105	22531	10	9012	11	9012	13	270372	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
903	15009	10	904	3	2460	22066	10	105	22856	10	9142	11	9142	13	274278	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
904	15009	10	905	4	2510	22066	10	105	23184	10	9273	11	9273	13	278214	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
905	15009	10	906	5	2560	22066	10	105	23515	10	9406	11	9406	13	282180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
906	15009	10	907	6	2620	22066	10	105	23848	10	9539	11	9539	13	286176	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
907	15009	10	908	7	2670	22066	10	105	24183	10	9673	11	9673	13	290202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
908	15009	10	909	8	2730	22066	10	105	24521	10	9808	11	9808	13	294259	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
909	15009	10	910	9	2780	22066	10	105	24862	10	9944	11	9944	13	298345	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
910	15009	10	911	10	2840	22066	10	105	25205	10	10082	11	10082	13	302464	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
911	15009	10	912	11	2900	22066	10	105	25551	10	10220	11	10220	13	306612	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
912	15009	10	913	12	2960	22066	10	105	25899	10	10359	11	10359	13	310791	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
913	15009	10	1001	13	3020	22066	10	105	26250	10	10500	11	10500	13	315000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4250	1	99999
1001	15010	11	1002	1	3080	22066	10	105	27317	10	10927	11	10927	13	327813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11100	0	0	4500	1	99999
1002	15010	11	1003	2	3140	22066	10	105	27678	10	11071	11	11071	13	332146	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1003	15010	11	1004	3	3200	22066	10	105	28042	10	11216	11	11216	13	336508	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1004	15010	11	1005	4	3260	22066	10	105	28408	10	11363	11	11363	13	340903	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1005	15010	11	1006	5	3320	22066	10	105	28777	10	11510	11	11510	13	345328	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1006	15010	11	1007	6	3390	22066	10	105	29148	10	11659	11	11659	13	349785	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1007	15010	11	1008	7	3450	22066	10	105	29522	10	11809	11	11809	13	354271	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1008	15010	11	1009	8	3520	22066	10	105	29899	10	11959	11	11959	13	358789	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1009	15010	11	1010	9	3580	22066	10	105	30278	10	12111	11	12111	13	363339	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1010	15010	11	1011	10	3650	22066	10	105	30660	10	12264	11	12264	13	367920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1011	15010	11	1012	11	3720	22066	10	105	31044	10	12417	11	12417	13	372531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1012	15010	11	1013	12	3790	22066	10	105	31431	10	12572	11	12572	13	377173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1013	15010	11	1101	13	3860	22066	10	105	31820	10	12728	11	12728	13	381847	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4500	1	99999
1101	15011	12	1102	1	3930	22066	10	105	33004	10	13201	11	13201	13	396058	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11110	0	0	4750	1	99999
1102	15011	12	1103	2	4000	22066	10	105	33404	10	13361	11	13361	13	400858	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1103	15011	12	1104	3	4070	22066	10	105	33807	10	13523	11	13523	13	405690	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1104	15011	12	1105	4	4140	22066	10	105	34212	10	13685	11	13685	13	410553	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1105	15011	12	1106	5	4220	22066	10	105	34620	10	13848	11	13848	13	415447	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1106	15011	12	1107	6	4290	22066	10	105	35031	10	14012	11	14012	13	420373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1107	15011	12	1108	7	4370	22066	10	105	35444	10	14177	11	14177	13	425331	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1108	15011	12	1109	8	4440	22066	10	105	35860	10	14344	11	14344	13	430320	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1109	15011	12	1110	9	4520	22066	10	105	36278	10	14511	11	14511	13	435342	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1110	15011	12	1111	10	4600	22066	10	105	36699	10	14679	11	14679	13	440394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1111	15011	12	1112	11	4680	22066	10	105	37123	10	14849	11	14849	13	445479	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1112	15011	12	1113	12	4760	22066	10	105	37549	10	15019	11	15019	13	450597	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1113	15011	12	1201	13	4840	22066	10	105	37978	10	15191	11	15191	13	455745	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	4750	1	99999
1201	15012	13	1202	1	4920	22066	10	105	39282	10	15712	11	15712	13	471384	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11120	0	0	5000	1	99999
1202	15012	13	1203	2	5000	22066	10	105	39721	10	15888	11	15888	13	476661	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1203	15012	13	1204	3	5090	22066	10	105	40164	10	16065	11	16065	13	481971	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
1204	15012	13	1205	4	5170	22066	10	105	40609	10	16243	11	16243	13	487312	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5000	1	99999
