INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	0	1	10	1	22017	2	4800	20	760	40	120	100	80	160	40	330	105	174	110	65	13	1781	14	17	9	30	12	27	19	44	20	47	26	8	0	0	101	0	41
101	0	2	1	1	22017	2	3600	20	760	40	120	100	80	160	40	240	105	198	110	74	13	2024	14	19	9	34	12	30	19	50	20	53	26	9	0	0	102	1	-142
102	0	2	2	1	22017	2	3600	20	760	40	120	100	80	160	40	280	105	221	110	83	13	2266	14	21	9	38	12	34	19	56	20	60	26	10	0	0	103	1	-48
103	0	2	3	1	22017	2	3600	20	760	40	120	100	80	160	40	330	105	245	110	91	13	2509	14	23	9	42	12	37	19	62	20	66	26	11	0	0	104	1	-136
104	0	2	4	1	22017	2	3600	20	760	40	120	100	80	160	40	370	105	269	110	100	13	2752	14	25	9	46	12	41	19	68	20	72	26	12	0	0	105	1	-146
105	0	2	5	1	22017	2	3600	20	760	40	120	100	80	160	40	420	105	292	110	109	13	2995	14	28	9	50	12	45	19	74	20	79	26	13	0	0	106	1	-162
106	0	2	6	1	22017	2	3600	20	760	40	120	100	80	160	40	460	105	316	110	118	13	3238	14	30	9	54	12	48	19	80	20	85	26	14	0	0	107	1	-46
107	0	2	7	1	22017	2	3600	20	760	40	120	100	80	160	40	510	105	340	110	127	13	3480	14	32	9	58	12	52	19	86	20	91	26	15	0	0	108	1	84
108	0	2	8	1	22017	2	3600	20	760	40	120	100	80	160	40	550	105	363	110	135	13	3723	14	34	9	62	12	55	19	92	20	97	26	16	0	0	109	1	96
109	0	2	9	1	22017	2	3600	20	760	40	120	100	80	160	40	600	105	387	110	144	13	3966	14	36	9	66	12	59	19	98	20	104	26	17	0	0	110	1	138
110	0	2	10	1	22017	2	7200	20	760	40	120	100	80	160	40	690	105	434	110	162	13	4451	14	41	9	74	12	66	19	110	20	116	26	19	0	0	201	1	41
201	0	3	1	1	22017	2	4800	20	760	40	120	100	80	160	40	570	105	466	110	173	13	4775	14	44	9	80	12	71	19	118	20	125	26	20	0	0	202	2	-142
202	0	3	2	1	22017	2	4800	20	760	40	120	100	80	160	40	630	105	497	110	185	13	5099	14	47	9	85	12	76	19	125	20	133	26	22	0	0	203	2	-48
203	0	3	3	1	22017	2	4800	20	760	40	120	100	80	160	40	690	105	529	110	197	13	5423	14	50	9	91	12	80	19	133	20	142	26	23	0	0	204	2	-136
204	0	3	4	1	22017	2	4800	20	760	40	120	100	80	160	40	750	105	560	110	209	13	5746	14	53	9	96	12	85	19	141	20	150	26	24	0	0	205	2	-146
205	0	3	5	1	22017	2	4800	20	760	40	120	100	80	160	40	810	105	592	110	220	13	6070	14	56	9	101	12	90	19	149	20	159	26	26	0	0	206	2	-162
206	0	3	6	1	22017	2	4800	20	760	40	120	100	80	160	40	870	105	624	110	232	13	6394	14	58	9	107	12	95	19	157	20	167	26	27	0	0	207	2	-46
207	0	3	7	1	22017	2	4800	20	760	40	120	100	80	160	40	930	105	655	110	244	13	6717	14	61	9	112	12	100	19	165	20	175	26	28	0	0	208	2	84
208	0	3	8	1	22017	2	4800	20	760	40	120	100	80	160	40	990	105	687	110	255	13	7041	14	64	9	117	12	104	19	173	20	184	26	30	0	0	209	2	96
209	0	3	9	1	22017	2	4800	20	760	40	120	100	80	160	40	1050	105	718	110	267	13	7365	14	67	9	123	12	109	19	181	20	192	26	31	0	0	210	2	138
210	0	3	10	1	22017	2	9600	20	760	40	120	100	80	160	40	1170	105	781	110	291	13	8012	14	73	9	133	12	119	19	197	20	209	26	34	0	0	301	2	41
301	0	4	1	1	22017	4	12000	40	760	80	120	200	80	320	40	1020	105	821	110	305	13	8417	14	77	9	140	12	125	19	207	20	220	26	36	0	0	302	3	-142
302	0	4	2	1	22017	4	12000	40	760	80	120	200	80	320	40	1090	105	860	110	320	13	8821	14	81	9	147	12	131	19	217	20	230	26	37	0	0	303	3	-48
303	0	4	3	1	22017	4	12000	40	760	80	120	200	80	320	40	1170	105	900	110	335	13	9226	14	84	9	154	12	137	19	227	20	241	26	39	0	0	304	3	-136
304	0	4	4	1	22017	4	12000	40	760	80	120	200	80	320	40	1240	105	939	110	349	13	9631	14	88	9	160	12	142	19	237	20	251	26	41	0	0	305	3	-146
305	0	4	5	1	22017	4	12000	40	760	80	120	200	80	320	40	1320	105	978	110	364	13	10035	14	92	9	167	12	148	19	246	20	262	26	42	0	0	306	3	-162
306	0	4	6	1	22017	4	12000	40	760	80	120	200	80	320	40	1390	105	1018	110	379	13	10440	14	95	9	174	12	154	19	256	20	272	26	44	0	0	307	3	-46
307	0	4	7	1	22017	4	12000	40	760	80	120	200	80	320	40	1470	105	1057	110	393	13	10845	14	99	9	181	12	160	19	266	20	283	26	46	0	0	308	3	84
308	0	4	8	1	22017	4	12000	40	760	80	120	200	80	320	40	1540	105	1097	110	408	13	11249	14	103	9	187	12	166	19	276	20	294	26	47	0	0	309	3	96
309	0	4	9	1	22017	4	12000	40	760	80	120	200	80	320	40	1620	105	1136	110	423	13	11654	14	106	9	194	12	172	19	286	20	304	26	49	0	0	310	3	138
310	0	4	10	1	22017	4	24000	40	760	80	120	200	80	320	40	1770	105	1215	110	452	13	12463	14	114	9	207	12	184	19	306	20	325	26	52	0	0	401	3	41
401	0	5	1	1	22017	4	14400	40	760	80	120	200	80	320	40	1590	105	1262	110	469	13	12949	14	118	9	215	12	191	19	318	20	338	26	54	0	0	402	4	-142
402	0	5	2	1	22017	4	14400	40	760	80	120	200	80	320	40	1680	105	1310	110	487	13	13434	14	122	9	224	12	199	19	330	20	350	26	56	0	0	403	4	-48
403	0	5	3	1	22017	4	14400	40	760	80	120	200	80	320	40	1770	105	1357	110	505	13	13920	14	127	9	232	12	206	19	342	20	363	26	58	0	0	404	4	-136
404	0	5	4	1	22017	4	14400	40	760	80	120	200	80	320	40	1860	105	1404	110	522	13	14405	14	131	9	240	12	213	19	354	20	376	26	60	0	0	405	4	-146
405	0	5	5	1	22017	4	14400	40	760	80	120	200	80	320	40	1950	105	1452	110	540	13	14891	14	136	9	248	12	220	19	366	20	388	26	62	0	0	406	4	-162
406	0	5	6	1	22017	4	14400	40	760	80	120	200	80	320	40	2040	105	1499	110	557	13	15377	14	140	9	256	12	227	19	377	20	401	26	64	0	0	407	4	-46
407	0	5	7	1	22017	4	14400	40	760	80	120	200	80	320	40	2130	105	1546	110	575	13	15862	14	144	9	264	12	234	19	389	20	414	26	66	0	0	408	4	84
408	0	5	8	1	22017	4	14400	40	760	80	120	200	80	320	40	2220	105	1594	110	592	13	16348	14	149	9	272	12	242	19	401	20	426	26	69	0	0	409	4	96
409	0	5	9	1	22017	4	14400	40	760	80	120	200	80	320	40	2310	105	1641	110	610	13	16833	14	153	9	280	12	249	19	413	20	439	26	71	0	0	410	4	138
410	0	5	10	1	22017	4	28800	40	760	80	120	200	80	320	40	2490	105	1736	110	645	13	17804	14	162	9	296	12	263	19	437	20	464	26	75	0	0	501	4	41
501	0	6	1	1	22017	4	16800	40	760	80	120	200	80	320	40	2280	105	1791	110	666	13	18371	14	167	9	305	12	271	19	451	20	479	26	77	0	0	502	0	-142
502	0	6	2	1	22017	4	16800	40	760	80	120	200	80	320	40	2380	105	1846	110	686	13	18937	14	172	9	315	12	280	19	465	20	494	26	79	0	0	503	0	-48
503	0	6	3	1	22017	4	16800	40	760	80	120	200	80	320	40	2490	105	1901	110	707	13	19504	14	177	9	324	12	288	19	479	20	509	26	82	0	0	504	0	-136
504	0	6	4	1	22017	4	16800	40	760	80	120	200	80	320	40	2590	105	1956	110	727	13	20070	14	183	9	334	12	296	19	492	20	523	26	84	0	0	505	0	-146
505	0	6	5	1	22017	4	16800	40	760	80	120	200	80	320	40	2700	105	2012	110	748	13	20637	14	188	9	343	12	305	19	506	20	538	26	86	0	0	506	0	-162
506	0	6	6	1	22017	4	16800	40	760	80	120	200	80	320	40	2800	105	2067	110	768	13	21203	14	193	9	352	12	313	19	520	20	553	26	89	0	0	507	0	-46
507	0	6	7	1	22017	4	16800	40	760	80	120	200	80	320	40	2910	105	2122	110	789	13	21770	14	198	9	362	12	321	19	534	20	568	26	91	0	0	508	0	84
508	0	6	8	1	22017	4	16800	40	760	80	120	200	80	320	40	3010	105	2177	110	809	13	22336	14	203	9	371	12	330	19	548	20	582	26	93	0	0	509	0	96
509	0	6	9	1	22017	4	16800	40	760	80	120	200	80	320	40	3120	105	2232	110	830	13	22903	14	208	9	381	12	338	19	562	20	597	26	96	0	0	510	0	138
510	0	6	10	1	22017	4	33600	40	760	80	120	200	80	320	40	3330	105	2343	110	871	13	24036	14	218	9	399	12	355	19	590	20	627	26	100	0	0	601	0	41
601	0	7	1	1	22017	6	28800	60	760	120	120	300	80	480	40	3090	105	2406	110	894	13	24683	14	224	9	410	12	364	19	606	20	644	26	103	0	0	602	1	-142
602	0	7	2	1	22017	6	28800	60	760	120	120	300	80	480	40	3210	105	2469	110	918	13	25331	14	230	9	421	12	374	19	621	20	660	26	106	0	0	603	1	-48
603	0	7	3	1	22017	6	28800	60	760	120	120	300	80	480	40	3330	105	2532	110	941	13	25978	14	236	9	432	12	384	19	637	20	677	26	109	0	0	604	1	-136
604	0	7	4	1	22017	6	28800	60	760	120	120	300	80	480	40	3450	105	2595	110	965	13	26625	14	242	9	442	12	393	19	653	20	694	26	111	0	0	605	1	-146
605	0	7	5	1	22017	6	28800	60	760	120	120	300	80	480	40	3570	105	2658	110	988	13	27273	14	248	9	453	12	403	19	669	20	711	26	114	0	0	606	1	-162
606	0	7	6	1	22017	6	28800	60	760	120	120	300	80	480	40	3690	105	2721	110	1012	13	27920	14	254	9	464	12	412	19	685	20	728	26	117	0	0	607	1	-46
607	0	7	7	1	22017	6	28800	60	760	120	120	300	80	480	40	3810	105	2785	110	1035	13	28568	14	260	9	475	12	422	19	701	20	745	26	119	0	0	608	1	84
608	0	7	8	1	22017	6	28800	60	760	120	120	300	80	480	40	3930	105	2848	110	1058	13	29215	14	265	9	485	12	431	19	717	20	762	26	122	0	0	609	1	96
609	0	7	9	1	22017	6	28800	60	760	120	120	300	80	480	40	4050	105	2911	110	1082	13	29862	14	271	9	496	12	441	19	733	20	779	26	125	0	0	610	1	138
610	0	7	10	1	22017	6	57600	60	760	120	120	300	80	480	40	4290	105	3037	110	1129	13	31157	14	283	9	518	12	460	19	764	20	812	26	130	0	0	701	1	41
701	0	8	1	1	22017	6	32400	60	760	120	120	300	80	480	40	4020	105	3108	110	1155	13	31886	14	290	9	530	12	471	19	782	20	831	26	133	0	0	702	2	-142
702	0	8	2	1	22017	6	32400	60	760	120	120	300	80	480	40	4150	105	3179	110	1182	13	32614	14	296	9	542	12	481	19	800	20	850	26	136	0	0	703	2	-48
703	0	8	3	1	22017	6	32400	60	760	120	120	300	80	480	40	4290	105	3250	110	1208	13	33342	14	303	9	554	12	492	19	818	20	869	26	139	0	0	704	2	-136
704	0	8	4	1	22017	6	32400	60	760	120	120	300	80	480	40	4420	105	3321	110	1234	13	34071	14	310	9	566	12	503	19	836	20	888	26	142	0	0	705	2	-146
705	0	8	5	1	22017	6	32400	60	760	120	120	300	80	480	40	4560	105	3392	110	1261	13	34799	14	316	9	578	12	514	19	854	20	907	26	145	0	0	706	2	-162
706	0	8	6	1	22017	6	32400	60	760	120	120	300	80	480	40	4690	105	3463	110	1287	13	35527	14	323	9	590	12	524	19	871	20	926	26	148	0	0	707	2	-46
707	0	8	7	1	22017	6	32400	60	760	120	120	300	80	480	40	4830	105	3534	110	1313	13	36256	14	329	9	602	12	535	19	889	20	945	26	151	0	0	708	2	84
708	0	8	8	1	22017	6	32400	60	760	120	120	300	80	480	40	4960	105	3605	110	1340	13	36984	14	336	9	614	12	546	19	907	20	964	26	154	0	0	709	2	96
709	0	8	9	1	22017	6	32400	60	760	120	120	300	80	480	40	5100	105	3676	110	1366	13	37712	14	343	9	627	12	557	19	925	20	983	26	157	0	0	710	2	138
710	0	8	10	1	22017	6	64800	60	760	120	120	300	80	480	40	5370	105	3818	110	1419	13	39169	14	356	9	651	12	578	19	961	20	1021	26	163	0	0	801	2	41
801	0	9	1	1	22017	6	36000	60	760	120	120	300	80	480	40	5070	105	3897	110	1448	13	39978	14	363	9	664	12	590	19	981	20	1042	26	167	0	0	802	3	-142
802	0	9	2	1	22017	6	36000	60	760	120	120	300	80	480	40	5220	105	3975	110	1478	13	40788	14	370	9	678	12	602	19	1000	20	1063	26	170	0	0	803	3	-48
803	0	9	3	1	22017	6	36000	60	760	120	120	300	80	480	40	5370	105	4054	110	1507	13	41597	14	378	9	691	12	614	19	1020	20	1084	26	174	0	0	804	3	-136
804	0	9	4	1	22017	6	36000	60	760	120	120	300	80	480	40	5520	105	4133	110	1536	13	42406	14	385	9	704	12	626	19	1040	20	1105	26	177	0	0	805	3	-146
805	0	9	5	1	22017	6	36000	60	760	120	120	300	80	480	40	5670	105	4212	110	1565	13	43215	14	392	9	718	12	638	19	1060	20	1126	26	180	0	0	806	3	-162
806	0	9	6	1	22017	6	36000	60	760	120	120	300	80	480	40	5820	105	4291	110	1595	13	44025	14	400	9	731	12	650	19	1080	20	1147	26	184	0	0	807	3	-46
807	0	9	7	1	22017	6	36000	60	760	120	120	300	80	480	40	5970	105	4370	110	1624	13	44834	14	407	9	745	12	662	19	1100	20	1169	26	187	0	0	808	3	84
808	0	9	8	1	22017	6	36000	60	760	120	120	300	80	480	40	6120	105	4449	110	1653	13	45643	14	414	9	758	12	674	19	1119	20	1190	26	190	0	0	809	3	96
809	0	9	9	1	22017	6	36000	60	760	120	120	300	80	480	40	6270	105	4528	110	1683	13	46452	14	422	9	772	12	685	19	1139	20	1211	26	194	0	0	810	3	138
810	0	9	10	1	22017	6	72000	60	760	120	120	300	80	480	40	6570	105	4685	110	1741	13	48071	14	436	9	798	12	709	19	1179	20	1253	26	200	0	0	901	3	41
901	0	10	1	1	22017	8	52800	80	760	160	120	400	80	640	40	6240	105	4772	110	1774	13	48961	14	445	9	813	12	722	19	1201	20	1276	26	204	0	0	902	4	-142
902	0	10	2	1	22017	8	52800	80	760	160	120	400	80	640	40	6400	105	4859	110	1806	13	49851	14	453	9	828	12	736	19	1223	20	1299	26	208	0	0	903	4	-48
903	0	10	3	1	22017	8	52800	80	760	160	120	400	80	640	40	6570	105	4946	110	1838	13	50741	14	461	9	843	12	749	19	1244	20	1322	26	212	0	0	904	4	-136
904	0	10	4	1	22017	8	52800	80	760	160	120	400	80	640	40	6730	105	5032	110	1870	13	51632	14	469	9	858	12	762	19	1266	20	1346	26	215	0	0	905	4	-146
905	0	10	5	1	22017	8	52800	80	760	160	120	400	80	640	40	6900	105	5119	110	1902	13	52522	14	477	9	872	12	775	19	1288	20	1369	26	219	0	0	906	4	-162
906	0	10	6	1	22017	8	52800	80	760	160	120	400	80	640	40	7060	105	5206	110	1935	13	53412	14	485	9	887	12	788	19	1310	20	1392	26	223	0	0	907	4	-46
907	0	10	7	1	22017	8	52800	80	760	160	120	400	80	640	40	7230	105	5293	110	1967	13	54302	14	493	9	902	12	801	19	1332	20	1415	26	226	0	0	908	4	84
908	0	10	8	1	22017	8	52800	80	760	160	120	400	80	640	40	7390	105	5379	110	1999	13	55192	14	501	9	917	12	814	19	1353	20	1438	26	230	0	0	909	4	96
909	0	10	9	1	22017	8	52800	80	760	160	120	400	80	640	40	7560	105	5466	110	2031	13	56083	14	509	9	932	12	827	19	1375	20	1462	26	234	0	0	910	4	138
910	0	10	10	1	22017	8	105600	80	760	160	120	400	80	640	40	7890	105	5640	110	2096	13	57863	14	525	9	961	12	854	19	1419	20	1508	26	241	0	0	9999	4	41
9999	0	11	1	1	22017	8	57600	80	760	160	120	400	80	640	40	7530	105	5734	110	2131	13	58834	14	534	9	977	12	868	19	1443	20	1533	26	245	0	0	10001	4	-1
10001	0	11	2	1	22017	8	57600	80	760	160	120	400	80	640	40	7710	105	5829	110	2166	13	59805	14	543	9	993	12	882	19	1467	20	1559	26	249	0	0	10002	3	-142
10002	0	11	3	1	22017	8	57600	80	760	160	120	400	80	640	40	7890	105	5924	110	2201	13	60776	14	552	9	1009	12	897	19	1490	20	1584	26	253	0	0	10003	3	-48
10003	0	11	4	1	22017	8	57600	80	760	160	120	400	80	640	40	8070	105	6018	110	2237	13	61747	14	561	9	1026	12	911	19	1514	20	1609	26	257	0	0	10004	3	-136
10004	0	11	5	1	22017	8	57600	80	760	160	120	400	80	640	40	8250	105	6113	110	2272	13	62719	14	569	9	1042	12	925	19	1538	20	1635	26	261	0	0	10005	3	-146
10005	0	11	6	1	22017	8	57600	80	760	160	120	400	80	640	40	8430	105	6207	110	2307	13	63690	14	578	9	1058	12	940	19	1562	20	1660	26	265	0	0	10006	3	-162
10006	0	11	7	1	22017	8	57600	80	760	160	120	400	80	640	40	8610	105	6302	110	2342	13	64661	14	587	9	1074	12	954	19	1586	20	1685	26	270	0	0	10007	3	-46
10007	0	11	8	1	22017	8	57600	80	760	160	120	400	80	640	40	8790	105	6397	110	2377	13	65632	14	596	9	1090	12	968	19	1609	20	1710	26	274	0	0	10008	3	84
10008	0	11	9	1	22017	8	57600	80	760	160	120	400	80	640	40	8970	105	6491	110	2412	13	66603	14	605	9	1106	12	983	19	1633	20	1736	26	278	0	0	10009	3	96
10009	0	11	10	1	22017	8	115200	80	760	160	120	400	80	640	40	9330	105	6681	110	2483	13	68545	14	622	9	1138	12	1011	19	1681	20	1786	26	286	0	0	10010	3	138
10010	0	12	1	1	22017	8	62400	80	760	160	120	400	80	640	40	8940	105	6783	110	2521	13	69597	14	632	9	1156	12	1027	19	1707	20	1814	26	290	0	0	10101	3	41
10101	0	12	2	1	22017	8	62400	80	760	160	120	400	80	640	40	9130	105	6886	110	2559	13	70649	14	641	9	1173	12	1042	19	1732	20	1841	26	294	0	0	10102	0	-142
10102	0	12	3	1	22017	8	62400	80	760	160	120	400	80	640	40	9330	105	6988	110	2597	13	71701	14	651	9	1191	12	1058	19	1758	20	1869	26	299	0	0	10103	0	-48
10103	0	12	4	1	22017	8	62400	80	760	160	120	400	80	640	40	9520	105	7091	110	2635	13	72754	14	660	9	1208	12	1073	19	1784	20	1896	26	303	0	0	10104	0	-136
10104	0	12	5	1	22017	8	62400	80	760	160	120	400	80	640	40	9720	105	7193	110	2673	13	73806	14	670	9	1226	12	1089	19	1810	20	1923	26	308	0	0	10105	0	-146
10105	0	12	6	1	22017	8	62400	80	760	160	120	400	80	640	40	9910	105	7296	110	2711	13	74858	14	679	9	1243	12	1104	19	1836	20	1951	26	312	0	0	10106	0	-162
10106	0	12	7	1	22017	8	62400	80	760	160	120	400	80	640	40	10110	105	7398	110	2749	13	75910	14	689	9	1261	12	1120	19	1861	20	1978	26	316	0	0	10107	0	-46
10107	0	12	8	1	22017	8	62400	80	760	160	120	400	80	640	40	10300	105	7501	110	2788	13	76962	14	699	9	1278	12	1135	19	1887	20	2006	26	321	0	0	10108	0	84
10108	0	12	9	1	22017	8	62400	80	760	160	120	400	80	640	40	10500	105	7603	110	2826	13	78014	14	708	9	1296	12	1151	19	1913	20	2033	26	325	0	0	10109	0	96
10109	0	12	10	1	22017	8	124800	80	760	160	120	400	80	640	40	10890	105	7808	110	2902	13	80118	14	727	9	1330	12	1182	19	1964	20	2088	26	334	0	0	10110	0	138
10110	0	13	1	1	22017	10	84000	100	760	200	120	500	80	800	40	10470	105	7919	110	2943	13	81251	14	737	9	1349	12	1199	19	1992	20	2117	26	339	0	0	10201	0	41
10201	0	13	2	1	22017	10	84000	100	760	200	120	500	80	800	40	10680	105	8029	110	2984	13	82384	14	748	9	1368	12	1215	19	2020	20	2147	26	343	0	0	10202	2	-142
10202	0	13	3	1	22017	10	84000	100	760	200	120	500	80	800	40	10890	105	8140	110	3025	13	83517	14	758	9	1387	12	1232	19	2048	20	2176	26	348	0	0	10203	2	-48
10203	0	13	4	1	22017	10	84000	100	760	200	120	500	80	800	40	11100	105	8250	110	3066	13	84650	14	768	9	1406	12	1249	19	2076	20	2206	26	353	0	0	10204	2	-136
10204	0	13	5	1	22017	10	84000	100	760	200	120	500	80	800	40	11310	105	8361	110	3107	13	85783	14	779	9	1425	12	1265	19	2103	20	2235	26	357	0	0	10205	2	-146
10205	0	13	6	1	22017	10	84000	100	760	200	120	500	80	800	40	11520	105	8471	110	3148	13	86916	14	789	9	1443	12	1282	19	2131	20	2265	26	362	0	0	10206	2	-162
10206	0	13	7	1	22017	10	84000	100	760	200	120	500	80	800	40	11730	105	8581	110	3189	13	88049	14	799	9	1462	12	1299	19	2159	20	2294	26	367	0	0	10207	2	-46
10207	0	13	8	1	22017	10	84000	100	760	200	120	500	80	800	40	11940	105	8692	110	3230	13	89182	14	809	9	1481	12	1315	19	2187	20	2324	26	372	0	0	10208	2	84
10208	0	13	9	1	22017	10	84000	100	760	200	120	500	80	800	40	12150	105	8802	110	3271	13	90315	14	820	9	1500	12	1332	19	2214	20	2353	26	376	0	0	10209	2	96
10209	0	13	10	1	22017	10	168000	100	760	200	120	500	80	800	40	12570	105	9023	110	3353	13	92581	14	840	9	1537	12	1366	19	2270	20	2413	26	386	0	0	10210	2	138
10210	0	14	1	1	22017	10	90000	100	760	200	120	500	80	800	40	12120	105	9141	110	3397	13	93794	14	851	9	1558	12	1383	19	2300	20	2444	26	391	0	0	10301	2	41
10301	0	14	2	1	22017	10	90000	100	760	200	120	500	80	800	40	12340	105	9260	110	3441	13	95008	14	862	9	1578	12	1401	19	2330	20	2476	26	396	0	0	10302	4	-142
10302	0	14	3	1	22017	10	90000	100	760	200	120	500	80	800	40	12570	105	9378	110	3485	13	96222	14	873	9	1598	12	1419	19	2359	20	2507	26	401	0	0	10303	4	-48
10303	0	14	4	1	22017	10	90000	100	760	200	120	500	80	800	40	12790	105	9496	110	3529	13	97436	14	884	9	1618	12	1437	19	2389	20	2539	26	406	0	0	10304	4	-136
10304	0	14	5	1	22017	10	90000	100	760	200	120	500	80	800	40	13020	105	9615	110	3573	13	98650	14	895	9	1638	12	1455	19	2419	20	2571	26	411	0	0	10305	4	-146
10305	0	14	6	1	22017	10	90000	100	760	200	120	500	80	800	40	13240	105	9733	110	3617	13	99864	14	906	9	1658	12	1473	19	2449	20	2602	26	416	0	0	10306	4	-162
10306	0	14	7	1	22017	10	90000	100	760	200	120	500	80	800	40	13470	105	9851	110	3661	13	101078	14	917	9	1678	12	1491	19	2478	20	2634	26	421	0	0	10307	4	-46
10307	0	14	8	1	22017	10	90000	100	760	200	120	500	80	800	40	13690	105	9970	110	3705	13	102292	14	928	9	1699	12	1509	19	2508	20	2666	26	426	0	0	10308	4	84
10308	0	14	9	1	22017	10	90000	100	760	200	120	500	80	800	40	13920	105	10088	110	3749	13	103506	14	939	9	1719	12	1527	19	2538	20	2697	26	431	0	0	10309	4	96
10309	0	14	10	1	22017	10	180000	100	760	200	120	500	80	800	40	14370	105	10324	110	3837	13	105933	14	961	9	1759	12	1562	19	2597	20	2760	26	441	0	0	10310	4	138
10310	0	15	1	1	22017	10	96000	100	760	200	120	500	80	800	40	13890	105	10451	110	3884	13	107228	14	973	9	1781	12	1582	19	2629	20	2794	26	447	0	0	10401	4	41
10401	0	15	2	1	22017	10	96000	100	760	200	120	500	80	800	40	14130	105	10577	110	3930	13	108523	14	985	9	1802	12	1601	19	2661	20	2828	26	452	0	0	10402	1	-142
10402	0	15	3	1	22017	10	96000	100	760	200	120	500	80	800	40	14370	105	10703	110	3977	13	109818	14	997	9	1824	12	1620	19	2693	20	2862	26	457	0	0	10403	1	-48
10403	0	15	4	1	22017	10	96000	100	760	200	120	500	80	800	40	14610	105	10829	110	4024	13	111113	14	1008	9	1845	12	1639	19	2724	20	2895	26	463	0	0	10404	1	-136
10404	0	15	5	1	22017	10	96000	100	760	200	120	500	80	800	40	14850	105	10955	110	4071	13	112408	14	1020	9	1867	12	1658	19	2756	20	2929	26	468	0	0	10405	1	-146
10405	0	15	6	1	22017	10	96000	100	760	200	120	500	80	800	40	15090	105	11082	110	4118	13	113702	14	1032	9	1888	12	1677	19	2788	20	2963	26	474	0	0	10406	1	-162
10406	0	15	7	1	22017	10	96000	100	760	200	120	500	80	800	40	15330	105	11208	110	4165	13	114997	14	1044	9	1910	12	1696	19	2820	20	2997	26	479	0	0	10407	1	-46
10407	0	15	8	1	22017	10	96000	100	760	200	120	500	80	800	40	15570	105	11334	110	4212	13	116292	14	1055	9	1931	12	1715	19	2851	20	3030	26	484	0	0	10408	1	84
10408	0	15	9	1	22017	10	96000	100	760	200	120	500	80	800	40	15810	105	11460	110	4259	13	117587	14	1067	9	1953	12	1734	19	2883	20	3064	26	490	0	0	10409	1	96
10409	0	15	10	1	22017	10	192000	100	760	200	120	500	80	800	40	16290	105	11712	110	4352	13	120176	14	1090	9	1995	12	1772	19	2946	20	3131	26	500	0	0	-1	1	138
