INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT
147	20147	30	70	10910	1000	2002	25	62500
148	20148	30	70	10910	1000	2002	25	62500
149	20149	30	70	10910	1000	2002	25	62500
150	20150	30	70	8960	1000	2000	25	31250
151	20151	30	70	8960	1000	2000	25	31250
152	20152	30	70	9896	1000	2001	25	31250
153	20153	30	70	9896	1000	2001	25	31250
154	20154	30	70	9896	1000	2001	25	31250
155	20155	30	70	10910	1000	2002	25	31250
156	20156	30	70	10910	1000	2002	25	31250
157	20157	30	70	10910	1000	2002	25	31250
158	20158	30	70	10910	1000	2002	25	31250
159	20159	30	70	10910	1000	2002	25	31250
160	20160	30	70	8960	1000	2000	25	62500
161	20161	30	70	8960	1000	2000	25	62500
162	20162	30	70	9896	1000	2001	25	62500
163	20163	30	70	9896	1000	2001	25	62500
164	20164	30	70	9896	1000	2001	25	62500
165	20165	30	70	10910	1000	2002	25	62500
166	20166	30	70	10910	1000	2002	25	62500
167	20167	30	70	10910	1000	2002	25	62500
168	20168	30	70	10910	1000	2002	25	62500
169	20169	30	70	10910	1000	2002	25	62500
170	20170	30	70	8960	1000	2000	25	31250
171	20171	30	70	8960	1000	2000	25	31250
172	20172	30	70	9896	1000	2001	25	31250
173	20173	30	70	9896	1000	2001	25	31250
174	20174	30	70	9896	1000	2001	25	31250
175	20175	30	70	10910	1000	2002	25	31250
176	20176	30	70	10910	1000	2002	25	31250
177	20177	30	70	10910	1000	2002	25	31250
178	20178	30	70	10910	1000	2002	25	31250
179	20179	30	70	10910	1000	2002	25	31250
180	20180	30	70	8960	1000	2000	25	62500
181	20181	30	70	8960	1000	2000	25	62500
182	20182	30	70	9896	1000	2001	25	62500
183	20183	30	70	9896	1000	2001	25	62500
184	20184	30	70	9896	1000	2001	25	62500
185	20185	30	70	10910	1000	2002	25	62500
186	20186	30	70	10910	1000	2002	25	62500
187	20187	30	70	10910	1000	2002	25	62500
188	20188	30	70	10910	1000	2002	25	62500
189	20189	30	70	10910	1000	2002	25	62500
190	20190	30	70	8960	1000	2000	25	31250
191	20191	30	70	8960	1000	2000	25	31250
192	20192	30	70	9896	1000	2001	25	31250
193	20193	30	70	9896	1000	2001	25	31250
194	20194	30	70	9896	1000	2001	25	31250
195	20195	30	70	10910	1000	2002	25	31250
196	20196	30	70	10910	1000	2002	25	31250
197	20197	30	70	10910	1000	2002	25	31250
198	20198	30	70	10910	1000	2002	25	31250
199	20199	30	70	10910	1000	2002	25	31250
200	20200	30	70	8960	1000	2000	25	62500
201	20201	30	70	8960	1000	2000	25	62500
202	20202	30	70	9896	1000	2001	25	62500
203	20203	30	70	9896	1000	2001	25	62500
204	20204	30	70	9896	1000	2001	25	62500
205	20205	30	70	10910	1000	2002	25	62500
206	20206	30	70	10910	1000	2002	25	62500
207	20207	30	70	10910	1000	2002	25	62500
208	20208	30	70	10910	1000	2002	25	62500
209	20209	30	70	10910	1000	2002	25	62500
210	20210	30	70	8960	1000	2000	25	31250
211	20211	30	70	8960	1000	2000	25	31250
212	20212	30	70	9896	1000	2001	25	31250
213	20213	30	70	9896	1000	2001	25	31250
214	20214	30	70	9896	1000	2001	25	31250
215	20215	30	70	10910	1000	2002	25	31250
216	20216	30	70	10910	1000	2002	25	31250
217	20217	30	70	10910	1000	2002	25	31250
218	20218	30	70	10910	1000	2002	25	31250
219	20219	30	70	10910	1000	2002	25	31250
220	20220	30	70	0	0	-1	25	62500
221	20221	30	70	0	0	-1	25	62500
222	20222	30	70	0	0	-1	25	62500
223	20223	30	70	0	0	-1	25	62500
224	20224	30	70	0	0	-1	25	62500
225	20225	30	70	0	0	-1	25	62500
226	20226	30	70	0	0	-1	25	62500
227	20227	30	70	0	0	-1	25	62500
228	20228	30	70	0	0	-1	25	62500
229	20229	30	70	0	0	-1	25	62500
230	20230	30	70	0	0	-1	25	31250
231	20231	30	70	0	0	-1	25	31250
232	20232	30	70	0	0	-1	25	31250
233	20233	30	70	0	0	-1	25	31250
234	20234	30	70	0	0	-1	25	31250
235	20235	30	70	0	0	-1	25	31250
236	20236	30	70	0	0	-1	25	31250
237	20237	30	70	0	0	-1	25	31250
238	20238	30	70	0	0	-1	25	31250
239	20239	30	70	0	0	-1	25	31250
240	20240	30	70	0	0	-1	25	62500
241	20241	30	70	0	0	-1	25	62500
242	20242	30	70	0	0	-1	25	62500
243	20243	30	70	0	0	-1	25	62500
244	20244	30	70	0	0	-1	25	62500
245	20245	30	70	0	0	-1	25	62500
246	20246	30	70	0	0	-1	25	62500
247	20247	30	70	0	0	-1	25	62500
248	20248	30	70	0	0	-1	25	62500
249	20249	30	70	0	0	-1	25	62500
250	20250	30	70	0	0	-1	25	31250
251	20251	30	70	0	0	-1	25	31250
252	20252	30	70	0	0	-1	25	31250
253	20253	30	70	0	0	-1	25	31250
254	20254	30	70	0	0	-1	25	31250
255	20255	30	70	0	0	-1	25	31250
256	20256	30	70	0	0	-1	25	31250
257	20257	30	70	0	0	-1	25	31250
258	20258	30	70	0	0	-1	25	31250
259	20259	30	70	0	0	-1	25	31250
260	20260	30	70	14500	10000	2006	25	62500
261	20261	30	70	14500	10000	2006	25	62500
262	20262	30	70	36500	10000	2007	25	62500
263	20263	30	70	36500	10000	2007	25	62500
264	20264	30	70	49000	10000	2008	25	62500
265	20265	30	70	49000	10000	2008	25	62500
266	20266	30	70	70000	10000	2009	25	62500
267	20267	30	70	70000	10000	2009	25	62500
268	20268	30	70	70000	10000	2009	25	62500
269	20269	30	70	70000	10000	2009	25	62500
270	20270	30	70	14500	10000	2006	25	31250
271	20271	30	70	14500	10000	2006	25	31250
272	20272	30	70	36500	10000	2007	25	31250
273	20273	30	70	36500	10000	2007	25	31250
274	20274	30	70	49000	10000	2008	25	31250
275	20275	30	70	49000	10000	2008	25	31250
276	20276	30	70	70000	10000	2009	25	31250
277	20277	30	70	70000	10000	2009	25	31250
278	20278	30	70	70000	10000	2009	25	31250
279	20279	30	70	70000	10000	2009	25	31250
