INT	STRING	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
57	主线:不喜欢精灵	0	107	0	-1	32	5	51	74	0	5	44	43	-1	0	33	-1	-1	33	5	49	37.5	58	-1	1	1745	2	2354	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
58	主线:神奇力量	0	25	0	-1	33	5	49	37.5	0	5	45	23	-1	1	1012	6	-1	33	5	49	37.5	59	-1	1	2759	2	2408	24007	20	-1	6000	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
59	主线:黄色蘑菇	0	26	0	-1	33	5	49	37.5	0	5	73	56	-1	3	1000	10007	-1	33	5	49	37.5	60	-1	1	2286	2	2462	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
60	主线:玛雅生物	0	27	0	-1	33	5	49	37.5	0	5	23	51	-1	0	19	-1	-1	19	5	103	40.5	61	-1	1	1745	2	2518	22000	2	-1	6000	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
61	主线:成果	0	28	0	-1	19	5	103	40.5	0	5	85	37	-1	1	1013	7	-1	19	5	103	40.5	62	-1	1	3060	2	2574	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
62	主线:为了战斗	0	251	0	-1	40	3	126	125	0	3	126	123	-1	0	40	-1	-1	40	3	126	125	15	-1	1	1832	2	4436	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
63	主线:好消息	0	108	0	-1	19	5	103	40.5	0	5	124	72	-1	0	30	-1	-1	30	5	124.3	73.3	112	-1	1	2706	2	2690	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
65	主线:再次来袭	0	24	0	-1	32	5	51	74	0	5	60	63	-1	5	101	-1	-1	32	5	51	74	57	-1	1	2445	2	2302	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
66	主线:保护	0	29	0	-1	19	5	103	40.5	0	201	99	35	-1	21	201	1	-1	19	5	103	40.5	63	-1	1	2106	2	2632	22000	2	-1	6000	-1	-1	-1	-1	-1	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
70	主线:强化宝石	0	30	0	-1	26	3	47	104	0	3	47	104	-1	22	22000	1	26	26	3	47	102	103	-1	1	2945	2	1430	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	224	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
99	主线:威胁	0	7	0	-1	39	3	22.82	36.94	0	202	28	38	-1	21	202	1	-1	39	3	22.82	36.94	106	-1	1	2382	2	1634	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
100	主线:强化装备	0	34	0	-1	21	3	16.5	113	1	19	0	-1	-1	10	4063	1	-1	21	3	16.5	113	6	-1	1	2774	2	1494	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
102	主线:讲述	0	37	0	-1	97	3	41	48.5	0	3	48	81	-1	0	28	-1	-1	28	3	47.26	82.55	107	-1	1	2200	2	1750	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
103	主线:宝石的用途	0	250	0	-1	26	3	47	104	0	3	33	113	-1	0	28	-1	-1	21	3	16.5	113	100	-1	1	1742	2	1462	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	206201	1	-1	-1	306201	1	-1	-1	406201	1	-1	-1	-1	0	0	-1	-1	-1	-1
104	主线:力量觉醒	0	15	0	-1	93	3	90	116	0	3	33	113	-1	0	93	-1	-1	93	3	90	116	-1	-1	1	1111	2	1078	27500	1	-1	6000	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	710	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
105	主线:复活	0	109	0	-1	39	3	22.82	36.94	0	3	29	30	-1	1	1005	5	-1	96	3	54	25	99	-1	1	3910	2	1672	-1	-1	25503	6000	1001	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
106	主线:巫术	0	36	0	-1	96	3	54	25	0	3	79	31	-1	1	1007	5	-1	97	3	41	48.5	102	-1	1	4214	2	1710	22001	2	-1	6000	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
107	主线:请教	0	33	0	-1	28	3	47.26	82.55	1	33	1	-1	-1	0	29	-1	-1	29	3	19	75	-1	-1	1	3999	2	1790	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	208201	1	-1	-1	308201	1	-1	-1	408201	1	-1	-1	-1	0	0	-1	-1	-1	-1
108	主线:潜能开发	0	1003	0	-1	29	3	19	75	0	3	22	75	-1	0	29	-1	-1	28	3	47.26	82.55	110	-1	1	4395	2	1874	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	213302	1	-1	-1	310302	1	-1	-1	410302	1	-1	-1	-1	0	0	-1	-1	-1	-1
109	主线:找老板娘	0	31	0	-1	21	3	16.5	113	0	3	16	109	-1	0	20	-1	-1	20	3	12.2	94	150	-1	1	3065	2	1528	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
110	主线:天使羽翼	0	39	0	-1	28	3	47.26	82.55	0	3	47	81	-1	0	28	-1	-1	28	3	47.26	82.55	111	-1	1	5385	22018	4	22095	6	-1	6000	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	10001	1	-1	-1	10101	1	-1	-1	10201	1	-1	-1	-1	0	0	-1	-1	-1	-1
111	主线:前往祭雨丛林	0	41	0	-1	28	3	47.26	82.55	0	5	124	72	-1	0	30	-1	-1	30	5	124.3	73.3	122	-1	1	3051	2	1962	35001	5	-1	6000	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	14999	0
112	主线:守护者	0	75	0	-1	30	5	124.3	73.3	0	5	134	98	-1	1	1014	7	-1	34	5	90.77	109.73	113	-1	1	3968	2	2750	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
113	主线:计划	0	44	0	-1	34	5	90.77	109.73	0	5	126	121	-1	4	25504	15	1015	34	5	90.77	109.73	114	-1	1	3185	2	2810	23100	1	25504	10000	1015	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
114	主线:拼凑路线图	0	45	0	-1	34	5	90.77	109.73	0	5	67	118	-1	1	1070	8	-1	34	5	90.77	109.73	116	-1	1	3634	2	2872	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	200302	1	-1	-1	300302	1	-1	-1	400302	1	-1	-1	-1	0	0	-1	-1	-1	-1
115	主线:丛林石窟	0	422	0	-1	34	5	90.77	109.73	1	25	1	0	-1	7	3	1	-1	34	5	90.77	109.73	512	-1	1	8157	22053	6	22003	3	-1	6000	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
116	主线:友谊	0	46	0	-1	34	5	90.77	109.73	0	5	120	55	-1	0	35	-1	-1	35	5	130.7	66.7	117	-1	22002	4	22010	2	22011	2	-1	6000	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
117	主线:学习合成	0	48	0	-1	35	5	130.7	66.7	1	26	-1	-1	-1	16	1	22012	1	35	5	130.7	66.7	118	-1	1	3621	2	2998	22000	2	-1	6000	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
118	主线:了解地狱监牢	0	49	0	-1	35	5	130.7	66.7	0	5	111	59	-1	0	36	-1	-1	36	5	114.5	72.1	119	-1	1	4019	2	3062	22000	2	-1	6000	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
119	主线:进入地狱监牢	0	50	0	-1	36	5	114.5	72.1	1	60	0	-1	-1	7	5000	1	-1	36	5	114.5	72.1	120	-1	1	4128	22000	2	22012	3	-1	6000	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
120	主线:暂别	0	423	0	-1	36	5	114.5	72.1	0	3	43	94	-1	5	103	-1	-1	28	3	47.26	82.55	-1	-1	1	4481	2	3400	22095	6	-1	6000	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
121	主线:前往凛冬谷	0	321	0	-1	28	3	47.26	82.55	0	3	42	99	-1	0	42	-1	-1	42	3	42.03	101.61	143	-1	1	6221	10	2000	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	207	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
122	主线:魔物日志	0	42	0	-1	30	5	124.3	73.3	-1	24	-1	-1	-1	0	30	-1	-1	30	5	124.3	73.3	51	-1	1	2945	2	2008	27500	1	-1	6000	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
123	主线:不普通	0	53	0	-1	42	3	42.03	101.61	0	1	143	69	-1	0	10	-1	-1	10	1	151.91	71.83	124	-1	1	4265	2	3762	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	1
124	主线:悲伤的城主	0	54	0	-1	10	1	151.91	71.83	0	1	134	70	-1	0	15	-1	-1	15	1	112.03	57.24	125	-1	1	4481	2	3838	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
125	主线:妻子	0	55	0	-1	15	1	112.03	57.24	0	1	127	91	-1	1	1016	8	-1	15	1	112.03	57.24	126	-1	1	7011	2	3914	24001	50	-1	6000	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
126	主线:一起调查	0	56	0	-1	15	1	112.03	57.24	0	1	158	60	-1	0	11	-1	-1	11	1	151.29	57.29	513	-1	1	6171	2	3992	7	400	-1	6000	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
127	主线:击碎	0	151	0	-1	11	1	151.29	57.29	0	1	88	33	-1	1	1017	9	-1	11	1	151.29	57.29	129	-1	1	9290	24007	10	7	200	-1	6000	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
128	主线:开启天赋（退）	0	200	0	-1	11	1	151.29	57.29	1	9	-1	-1	-1	18	86	1	-1	11	1	151.29	57.29	129	-1	1	6721	2	17109	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
129	主线:战盟	0	58	0	-1	11	1	151.29	57.29	0	1	138	43	-1	0	12	-1	-1	12	1	135.7	43.07	130	-1	1	6435	2	4312	22053	5	-1	6000	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
130	主线:邀请	0	60	0	-1	12	1	135.7	43.07	0	1	149	55	-1	0	10	-1	-1	10	1	151.91	71.83	131	-1	1	6336	2	4394	35016	40	-1	6000	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
131	主线:琳达的欣赏	0	61	0	-1	10	1	151.91	71.83	0	1	152	70	-1	8	24013	1	10	12	1	135.7	43.07	132	-1	1	6374	2	4478	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
132	主线:加入战盟	0	62	0	-1	12	1	135.7	43.07	0	1	138	43	-1	0	12	-1	-1	12	1	135.7	43.07	133	-1	1	6969	2	4562	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
133	主线:流浪者	0	63	0	-1	12	1	135.7	43.07	1	13	3	-1	-1	18	46	55	-1	16	1	137.53	128.7	152	-1	1	8778	2	4648	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
134	主线:告诉多琳	0	153	0	-1	16	1	137.53	128.7	0	1	138	43	-1	0	14	-1	-1	14	1	124.05	40.31	135	-1	1	6583	2	4910	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
135	主线:哥哥	0	65	0	-1	14	1	124.05	40.31	0	1	54	48	-1	1	1018	10	-1	13	1	74.5	60.2	136	-1	1	7007	2	5000	35020	5	-1	6000	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
136	主线:反常	0	110	0	-1	13	1	74.5	60.2	0	1	84	106	-1	1	1020	11	-1	13	1	74.5	60.2	137	-1	1	10221	2	5182	35020	10	-1	6000	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
137	主线:搜寻	0	67	0	-1	13	1	74.5	60.2	0	1	71	114	-1	4	25510	1	1059	13	1	74.5	60.2	138	-1	1	6619	2	5274	-1	-1	25510	3500	1059	-1	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
