INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
29	7709	7430	7148	6865	6582	6295	6008	5720	5428	5133	4837	4536	4231	3923	3610	3293	2972	2648	2322	1996	1674	1358	1057	775	522	308	143	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	7732	7460	7190	6917	6643	6370	6092	5815	5535	5252	4968	4681	4390	4094	3796	3493	3187	2876	2562	2247	1932	1620	1315	1023	750	505	298	138	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	7753	7491	7227	6966	6701	6435	6171	5902	5633	5362	5088	4812	4534	4253	3967	3677	3384	3087	2787	2482	2176	1872	1569	1274	991	726	490	289	134	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	7770	7518	7264	7008	6754	6498	6240	5984	5723	5462	5200	4934	4667	4397	4124	3846	3566	3281	2993	2702	2407	2110	1815	1521	1235	961	704	475	280	130	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	7787	7542	7297	7050	6802	6556	6307	6057	5808	5555	5302	5047	4789	4529	4268	4003	3733	3461	3185	2905	2623	2336	2048	1761	1477	1199	932	684	461	272	126	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	7803	7564	7326	7088	6848	6608	6368	6127	5884	5642	5396	5150	4903	4652	4400	4146	3888	3626	3362	3094	2822	2548	2269	1990	1711	1434	1164	906	664	448	264	122	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	7818	7586	7354	7123	6891	6658	6424	6192	5956	5720	5485	5246	5007	4767	4523	4278	4031	3780	3526	3269	3008	2744	2477	2206	1935	1664	1395	1132	881	646	435	257	119	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	7830	7606	7381	7155	6930	6705	6478	6250	6024	5795	5566	5337	5104	4872	4638	4401	4162	3922	3678	3430	3180	2927	2670	2410	2147	1882	1619	1357	1101	857	628	423	250	116	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	7844	7624	7406	7187	6967	6748	6528	6308	6086	5866	5643	5419	5196	4970	4743	4516	4285	4053	3818	3581	3340	3097	2850	2600	2346	2090	1833	1576	1321	1072	834	612	412	243	112	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	7855	7643	7428	7216	7002	6788	6575	6361	6146	5930	5715	5498	5280	5063	4842	4622	4400	4175	3949	3720	3489	3254	3017	2777	2533	2286	2036	1786	1536	1287	1045	813	596	402	237	110	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	7867	7659	7452	7243	7036	6827	6619	6410	6202	5992	5782	5572	5361	5148	4936	4721	4506	4290	4071	3850	3627	3402	3173	2942	2707	2470	2229	1986	1741	1497	1255	1019	792	581	392	231	107	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	7878	7676	7472	7270	7066	6864	6661	6457	6254	6051	5846	5640	5436	5230	5023	4816	4606	4396	4185	3971	3756	3539	3319	3096	2870	2641	2409	2175	1937	1699	1461	1224	994	773	567	382	225	104	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	7887	7690	7493	7294	7097	6898	6701	6502	6304	6105	5907	5707	5506	5307	5105	4903	4701	4497	4292	4086	3877	3667	3455	3240	3022	2802	2578	2352	2123	1891	1658	1426	1195	970	755	553	373	220	102	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	7896	7704	7511	7318	7124	6932	6737	6545	6351	6157	5963	5769	5574	5378	5184	4987	4789	4592	4392	4192	3990	3786	3581	3374	3165	2952	2736	2518	2297	2074	1847	1620	1393	1168	948	737	540	364	215	99	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	7905	7717	7529	7340	7152	6962	6774	6584	6396	6207	6017	5828	5638	5448	5256	5066	4873	4680	4488	4292	4097	3900	3700	3500	3298	3093	2885	2674	2461	2245	2026	1805	1583	1361	1141	926	720	528	356	210	97	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	7913	7729	7545	7361	7177	6993	6808	6624	6438	6254	6069	5883	5698	5513	5326	5139	4953	4765	4576	4388	4197	4005	3813	3618	3422	3224	3024	2820	2615	2406	2195	1981	1765	1548	1331	1116	905	704	516	348	205	95	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	7921	7741	7561	7381	7201	7021	6841	6660	6480	6298	6118	5937	5755	5574	5393	5211	5027	4845	4661	4477	4292	4106	3918	3730	3540	3348	3154	2958	2759	2558	2354	2147	1938	1727	1514	1302	1091	886	689	505	340	201	93	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	7929	7753	7577	7400	7224	7048	6872	6696	6518	6342	6164	5988	5810	5633	5456	5278	5100	4920	4742	4562	4381	4201	4018	3835	3651	3464	3276	3087	2895	2700	2504	2304	2102	1897	1690	1482	1274	1068	867	674	494	333	196	91	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	7936	7764	7591	7419	7246	7074	6901	6729	6556	6382	6210	6036	5863	5689	5516	5342	5168	4994	4818	4644	4467	4290	4114	3934	3755	3575	3392	3208	3023	2835	2644	2451	2256	2058	1858	1655	1451	1248	1046	849	660	484	326	192	89	23	0	0	0	0	0	0	0	0	0	0	0	0	0
48	7943	7774	7605	7436	7267	7098	6929	6760	6591	6422	6252	6083	5912	5743	5573	5403	5233	5063	4892	4720	4549	4376	4203	4030	3854	3678	3502	3323	3143	2961	2777	2590	2401	2210	2016	1820	1621	1421	1222	1024	832	647	474	320	188	87	22	0	0	0	0	0	0	0	0	0	0	0	0
49	7952	7785	7619	7453	7288	7122	6956	6791	6625	6459	6294	6127	5961	5794	5629	5462	5295	5128	4962	4794	4625	4458	4288	4119	3949	3777	3605	3432	3256	3080	2902	2722	2538	2353	2166	1976	1783	1588	1393	1198	1004	815	634	465	313	185	85	22	0	0	0	0	0	0	0	0	0	0	0
50	7959	7796	7632	7470	7307	7145	6982	6820	6658	6495	6333	6170	6007	5844	5680	5518	5355	5191	5028	4864	4700	4534	4370	4204	4038	3872	3703	3534	3364	3192	3019	2845	2668	2489	2307	2123	1937	1748	1557	1365	1174	984	799	621	456	307	181	84	21	0	0	0	0	0	0	0	0	0	0
51	7965	7806	7646	7485	7326	7167	7007	6848	6689	6530	6370	6211	6052	5891	5732	5571	5412	5252	5091	4931	4771	4609	4447	4286	4124	3960	3797	3632	3466	3300	3131	2961	2790	2617	2441	2263	2082	1900	1715	1527	1339	1152	965	784	609	447	301	177	82	21	0	0	0	0	0	0	0	0	0
52	7971	7815	7658	7502	7344	7188	7031	6875	6719	6563	6406	6250	6094	5938	5780	5624	5466	5310	5152	4995	4838	4681	4522	4363	4205	4046	3885	3725	3563	3401	3237	3072	2905	2738	2567	2395	2220	2043	1864	1682	1498	1314	1130	947	769	598	438	295	174	80	21	0	0	0	0	0	0	0	0
53	7977	7823	7670	7516	7363	7208	7055	6901	6748	6594	6441	6288	6134	5981	5828	5673	5520	5365	5212	5057	4903	4748	4594	4439	4282	4128	3971	3813	3656	3497	3338	3178	3015	2852	2687	2520	2350	2179	2005	1829	1651	1471	1290	1109	930	754	587	430	290	171	79	20	0	0	0	0	0	0	0
54	7982	7832	7681	7530	7380	7229	7077	6926	6776	6625	6475	6324	6173	6023	5872	5722	5570	5419	5267	5117	4965	4813	4662	4510	4358	4205	4052	3899	3744	3590	3434	3277	3120	2960	2800	2638	2474	2308	2139	1969	1796	1621	1444	1266	1089	913	741	576	422	285	168	78	20	0	0	0	0	0	0
55	7988	7840	7692	7544	7396	7248	7100	6950	6803	6655	6507	6359	6211	6063	5915	5767	5619	5470	5322	5173	5025	4876	4728	4579	4430	4280	4130	3980	3829	3677	3526	3372	3219	3064	2907	2750	2591	2430	2266	2101	1934	1764	1592	1418	1243	1069	896	728	566	415	280	165	76	19	0	0	0	0	0
56	7993	7848	7702	7557	7412	7266	7121	6976	6829	6683	6538	6393	6247	6102	5957	5811	5666	5521	5374	5229	5082	4937	4791	4645	4498	4352	4205	4057	3910	3762	3613	3464	3313	3162	3010	2856	2702	2545	2387	2227	2064	1900	1733	1564	1393	1222	1050	881	715	556	408	275	162	75	19	0	0	0	0
57	7998	7855	7712	7569	7427	7284	7141	6998	6855	6711	6568	6425	6282	6140	5997	5854	5711	5568	5426	5282	5139	4995	4852	4708	4564	4421	4277	4133	3987	3843	3697	3550	3404	3256	3108	2958	2807	2655	2502	2346	2188	2029	1867	1703	1537	1369	1201	1032	865	702	546	401	270	159	74	19	0	0	0
58	8003	7862	7722	7581	7441	7301	7160	7020	6879	6739	6597	6457	6316	6176	6036	5895	5755	5614	5474	5334	5192	5052	4910	4770	4628	4487	4346	4205	4062	3920	3778	3634	3490	3346	3201	3055	2908	2760	2610	2459	2306	2151	1994	1835	1674	1511	1346	1180	1015	851	690	537	394	265	156	72	18	0	0
59	8007	7869	7731	7593	7455	7317	7179	7041	6903	6765	6627	6487	6349	6211	6073	5935	5797	5659	5521	5383	5245	5106	4968	4828	4690	4551	4412	4273	4135	3995	3854	3715	3574	3432	3291	3147	3004	2860	2714	2566	2418	2268	2115	1961	1805	1646	1486	1324	1161	998	837	679	528	387	261	154	71	18	0
