INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
21	164	100	33	36	46	82	0	3	3	3	0	1	0	40	38	2	2	2	2	0	2	20	20
22	256	100	51	56	71	128	0	3	3	3	0	3	0	92	87	3	3	3	3	0	3	19	19
23	400	100	79	87	110	200	0	4	4	3	0	7	0	175	164	4	4	4	4	0	4	18	18
24	625	100	123	135	171	312	0	4	4	3	0	14	0	318	298	4	4	4	4	0	4	17	17
25	976	100	192	210	267	487	0	5	5	3	0	29	0	526	492	5	5	5	5	0	5	16	16
26	1525	100	300	328	417	760	0	5	5	3	0	56	0	813	761	5	5	5	5	0	5	15	15
27	2382	100	468	512	651	1187	0	5	5	3	0	102	0	1198	1122	6	6	6	6	0	6	14	14
28	3721	100	731	800	1017	1854	0	5	5	3	0	166	0	1610	1508	6	6	6	6	0	6	13	13
29	5814	100	1142	1250	1589	2896	0	5	5	3	0	297	0	2395	2243	6	6	6	6	0	6	12	12
30	9084	100	1784	1953	2482	4525	0	5	5	3	0	394	0	2963	2774	6	6	6	6	0	6	11	11
31	164	100	33	36	46	82	0	3	3	3	0	0	0	40	38	2	2	2	2	0	2	20	20
32	256	100	51	56	71	128	0	3	3	3	0	0	0	92	87	3	3	3	3	0	3	19	19
33	400	100	79	87	110	200	0	4	4	3	0	0	0	175	164	4	4	4	4	0	4	18	18
34	625	100	123	135	171	312	0	4	4	3	0	0	0	318	298	4	4	4	4	0	4	17	17
35	976	100	192	210	267	487	0	5	5	3	0	0	0	526	492	5	5	5	5	0	5	16	16
36	1525	100	300	328	417	760	0	5	5	3	0	0	0	813	761	5	5	5	5	0	5	15	15
37	2382	100	468	512	651	1187	0	5	5	3	0	0	0	1198	1122	6	6	6	6	0	6	14	14
38	3721	100	731	800	1017	1854	0	5	5	3	0	0	0	1610	1508	6	6	6	6	0	6	13	13
39	5814	100	1142	1250	1589	2896	0	5	5	3	0	0	0	2395	2243	6	6	6	6	0	6	12	12
40	9084	100	1784	1953	2482	4525	0	5	5	3	0	0	0	2963	2774	6	6	6	6	0	6	11	11
41	164	100	33	36	46	82	0	3	3	3	0	0	48	40	38	2	2	2	2	0	2	20	20
42	256	100	51	56	71	128	0	3	3	3	0	0	50	92	87	3	3	3	3	0	3	19	19
43	400	100	79	87	110	200	0	4	4	3	0	0	53	175	164	4	4	4	4	0	4	18	18
44	625	100	123	135	171	312	0	4	4	3	0	0	57	318	298	4	4	4	4	0	4	17	17
45	976	100	192	210	267	487	0	5	5	3	0	0	62	526	492	5	5	5	5	0	5	16	16
46	1525	100	300	328	417	760	0	5	5	3	0	0	67	813	761	5	5	5	5	0	5	15	15
47	2382	100	468	512	651	1187	0	5	5	3	0	0	72	1198	1122	6	6	6	6	0	6	14	14
48	3721	100	731	800	1017	1854	0	5	5	3	0	0	77	1610	1508	6	6	6	6	0	6	13	13
49	5814	100	1142	1250	1589	2896	0	5	5	3	0	0	80	2395	2243	6	6	6	6	0	6	12	12
50	9084	100	1784	1953	2482	4525	0	5	5	3	0	0	80	2963	2774	6	6	6	6	0	6	11	11
51	0	100	55	0	76	0	3	3	0	0	3	0	0	80	0	2	2	2	2	2	0	20	20
52	0	100	85	0	118	0	3	3	0	0	3	0	0	125	0	3	3	3	3	3	0	19	19
53	0	100	132	0	184	0	4	4	0	0	4	0	0	195	0	4	4	4	4	4	0	18	18
54	0	100	206	0	287	0	4	4	0	0	4	0	0	304	0	4	4	4	4	4	0	17	17
55	0	100	321	0	448	0	5	5	0	0	5	0	0	475	0	5	5	5	5	5	0	16	16
56	0	100	501	0	700	0	5	5	0	0	5	0	0	742	0	5	5	5	5	5	0	15	15
57	0	100	782	0	1093	0	5	5	0	0	5	0	0	1159	0	6	6	6	6	6	0	14	14
58	0	100	1221	0	1707	0	5	5	0	0	5	0	0	1810	0	6	6	6	6	6	0	13	13
59	0	100	1907	0	2667	0	5	5	0	0	5	0	0	2828	0	6	6	6	6	6	0	12	12
60	0	100	2979	0	4167	0	5	5	0	0	5	0	0	4418	0	6	6	6	6	6	0	11	11
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	500	500	500	500	500	0	0	0	0	500	500	500	500	500	500	0	0
101	0	0	0	0	0	0	300	300	300	300	300	0	0	0	0	300	300	300	300	300	300	0	0
102	0	0	0	0	0	0	400	400	400	400	400	0	0	0	0	400	400	400	400	400	400	0	0
103	0	0	0	0	0	0	500	500	500	500	500	0	0	0	0	500	500	500	500	500	500	0	0
104	0	0	0	0	0	0	500	500	500	500	500	0	0	0	0	500	500	500	500	500	500	0	0
200	0	0	0	0	0	0	500	500	0	0	0	0	0	0	0	500	0	0	0	500	500	0	0
201	0	0	0	0	0	0	500	500	0	0	0	0	0	0	0	500	0	0	0	500	500	0	0
202	0	0	0	0	0	0	0	500	500	500	0	0	0	0	0	500	0	0	0	500	500	0	0
203	0	0	0	0	0	0	0	500	500	500	500	0	0	0	0	0	0	0	0	500	500	0	0
204	0	0	0	0	0	0	500	500	500	0	0	0	0	0	0	500	0	0	0	500	500	0	0
205	0	0	0	0	0	0	500	500	500	0	0	0	0	0	0	500	0	0	0	500	500	0	0
206	0	0	0	0	800	0	800	600	0	0	500	0	0	0	0	800	0	0	0	800	0	0	0
299	800	100	200	200	300	300	3	3	3	3	3	10	30	300	150	3	3	3	3	3	3	18	18
300	1200	100	300	200	400	400	4	4	4	4	4	20	40	400	200	4	4	4	4	4	4	15	15
301	2000	100	400	400	600	600	5	5	5	5	5	25	50	500	300	5	5	5	5	5	5	12	12
302	3000	100	600	600	900	900	5	5	5	5	5	30	55	750	450	5	5	5	5	5	5	10	10
303	5000	100	1000	1000	1500	1500	6	6	6	6	6	40	60	1200	720	6	6	6	6	6	6	10	10
304	7500	100	1500	1500	2000	2000	5	5	5	5	5	50	60	1500	900	5	5	5	5	5	5	10	10
