INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
501	5	22020	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	500	20305	3	22002	1	-1	-1	2	100000	10000	1	1
502	5	22021	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	800	20305	4	22002	1	-1	-1	2	100000	10000	1	1
503	5	22022	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1000	20305	5	22002	1	-1	-1	2	100000	10000	1	1
504	5	22023	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	500	20305	3	22002	1	-1	-1	2	100000	10000	2	1
505	5	22024	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	800	20305	4	22002	1	-1	-1	2	100000	10000	2	1
506	5	22025	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1000	20305	5	22002	1	-1	-1	2	100000	10000	2	1
507	5	22027	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	500	20305	3	22002	1	-1	-1	2	100000	10000	4	1
508	5	22028	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	800	20305	4	22002	1	-1	-1	2	100000	10000	4	1
509	5	22026	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1000	20305	5	22002	1	-1	-1	2	100000	10000	4	1
600	6	600000	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28000	50	-1	0	-1	-1	-1	-1	2	100000	10000	1	1
601	6	600001	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28000	50	-1	0	-1	-1	-1	-1	2	100000	10000	2	1
602	6	600002	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28000	50	-1	0	-1	-1	-1	-1	2	100000	10000	4	1
