INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
22	-1	-1	-1	21	5	105	1022	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	842	240	-1
23	-1	-1	-1	22	5	13	1023	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	843	240	-1
24	-1	-1	-1	23	5	10	1024	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	844	250	-1
25	-1	-1	-1	24	1	11	1025	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	845	250	-1
26	-1	-1	-1	24	1	19	1026	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	846	250	-1
27	-1	-1	-1	24	1	20	1027	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	847	250	-1
28	-1	-1	-1	24	5	21	1028	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	851	260	-1
29	-1	-1	-1	28	5	113	1029	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	852	260	-1
30	-1	-1	-1	29	5	9	1030	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	853	260	-1
31	-1	-1	-1	30	5	12	1031	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	854	270	-1
32	-1	-1	-1	31	1	19	1032	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	855	270	-1
33	-1	-1	-1	31	1	105	1033	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	856	270	-1
34	-1	-1	-1	31	1	13	1034	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	857	270	-1
35	-1	-1	-1	34	1	25	1035	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
36	-1	-1	-1	35	1	17	1036	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
37	-1	-1	-1	36	1	18	1037	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
38	-1	-1	-1	37	1	106	1038	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
39	-1	-1	-1	37	1	111	1039	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
40	-1	-1	-1	37	1	114	1040	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
100	-1	-1	-1	-1	-1	105	2000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	811	180	-1
101	-1	-1	-1	100	5	13	2001	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	812	180	-1
102	-1	-1	-1	101	5	10	2002	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	813	180	-1
103	-1	-1	-1	102	5	11	2003	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	814	190	-1
104	-1	-1	-1	103	1	17	2004	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	815	190	-1
105	-1	-1	-1	103	1	19	2005	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	816	190	-1
106	-1	-1	-1	103	1	20	2006	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	817	190	-1
107	-1	-1	-1	103	5	21	2007	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	821	200	-1
108	-1	-1	-1	107	5	15	2008	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	822	200	-1
109	-1	-1	-1	108	5	9	2009	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	823	200	-1
110	-1	-1	-1	109	5	12	2010	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	824	210	-1
111	-1	-1	-1	110	1	105	2011	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	825	210	-1
112	-1	-1	-1	110	1	13	2012	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	826	210	-1
113	-1	-1	-1	110	1	10	2013	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	827	210	-1
114	-1	-1	-1	110	5	11	2014	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	831	220	-1
115	-1	-1	-1	114	5	24	2015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	832	220	-1
116	-1	-1	-1	115	5	19	2016	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	833	220	-1
117	-1	-1	-1	116	5	20	2017	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	834	230	-1
118	-1	-1	-1	117	1	22	2018	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	835	230	-1
119	-1	-1	-1	117	1	113	2019	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	836	230	-1
120	-1	-1	-1	117	1	9	2020	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	837	230	-1
121	-1	-1	-1	117	5	12	2021	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	841	240	-1
122	-1	-1	-1	121	5	105	2022	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	842	240	-1
123	-1	-1	-1	122	5	13	2023	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	843	240	-1
124	-1	-1	-1	123	5	10	2024	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	844	250	-1
125	-1	-1	-1	124	1	11	2025	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	845	250	-1
126	-1	-1	-1	124	1	19	2026	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	846	250	-1
127	-1	-1	-1	124	1	20	2027	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	847	250	-1
128	-1	-1	-1	124	5	21	2028	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	851	260	-1
129	-1	-1	-1	128	5	113	2029	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	852	260	-1
130	-1	-1	-1	129	5	9	2030	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	853	260	-1
131	-1	-1	-1	130	5	12	2031	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	854	270	-1
132	-1	-1	-1	131	1	19	2032	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	855	270	-1
133	-1	-1	-1	131	1	105	2033	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	856	270	-1
134	-1	-1	-1	131	1	13	2034	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	857	270	-1
135	-1	-1	-1	131	1	25	2035	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
136	-1	-1	-1	135	1	17	2036	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
137	-1	-1	-1	136	1	18	2037	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
138	-1	-1	-1	137	1	106	2038	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
139	-1	-1	-1	137	1	111	2039	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
200	-1	-1	-1	-1	-1	105	3000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	811	180	-1
201	-1	-1	-1	200	5	13	3001	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	812	180	-1
202	-1	-1	-1	201	5	10	3002	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	813	180	-1
203	-1	-1	-1	202	5	11	3003	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	814	190	-1
204	-1	-1	-1	203	1	17	3004	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	815	190	-1
205	-1	-1	-1	203	1	19	3005	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	816	190	-1
206	-1	-1	-1	203	1	20	3006	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	817	190	-1
207	-1	-1	-1	203	5	21	3007	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	821	200	-1
208	-1	-1	-1	207	5	15	3008	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	822	200	-1
209	-1	-1	-1	208	5	9	3009	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	823	200	-1
210	-1	-1	-1	209	5	12	3010	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	824	210	-1
211	-1	-1	-1	210	1	105	3011	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	825	210	-1
212	-1	-1	-1	210	1	13	3012	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	826	210	-1
213	-1	-1	-1	210	1	10	3013	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	827	210	-1
214	-1	-1	-1	210	5	11	3014	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	831	220	-1
215	-1	-1	-1	214	5	24	3015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	832	220	-1
216	-1	-1	-1	215	5	19	3016	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	833	220	-1
217	-1	-1	-1	216	5	20	3017	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	834	230	-1
218	-1	-1	-1	217	1	22	3018	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	835	230	-1
219	-1	-1	-1	217	1	113	3019	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	836	230	-1
220	-1	-1	-1	217	1	9	3020	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	837	230	-1
221	-1	-1	-1	217	5	12	3021	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	841	240	-1
222	-1	-1	-1	221	5	105	3022	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	842	240	-1
223	-1	-1	-1	222	5	13	3023	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	843	240	-1
224	-1	-1	-1	223	5	10	3024	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	844	250	-1
225	-1	-1	-1	224	1	11	3025	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	845	250	-1
226	-1	-1	-1	224	1	19	3026	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	846	250	-1
227	-1	-1	-1	224	1	20	3027	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	847	250	-1
228	-1	-1	-1	224	5	21	3028	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	851	260	-1
229	-1	-1	-1	228	5	113	3029	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	852	260	-1
230	-1	-1	-1	229	5	9	3030	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	853	260	-1
231	-1	-1	-1	230	5	12	3031	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	854	270	-1
232	-1	-1	-1	231	1	19	3032	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	855	270	-1
233	-1	-1	-1	231	1	105	3033	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	856	270	-1
234	-1	-1	-1	231	1	13	3034	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	857	270	-1
235	-1	-1	-1	231	1	25	3035	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
236	-1	-1	-1	235	1	17	3036	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
237	-1	-1	-1	236	1	18	3037	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
238	-1	-1	-1	237	1	106	3038	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
239	-1	-1	-1	237	1	111	3039	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
1000	-1	-1	-1	-1	-1	-1	-1	3	-1	4	2101	10000	10001	10002	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20000
1001	-1	-1	-1	-1	-1	-1	-1	3	-1	4	2102	10003	10004	10005	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20000
1002	-1	-1	-1	1000	3	-1	-1	2	-1	4	2103	10006	10007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20000
1003	-1	-1	-1	1001	3	-1	-1	1	-1	4	2104	10012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20000
1004	-1	-1	-1	-1	-1	-1	-1	3	-1	5	2105	10013	10014	10015	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20001
1005	-1	-1	-1	-1	-1	-1	-1	3	-1	5	2106	10019	10020	10021	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20001
1006	-1	-1	-1	1004	3	-1	-1	3	-1	5	2107	10022	10023	10024	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20001
1007	-1	-1	-1	1005	3	-1	-1	3	-1	5	2108	10026	10027	10028	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20001
1008	-1	-1	-1	1010	1	-1	-1	3	-1	6	2109	10030	10031	10032	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20002
1009	-1	-1	-1	1011	3	-1	-1	2	-1	6	2110	10038	10039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20002
1010	-1	-1	-1	-1	-1	-1	-1	1	-1	6	2111	10041	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20002
1011	-1	-1	-1	-1	-1	-1	-1	3	-1	6	2112	10042	10043	10044	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20002
1012	-1	-1	-1	-1	-1	-1	-1	3	-1	7	2113	10048	10049	10050	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20003
1013	-1	-1	-1	1012	3	-1	-1	1	-1	7	2114	10053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20003
1014	-1	-1	-1	1015	3	-1	-1	3	-1	7	2115	10065	10066	10067	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20003
1015	-1	-1	-1	-1	-1	-1	-1	3	-1	7	2116	10059	10060	10061	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20003
1016	-1	-1	-1	1018	2	-1	-1	3	-1	8	2117	10068	10069	10070	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20006
1017	-1	-1	-1	-1	-1	-1	-1	2	-1	8	2118	10079	10080	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20006
1018	-1	-1	-1	-1	-1	-1	-1	2	-1	8	2119	10082	10083	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20006
1019	-1	-1	-1	1017	2	-1	-1	3	-1	8	2120	10085	10086	10087	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20006
1020	-1	-1	-1	1023	2	-1	-1	3	-1	9	2121	10089	10090	10091	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20005
1021	-1	-1	-1	1022	2	-1	-1	3	-1	9	2122	10093	10094	10095	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20005
1022	-1	-1	-1	-1	-1	-1	-1	2	-1	9	2123	10097	10098	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20005
1023	-1	-1	-1	-1	-1	-1	-1	2	-1	9	2124	10100	10101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20005
1024	-1	-1	-1	-1	-1	-1	-1	1	-1	10	2125	10103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20004
1025	-1	-1	-1	-1	-1	-1	-1	3	-1	10	2126	10105	10106	10107	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20004
1026	-1	-1	-1	1025	3	-1	-1	1	-1	10	2127	10108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20004
1027	-1	-1	-1	1024	1	-1	-1	1	-1	10	2128	10112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20004
1028	-1	-1	-1	1029	2	-1	-1	2	-1	11	2129	10109	10110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20008
1029	-1	-1	-1	-1	-1	-1	-1	2	-1	11	2130	10115	10120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20008
1030	-1	-1	-1	-1	-1	-1	-1	2	-1	11	2131	10116	10123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20008
1031	-1	-1	-1	1030	2	-1	-1	2	-1	11	2132	10117	10102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20008
1032	-1	-1	-1	-1	-1	-1	-1	2	-1	12	2133	10118	10119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20007
1033	-1	-1	-1	-1	-1	-1	-1	2	-1	12	2134	10121	10122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20007
1034	-1	-1	-1	1033	2	-1	-1	1	-1	12	2135	10124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20007
1035	-1	-1	-1	1032	2	-1	-1	1	-1	12	2136	10125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20007
2000	-1	-1	-1	-1	-1	-1	-1	2	-1	104	2137	20000	20001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20100
2001	-1	-1	-1	2000	2	-1	-1	3	-1	104	2138	20002	20003	20004	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20100
2002	-1	-1	-1	2003	3	-1	-1	2	-1	104	2139	20008	20009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20100
2003	-1	-1	-1	-1	-1	-1	-1	3	-1	104	2140	20011	20012	20013	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20100
2004	-1	-1	-1	2007	2	-1	-1	2	-1	105	2141	20014	20015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20101
2005	-1	-1	-1	2006	2	-1	-1	2	-1	105	2142	20019	20020	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20101
2006	-1	-1	-1	-1	-1	-1	-1	2	-1	105	2143	20021	20022	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20101
2007	-1	-1	-1	-1	-1	-1	-1	2	-1	105	2144	20024	20010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20101
2008	-1	-1	-1	2010	2	-1	-1	3	-1	106	2145	20025	20026	20027	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20102
2009	-1	-1	-1	-1	-1	-1	-1	2	-1	106	2146	20028	20029	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20102
2010	-1	-1	-1	-1	-1	-1	-1	2	-1	106	2147	20030	20031	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20102
2011	-1	-1	-1	2009	2	-1	-1	3	-1	106	2148	20033	20034	20035	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20102
2012	-1	-1	-1	2013	2	-1	-1	3	-1	107	2149	20036	20037	20038	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20105
2013	-1	-1	-1	-1	-1	-1	-1	2	-1	107	2150	20042	20043	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20105
2014	-1	-1	-1	-1	-1	-1	-1	2	-1	107	2151	20044	20045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20105
2015	-1	-1	-1	2014	2	-1	-1	3	-1	107	2152	20047	20048	20049	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20105
2016	-1	-1	-1	-1	-1	-1	-1	2	-1	108	2153	20050	20053	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20106
2017	-1	-1	-1	2016	2	-1	-1	2	-1	108	2154	20051	20052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20106
2018	-1	-1	-1	2019	2	-1	-1	2	-1	108	2155	20057	20056	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20106
2019	-1	-1	-1	-1	-1	-1	-1	2	-1	108	2156	20058	20059	20060	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20106
2020	-1	-1	-1	-1	-1	-1	-1	2	-1	109	2157	20061	20062	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20107
2021	-1	-1	-1	2020	2	-1	-1	3	-1	109	2158	20063	20064	20065	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20107
2022	-1	-1	-1	2023	2	-1	-1	3	-1	109	2159	20066	20067	20068	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20107
2023	-1	-1	-1	-1	-1	-1	-1	2	-1	109	2160	20069	20070	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	22024
2024	-1	-1	-1	2025	2	-1	-1	1	-1	110	2161	20072	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20104
2025	-1	-1	-1	-1	-1	-1	-1	2	-1	110	2162	20073	20074	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20104
2026	-1	-1	-1	-1	-1	-1	-1	3	-1	110	2163	20075	20076	20077	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20104
2027	-1	-1	-1	2026	3	-1	-1	1	-1	110	2164	20081	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20104
2028	-1	-1	-1	-1	-1	-1	-1	3	-1	111	2165	20082	20083	20084	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20103
2029	-1	-1	-1	-1	-1	-1	-1	3	-1	111	2166	20085	20086	20087	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20103
2030	-1	-1	-1	2029	3	-1	-1	1	-1	111	2167	20088	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20103
2031	-1	-1	-1	2028	3	-1	-1	1	-1	111	2168	20090	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20103
2032	-1	-1	-1	-1	-1	-1	-1	2	-1	112	2169	20093	20094	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20108
