INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
17	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1
