INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
36	1	1	2	1	0	0	30	45	15	10	0	40	45	15	330	639	1104	1723	2497	1154	1338	1522	2258	2626
37	1	1	2	1	0	0	25	38	25	12	0	40	45	15	342	664	1147	1790	2595	1212	1405	1599	2374	2761
38	1	1	2	1	0	0	25	38	25	12	0	40	45	15	354	689	1190	1859	2695	1271	1475	1678	2492	2899
39	1	1	2	1	0	0	25	38	25	12	0	40	45	15	367	714	1235	1929	2797	1332	1545	1759	2614	3041
40	1	1	2	1	0	0	25	38	25	12	0	40	45	15	380	740	1280	2000	2900	1394	1618	1842	2738	3186
41	1	1	2	1	0	0	25	38	25	12	0	40	45	15	393	766	1326	2072	3005	1458	1692	1927	2866	3335
42	1	0	1	1	1	0	25	38	25	12	0	40	45	15	406	793	1372	2145	3111	1523	1769	2014	2996	3487
43	1	0	1	1	1	0	25	38	25	12	0	40	45	15	420	820	1420	2219	3219	1590	1846	2103	3130	3643
44	1	0	1	1	1	0	25	38	25	12	0	40	45	15	434	847	1468	2295	3329	1658	1926	2194	3266	3802
45	1	0	1	1	1	0	25	38	25	12	0	40	45	15	448	875	1516	2371	3440	1728	2007	2287	3406	3965
46	1	0	1	1	1	0	25	38	25	12	0	40	45	15	462	903	1566	2449	3553	1799	2091	2382	3548	4131
47	1	0	1	1	1	0	25	38	25	12	0	40	45	15	476	932	1616	2527	3667	1872	2175	2479	3694	4301
48	1	0	1	1	1	0	25	38	25	12	0	40	45	15	490	961	1666	2607	3783	1946	2262	2578	3842	4474
49	1	0	1	1	1	0	20	35	35	15	0	40	45	15	505	990	1718	2688	3901	2022	2350	2679	3994	4651
50	1	0	1	1	1	0	20	35	35	15	0	40	45	15	520	1020	1770	2770	4020	2099	2441	2782	4148	4831
51	1	0	1	1	1	0	20	35	35	15	0	40	45	15	535	1050	1823	2853	4141	2178	2532	2887	4306	5015
52	1	0	1	1	1	0	20	35	35	15	0	40	45	15	550	1081	1876	2937	4263	2258	2626	2994	4466	5202
53	1	0	1	1	1	0	20	35	35	15	0	40	45	15	566	1112	1931	3022	4387	2340	2721	3103	4630	5393
54	1	0	1	1	1	0	20	35	35	15	0	40	45	15	582	1143	1986	3109	4513	2423	2819	3214	4796	5587
55	1	0	1	1	1	0	20	35	35	15	0	40	45	15	598	1175	2041	3196	4640	2508	2917	3327	4966	5785
56	1	0	1	1	1	0	20	35	35	15	0	40	45	15	614	1207	2098	3285	4769	2594	3018	3442	5138	5986
57	1	0	1	1	1	0	20	35	35	15	0	40	45	15	630	1240	2155	3374	4899	2682	3120	3559	5314	6191
58	1	0	1	1	1	0	20	35	35	15	0	40	45	15	646	1273	2212	3465	5031	2771	3225	3678	5492	6399
59	1	0	1	1	1	0	20	35	35	15	0	40	45	15	663	1306	2271	3557	5165	2862	3330	3799	5674	6611
60	1	0	1	1	1	0	20	35	35	15	0	40	45	15	680	1340	2330	3650	5300	2954	3438	3922	5858	6826
