INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
107	幻雪圣殿-精英	DXC_HuanXueShengDian	2	未描述	1018	1	0	-1	1	30	10	30	10	4	1	5	10	10000	70	70	7	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
108	幻雪圣殿-炼狱	DXC_HuanXueShengDian	2	未描述	1018	1	0	-1	1	30	10	30	10	4	1	5	10	10000	70	70	8	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
109	失落王座-普通	DXC_ShiLuoWangZuo	2	未描述	1019	1	0	-1	1	8	10	8	10	4	1	5	10	10000	60	60	9	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
110	失落王座-精英	DXC_ShiLuoWangZuo	2	未描述	1019	1	0	-1	1	8	10	8	10	4	1	5	10	10000	60	60	10	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
111	失落王座-炼狱	DXC_ShiLuoWangZuo	2	未描述	1019	1	0	-1	1	8	10	8	10	4	1	5	10	10000	60	60	11	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
112	远古祭坛-普通	DXC_YuanGuJiTan	2	未描述	1020	1	0	-1	1	27	12	27	12	4	1	5	10	10000	70	70	12	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
113	远古祭坛-精英	DXC_YuanGuJiTan	2	未描述	1020	1	0	-1	1	27	12	27	12	4	1	5	10	10000	70	70	13	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
114	远古祭坛-炼狱	DXC_YuanGuJiTan	2	未描述	1020	1	0	-1	1	27	12	27	12	4	1	5	10	10000	70	70	14	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
115	深海之谜-普通	DXC_ShengHaiZhiMi	2	未描述	1021	1	0	-1	1	25	11	25	11	4	1	5	10	10000	70	70	15	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
116	深海之谜-精英	DXC_ShengHaiZhiMi	2	未描述	1021	1	0	-1	1	25	11	25	11	4	1	5	10	10000	70	70	16	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
117	深海之谜-炼狱	DXC_ShengHaiZhiMi	2	未描述	1021	1	0	-1	1	25	11	25	11	4	1	5	10	10000	70	70	17	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
118	吞噬沙城-普通	DXC_TunShiShaCheng	2	未描述	1022	1	0	-1	1	6	14	6	14	4	1	5	10	10000	70	70	18	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
119	吞噬沙城-精英	DXC_TunShiShaCheng	2	未描述	1022	1	0	-1	1	6	14	6	14	4	1	5	10	10000	70	70	19	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
120	吞噬沙城-炼狱	DXC_TunShiShaCheng	2	未描述	1022	0	0	-1	1	6	14	6	14	4	1	5	10	10000	70	70	20	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
121	幽暗遗迹-普通	DXC_AnYeShenMiao	2	未描述	1023	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	21	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
122	幽暗遗迹-精英	DXC_AnYeShenMiao	2	未描述	1023	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	22	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
123	幽暗遗迹-炼狱	DXC_AnYeShenMiao	2	未描述	1023	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	23	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
124	远古之城-普通	DXC_AnYeShenMiao	2	未描述	1024	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	24	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
125	远古之城-精英	DXC_AnYeShenMiao	2	未描述	1024	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	25	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
126	远古之城-炼狱	DXC_AnYeShenMiao	2	未描述	1024	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	26	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
127	泰坦遗迹-普通	DXC_AnYeShenMiao	2	未描述	1025	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	27	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
128	泰坦遗迹-精英	DXC_AnYeShenMiao	2	未描述	1025	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	28	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
129	泰坦遗迹-炼狱	DXC_AnYeShenMiao	2	未描述	1025	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	29	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
130	冰封秘境-普通	DXC_AnYeShenMiao	2	未描述	1026	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	30	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
131	冰封秘境-精英	DXC_AnYeShenMiao	2	未描述	1026	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	31	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
132	冰封秘境-炼狱	DXC_AnYeShenMiao	2	未描述	1026	1	0	-1	1	24	3.2	24	4	4	1	5	10	10000	49	66	32	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
200	玛雅大陆	YW_ShengGuangDaLu	2	未描述	1000	1	1	200	1	127	124	127	124	0	1	1	1	10000	170	192	200	30	0	0	1	1	-1	0	3	1	0	-1	-1	-1	0	1
201	祭雨丛林	YW_JiYuCongLin	2	未描述	1001	1	1	201	1	98.8	35.9	98.8	35.9	0	1	1	1	10000	150	150	201	30	0	0	1	1	-1	0	5	1	0	-1	-1	-1	0	1
202	玛雅大陆	YW_ShengGuangDaLu	2	未描述	1000	1	1	202	1	28	38	28	38	0	1	1	1	260000	170	192	202	30	0	0	1	1	-1	0	3	1	0	-1	-1	-1	0	1
203	凛冬谷	YW_LinDongGu	2	未描述	1003	1	1	203	1	72.7	58.4	82.6	58.4	0	1	1	1	10000	170	170	203	30	0	0	1	1	-1	0	1	1	0	-1	-1	-1	0	1
204	古遗迹海域	YW_GuYiJiHaiYu	2	未描述	1008	1	1	204	1	68	19	68	19	0	1	1	1	10000	150	150	204	30	0	0	1	1	-1	0	6	1	0	-1	-1	-1	0	1
205	古遗迹海域	YW_GuYiJiHaiYu	2	未描述	1008	1	1	205	1	43	110	43	110	0	1	1	1	10000	150	150	205	30	0	0	1	1	-1	0	6	1	0	-1	-1	-1	0	1
206	暗黑沙域	DXC_AnHeiShaYu	2	未描述	1009	1	1	206	1	24	27	24	27	0	1	1	1	10000	110	120	206	30	0	0	1	1	-1	0	7	1	0	-1	-1	-1	0	1
207	暗黑沙域	DXC_AnHeiShaYu	2	未描述	1009	1	1	207	1	42	89	42	89	0	1	1	1	10000	110	120	207	30	0	0	1	1	-1	0	7	1	0	-1	-1	-1	0	1
208	玛雅大陆	YW_ShengGuangDaLu	2	未描述	1000	1	1	208	1	112	162	113	163	0	1	1	1	10000	170	192	208	30	0	0	1	1	-1	0	3	1	0	-1	-1	-1	0	1
209	灭世之战	YW_MieShiZhiZhan	2	未描述	1000	1	0	209	1	43	93	43	93	4	1	5	10	10000	200	200	209	80	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
210	迷失地宫	DXC_MiShiDiGong	2	未描述	1004	1	1	210	1	55	91	55	91	4	1	1	1	10000	140	140	210	30	0	0	1	1	-1	0	2	1	0	-1	-1	-1	0	1
211	玛雅大陆	YW_ShengGuangDaLu	2	未描述	1000	1	0	211	1	84	92	84	92	4	1	1	1	250000	200	200	211	10	0	0	1	1	-1	0	3	1	0	-1	-1	-1	0	1
212	黄金龙洞窟	DXC_JingJiChang	2	未描述	1036	1	0	212	1	32	15	32	15	4	1	1	1	10000	50	50	212	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
213	试炼之地	DXC_JingLingFuBen	2	未描述	1022	1	0	-1	1	26	26	26	26	4	1	1	1	10000	50	50	213	10	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	0	1
214	暗黑沙域	DXC_AnHeiShaYu	2	未描述	1009	1	1	7	1	42	89	42	89	4	1	1	1	10000	240	240	214	30	0	0	1	1	-1	0	7	1	0	-1	-1	-1	0	1
451	追踪沙魔	DXC_ChongLinShiKu	2	未描述	1022	1	0	-1	1	68.5	21	68.5	21	4	1	1	1	10000	90	90	450	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
452	追踪沙魔	DXC_HuanXueShengDian	2	未描述	1022	1	0	-1	1	26	5	26	5	4	1	1	1	10000	70	70	451	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
453	追踪沙魔	DXC_ShiLuoWangZuo	2	未描述	1022	1	0	-1	1	6	19	6	19	4	1	1	1	10000	60	60	452	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
454	追踪沙魔	DXC_YuanGuJiTan	2	未描述	1022	1	0	-1	1	26	47	26	47	4	1	1	1	10000	70	70	453	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
455	追踪沙魔	DXC_YuanGuJiTan	2	未描述	1022	1	0	-1	1	26	47	26	47	4	1	1	1	10000	70	70	454	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
456	追踪沙魔	DXC_ShengHaiZhiMi	2	未描述	1022	1	0	-1	1	28	44	28	44	4	1	1	1	10000	70	70	455	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
457	追踪沙魔	DXC_ShengHaiZhiMi	2	未描述	1022	1	0	-1	1	28	44	28	44	4	1	1	1	10000	70	70	456	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
458	追踪沙魔	DXC_TunShiShaCheng	2	未描述	1022	1	0	-1	1	37	50	37	50	4	1	1	1	10000	70	70	457	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
459	追踪沙魔	DXC_TunShiShaCheng	2	未描述	1022	1	0	-1	1	37	50	37	50	4	1	1	1	10000	70	70	458	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
500	幽冥魔殿-普通	DXC_YouMingMoDian	2	未描述	1027	1	0	-1	1	24.2	5	24.2	5	4	1	5	10	11000	70	70	500	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
501	幽冥魔殿-精英	DXC_YouMingMoDian	2	未描述	1027	1	0	-1	1	24.2	5	24.2	5	4	1	5	10	11000	70	70	501	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
502	幽冥魔殿-炼狱	DXC_YouMingMoDian	2	未描述	1027	1	0	-1	1	24.2	5	24.2	5	4	1	5	10	11000	70	70	502	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
503	炽焰炼狱-普通	DXC_ChiYanLianYu	2	未描述	1028	1	0	-1	1	36	40	36	40	4	1	5	10	11000	120	120	503	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
504	炽焰炼狱-精英	DXC_ChiYanLianYu	2	未描述	1028	1	0	-1	1	36	40	36	40	4	1	5	10	11000	120	120	504	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
505	炽焰炼狱-炼狱	DXC_ChiYanLianYu	2	未描述	1028	1	0	-1	1	36	40	36	40	4	1	5	10	11000	120	120	505	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
506	死亡漩涡-普通	DXC_SiWangXuanWo	2	未描述	1039	1	0	-1	1	16	14	16	14	4	1	5	10	11000	80	80	506	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
507	死亡漩涡-精英	DXC_SiWangXuanWo	2	未描述	1039	1	0	-1	1	16	14	16	14	4	1	5	10	11000	80	80	507	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
508	死亡漩涡-炼狱	DXC_SiWangXuanWo	2	未描述	1039	1	0	-1	1	16	14	16	14	4	1	5	10	11000	80	80	508	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
509	沙城魔域	DXC_ShaDuMoYu	2	未描述	1022	1	0	-1	1	19	15	19	15	4	1	5	10	11000	135	135	509	12	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
1000	要塞	YW_JiaYuan	4	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	5	5	101000	140	140	1000	10	0	0	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
1001	竞技场	DXC_JingJiChang	3	未描述	1030	0	0	-1	1	34	15	34	15	3	1	5	10	110000	50	50	1001	30	18	14	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
1010	贪财地精	YW_JiaYuan	2	无	1029	0	0	3	1	46.09	31.05	46.09	31.05	2	1	1	1	120000	140	140	1010	40	0	0	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
1019	守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	1	1	1200010	140	140	1019	40	0	0	1	50	-1	0	-1	1	0	-1	-1	-1	0	1
1020	守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	1	1	1200010	140	140	1020	40	0	0	1	120	-1	0	-1	1	0	-1	-1	-1	0	1
1021	守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	1	1	1200010	140	140	1021	40	0	0	1	200	-1	0	-1	1	0	-1	-1	-1	0	1
1022	守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	1	1	1200010	140	140	1022	40	0	0	1	300	-1	0	-1	1	0	-1	-1	-1	0	1
1023	守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	1	1	1200010	140	140	1023	40	0	0	1	400	-1	0	-1	1	0	-1	-1	-1	0	1
1050	多人守卫大陆	YW_JiaYuan	2	无	1029	0	0	3	1	79.8	49.5	79.8	49.5	2	1	5	5	120002	140	140	1050	40	0	0	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
2000	神魔斗场	DXC_ShenMoDouChang	3	未描述	1100	0	0	-1	1	70	127.38	70	127.38	3	1	10	10	200000	140	140	2000	90	70	32.4500007629395	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2001	神魔斗场	DXC_ShenMoDouChang	3	未描述	1100	0	0	-1	1	70	127.38	70	127.38	3	1	10	10	200001	140	140	2001	90	70	32.4500007629395	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2002	神魔斗场	DXC_ShenMoDouChang	3	未描述	1100	0	0	-1	1	70	127.38	70	127.38	3	1	10	10	200002	140	140	2002	90	70	32.4500007629395	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2003	神魔斗场	DXC_ShenMoDouChang	3	未描述	1100	0	0	-1	1	70	127.38	70	127.38	3	1	10	10	200003	140	140	2003	90	70	32.4500007629395	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2004	神魔斗场	DXC_ShenMoDouChang	3	未描述	1100	0	0	-1	1	70	127.38	70	127.38	3	1	10	10	200004	140	140	2004	90	70	32.4500007629395	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2100	冰域征战	DXC_BingYuZhengZhan	3	未描述	1033	0	0	-1	1	113	46	113	46	3	1	10	10	210000	120	120	2100	140	10	51	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2101	冰域征战	DXC_BingYuZhengZhan	3	未描述	1033	0	0	-1	1	113	46	113	46	3	1	10	10	210000	120	120	2101	140	10	51	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2102	冰域征战	DXC_BingYuZhengZhan	3	未描述	1033	0	0	-1	1	113	46	113	46	3	1	10	10	210000	120	120	2102	140	10	51	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2103	冰域征战	DXC_BingYuZhengZhan	3	未描述	1033	0	0	-1	1	113	46	113	46	3	1	10	10	210000	120	120	2103	140	10	51	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
2104	冰域征战	DXC_BingYuZhengZhan	3	未描述	1033	0	0	-1	1	113	46	113	46	3	1	10	10	210000	120	120	2104	140	10	51	1	50	-1	0	-1	1	1	-1	-1	-1	10	1
3000	恶魔回廊第一层	DXC_JingJiChang	2	未描述	1036	0	0	-1	1	18	14	18	14	0	1	10	10	100000	50	32	3000	10	34	15	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
3001	恶魔回廊第二层	DXC_JingJiChang	2	未描述	1036	0	0	-1	1	18	14	18	14	0	1	10	10	100000	50	32	3001	10	34	15	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
3002	恶魔回廊第三层	DXC_JingJiChang	2	未描述	1036	0	0	-1	1	18	14	18	14	0	1	10	10	100000	50	32	3002	10	34	15	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
3003	恶魔回廊第四层	DXC_JingJiChang	2	未描述	1036	0	0	-1	1	18	14	18	14	0	1	10	10	100000	50	32	3003	10	34	15	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
3004	恶魔回廊第五层	DXC_JingJiChang	2	未描述	1036	0	0	-1	1	18	14	18	14	0	1	10	10	100000	50	32	3004	10	34	15	1	-1	-1	0	-1	1	0	-1	-1	-1	0	1
4000	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4000	1	12.33	7.79	12.33	7.79	4	1	5	5	13000	60	60	4000	11	0	0	1	1	-1	0	-1	1	1	-1	-1	-1	0	1
4001	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4001	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4001	11	0	0	1	1	-1	0	-1	1	1	-1	-1	-1	0	1
4002	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4002	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4002	11	0	0	1	100	-1	0	-1	1	1	-1	-1	-1	0	1
4003	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4003	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4003	11	0	0	1	150	-1	0	-1	1	1	-1	-1	-1	0	1
4004	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4004	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4004	11	0	0	1	200	-1	0	-1	1	1	-1	-1	-1	0	1
4005	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4005	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4005	11	0	0	1	250	-1	0	-1	1	1	-1	-1	-1	0	1
4006	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4006	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4006	11	0	0	1	300	-1	0	-1	1	1	-1	-1	-1	0	1
4007	亡灵城堡	DXC_WangLingChengBao	2	未描述	1038	0	1	4007	1	12.33	7.79	12.33	7.79	4	1	10	10	13000	60	60	4007	11	0	0	1	350	-1	0	-1	1	1	-1	-1	-1	0	1
5000	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5000	1	30	30	30	30	4	1	5	5	13000	60	60	5000	48	0	0	1	1	-1	0	-1	1	1	-1	-1	-1	0	1
5001	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5001	1	30	30	30	30	4	1	10	10	13000	60	60	5001	48	0	0	1	1	-1	0	-1	1	1	-1	-1	-1	0	1
5002	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5002	1	30	30	30	30	4	1	10	10	13000	60	60	5002	48	0	0	1	100	-1	0	-1	1	1	-1	-1	-1	0	1
5003	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5003	1	30	30	30	30	4	1	10	10	13000	60	60	5003	48	0	0	1	150	-1	0	-1	1	1	-1	-1	-1	0	1
5004	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5004	1	30	30	30	30	4	1	10	10	13000	60	60	5004	48	0	0	1	200	-1	0	-1	1	1	-1	-1	-1	0	1
5005	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5005	1	30	30	30	30	4	1	10	10	13000	60	60	5005	48	0	0	1	250	-1	0	-1	1	1	-1	-1	-1	0	1
5006	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5006	1	30	30	30	30	4	1	10	10	13000	60	60	5006	48	0	0	1	300	-1	0	-1	1	1	-1	-1	-1	0	1
5007	地狱监牢	DXC_DiYuJianLao	2	未描述	1031	0	1	5007	1	30	30	30	30	4	1	10	10	13000	60	60	5007	48	0	0	1	350	-1	0	-1	1	1	-1	-1	-1	0	1
6000	火龙王入侵	DXC_DiYuJianLao	2	未描述	1035	0	1	6000	1	30	30	30	30	4	1	50	50	400000	60	60	6000	20	0	0	1	80	-1	1	-1	1	0	-1	-1	-1	0	1
6100	冰封神迹	DXC_BingFengShenJi	2	未描述	1018	0	1	6100	1	32.64	16.47	32.64	16.47	4	1	5	5	700000	80	80	6100	40	0	0	1	80	-1	0	-1	1	0	-1	-1	-1	0	1
6110	灭世之战I	YW_MieShiZhiZhan	2	未描述	1018	0	1	6110	1	51	94	51	94	4	1	200	200	810000	200	200	6110	10	0	0	1	30	-1	1	-1	1	0	-1	-1	-1	10	1
6111	灭世之战II	YW_MieShiZhiZhan	2	未描述	1018	0	1	6111	1	51	94	51	94	4	1	200	200	810000	200	200	6111	10	0	0	1	40	-1	1	-1	1	0	-1	-1	-1	10	1
6112	灭世之战III	YW_MieShiZhiZhan	2	未描述	1018	0	1	6112	1	51	94	51	94	4	1	200	200	810000	200	200	6112	10	0	0	1	50	-1	1	-1	1	0	-1	-1	-1	10	1
