INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3000501	0	0	0	0	17	22	17	22	0	9	9	0	151	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000502	0	0	0	0	27	33	27	33	0	15	15	0	227	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000503	0	0	0	0	36	44	36	44	0	20	20	0	303	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000504	0	0	0	0	45	55	45	55	0	25	25	0	379	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000505	0	0	0	0	64	78	64	78	0	35	35	0	531	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3000601	0	0	0	0	24	29	24	29	0	13	13	0	205	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000602	0	0	0	0	37	45	37	45	0	20	20	0	308	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000603	0	0	0	0	49	60	49	60	0	27	27	0	410	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000604	0	0	0	0	62	75	62	75	0	34	34	0	513	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000605	0	0	0	0	86	106	86	106	0	48	48	0	719	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3000701	0	0	0	0	26	32	26	32	0	14	14	0	220	0	0	0	0	0	1	2	0	0	0	0	0	0	10000	10000
3000702	0	0	0	0	40	48	40	48	0	22	22	0	331	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000703	0	0	0	0	53	65	53	65	0	29	29	0	442	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000704	0	0	0	0	66	81	66	81	0	37	37	0	552	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000705	0	0	0	0	93	114	93	114	0	52	52	0	773	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3000801	0	0	0	0	22	27	22	27	0	12	12	0	189	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000802	0	0	0	0	34	42	34	42	0	19	19	0	283	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000803	0	0	0	0	45	55	45	55	0	25	25	0	378	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000804	0	0	0	0	57	70	57	70	0	32	32	0	473	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000805	0	0	0	0	80	97	80	97	0	44	44	0	662	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3000901	0	0	0	0	24	29	24	29	0	13	13	0	201	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000902	0	0	0	0	36	44	36	44	0	20	20	0	302	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3000903	0	0	0	0	48	59	48	59	0	27	27	0	403	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3000904	0	0	0	0	60	74	60	74	0	34	34	0	504	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3000905	0	0	0	0	85	104	85	104	0	47	47	0	706	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3001001	0	0	0	0	26	31	26	31	0	14	14	0	214	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001002	0	0	0	0	39	47	39	47	0	21	21	0	321	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001003	0	0	0	0	52	63	52	63	0	28	28	0	428	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001004	0	0	0	0	64	79	64	79	0	35	35	0	535	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001005	0	0	0	0	91	111	91	111	0	50	50	0	750	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001101	0	0	0	0	34	41	34	41	0	19	19	0	283	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001102	0	0	0	0	51	62	51	62	0	28	28	0	425	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001103	0	0	0	0	68	84	68	84	0	37	37	0	566	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001104	0	0	0	0	85	104	85	104	0	47	47	0	708	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001105	0	0	0	0	120	146	120	146	0	66	66	0	992	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001201	0	0	0	0	28	35	28	35	0	16	16	0	239	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001202	0	0	0	0	43	53	43	53	0	24	24	0	358	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001203	0	0	0	0	58	70	58	70	0	32	32	0	478	0	0	0	0	0	3	3	0	0	0	0	0	0	10000	10000
3001204	0	0	0	0	72	88	72	88	0	40	40	0	598	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001205	0	0	0	0	101	124	101	124	0	56	56	0	837	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001301	0	0	0	0	30	37	30	37	0	16	16	0	251	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001302	0	0	0	0	45	55	45	55	0	25	25	0	377	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001303	0	0	0	0	60	74	60	74	0	33	33	0	503	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001304	0	0	0	0	76	93	76	93	0	42	42	0	629	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001305	0	0	0	0	106	130	106	130	0	59	59	0	881	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001401	0	0	0	0	39	48	39	48	0	22	22	0	330	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001402	0	0	0	0	60	73	60	73	0	33	33	0	496	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001403	0	0	0	0	79	97	79	97	0	44	44	0	660	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001404	0	0	0	0	99	122	99	122	0	55	55	0	826	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3001405	0	0	0	0	140	171	140	171	0	78	78	0	1156	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001501	0	0	0	0	41	50	41	50	0	23	23	0	345	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001502	0	0	0	0	62	76	62	76	0	34	34	0	518	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001503	0	0	0	0	83	102	83	102	0	46	46	0	691	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001504	0	0	0	0	104	127	104	127	0	58	58	0	864	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3001505	0	0	0	0	146	179	146	179	0	81	81	0	1211	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3001601	0	0	0	0	34	42	34	42	0	19	19	0	289	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001602	0	0	0	0	52	64	52	64	0	29	29	0	434	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001603	0	0	0	0	70	85	70	85	0	39	39	0	579	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001604	0	0	0	0	87	107	87	107	0	48	48	0	723	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001605	0	0	0	0	122	150	122	150	0	68	68	0	1013	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3001701	0	0	0	0	36	44	36	44	0	20	20	0	301	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001702	0	0	0	0	54	66	54	66	0	30	30	0	452	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001703	0	0	0	0	73	89	73	89	0	40	40	0	603	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001704	0	0	0	0	91	111	91	111	0	50	50	0	754	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001705	0	0	0	0	128	156	128	156	0	71	71	0	1056	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3001801	0	0	0	0	37	46	37	46	0	21	21	0	314	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001802	0	0	0	0	57	70	57	70	0	31	31	0	471	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3001803	0	0	0	0	76	93	76	93	0	42	42	0	628	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001804	0	0	0	0	95	116	95	116	0	53	53	0	786	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001805	0	0	0	0	133	163	133	163	0	74	74	0	1100	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3001901	0	0	0	0	49	60	49	60	0	27	27	0	408	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3001902	0	0	0	0	74	90	74	90	0	40	40	0	612	0	0	0	0	0	3	3	0	0	0	0	0	0	10000	10000
3001903	0	0	0	0	99	120	99	120	0	54	54	0	817	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3001904	0	0	0	0	124	151	124	151	0	68	68	0	1021	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3001905	0	0	0	0	173	212	173	212	0	96	96	0	1430	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3002001	0	0	0	0	50	62	50	62	0	28	28	0	424	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3002002	0	0	0	0	76	94	76	94	0	42	42	0	636	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002003	0	0	0	0	102	125	102	125	0	57	57	0	848	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3002004	0	0	0	0	128	157	128	157	0	71	71	0	1060	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002005	0	0	0	0	179	220	179	220	0	99	99	0	1484	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3002101	0	0	0	0	53	64	53	64	0	29	29	0	439	0	0	0	0	0	2	2	0	0	0	0	0	0	10000	10000
3002102	0	0	0	0	79	97	79	97	0	44	44	0	659	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002103	0	0	0	0	106	130	106	130	0	58	58	0	879	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3002104	0	0	0	0	133	163	133	163	0	74	74	0	1099	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002105	0	0	0	0	186	228	186	228	0	103	103	0	1539	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3002401	0	0	0	0	44	53	44	53	0	24	24	0	363	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002402	0	0	0	0	66	81	66	81	0	36	36	0	546	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002403	0	0	0	0	88	107	88	107	0	48	48	0	729	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002404	0	0	0	0	110	135	110	135	0	61	61	0	910	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002405	0	0	0	0	155	189	155	189	0	86	86	0	1275	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3002501	0	0	0	0	45	55	45	55	0	25	25	0	376	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002502	0	0	0	0	68	83	68	83	0	37	37	0	565	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002503	0	0	0	0	91	111	91	111	0	50	50	0	753	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002504	0	0	0	0	114	140	114	140	0	63	63	0	942	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002505	0	0	0	0	159	195	159	195	0	89	89	0	1319	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3002601	0	0	0	0	47	57	47	57	0	26	26	0	389	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002602	0	0	0	0	70	86	70	86	0	39	39	0	584	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002603	0	0	0	0	94	115	94	115	0	52	52	0	778	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002604	0	0	0	0	117	144	117	144	0	65	65	0	973	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3002605	0	0	0	0	165	202	165	202	0	91	91	0	1362	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3002701	0	0	0	0	48	59	48	59	0	27	27	0	401	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002702	0	0	0	0	73	89	73	89	0	40	40	0	602	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002703	0	0	0	0	97	119	97	119	0	53	53	0	803	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002704	0	0	0	0	122	148	122	148	0	67	67	0	1004	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3002705	0	0	0	0	170	208	170	208	0	94	94	0	1406	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3002801	0	0	0	0	50	61	50	61	0	27	27	0	414	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002802	0	0	0	0	75	91	75	91	0	42	42	0	621	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002803	0	0	0	0	100	122	100	122	0	55	55	0	828	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002804	0	0	0	0	125	153	125	153	0	70	70	0	1036	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3002805	0	0	0	0	176	215	176	215	0	97	97	0	1450	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3002901	0	0	0	0	52	63	52	63	0	29	29	0	429	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3002902	0	0	0	0	78	95	78	95	0	43	43	0	645	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3002903	0	0	0	0	104	127	104	127	0	57	57	0	861	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3002904	0	0	0	0	130	159	130	159	0	72	72	0	1076	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3002905	0	0	0	0	182	223	182	223	0	101	101	0	1519	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3003001	0	0	0	0	53	65	53	65	0	29	29	0	438	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3003002	0	0	0	0	79	97	79	97	0	44	44	0	659	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3003003	0	0	0	0	106	130	106	130	0	58	58	0	879	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003004	0	0	0	0	133	163	133	163	0	74	74	0	1098	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003005	0	0	0	0	186	228	186	228	0	104	104	0	1538	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3003201	0	0	0	0	54	66	54	66	0	30	30	0	451	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3003202	0	0	0	0	81	100	81	100	0	45	45	0	677	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3003203	0	0	0	0	109	133	109	133	0	60	60	0	903	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003204	0	0	0	0	137	167	137	167	0	76	76	0	1129	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003205	0	0	0	0	192	234	192	234	0	106	106	0	1581	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3003301	0	0	0	0	56	68	56	68	0	31	31	0	464	0	0	0	0	0	2	3	0	0	0	0	0	0	10000	10000
3003302	0	0	0	0	84	102	84	102	0	47	47	0	696	0	0	0	0	0	4	4	0	0	0	0	0	0	10000	10000
3003303	0	0	0	0	112	137	112	137	0	62	62	0	928	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003304	0	0	0	0	140	172	140	172	0	78	78	0	1160	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003305	0	0	0	0	197	241	197	241	0	109	109	0	1625	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3003401	0	0	0	0	57	70	57	70	0	32	32	0	476	0	0	0	0	0	3	3	0	0	0	0	0	0	10000	10000
3003402	0	0	0	0	86	106	86	106	0	48	48	0	715	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003403	0	0	0	0	115	141	115	141	0	64	64	0	954	0	0	0	0	0	5	5	0	0	0	0	0	0	10000	10000
3003404	0	0	0	0	144	177	144	177	0	80	80	0	1192	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003405	0	0	0	0	202	247	202	247	0	112	112	0	1669	0	0	0	0	0	7	10	0	0	0	0	0	0	10000	10000
3003501	0	0	0	0	59	72	59	72	0	32	32	0	489	0	0	0	0	0	3	3	0	0	0	0	0	0	10000	10000
3003502	0	0	0	0	89	109	89	109	0	49	49	0	734	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003503	0	0	0	0	119	145	119	145	0	65	65	0	978	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3003504	0	0	0	0	148	181	148	181	0	82	82	0	1223	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003505	0	0	0	0	207	254	207	254	0	115	115	0	1713	0	0	0	0	0	8	10	0	0	0	0	0	0	10000	10000
3003601	0	0	0	0	60	74	60	74	0	33	33	0	501	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3003602	0	0	0	0	91	111	91	111	0	50	50	0	752	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003603	0	0	0	0	121	148	121	148	0	67	67	0	1003	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3003604	0	0	0	0	152	186	152	186	0	84	84	0	1254	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003605	0	0	0	0	213	260	213	260	0	118	118	0	1757	0	0	0	0	0	8	10	0	0	0	0	0	0	10000	10000
3003701	0	0	0	0	78	95	78	95	0	43	43	0	642	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3003702	0	0	0	0	116	142	116	142	0	64	64	0	964	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003703	0	0	0	0	156	190	156	190	0	86	86	0	1285	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3003704	0	0	0	0	195	238	195	238	0	108	108	0	1607	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3003705	0	0	0	0	272	334	272	334	0	151	151	0	2250	0	0	0	0	0	8	10	0	0	0	0	0	0	10000	10000
3003801	0	0	0	0	79	97	79	97	0	44	44	0	658	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3003802	0	0	0	0	119	146	119	146	0	66	66	0	988	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003803	0	0	0	0	159	195	159	195	0	88	88	0	1317	0	0	0	0	0	5	6	0	0	0	0	0	0	10000	10000
3003804	0	0	0	0	199	244	199	244	0	110	110	0	1646	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3003805	0	0	0	0	279	342	279	342	0	155	155	0	2305	0	0	0	0	0	8	10	0	0	0	0	0	0	10000	10000
3003901	0	0	0	0	81	99	81	99	0	45	45	0	674	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3003902	0	0	0	0	122	150	122	150	0	68	68	0	1011	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3003903	0	0	0	0	163	200	163	200	0	91	91	0	1348	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3003904	0	0	0	0	204	249	204	249	0	114	114	0	1685	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3003905	0	0	0	0	286	350	286	350	0	159	159	0	2360	0	0	0	0	0	8	11	0	0	0	0	0	0	10000	10000
3004001	0	0	0	0	66	81	66	81	0	37	37	0	551	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004002	0	0	0	0	100	122	100	122	0	55	55	0	827	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004003	0	0	0	0	133	163	133	163	0	74	74	0	1103	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004004	0	0	0	0	167	204	167	204	0	93	93	0	1380	0	0	0	0	0	6	8	0	0	0	0	0	0	10000	10000
3004005	0	0	0	0	234	286	234	286	0	130	130	0	1931	0	0	0	0	0	9	11	0	0	0	0	0	0	10000	10000
3004101	0	0	0	0	68	83	68	83	0	37	37	0	564	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004102	0	0	0	0	102	125	102	125	0	57	57	0	846	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004103	0	0	0	0	137	167	137	167	0	76	76	0	1129	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004104	0	0	0	0	171	209	171	209	0	95	95	0	1411	0	0	0	0	0	7	8	0	0	0	0	0	0	10000	10000
3004105	0	0	0	0	239	293	239	293	0	133	133	0	1975	0	0	0	0	0	9	12	0	0	0	0	0	0	10000	10000
3004201	0	0	0	0	70	85	70	85	0	39	39	0	576	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004202	0	0	0	0	104	128	104	128	0	58	58	0	865	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004203	0	0	0	0	140	171	140	171	0	78	78	0	1153	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004204	0	0	0	0	174	213	174	213	0	97	97	0	1442	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3004205	0	0	0	0	245	300	245	300	0	136	136	0	2019	0	0	0	0	0	9	12	0	0	0	0	0	0	10000	10000
3004301	0	0	0	0	71	87	71	87	0	39	39	0	589	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004302	0	0	0	0	107	130	107	130	0	59	59	0	884	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004303	0	0	0	0	143	174	143	174	0	79	79	0	1179	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004304	0	0	0	0	178	218	178	218	0	99	99	0	1473	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3004305	0	0	0	0	250	306	250	306	0	138	138	0	2063	0	0	0	0	0	9	12	0	0	0	0	0	0	10000	10000
3004401	0	0	0	0	91	111	91	111	0	50	50	0	752	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004402	0	0	0	0	137	167	137	167	0	75	75	0	1128	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004403	0	0	0	0	182	223	182	223	0	101	101	0	1505	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004404	0	0	0	0	228	279	228	279	0	126	126	0	1881	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3004405	0	0	0	0	319	391	319	391	0	177	177	0	2633	0	0	0	0	0	9	12	0	0	0	0	0	0	10000	10000
3004501	0	0	0	0	93	114	93	114	0	52	52	0	768	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004502	0	0	0	0	139	171	139	171	0	77	77	0	1151	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004503	0	0	0	0	186	227	186	227	0	103	103	0	1536	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004504	0	0	0	0	233	285	233	285	0	129	129	0	1920	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
3004505	0	0	0	0	326	399	326	399	0	181	181	0	2688	0	0	0	0	0	9	12	0	0	0	0	0	0	10000	10000
3004601	0	0	0	0	95	116	95	116	0	53	53	0	787	0	0	0	0	0	3	4	0	0	0	0	0	0	10000	10000
3004602	0	0	0	0	143	174	143	174	0	79	79	0	1180	0	0	0	0	0	4	5	0	0	0	0	0	0	10000	10000
3004603	0	0	0	0	190	233	190	233	0	106	106	0	1574	0	0	0	0	0	5	7	0	0	0	0	0	0	10000	10000
3004604	0	0	0	0	238	292	238	292	0	132	132	0	1968	0	0	0	0	0	7	9	0	0	0	0	0	0	10000	10000
