INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
100012	开服累计2天充值	开服累计2天充值	1	1	-1	3	-1	-1	-1	-1	0	0	1	7	-1	79	-1		200	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100013	开服累计3天充值	开服累计3天充值	1	1	-1	3	-1	-1	-1	-1	0	0	2	7	-1	79	-1		300	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100014	开服累计4天充值	开服累计4天充值	1	1	-1	3	-1	-1	-1	-1	0	0	3	7	-1	79	-1		400	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100015	开服累计5天充值	开服累计5天充值	1	1	-1	3	-1	-1	-1	-1	0	0	4	7	-1	79	-1		500	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100016	开服累计6天充值	开服累计6天充值	1	1	-1	3	-1	-1	-1	-1	0	0	5	7	-1	79	-1		600	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100017	开服累计7天充值	开服累计7天充值	1	1	-1	3	-1	-1	-1	-1	0	0	6	7	-1	79	-1		700	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100021	开服充值第1档	开服充值第1档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		100	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100022	开服充值第2档	开服充值第2档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		200	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100023	开服充值第3档	开服充值第3档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		300	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100024	开服充值第4档	开服充值第4档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		400	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100025	开服充值第5档	开服充值第5档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		500	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100026	开服充值第6档	开服充值第6档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		600	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100027	开服充值第7档	开服充值第7档	1	1	-1	4	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		700	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110001	总技能等级	开服第1天杀30个怪	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	17	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110002	进入副本	开服第2天完成3个副本	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1	0|1	30	18	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110003	玩家等级	开服第3天强化10次装备	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	19	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110004	提交任务数	开服第4天添加1个好友	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1	0|6	30	20	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110005	翅膀升阶	开服第5天合成1个物品	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	21	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110006	翅膀培养	开服第6天追加强化2次	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	22	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110007	装备洗练	开服第7天修理1次装备	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	23	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110011	装备随灵	开服第1天杀30个怪	1	1	-1	21	-1	-1	-1	-1	0	0	0	7	-1	-1	-1		30	24	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110012	开服第2天完成3个副本	开服第2天完成3个副本	1	1	-1	22	-1	-1	-1	-1	0	1	1	1	-1	-1	-1		3	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110013	开服第3天强化10次装备	开服第3天强化10次装备	1	1	-1	23	-1	-1	-1	-1	0	2	2	1	-1	-1	-1		10	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110014	开服第4天添加1个好友	开服第4天添加1个好友	1	1	-1	24	-1	-1	-1	-1	0	3	3	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110015	开服第5天合成1个物品	开服第5天合成1个物品	1	1	-1	25	-1	-1	-1	-1	0	4	4	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110016	开服第6天追加强化2次	开服第6天追加强化2次	1	1	-1	26	-1	-1	-1	-1	0	5	5	1	-1	-1	-1		2	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110017	开服第7天修理1次装备	开服第7天修理1次装备	1	1	-1	27	-1	-1	-1	-1	0	6	6	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110021	开服第1天杀30个怪	开服第1天杀30个怪	1	1	-1	21	-1	-1	-1	-1	0	0	0	1	-1	-1	-1		30	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110022	开服第2天完成3个副本	开服第2天完成3个副本	1	1	-1	22	-1	-1	-1	-1	0	1	1	1	-1	-1	-1		3	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110023	开服第3天强化10次装备	开服第3天强化10次装备	1	1	-1	23	-1	-1	-1	-1	0	2	2	1	-1	-1	-1		10	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110024	开服第4天添加1个好友	开服第4天添加1个好友	1	1	-1	24	-1	-1	-1	-1	0	3	3	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110025	开服第5天合成1个物品	开服第5天合成1个物品	1	1	-1	25	-1	-1	-1	-1	0	4	4	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110026	开服第6天追加强化2次	开服第6天追加强化2次	1	1	-1	26	-1	-1	-1	-1	0	5	5	1	-1	-1	-1		2	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110027	开服第7天修理1次装备	开服第7天修理1次装备	1	1	-1	27	-1	-1	-1	-1	0	6	6	1	-1	-1	-1		1	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110031	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	2	1	0	0	7	-1	-1	-1		0	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110032	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	3	2	0	0	7	-1	-1	-1		0	-1	-1	-1	2	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110033	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	2	3	0	0	7	-1	-1	-1		0	-1	-1	-1	3	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110034	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	3	4	0	0	7	-1	-1	-1		0	-1	-1	-1	4	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110035	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	2	5	0	0	7	-1	-1	-1		0	-1	-1	-1	5	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110036	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	3	6	0	0	7	-1	-1	-1		0	-1	-1	-1	6	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110037	开服前7天优惠	开服前7天优惠	1	1	-1	7	-1	-1	-1	2	7	0	0	7	-1	-1	-1		0	-1	-1	-1	7	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110041	开服第1天优惠购买	开服第1天优惠购买	1	1	-1	8	-1	-1	-1	3	8	0	0	1	-1	-1	-1		0	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110042	开服第2天优惠购买	开服第2天优惠购买	1	1	-1	8	-1	-1	-1	2	9	1	1	1	-1	-1	-1		0	-1	-1	-1	2	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110043	开服第3天优惠购买	开服第3天优惠购买	1	1	-1	8	-1	-1	-1	3	10	2	2	1	-1	-1	-1		0	-1	-1	-1	3	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110044	开服第4天优惠购买	开服第4天优惠购买	1	1	-1	8	-1	-1	-1	2	11	3	3	1	-1	-1	-1		0	-1	-1	-1	4	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110045	开服第5天优惠购买	开服第5天优惠购买	1	1	-1	8	-1	-1	-1	3	12	4	4	1	-1	-1	-1		0	-1	-1	-1	5	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110046	开服第6天优惠购买	开服第6天优惠购买	1	1	-1	8	-1	-1	-1	2	13	5	5	1	-1	-1	-1		0	-1	-1	-1	6	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110047	开服第7天优惠购买	开服第7天优惠购买	1	1	-1	8	-1	-1	-1	3	14	6	6	1	-1	-1	-1		0	-1	-1	-1	7	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110051	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	8	0	0	7	-1	-1	-1		100	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110052	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	9	0	0	7	-1	-1	-1		201	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110053	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	10	0	0	7	-1	-1	-1		302	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110054	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	11	0	0	7	-1	-1	-1		403	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110055	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	12	0	0	7	-1	-1	-1		504	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110056	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	13	0	0	7	-1	-1	-1		605	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110057	开服第7天消费奖励		1	1	-1	9	-1	-1	-1	-1	14	0	0	7	-1	-1	-1		706	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110060	累计充值980钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		980	-1	-1	-1	1	2,500000|22003,5|22002,10|24515,1|22600,1	2,500000|22003,5|22002,10|24515,1|22600,1	2,500000|22003,5|22002,10|24515,1|22600,1	-1	-1	-1	-1
110061	累计充值1980钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		1980	-1	-1	-1	1	22001,5|22000,1|22083,1|22007,1|36000,30	22001,5|22000,1|22083,1|22007,1|36000,30	22001,5|22000,1|22083,1|22007,1|36000,30	-1	-1	-1	-1
110062	累计充值3280钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		3280	-1	-1	-1	1	22017,50|22018,30|22084,1|22007,1|22056,1	22017,50|22018,30|22084,1|22007,1|22056,1	22017,50|22018,30|22084,1|22007,1|22056,1	-1	-1	-1	-1
110063	累计充值6480钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		6480	-1	-1	-1	1	12,10000|18,10000|22085,1|22007,1|80401,1	12,10000|18,10000|22085,1|22007,1|80402,1	12,10000|18,10000|22085,1|22007,1|80401,1	-1	-1	-1	-1
110064	累计充值10880钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		10880	-1	-1	-1	1	7,10000|26930,1|22086,1|22007,1|40202,1	7,10000|26930,1|22086,1|22007,1|40202,1	7,10000|26930,1|22086,1|22007,1|40202,1	-1	-1	-1	-1
110065	累计充值19980钻石领取		1	1	-1	14	-1	-1	-1	-1	0	0	0	7	-1	79	-1		19980	-1	-1	-1	1	20306,10|22056,1|22091,1|22007,1|15017,1	20306,10|22056,1|22091,1|22007,1|15017,1	20306,10|22056,1|22091,1|22007,1|15017,1	-1	-1	-1	-1
110066	持续活动		1	1	-1	21	-1	-1	-1	-1	13	99	99	99	-1	-1	-1		605	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110067	持续活动		1	1	-1	21	-1	-1	-1	-1	14	99	99	99	-1	-1	-1		706	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110071	指定时间活动		1	1	-1	11	-1	-1	-1	-1	8	0	0	1	-1	-1	-1		100	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110072	指定时间活动		1	1	-1	11	-1	-1	-1	-1	9	1	1	1	-1	-1	-1		201	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110073	指定时间活动		1	1	-1	11	-1	-1	-1	-1	10	2	2	1	-1	-1	-1		302	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110074	指定时间活动		1	1	-1	11	-1	-1	-1	-1	11	3	3	1	-1	-1	-1		403	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110075	指定时间活动		1	1	-1	11	-1	-1	-1	-1	12	4	4	1	-1	-1	-1		504	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110076	指定时间活动		1	1	-1	11	-1	-1	-1	-1	13	5	5	1	-1	-1	-1		605	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110077	指定时间活动		1	1	-1	11	-1	-1	-1	-1	14	6	6	1	-1	-1	-1		706	16	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
110100	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110101	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110102	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
110103	[00FF00]灵兽特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	23580,1|23581,1|23582,1|7,12000	-1	-1	-1	-1
110104	[00FF00]坐骑特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	22082,1|22083,1|22084,1|22066,20	-1	-1	-1	-1
110105	[00FF00]符文特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	0	0	1	-1	-1	-1		0	-1	-1	-1	1	18,10000|12,80000	18,10000|12,80000	18,10000|12,80000	-1	-1	-1	-1
110106	[00FF00]装备特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	22000,10|22003,10|22001,10|22007,1	-1	-1	-1	-1
110107	[00FF00]翅膀特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	22017,60|22018,30|22054,3|22055,1	-1	-1	-1	-1
110108	[00FF00]技能特惠[-]！开服5折大促，限购一次！		1	1	-1	15	-1	-1	-1	3	980	1	1	1	-1	-1	-1		0	-1	-1	-1	1	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	20304,4|20305,4|20306,4|5,30000	-1	-1	-1	-1
