INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
51	4	101|150	-1	23181	1	11	400	8	500	0	0	40109	40209	40309	40409	40509	40609	0	-70|-60|-50|-40|-30|100|200
52	4	151|300	-1	23181	1	11	400	8	500	0	0	40110	40210	40310	40410	40510	40610	0	-70|-60|-50|-40|-30|100|200
53	4	301|400	-1	23181	1	11	400	8	500	0	0	40111	40211	40311	40411	40511	40611	0	-70|-60|-50|-40|-30|100|200
54	4	401|500	-1	23181	1	11	400	8	500	0	0	40112	40212	40312	40412	40512	40612	0	-70|-60|-50|-40|-30|100|200
55	4	501|700	-1	23181	1	11	400	8	500	0	0	40113	40213	40313	40413	40513	40613	0	-70|-60|-50|-40|-30|100|200
56	4	701|1000	-1	23181	1	11	400	8	500	0	0	40114	40214	40314	40414	40514	40614	0	-70|-60|-50|-40|-30|100|200
57	5	1|1	5050	22007	1	11	25000	8	30000	0	0	50101	50201	50301	50401	50501	50601	2310003	-70|-60|-50|-40|-30|100|200
58	5	2|2	-1	23181	5	11	15000	8	18000	0	0	50102	50202	50302	50402	50502	50602	2310004	-70|-60|-50|-40|-30|100|200
59	5	3|3	-1	23181	3	11	10000	8	12000	0	0	50103	50203	50303	50403	50503	50603	2310005	-70|-60|-50|-40|-30|100|200
60	5	4|10	-1	23181	2	11	5000	8	6000	0	0	50104	50204	50304	50404	50504	50604	0	-70|-60|-50|-40|-30|100|200
61	5	11|20	-1	23181	1	11	4000	8	4800	0	0	50105	50205	50305	50405	50505	50605	0	-70|-60|-50|-40|-30|100|200
62	5	21|30	-1	23181	1	11	3000	8	3600	0	0	50106	50206	50306	50406	50506	50606	0	-70|-60|-50|-40|-30|100|200
63	5	31|50	-1	23181	1	11	2000	8	2400	0	0	50107	50207	50307	50407	50507	50607	0	-70|-60|-50|-40|-30|100|200
64	5	51|100	-1	23181	1	11	1000	8	1200	0	0	50108	50208	50308	50408	50508	50608	0	-70|-60|-50|-40|-30|100|200
65	5	101|150	-1	23181	1	11	500	8	600	0	0	50109	50209	50309	50409	50509	50609	0	-70|-60|-50|-40|-30|100|200
66	5	151|300	-1	23181	1	11	500	8	600	0	0	50110	50210	50310	50410	50510	50610	0	-70|-60|-50|-40|-30|100|200
67	5	301|400	-1	23181	1	11	500	8	600	0	0	50111	50211	50311	50411	50511	50611	0	-70|-60|-50|-40|-30|100|200
68	5	401|500	-1	23181	1	11	500	8	600	0	0	50112	50212	50312	50412	50512	50612	0	-70|-60|-50|-40|-30|100|200
69	5	501|700	-1	23181	1	11	500	8	600	0	0	50113	50213	50313	50413	50513	50613	0	-70|-60|-50|-40|-30|100|200
70	5	701|1000	-1	23181	1	11	500	8	600	0	0	50114	50214	50314	50414	50514	50614	0	-70|-60|-50|-40|-30|100|200
71	6	1|1	5050	22007	1	11	30000	8	35000	0	0	60101	60201	60301	60401	60501	60601	2310003	-70|-60|-50|-40|-30|100|200
72	6	2|2	-1	23181	5	11	18000	8	21000	0	0	60102	60202	60302	60402	60502	60602	2310004	-70|-60|-50|-40|-30|100|200
73	6	3|3	-1	23181	3	11	12000	8	14000	0	0	60103	60203	60303	60403	60503	60603	2310005	-70|-60|-50|-40|-30|100|200
74	6	4|10	-1	23181	2	11	6000	8	7000	0	0	60104	60204	60304	60404	60504	60604	0	-70|-60|-50|-40|-30|100|200
75	6	11|20	-1	23181	1	11	4800	8	5600	0	0	60105	60205	60305	60405	60505	60605	0	-70|-60|-50|-40|-30|100|200
76	6	21|30	-1	23181	1	11	3600	8	4200	0	0	60106	60206	60306	60406	60506	60606	0	-70|-60|-50|-40|-30|100|200
77	6	31|50	-1	23181	1	11	2400	8	2800	0	0	60107	60207	60307	60407	60507	60607	0	-70|-60|-50|-40|-30|100|200
78	6	51|100	-1	23181	1	11	1200	8	1400	0	0	60108	60208	60308	60408	60508	60608	0	-70|-60|-50|-40|-30|100|200
79	6	101|150	-1	23181	1	11	600	8	700	0	0	60109	60209	60309	60409	60509	60609	0	-70|-60|-50|-40|-30|100|200
80	6	151|300	-1	23181	1	11	600	8	700	0	0	60110	60210	60310	60410	60510	60610	0	-70|-60|-50|-40|-30|100|200
81	6	301|400	-1	23181	1	11	600	8	700	0	0	60111	60211	60311	60411	60511	60611	0	-70|-60|-50|-40|-30|100|200
82	6	401|500	-1	23181	1	11	600	8	700	0	0	60112	60212	60312	60412	60512	60612	0	-70|-60|-50|-40|-30|100|200
83	6	501|700	-1	23181	1	11	600	8	700	0	0	60113	60213	60313	60413	60513	60613	0	-70|-60|-50|-40|-30|100|200
84	6	701|1000	-1	23181	1	11	600	8	700	0	0	60114	60214	60314	60414	60514	60614	0	-70|-60|-50|-40|-30|100|200
85	7	1|1	5050	22007	1	11	35000	8	40000	0	0	70101	70201	70301	70401	70501	70601	2310003	-70|-60|-50|-40|-30|100|200
86	7	2|2	-1	23181	5	11	21000	8	24000	0	0	70102	70202	70302	70402	70502	70602	2310004	-70|-60|-50|-40|-30|100|200
87	7	3|3	-1	23181	3	11	14000	8	16000	0	0	70103	70203	70303	70403	70503	70603	2310005	-70|-60|-50|-40|-30|100|200
88	7	4|10	-1	23181	2	11	7000	8	8000	0	0	70104	70204	70304	70404	70504	70604	0	-70|-60|-50|-40|-30|100|200
89	7	11|20	-1	23181	1	11	5600	8	6400	0	0	70105	70205	70305	70405	70505	70605	0	-70|-60|-50|-40|-30|100|200
90	7	21|30	-1	23181	1	11	4200	8	4800	0	0	70106	70206	70306	70406	70506	70606	0	-70|-60|-50|-40|-30|100|200
91	7	31|50	-1	23181	1	11	2800	8	3200	0	0	70107	70207	70307	70407	70507	70607	0	-70|-60|-50|-40|-30|100|200
92	7	51|100	-1	23181	1	11	1400	8	1600	0	0	70108	70208	70308	70408	70508	70608	0	-70|-60|-50|-40|-30|100|200
93	7	101|150	-1	23181	1	11	700	8	800	0	0	70109	70209	70309	70409	70509	70609	0	-70|-60|-50|-40|-30|100|200
94	7	151|300	-1	23181	1	11	700	8	800	0	0	70110	70210	70310	70410	70510	70610	0	-70|-60|-50|-40|-30|100|200
95	7	301|400	-1	23181	1	11	700	8	800	0	0	70111	70211	70311	70411	70511	70611	0	-70|-60|-50|-40|-30|100|200
96	7	401|500	-1	23181	1	11	700	8	800	0	0	70112	70212	70312	70412	70512	70612	0	-70|-60|-50|-40|-30|100|200
97	7	501|700	-1	23181	1	11	700	8	800	0	0	70113	70213	70313	70413	70513	70613	0	-70|-60|-50|-40|-30|100|200
98	7	701|1000	-1	23181	1	11	700	8	800	0	0	70114	70214	70314	70414	70514	70614	0	-70|-60|-50|-40|-30|100|200
99	8	1|1	5050	22007	1	11	40000	8	45000	0	0	80101	80201	80301	80401	80501	80601	2310003	-70|-60|-50|-40|-30|100|200
100	8	2|2	-1	23181	5	11	24000	8	27000	0	0	80102	80202	80302	80402	80502	80602	2310004	-70|-60|-50|-40|-30|100|200
101	8	3|3	-1	23181	3	11	16000	8	18000	0	0	80103	80203	80303	80403	80503	80603	2310005	-70|-60|-50|-40|-30|100|200
102	8	4|10	-1	23181	2	11	8000	8	9000	0	0	80104	80204	80304	80404	80504	80604	0	-70|-60|-50|-40|-30|100|200
103	8	11|20	-1	23181	1	11	6400	8	7200	0	0	80105	80205	80305	80405	80505	80605	0	-70|-60|-50|-40|-30|100|200
104	8	21|30	-1	23181	1	11	4800	8	5400	0	0	80106	80206	80306	80406	80506	80606	0	-70|-60|-50|-40|-30|100|200
105	8	31|50	-1	23181	1	11	3200	8	3600	0	0	80107	80207	80307	80407	80507	80607	0	-70|-60|-50|-40|-30|100|200
106	8	51|100	-1	23181	1	11	1600	8	1800	0	0	80108	80208	80308	80408	80508	80608	0	-70|-60|-50|-40|-30|100|200
107	8	101|150	-1	23181	1	11	800	8	900	0	0	80109	80209	80309	80409	80509	80609	0	-70|-60|-50|-40|-30|100|200
108	8	151|300	-1	23181	1	11	800	8	900	0	0	80110	80210	80310	80410	80510	80610	0	-70|-60|-50|-40|-30|100|200
109	8	301|400	-1	23181	1	11	800	8	900	0	0	80111	80211	80311	80411	80511	80611	0	-70|-60|-50|-40|-30|100|200
110	8	401|500	-1	23181	1	11	800	8	900	0	0	80112	80212	80312	80412	80512	80612	0	-70|-60|-50|-40|-30|100|200
111	8	501|700	-1	23181	1	11	800	8	900	0	0	80113	80213	80313	80413	80513	80613	0	-70|-60|-50|-40|-30|100|200
112	8	701|1000	-1	23181	1	11	800	8	900	0	0	80114	80214	80314	80414	80514	80614	0	-70|-60|-50|-40|-30|100|200
113	9	1|1	5050	22007	1	11	45000	8	45000	0	0	90101	90201	90301	90401	90501	90601	2310003	-70|-60|-50|-40|-30|100|200
114	9	2|2	-1	23181	5	11	27000	8	27000	0	0	90102	90202	90302	90402	90502	90602	2310004	-70|-60|-50|-40|-30|100|200
115	9	3|3	-1	23181	3	11	18000	8	18000	0	0	90103	90203	90303	90403	90503	90603	2310005	-70|-60|-50|-40|-30|100|200
116	9	4|10	-1	23181	2	11	9000	8	9000	0	0	90104	90204	90304	90404	90504	90604	0	-70|-60|-50|-40|-30|100|200
117	9	11|20	-1	23181	1	11	7200	8	7200	0	0	90105	90205	90305	90405	90505	90605	0	-70|-60|-50|-40|-30|100|200
118	9	21|30	-1	23181	1	11	5400	8	5400	0	0	90106	90206	90306	90406	90506	90606	0	-70|-60|-50|-40|-30|100|200
119	9	31|50	-1	23181	1	11	3600	8	3600	0	0	90107	90207	90307	90407	90507	90607	0	-70|-60|-50|-40|-30|100|200
120	9	51|100	-1	23181	1	11	1800	8	1800	0	0	90108	90208	90308	90408	90508	90608	0	-70|-60|-50|-40|-30|100|200
121	9	101|150	-1	23181	1	11	900	8	900	0	0	90109	90209	90309	90409	90509	90609	0	-70|-60|-50|-40|-30|100|200
122	9	151|300	-1	23181	1	11	900	8	900	0	0	90110	90210	90310	90410	90510	90610	0	-70|-60|-50|-40|-30|100|200
123	9	301|400	-1	23181	1	11	900	8	900	0	0	90111	90211	90311	90411	90511	90611	0	-70|-60|-50|-40|-30|100|200
124	9	401|500	-1	23181	1	11	900	8	900	0	0	90112	90212	90312	90412	90512	90612	0	-70|-60|-50|-40|-30|100|200
125	9	501|700	-1	23181	1	11	900	8	900	0	0	90113	90213	90313	90413	90513	90613	0	-70|-60|-50|-40|-30|100|200
126	9	701|1000	-1	23181	1	11	900	8	900	0	0	90114	90214	90314	90414	90514	90614	0	-70|-60|-50|-40|-30|100|200
