INT	INT	INT	INT	INT	INT	INT	INT
53	0	0	0	0	0	0	1
54	0	0	0	0	0	0	1
55	0	0	0	0	0	0	1
56	0	0	0	0	0	0	1
57	0	0	0	-1	-1	-1	1
58	0	0	0	-1	-1	-1	1
59	65	0	0	-1	-1	-1	1
60	30	0	0	-1	-1	-1	1
61	511	0	0	-1	-1	-1	1
62	0	0	0	-1	-1	-1	1
63	1	0	0	-1	-1	-1	1
64	0	0	1	0	0	0	1
65	0	1	1	0	0	0	1
66	0	0	1	0	0	0	1
67	0	0	1	0	0	0	1
68	0	0	0	-1	-1	-1	1
69	0	1	0	-1	-1	-1	1
70	0	1	0	-1	-1	-1	1
71	0	1	1	0	0	0	1
72	0	1	1	0	0	0	1
73	0	0	1	0	0	0	1
74	0	0	1	0	0	0	1
75	0	0	1	0	0	0	1
76	0	0	1	0	0	0	1
77	0	0	1	0	0	0	1
78	0	0	0	-1	-1	-1	1
79	0	1	0	-1	-1	-1	1
80	0	1	0	-1	-1	-1	1
81	0	0	0	-1	-1	-1	1
82	1	0	0	-1	-1	-1	1
83	0	0	0	-1	-1	-1	1
84	0	0	0	-1	-1	-1	1
85	0	0	0	-1	-1	-1	1
86	0	0	0	-1	-1	-1	1
87	0	0	0	-1	-1	-1	1
88	0	0	0	-1	-1	-1	1
89	0	0	0	-1	-1	-1	1
90	0	0	0	-1	-1	-1	1
91	0	0	0	-1	-1	-1	1
92	0	0	0	-1	-1	-1	1
93	9999	0	0	-1	-1	-1	1
94	0	0	0	-1	-1	-1	1
95	0	0	0	-1	-1	-1	1
96	3	-1	1	0	3	3	1
97	3	-1	1	0	3	3	1
98	5	0	1	0	5	5	1
99	0	0	1	0	0	0	1
100	0	0	1	0	0	0	1
101	0	0	1	0	0	0	1
102	0	0	0	0	0	0	1
103	0	0	1	0	0	0	1
104	0	0	1	0	0	0	1
105	0	0	0	0	0	0	1
106	0	0	1	0	0	0	1
107	0	0	1	0	0	0	1
108	0	0	0	0	0	0	1
109	0	0	0	0	0	0	1
110	0	0	0	0	0	0	1
111	0	0	0	0	0	0	1
112	0	0	1	0	0	0	1
113	0	0	1	0	0	0	1
114	0	0	0	0	0	0	1
115	0	0	1	0	0	0	1
116	0	0	1	0	0	0	1
117	0	0	0	0	0	0	1
118	0	0	1	0	0	0	1
119	0	0	1	0	0	0	1
120	0	0	0	0	0	0	1
121	0	0	0	0	0	0	1
122	0	0	0	0	0	0	1
123	0	0	0	0	0	0	1
124	0	0	1	0	0	0	1
125	0	0	1	0	0	0	1
126	0	0	0	0	0	0	1
127	0	0	1	0	0	0	1
128	0	0	1	0	0	0	1
129	0	0	0	0	0	0	1
130	0	0	1	0	0	0	1
131	0	0	1	0	0	0	1
132	0	0	0	0	0	0	1
133	0	0	0	0	0	0	1
134	0	0	0	0	0	0	1
135	0	0	0	0	0	0	1
136	0	0	1	0	0	0	1
137	0	0	1	0	0	0	1
138	0	0	0	0	0	0	1
139	0	0	1	0	0	0	1
140	0	0	1	0	0	0	1
141	0	0	0	0	0	0	1
142	0	0	1	0	0	0	1
143	0	0	1	0	0	0	1
144	0	0	0	0	0	0	1
145	0	0	1	0	0	0	1
146	0	0	1	0	0	0	1
147	0	0	1	0	0	0	1
148	0	0	1	0	0	0	1
149	0	0	1	0	0	0	1
150	0	0	1	0	0	0	1
151	0	0	1	0	0	0	1
152	0	0	1	0	0	0	1
153	0	0	1	0	0	0	1
154	0	0	1	0	0	0	1
155	0	0	1	0	0	0	1
156	0	0	1	0	0	0	1
157	0	0	1	0	0	0	1
158	0	0	1	0	0	0	1
159	0	0	1	0	0	0	1
160	0	0	1	0	0	0	1
161	0	0	1	0	0	0	1
162	0	0	1	0	0	0	1
163	0	0	1	0	0	0	1
164	0	0	1	0	0	0	1
165	0	0	1	0	0	0	1
166	0	0	1	0	0	0	1
167	0	0	1	0	0	0	1
168	0	0	1	0	0	0	1
169	0	0	1	0	0	0	1
170	0	0	1	0	0	0	1
171	0	0	1	0	0	0	1
172	0	0	1	0	0	0	1
173	0	0	1	0	0	0	1
174	0	0	1	0	0	0	1
175	0	0	1	0	0	0	1
176	0	0	1	0	0	0	1
177	0	0	1	0	0	0	1
178	0	0	1	0	0	0	1
179	0	0	1	0	0	0	1
180	0	0	1	0	0	0	1
181	0	0	1	0	0	0	1
182	0	0	1	0	0	0	1
183	0	0	1	0	0	0	1
184	0	0	1	0	0	0	1
185	0	0	1	0	0	0	1
186	0	0	1	0	0	0	1
187	0	0	1	0	0	0	1
188	0	0	1	0	0	0	1
189	0	0	1	0	0	0	1
190	0	0	1	0	0	0	1
191	0	0	1	0	0	0	1
192	0	0	1	0	0	0	1
193	0	0	0	0	0	0	1
194	0	0	0	0	0	0	1
195	0	0	0	0	0	0	1
196	0	0	0	0	0	0	1
197	0	0	0	0	0	0	1
198	0	0	0	0	0	0	1
199	0	0	0	0	0	0	1
200	0	0	0	0	0	0	1
201	0	0	0	0	0	0	1
202	0	0	0	0	0	0	1
203	0	0	0	0	0	0	1
204	0	0	0	0	0	0	1
205	0	0	0	0	0	0	1
206	0	0	0	0	0	0	1
207	0	0	0	0	0	0	1
208	0	0	0	0	0	0	1
209	0	0	0	0	0	0	1
210	0	0	0	0	0	0	1
211	0	0	0	0	0	0	1
212	0	0	0	0	0	0	1
213	0	0	0	0	0	0	1
214	0	0	0	0	0	0	1
215	0	0	0	0	0	0	1
216	0	0	0	0	0	0	1
217	0	0	0	0	0	0	1
218	0	0	0	0	0	0	1
219	0	0	0	0	0	0	1
220	0	0	0	0	0	0	1
221	0	0	0	0	0	0	1
222	0	0	0	0	0	0	1
223	0	0	0	0	0	0	1
224	0	0	0	0	0	0	1
225	0	0	0	0	0	0	1
226	0	0	0	0	0	0	1
227	0	0	0	0	0	0	1
228	0	0	0	0	0	0	1
229	0	0	0	0	0	0	1
230	0	0	0	0	0	0	1
231	0	0	0	0	0	0	1
232	0	0	0	0	0	0	1
233	0	0	0	0	0	0	1
234	0	0	0	0	0	0	1
235	0	0	0	0	0	0	1
236	0	0	0	0	0	0	1
237	0	0	0	0	0	0	1
238	0	0	0	0	0	0	1
239	0	0	0	0	0	0	1
240	0	0	0	0	0	0	1
241	0	0	1	0	0	0	1
242	0	0	1	0	0	0	1
243	0	0	0	0	0	0	1
244	0	0	1	0	0	0	1
245	0	0	1	0	0	0	1
246	0	0	0	0	0	0	1
247	0	0	1	0	0	0	1
248	0	0	1	0	0	0	1
249	0	0	0	0	0	0	1
250	0	0	0	-1	-1	-1	1
251	3	-1	1	0	5	5	1
252	0	0	0	-1	-1	-1	1
253	0	0	0	-1	-1	-1	1
254	0	0	0	-1	-1	-1	1
255	0	0	0	-1	-1	-1	1
256	0	0	0	-1	-1	-1	1
257	0	0	0	-1	-1	-1	1
258	0	0	0	-1	-1	-1	1
259	0	0	0	-1	-1	-1	1
260	0	0	0	-1	-1	-1	1
261	0	0	0	-1	-1	-1	1
262	0	0	0	-1	-1	-1	1
263	0	0	0	-1	-1	-1	1
264	0	0	0	-1	-1	-1	1
265	0	0	0	-1	-1	-1	1
266	0	0	0	-1	-1	-1	1
267	0	0	0	-1	-1	-1	1
268	0	0	0	-1	-1	-1	1
269	0	0	0	-1	-1	-1	1
270	0	0	0	-1	-1	-1	1
271	0	0	0	-1	-1	-1	1
272	0	0	0	-1	-1	-1	1
273	0	0	0	-1	-1	-1	1
274	0	0	0	-1	-1	-1	1
275	0	0	0	-1	-1	-1	1
276	0	0	0	-1	-1	-1	1
277	0	0	0	-1	-1	-1	1
278	0	0	0	-1	-1	-1	1
279	0	0	0	-1	-1	-1	1
280	0	0	0	-1	-1	-1	1
281	0	0	0	-1	-1	-1	1
282	0	0	0	-1	-1	-1	1
283	0	0	0	-1	-1	-1	1
284	0	0	1	0	0	0	1
285	0	0	1	0	0	0	1
286	0	0	0	-1	-1	-1	1
287	0	0	0	-1	-1	-1	1
288	0	0	0	-1	-1	-1	1
289	1	-1	1	0	1	1	1
290	1	-1	1	0	1	1	1
291	1	-1	1	0	1	1	1
292	1	-1	1	0	1	1	1
293	1	-1	1	0	1	1	1
294	1	-1	1	0	1	1	1
295	1	-1	1	0	1	1	1
296	1	-1	1	0	1	1	1
297	1	-1	1	0	1	1	1
298	1	-1	1	0	1	1	1
299	0	1	1	0	0	0	1
300	0	1	1	0	0	0	1
301	0	0	0	-1	-1	-1	1
302	0	0	0	-1	-1	-1	1
303	0	0	0	-1	-1	-1	1
304	0	0	0	-1	-1	-1	1
305	0	0	0	-1	-1	-1	1
306	0	0	0	-1	-1	-1	1
307	0	0	0	-1	-1	-1	1
308	0	0	0	-1	-1	-1	1
309	0	1	1	0	0	0	1
310	0	0	0	-1	-1	-1	1
311	0	0	1	0	0	0	1
312	10	-1	1	0	10	10	1
313	0	1	0	-1	-1	-1	1
314	0	0	1	0	-1	-1	1
315	0	0	1	0	-1	-1	1
316	0	0	1	0	-1	-1	1
317	0	0	1	0	-1	-1	1
318	0	0	1	0	-1	-1	1
319	0	0	1	0	-1	-1	1
320	0	0	1	0	-1	-1	1
321	0	0	1	0	-1	-1	1
322	0	0	1	0	-1	-1	1
323	0	0	1	0	-1	-1	1
324	0	1	1	0	0	0	1
325	3	-1	1	0	3	3	1
326	0	0	0	-1	-1	-1	1
327	0	0	0	-1	-1	-1	1
328	0	0	0	-1	-1	-1	1
329	0	0	0	-1	-1	-1	1
330	0	0	0	-1	-1	-1	1
331	0	0	0	-1	-1	-1	1
332	0	0	0	-1	-1	-1	1
333	50	0	0	-1	-1	-1	1
334	40	0	0	-1	-1	-1	1
335	0	0	0	-1	-1	-1	1
336	0	0	0	-1	-1	-1	1
337	0	0	0	-1	-1	-1	1
338	0	0	0	-1	-1	-1	1
339	0	0	0	-1	-1	-1	1
340	5	-1	1	0	5	5	1
341	5	-1	1	0	5	5	1
342	0	0	0	-1	-1	-1	1
343	0	0	0	-1	-1	-1	1
344	0	0	0	-1	-1	-1	1
345	0	0	0	-1	-1	-1	1
346	0	0	0	-1	-1	-1	1
347	0	0	0	-1	-1	-1	1
348	0	0	0	-1	-1	-1	1
349	0	0	0	-1	-1	-1	1
350	10	-1	1	0	10	10	1
351	10	-1	1	0	10	10	1
352	20	-1	1	0	20	20	1
353	10	-1	1	0	10	10	1
354	2	-1	1	0	2	2	1
355	2	-1	1	0	2	2	1
356	2	-1	1	0	2	2	1
357	20	-1	1	0	20	20	1
358	10	-1	1	0	10	10	1
359	10	-1	1	0	10	10	1
360	1	-1	1	0	1	1	1
361	4	-1	1	0	4	4	1
362	1	-1	1	0	1	1	1
363	4	-1	1	0	4	4	1
364	1	-1	1	0	1	1	1
365	1	-1	1	0	1	1	1
366	10	-1	0	0	10	10	1
367	0	0	0	-1	-1	-1	1
368	0	0	0	-1	-1	-1	1
369	0	0	0	-1	-1	-1	1
370	0	0	0	-1	-1	-1	1
371	0	0	0	-1	-1	-1	1
372	0	0	0	-1	-1	-1	1
373	0	0	0	-1	-1	-1	1
374	0	0	0	-1	-1	-1	1
375	0	0	0	-1	-1	-1	1
376	0	0	0	-1	-1	-1	1
377	0	0	0	-1	-1	-1	1
378	0	0	0	-1	-1	-1	1
379	0	0	0	-1	-1	-1	1
380	2	-1	1	0	2	2	1
381	2	-1	1	0	2	2	1
382	5	-1	1	0	5	5	1
383	2	-1	1	0	2	2	1
384	5	-1	1	0	5	5	1
385	0	0	0	-1	-1	-1	1
386	0	0	0	-1	-1	-1	1
387	0	0	0	-1	-1	-1	1
388	0	0	0	-1	-1	-1	1
389	0	0	0	-1	-1	-1	1
390	10	-1	1	0	10	10	1
391	10	-1	1	0	10	10	1
392	10	-1	1	0	10	10	1
393	10	-1	1	0	10	10	1
394	10	-1	1	0	10	10	1
395	5	-1	1	0	5	5	1
396	5	-1	1	0	5	5	1
397	0	0	0	-1	-1	-1	1
398	0	0	0	-1	-1	-1	1
399	0	0	0	-1	-1	-1	1
400	0	-1	1	0	0	0	1
401	0	-1	0	-1	-1	-1	1
402	0	-1	0	-1	-1	-1	1
403	0	0	0	-1	-1	-1	1
404	0	0	0	-1	-1	-1	1
405	0	0	0	-1	-1	-1	1
406	0	0	0	-1	-1	-1	1
407	0	0	0	-1	-1	-1	1
408	0	0	0	-1	-1	-1	1
409	0	0	0	-1	-1	-1	1
410	0	1	0	-1	1	1	1
411	1	-1	1	0	1	1	1
412	0	1	1	0	0	0	1
413	0	1	1	0	0	0	1
414	0	1	1	0	0	0	1
415	0	1	1	0	0	0	1
416	0	1	1	0	0	0	1
417	0	1	1	0	0	0	1
418	0	1	1	0	0	0	1
419	0	1	1	0	0	0	1
420	0	1	0	-1	0	0	1
421	0	0	0	0	-1	-1	1
422	5	-1	1	0	5	5	1
423	5	-1	1	0	5	5	1
424	5	-1	1	0	5	5	1
425	5	-1	1	0	5	5	1
426	5	-1	1	0	5	5	1
427	5	-1	1	0	5	5	1
428	0	0	1	0	0	0	1
429	99999999	0	0	-1	-1	-1	1
430	99999999	0	0	-1	-1	-1	1
431	99999999	0	0	-1	-1	-1	1
432	99999999	0	0	-1	-1	-1	1
433	99999999	0	0	-1	-1	-1	1
434	99999999	0	0	-1	-1	-1	1
435	0	0	1	0	0	0	1
436	0	0	1	0	0	0	1
437	0	0	1	0	0	0	1
438	0	0	1	0	0	0	1
439	0	0	0	-1	-1	-1	1
440	0	1	0	-1	0	0	1
441	0	1	0	-1	0	0	1
442	0	1	0	-1	-1	-1	1
443	0	1	1	0	0	0	1
444	0	1	1	0	0	0	1
445	0	1	1	0	0	0	1
446	0	1	1	0	0	0	1
447	0	1	1	0	0	0	1
448	0	0	1	0	0	0	1
449	0	0	1	0	0	0	1
450	0	0	1	0	0	0	1
451	0	0	1	0	0	0	1
452	0	0	0	-1	-1	-1	1
453	0	0	1	0	0	0	1
454	0	0	1	0	0	0	1
455	0	0	0	-1	-1	-1	1
456	0	0	1	0	0	0	1
457	0	0	1	0	0	0	1
458	0	0	0	-1	-1	-1	1
459	-1	0	1	0	1	50	1
460	-1	0	1	0	-1	-1	1
461	-1	0	1	0	-1	-1	1
462	-1	0	1	0	-1	-1	1
463	-1	0	1	0	-1	-1	1
464	-1	0	1	0	-1	-1	1
465	-1	0	1	0	-1	-1	1
466	-1	0	1	0	-1	-1	1
467	-1	0	1	0	-1	-1	1
468	-1	0	1	0	-1	-1	1
469	-1	0	1	0	-1	-1	1
470	-1	0	1	0	-1	-1	1
471	-1	0	1	0	-1	-1	1
472	-1	0	1	0	-1	-1	1
473	-1	0	1	0	-1	-1	1
474	-1	0	1	0	-1	-1	1
475	-1	0	1	0	-1	-1	1
476	-1	0	1	0	-1	-1	1
477	-1	0	1	0	-1	-1	1
478	-1	0	1	0	-1	-1	1
479	0	0	0	-1	-1	-1	1
480	5	-1	1	0	5	5	1
481	5	-1	1	0	5	5	1
482	5	-1	1	0	5	5	1
483	5	-1	1	0	5	5	1
484	5	-1	1	0	5	5	1
485	5	-1	1	0	5	5	1
486	5	-1	1	0	5	5	1
487	5	-1	1	0	5	5	1
488	5	-1	1	0	5	5	1
489	5	-1	1	0	5	5	1
490	5	-1	1	0	5	5	1
491	5	-1	1	0	5	5	1
492	5	-1	1	0	5	5	1
493	5	-1	1	0	5	5	1
494	5	-1	1	0	5	5	1
495	5	-1	1	0	5	5	1
496	5	-1	1	0	5	5	1
497	5	-1	1	0	5	5	1
498	5	-1	1	0	5	5	1
499	5	-1	1	0	5	5	1
500	0	-1	0	-1	-1	-1	1
501	0	-1	0	-1	-1	-1	1
502	0	-1	0	-1	-1	-1	1
503	0	-1	0	-1	-1	-1	1
504	0	-1	0	-1	-1	-1	1
505	0	-1	0	-1	-1	-1	1
506	0	-1	0	-1	-1	-1	1
507	0	-1	0	-1	-1	-1	1
508	0	-1	0	-1	-1	-1	1
509	0	-1	0	-1	-1	-1	1
510	0	-1	0	-1	-1	-1	1
511	0	-1	0	-1	-1	-1	1
512	0	-1	0	-1	-1	-1	1
513	0	-1	0	-1	-1	-1	1
514	0	-1	0	-1	-1	-1	1
515	0	-1	0	-1	-1	-1	1
516	0	-1	0	-1	-1	-1	1
517	5	0	1	0	5	5	1
518	5	0	1	0	5	5	1
519	2	0	1	0	2	2	1
520	3	0	1	0	3	3	1
521	2	0	1	0	2	2	1
522	20	0	1	0	20	20	1
523	9999	0	1	0	9999	9999	1
524	10	0	1	0	10	10	1
525	1	0	1	0	1	1	1
526	1	0	1	0	1	1	1
527	1	0	1	0	1	1	1
528	1	0	1	0	1	1	1
529	1	0	1	0	1	1	1
530	0	1	1	0	0	0	1
531	0	1	1	0	0	0	1
532	0	1	1	0	0	0	1
533	0	1	1	0	0	0	1
534	0	1	1	0	0	0	1
535	0	1	1	0	0	0	1
536	0	1	1	0	0	0	1
537	0	1	1	0	0	0	1
538	0	1	1	0	0	0	1
539	0	1	1	0	0	0	1
540	0	1	1	0	0	0	1
541	0	1	1	0	0	0	1
542	0	1	1	0	0	0	1
543	0	1	1	0	0	0	1
544	0	1	1	0	0	0	1
545	0	1	1	0	0	0	1
546	0	1	1	0	0	0	1
547	0	1	1	0	0	0	1
548	0	1	1	0	0	0	1
549	0	1	1	0	0	0	1
550	-1	0	0	-1	-1	-1	1
551	-1	0	0	-1	-1	-1	1
552	-1	0	0	-1	-1	-1	1
553	-1	0	0	-1	-1	-1	1
554	1	0	1	0	1	1	1
555	1	0	1	0	1	1	1
556	0	1	1	0	0	0	1
557	0	1	1	0	0	0	1
558	0	1	0	-1	-1	-1	1
559	7	1	0	-1	1	1	1
560	0	0	1	0	0	0	1
561	0	0	0	-1	0	0	1
562	0	0	0	-1	0	0	1
563	0	1	0	0	0	0	1
564	0	0	0	-1	-1	-1	1
565	0	1	0	-1	-1	-1	1
566	0	1	0	-1	-1	-1	1
567	0	1	0	-1	-1	-1	1
568	0	1	0	-1	-1	-1	1
569	0	1	0	-1	-1	-1	1
570	0	1	0	-1	-1	-1	1
571	0	1	0	-1	-1	-1	1
572	0	1	0	-1	-1	-1	1
573	0	1	0	-1	-1	-1	1
574	0	0	0	-1	-1	-1	1
575	15	-1	1	0	15	15	1
576	15	-1	1	0	15	15	1
577	15	-1	1	0	15	15	1
578	15	-1	1	0	15	15	1
579	15	-1	1	0	15	15	1
580	10	-1	1	0	10	10	1
581	15	-1	1	0	15	15	1
582	20	-1	1	0	20	20	1
583	10	-1	1	0	10	10	1
584	3	-1	1	0	3	3	1
585	30	-1	1	0	30	30	1
586	50	-1	1	0	50	50	1
587	50	-1	1	0	50	50	1
588	15	-1	1	0	15	15	1
589	15	-1	1	0	15	15	1
590	0	1	0	-1	-1	-1	1
591	0	0	1	0	0	0	1
592	0	0	1	0	0	0	1
593	0	0	1	0	0	0	1
594	0	0	1	0	0	0	1
595	0	0	1	0	0	0	1
596	0	0	2	0	0	0	1
597	0	0	0	-1	-1	-1	1
598	0	0	0	-1	-1	-1	1
599	0	0	0	-1	-1	-1	1
600	0	0	1	0	0	0	1
601	0	0	0	-1	-1	-1	1
602	0	0	0	-1	-1	-1	1
603	0	0	1	0	0	0	1
604	0	0	0	-1	-1	-1	1
605	0	0	0	-1	-1	-1	1
606	0	0	1	0	0	0	1
607	0	0	0	-1	-1	-1	1
608	0	0	0	-1	-1	-1	1
609	0	0	1	0	0	0	1
610	0	0	0	-1	-1	-1	1
611	0	0	0	-1	-1	-1	1
612	0	0	1	0	0	0	1
613	0	0	0	-1	-1	-1	1
614	0	0	0	-1	-1	-1	1
615	0	0	1	0	0	0	1
616	0	0	0	-1	-1	-1	1
617	0	0	0	-1	-1	-1	1
618	0	0	1	0	0	0	1
619	0	0	0	-1	-1	-1	1
620	0	0	0	-1	-1	-1	1
621	0	1	0	-1	-1	-1	1
622	1	1	1	0	1	1	0
623	0	1	0	-1	-1	-1	0
624	0	0	1	0	0	0	1
625	0	0	0	-1	-1	-1	1
626	0	0	0	0	0	0	1
627	0	1	0	-1	-1	-1	0
628	0	0	0	-1	-1	-1	1
629	0	0	0	-1	-1	-1	1
630	0	0	1	0	100	100	0
631	0	0	1	0	0	0	1
632	200	0	1	0	200	200	0
633	0	0	1	0	0	0	1
634	10	0	1	0	5	5	1
635	10	0	1	0	5	5	1
636	10	0	1	0	5	5	1
637	10	0	1	0	5	5	1
638	10	0	1	0	5	5	1
639	10	0	1	0	5	5	1
640	10	0	1	0	5	5	1
641	10	0	1	0	5	5	1
642	10	0	1	0	5	5	1
643	10	0	1	0	5	5	1
644	10	0	1	0	5	5	1
645	10	0	1	0	5	5	1
646	0	0	1	0	0	0	1
647	0	0	0	-1	-1	-1	1
648	0	1	0	-1	0	0	0
649	0	0	0	-1	-1	-1	1
650	7	1	0	-1	1	1	1
651	0	0	0	-1	-1	-1	1
652	0	0	0	-1	-1	-1	0
653	0	-1	1	0	0	0	1
654	0	-1	3	0	0	0	1
655	0	-1	0	-1	-1	-1	1
656	0	-1	0	-1	-1	-1	1
657	0	-1	0	-1	-1	-1	1
658	0	-1	0	-1	-1	-1	1
659	0	-1	0	-1	-1	-1	1
660	0	-1	0	-1	-1	-1	1
661	0	-1	0	-1	-1	-1	1
662	0	-1	0	-1	-1	-1	1
663	0	0	0	-1	-1	-1	1
664	0	0	0	-1	-1	-1	1
665	0	0	0	-1	-1	-1	1
666	0	1	0	-1	-1	-1	1
667	10	-1	2	0	20	20	1
668	10	-1	2	0	20	20	1
669	10	-1	2	0	20	20	1
670	10	-1	2	0	20	20	1
671	3	-1	2	0	3	3	1
672	0	1	1	0	5	5	1
673	1	-1	2	0	1	1	1
674	0	0	0	-1	-1	-1	1
675	0	0	0	-1	-1	-1	1
676	0	0	0	-1	-1	-1	1
677	0	0	0	-1	-1	-1	1
678	0	0	0	-1	-1	-1	1
679	0	0	0	-1	-1	-1	1
680	10	1	1	0	10	10	1
681	0	0	0	-1	-1	-1	1
682	0	0	0	-1	-1	-1	1
683	0	0	0	-1	-1	-1	1
684	0	0	0	-1	-1	-1	1
685	0	1	0	-1	-1	-1	1
686	0	0	0	-1	-1	-1	1
687	0	0	0	-1	-1	-1	1
688	0	0	0	-1	-1	-1	1
689	0	0	0	-1	-1	-1	1
690	0	1	0	-1	-1	-1	1
691	0	1	0	-1	-1	-1	1
692	0	1	0	-1	-1	-1	1
693	0	1	0	-1	-1	-1	1
694	0	1	0	-1	-1	-1	1
695	0	0	0	-1	-1	-1	1
696	0	0	0	-1	-1	-1	1
697	0	0	0	-1	-1	-1	1
698	0	0	0	-1	-1	-1	1
699	0	0	0	-1	-1	-1	1
700	0	-1	0	-1	-1	-1	1
701	0	1	1	0	0	0	1
702	0	1	1	0	0	0	1
703	0	0	0	-1	-1	-1	1
704	0	0	0	-1	-1	-1	1
705	0	1	1	0	0	0	0
706	0	0	0	-1	-1	-1	1
707	0	0	0	-1	-1	-1	1
708	0	0	0	-1	-1	-1	1
709	0	0	0	-1	-1	-1	1
710	-1	0	0	-1	-1	-1	1
711	-1	0	0	-1	-1	-1	1
712	0	0	0	-1	-1	-1	1
713	0	0	0	-1	-1	-1	1
714	0	0	0	-1	-1	-1	1
715	0	1	1	0	0	0	1
716	-1	0	1	0	1	3	1
717	-1	0	1	0	1	3	1
718	0	1	1	0	0	0	1
719	0	0	0	-1	-1	-1	1
720	0	1	0	-1	-1	-1	1
721	0	1	0	-1	-1	-1	1
722	0	1	0	-1	-1	-1	1
723	0	1	0	-1	-1	-1	1
724	0	1	0	-1	-1	-1	1
725	0	1	0	-1	-1	-1	1
726	0	1	0	-1	-1	-1	1
727	0	1	0	-1	-1	-1	1
728	0	1	0	-1	-1	-1	1
729	0	1	0	-1	-1	-1	1
730	0	1	0	-1	-1	-1	1
731	0	1	0	-1	-1	-1	1
732	0	1	0	-1	-1	-1	1
733	0	1	0	-1	-1	-1	1
734	0	1	0	-1	-1	-1	1
735	0	1	0	-1	-1	-1	1
736	0	1	0	-1	-1	-1	1
737	0	1	0	-1	-1	-1	1
738	0	1	0	-1	-1	-1	1
739	0	1	0	-1	-1	-1	1
740	0	1	0	-1	-1	-1	1
741	0	1	0	-1	-1	-1	1
742	54000	0	0	-1	-1	-1	1
743	54000	0	0	-1	-1	-1	1
744	0	0	0	-1	-1	-1	1
745	0	0	0	-1	-1	-1	1
746	0	0	0	-1	-1	-1	1
747	0	0	0	-1	-1	-1	1
748	0	0	0	-1	-1	-1	1
749	0	0	0	-1	-1	-1	1
750	5	1	1	0	5	5	0
751	1	-1	1	0	1	1	0
752	0	1	1	0	0	0	1
753	0	0	0	-1	-1	-1	1
754	0	0	0	-1	-1	-1	1
755	0	0	0	-1	-1	-1	1
756	0	0	0	-1	-1	-1	1
757	0	0	0	-1	-1	-1	1
758	0	0	0	-1	-1	-1	1
759	0	0	0	-1	-1	-1	1
760	0	0	1	0	0	0	1
761	0	0	1	0	0	0	1
762	0	0	0	-1	-1	-1	1
763	0	0	0	-1	-1	-1	1
764	0	0	0	-1	-1	-1	1
765	0	0	0	-1	-1	-1	1
766	0	0	0	-1	-1	-1	1
767	0	0	0	-1	-1	-1	1
768	0	0	0	-1	-1	-1	1
769	0	0	0	-1	-1	-1	1
770	0	1	1	0	0	0	1
771	0	0	0	-1	-1	-1	1
772	0	0	0	-1	-1	-1	1
773	0	0	0	-1	-1	-1	1
774	0	0	0	-1	-1	-1	1
775	0	0	0	-1	-1	-1	1
776	0	0	0	-1	-1	-1	1
777	0	0	0	-1	-1	-1	1
778	0	1	0	-1	-1	-1	1
779	0	0	0	-1	-1	-1	1
780	0	0	0	-1	-1	-1	1
781	0	0	0	-1	-1	-1	1
782	0	0	0	-1	-1	-1	1
783	0	0	0	-1	-1	-1	1
784	0	0	0	-1	-1	-1	1
785	0	0	0	-1	-1	-1	1
786	0	0	0	-1	-1	-1	1
787	0	0	0	-1	-1	-1	1
788	0	0	0	-1	-1	-1	1
