INT	INT	INT	INT	INT	INT	INT
380	80	-1	10	502	320	0
401	1	402	1	503	3	155
402	2	403	1	503	6	305
403	3	404	1	503	12	455
404	4	405	1	503	16	605
405	5	406	1	503	20	756
406	6	407	1	503	24	906
407	7	408	1	503	28	1056
408	8	409	1	503	32	1207
409	9	410	2	503	36	1357
410	10	411	2	503	40	1508
411	11	412	2	503	44	1658
412	12	413	2	503	48	1809
413	13	414	2	503	52	1959
414	14	415	2	503	56	2111
415	15	416	2	503	60	2261
416	16	417	2	503	64	2412
417	17	418	3	503	68	2564
418	18	419	3	503	72	2714
419	19	420	3	503	76	2865
420	20	421	3	503	80	3017
421	21	422	3	503	84	3167
422	22	423	3	503	88	3319
423	23	424	3	503	92	3470
424	24	425	3	503	96	3622
425	25	426	4	503	100	3773
426	26	427	4	503	104	3924
427	27	428	4	503	108	4076
428	28	429	4	503	112	4228
429	29	430	4	503	116	4379
430	30	431	4	503	120	4532
431	31	432	4	503	124	4682
432	32	433	4	503	128	4835
433	33	434	5	503	132	4987
434	34	435	5	503	136	5139
435	35	436	5	503	140	5290
436	36	437	5	503	144	5443
437	37	438	5	503	148	5595
438	38	439	5	503	152	5747
439	39	440	5	503	156	5900
440	40	441	5	503	160	6052
441	41	442	6	503	164	6204
442	42	443	6	503	168	6356
443	43	444	6	503	172	6510
444	44	445	6	503	176	6661
445	45	446	6	503	180	6815
446	46	447	6	503	184	6967
447	47	448	6	503	188	7120
448	48	449	6	503	192	7272
449	49	450	7	503	196	7426
450	50	451	7	503	200	7579
451	51	452	7	503	204	7731
452	52	453	7	503	208	7885
453	53	454	7	503	212	8037
454	54	455	7	503	216	8191
455	55	456	7	503	220	8344
456	56	457	7	503	224	8498
457	57	458	8	503	228	8650
458	58	459	8	503	232	8805
459	59	460	8	503	236	8957
460	60	461	8	503	240	9112
461	61	462	8	503	244	9264
462	62	463	8	503	248	9419
463	63	464	8	503	252	9572
464	64	465	8	503	256	9726
465	65	466	9	503	260	9880
466	66	467	9	503	264	10033
467	67	468	9	503	268	10188
468	68	469	9	503	272	10342
469	69	470	9	503	276	10496
470	70	471	9	503	280	10650
471	71	472	9	503	284	10804
472	72	473	9	503	288	10958
473	73	474	10	503	292	11113
474	74	475	10	503	296	11267
475	75	476	10	503	300	11421
476	76	477	10	503	304	11576
477	77	478	10	503	308	11731
478	78	479	10	503	312	11885
479	79	480	10	503	316	12040
480	80	-1	10	503	320	0
